evakuasi	انخلاء	evakuasi	انخلاء	N;SG	PROPN;NOM;MASC;SG;3
eleven	xi	eleven	xi	PROPN	
eleven	xi	eleven	xi	PROPN	
eleven	گیارہ	eleven	گیارہ	PROPN	NUM
suspensi	معطلی	suspensi	معطلی	N;SG	ADJ
suspensi	التوا.	suspensi	التوا.	N;SG	PROPN;NOM;MASC;SG;3
suspensi	خارج	suspensi	خارج	N;SG	ADJ
duty	برآمد	duty	برآمد	PROPN	ADJ
duty	سعادتمندی	duty	سعادتمندی	PROPN	PROPN;NOM;MASC;SG;3
duty	برآمد	duty	برآمد	PROPN	ADJ
duty	سعادتمندی	duty	سعادتمندی	PROPN	PROPN;NOM;MASC;SG;3
duty	محصول	duty	محصول	PROPN	N;NOM;MASC;SG;3
spora	بیج.	spora	بیج.	N	
spora	بذرہ	spora	بذرہ	N	
spora	تخمک	spora	تخمک	N	
kind	عنایت	kind	عنایت	PROPN	PROPN;NOM;MASC;SG;3
kind	گروہ	kind	گروہ	PROPN	N;NOM;MASC;SG;3
kind	مانوس	kind	مانوس	PROPN	ADJ
kind	قسم	kind	قسم	PROPN	N;NOM;MASC;SG;3
kind	جماعت	kind	جماعت	PROPN	N;NOM;FEM;SG;3
kind	مہربان	kind	مہربان	PROPN	PROPN;NOM;MASC;SG;3
kind	عنایت	kind	عنایت	PROPN	PROPN;NOM;MASC;SG;3
kind	وضع	kind	وضع	PROPN	N;NOM;MASC;SG;3
kind	گروہ	kind	گروہ	PROPN	N;NOM;MASC;SG;3
kind	مانوس	kind	مانوس	PROPN	ADJ
kind	قسم	kind	قسم	PROPN	N;NOM;MASC;SG;3
kind	جماعت	kind	جماعت	PROPN	N;NOM;FEM;SG;3
kind	شفیق	kind	شفیق	PROPN	PROPN;NOM;MASC;SG;3
kind	مہربان	kind	مہربان	PROPN	PROPN;NOM;MASC;SG;3
tek	فنّیات.	tek	فنّیات.	PROPN	PROPN;NOM;MASC;SG;3
blind	بہانہ	blind	بہانہ	PROPN	PROPN;NOM;MASC;SG;3
array	پوشاک	array	پوشاک	N	PROPN;NOM;MASC;SG;3
array	سنوارنا	array	سنوار	N	V;MASC;SG;NFIN;ACT
cherry	بکارت	cherry	بکارت	PROPN	N;NOM;FEM;SG;3
cherry	دوشیزہ	cherry	دوشیزہ	PROPN	PROPN;NOM;MASC;SG;3
cherry	دوشیزگی	cherry	دوشیزگی	PROPN	PROPN;NOM;MASC;SG;3
notice	مشاہدہ	notice	مشاہدہ	PROPN	N;NOM;MASC;SG;3
notice	توجہ	notice	توجہ	PROPN	N;NOM;MASC;SG;3
silent	معلومات	silent	معلومات	PROPN	N;NOM;MASC;PL;3
silent	خاموش	silent	خاموش	PROPN	ADJ
silent	معلومات	silent	معلومات	PROPN	N;NOM;MASC;PL;3
pendahuluan	ابتدائی.	pendahuluan	ابتدائی.	N;SG	PROPN;NOM;MASC;SG;3
pendahuluan	ابتدائی.	pendahuluan	ابتدائی.	N;SG	PROPN;NOM;MASC;SG;3
kick	زور	kick	زور	PROPN	N;NOM;MASC;SG;3
kick	توانائی	kick	توانائی	PROPN	N;NOM;FEM;SG;3
kick	گرمانے	kick	گرما	PROPN	V;NFIN
kick	ترنگ	kick	ترنگ	PROPN	PROPN;NOM;MASC;SG;3
honey	دلبر.	honey	دلبر.	PROPN	PROPN;NOM;MASC;SG;3
honey	انگبینی.	honey	انگبینی.	PROPN	PROPN;NOM;MASC;SG;3
honey	عسّل.	honey	عسّل.	PROPN	
honey	شہد	honey	شہد	PROPN	N;NOM;MASC;SG;3
honey	دلبر.	honey	دلبر.	PROPN	PROPN;NOM;MASC;SG;3
honey	انگبینی.	honey	انگبینی.	PROPN	PROPN;NOM;MASC;SG;3
honey	عسّل.	honey	عسّل.	PROPN	
memuja	پرستار	menpuja	پرستار	V;SG;ACT	PROPN;NOM;MASC;SG;3
memuja	سراہنا	menpuja	سراہ	V;SG;ACT	PROPN;NOM;MASC;SG;3
moda	وضع.	moda	وضع.	N;SG	
moda	وضع.	moda	وضع.	N;SG	
divine	ربّانی	divine	ربّانی	PROPN	ADJ
divine	متبرک	divine	متبرک	PROPN	ADJ
divine	خداوندی	divine	خداوندی	PROPN	PROPN;NOM;MASC;SG;3
divine	مقدس	divine	مقدس	PROPN	PROPN;NOM;MASC;SG;3
divine	الُوہی	divine	الُوہی	PROPN	PROPN;NOM;MASC;SG;3
divine	وجدان	divine	وجدان	PROPN	N;NOM;MASC;SG;3
divine	قیاس	divine	قیاس	PROPN	N;NOM;MASC;SG;3
divine	طباع	divine	طباع	PROPN	
divine	خدایانہ	divine	خدایانہ	PROPN	PROPN;NOM;MASC;SG;3
taktis	(	taktis	(	N;SG	
anon	فوراً	anon	فوراً	PROPN	ADV
anon	ابھی	anon	ابھی	PROPN	PRO;NOM
berkelahi	(	berkelahi	(	V;SG;ACT	
berkelahi	قتال	berkelahi	قتال	V;SG;ACT	N;NOM;MASC;SG;3
berkelahi	آگ	berkelahi	آگ	V;SG;ACT	N;NOM;FEM;SG;3
berkelahi	(	berkelahi	(	V;SG;ACT	
berkelahi	کوشش	berkelahi	کوشش	V;SG;ACT	N;NOM;FEM;SG;3
kesebelas	گیارھواں	kesebelas	گیارھواں	NUM	
poppy	گروہ	poppy	گروہ	PROPN	N;NOM;MASC;SG;3
poppy	لالہ	poppy	لالہ	PROPN	PROPN;NOM;MASC;SG;3
poppy	گروہ	poppy	گروہ	PROPN	N;NOM;MASC;SG;3
poppy	لالہ	poppy	لالہ	PROPN	PROPN;NOM;MASC;SG;3
poppy	کُوکنار	poppy	کُوکنار	PROPN	
barak	چڑانا	barak	چڑا	N;SG	V;MASC;SG;NFIN;ACT
rana	مانع.	rana	مانع.	PROPN	PROPN;NOM;MASC;SG;3
lelucon	چہل.	lelucon	چہل.	N	PROPN;NOM;MASC;SG;3
lelucon	لطیفہ	lelucon	لطیفہ	N	PROPN;NOM;MASC;SG;3
lelucon	چہل.	lelucon	چہل.	N	PROPN;NOM;MASC;SG;3
straight	نظر	straight	نظر	PROPN	N;NOM;MASC;SG;3
straight	(	straight	(	PROPN	
straight	فوراً	straight	فوراً	PROPN	ADV
straight	مسلسل	straight	مسلسل	PROPN	ADV
straight	مربوط	straight	مربوط	PROPN	ADJ
straight	مقطع	straight	مقطع	PROPN	PROPN;NOM;MASC;SG;3
straight	ہموار	straight	ہموار	PROPN	ADJ
straight	مرتب	straight	مرتب	PROPN	ADJ
straight	طریقہ.	straight	طریقہ.	PROPN	N;NOM;MASC;SG;3
straight	ابھی.	straight	ابھی.	PROPN	PROPN;NOM;MASC;SG;3
straight	ایماندارانہ	straight	ایماندارانہ	PROPN	ADJ
straight	باقاعدہ	straight	باقاعدہ	PROPN	ADJ
straight	نظر	straight	نظر	PROPN	N;NOM;MASC;SG;3
straight	(	straight	(	PROPN	
straight	فوراً	straight	فوراً	PROPN	ADV
straight	راست	straight	راست	PROPN	
straight	مسلسل	straight	مسلسل	PROPN	ADV
straight	مربوط	straight	مربوط	PROPN	ADJ
straight	مقطع	straight	مقطع	PROPN	PROPN;NOM;MASC;SG;3
straight	ہموار	straight	ہموار	PROPN	ADJ
straight	مرتب	straight	مرتب	PROPN	ADJ
straight	طریقہ.	straight	طریقہ.	PROPN	N;NOM;MASC;SG;3
straight	ابھی.	straight	ابھی.	PROPN	PROPN;NOM;MASC;SG;3
straight	ایماندارانہ	straight	ایماندارانہ	PROPN	ADJ
straight	باقاعدہ	straight	باقاعدہ	PROPN	ADJ
sperma	تخم.	sperma	تخم.	N	
sperma	منی	sperma	منی	N	PROPN;NOM;MASC;SG;3
ikhlas	ایماندار	ikhlas	ایماندار	N;SG	ADJ
