konstgjorda	بناوٹی	konstgjord	بناوٹی	ADJ;NOM;PL;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
krita	چاک	krita	چاک	N;NOM;INDF;NEUT;SG	PROPN;NOM;MASC;SG;3
krita	کھریا	krita	کھریا	N;NOM;INDF;NEUT;SG	PROPN;NOM;MASC;SG;3
bloom	شادابی	bloom	شادابی	N;NOM;INDF;MASC+FEM;SG	ADJ
bloom	رعنائی	bloom	رعنائی	N;NOM;INDF;MASC+FEM;SG	ADJ
beräkning	گنتی	beräkning	گنتی	N;NOM;INDF;MASC+FEM;SG	V;PFV;FEM;SG;V.PTCP;ACT
beräkning	کائیاں.	beräkning	کائی	N;NOM;INDF;MASC+FEM;SG	V;FEM;PL;FIN;ACT
beräkning	چالاک	beräkning	چالاک	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
beräkning	کائیاں.	beräkning	کائی	N;NOM;INDF;MASC+FEM;SG	V;FEM;PL;FIN;ACT
ronde	گفتگو	rona	گفتگو	PROPN;NOM	N;NOM;MASC;SG;3
adjektiv	صفت	adjektiv	صفت	N;NOM;INDF;NEUT;PL	N;NOM;MASC;SG;3
proportionellt	متناسب.	proportionell	متناسب.	ADV	ADJ
proportionellt	تقابلی	proportionell	تقابلی	ADV	N;NOM;MASC;SG;3
hunger	خواہشمند	hung	خواہشمند	N;NOM;INDF;MASC+FEM;SG	ADJ
hunger	جویا	hung	جویا	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
hunger	چاہ.	hung	چاہ.	N;NOM;INDF;MASC+FEM;SG	
hunger	اشتہا.	hung	اشتہا.	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
resenärer	سیّاح.	resenär	سیّاح.	N;NOM;INDF;MASC+FEM;PL	PROPN;NOM;MASC;SG;3
resenärer	مسافر	resenär	مسافر	N;NOM;INDF;MASC+FEM;PL	N;NOM;MASC;SG;3
mast	بتولا	mast	بتولا	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
mast	اسطوانہ.	mast	اسطوانہ.	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
fängelsestraff	اسیری	fängelsestraff	اسیری	N;NOM;INDF;NEUT;SG	PROPN;NOM;MASC;SG;3
ambassadören	مبلّغ	ambassadör	مبلّغ	N;NOM;DEF;MASC+FEM;SG	
ambassadören	مبلّغ	ambassadör	مبلّغ	N;NOM;DEF;MASC+FEM;SG	
prövning	دشواریاں	prövning	دشواری	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;PL;3
prövning	دشواریاں	prövning	دشواری	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;PL;3
transmission	ایصال.	transmission	ایصال.	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
transmission	ایصال.	transmission	ایصال.	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
långsamma	سست.	långsam	سست.	ADJ;NOM;PL	PROPN;NOM;MASC;SG;3
långsamma	متأمل	långsam	متأمل	ADJ;NOM;PL	PROPN;NOM;MASC;SG;3
långsamma	مندا	långsam	مندا	ADJ;NOM;PL	PROPN;NOM;MASC;SG;3
långsamma	سست.	långsam	سست.	ADJ;NOM;PL	PROPN;NOM;MASC;SG;3
långsamma	متأمل	långsam	متأمل	ADJ;NOM;PL	PROPN;NOM;MASC;SG;3
muslimsk	مسلم.	muslimsk	مسلم.	ADJ;NOM;INDF;MASC+FEM;SG	
disposition	گھیرا	disposition	گھیرا	N;NOM;INDF;MASC+FEM;SG	V;SG;V.PTCP;ACT
disposition	تصّرف.	disposition	تصّرف.	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
disposition	منصوبہ.	disposition	منصوبہ.	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
disposition	بندوبست.	disposition	بندوبست.	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
disposition	سبھاؤ.	disposition	سبھاؤ.	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
disposition	تصّرف.	disposition	تصّرف.	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
disposition	منصوبہ.	disposition	منصوبہ.	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
disposition	بندوبست.	disposition	بندوبست.	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
disposition	سبھاؤ.	disposition	سبھاؤ.	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
splittring	ٹوٹنے	splittring	ٹوٹ	N;NOM;INDF;MASC+FEM;SG	V;ACC;NFIN
underhålla	لطف	underhålla	لطف	V;IMP;FIN;ACT	ADJ
underhålla	سہارنا	underhålla	سہار	V;IMP;FIN;ACT	PROPN;NOM;MASC;SG;3
underhålla	مشین	underhålla	مشین	V;IMP;FIN;ACT	N;NOM;MASC;SG;3
lutning	ڈھالو	lutning	ڈھالو	N;NOM;INDF;MASC+FEM;SG	
lutning	نشیبی	lutning	نشیبی	N;NOM;INDF;MASC+FEM;SG	ADJ
lutning	جھکانا	lutning	جھکا	N;NOM;INDF;MASC+FEM;SG	V;MASC;SG;NFIN;ACT
lutning	نشیب.	lutning	نشیب.	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
hypotes	افتراض	hypotes	افتراض	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
tyngd	تأثر-	tyngd	تأثر-	N;NOM;INDF;MASC+FEM;SG	ADJ
tyngd	(	tyngd	(	N;NOM;INDF;MASC+FEM;SG	
tyngd	بار-	tyngd	بار-	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
