elst	эльст	gla	эльст	N	
sjuende	седьмой	sjuende	седьмой	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
sjuende	седьмое	sjuende	седьмой	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
sjuende	седьмая	sjuende	седьмой	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
tyskere	немцы	tyskere	немец	N;INDF;FEM;SG	N;ANIM;NOM;MASC;PL
small	маленькая	small	маленький	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG
small	маленькие	small	маленький	N;INDF;NEUT;SG	ADJ;NOM;PL
small	малых	small	малый	N;INDF;NEUT;SG	ADJ;GEN;PL
small	маленький	small	маленький	N;INDF;NEUT;SG	ADJ;NOM;MASC;SG
small	мелкие	small	мелкий	N;INDF;NEUT;SG	ADJ;NOM;PL
small	малые	small	малый	N;INDF;NEUT;SG	ADJ;NOM;PL
elektroniske	электронная	elektronisk	электронный	ADJ;PL	ADJ;NOM;FEM;SG
elektroniske	электронное	elektronisk	электронный	ADJ;PL	ADJ;NOM;NEUT;SG
elektroniske	электронный	elektronisk	электронный	ADJ;PL	ADJ;NOM;MASC;SG
myspace	myspace	myspace	myspace	N;INDF;MASC;SG	PROPN
inspirerte	вдохновил	inspirere	вдохновить	ADJ;PL;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
perry	перри	perry	перрь	PROPN	N;INAN;NOM;MASC;SG
helene	элен	helene	элен	N;DEF;FEM;PL	N;ANIM;NOM;FEM;SG
helene	хелен	helene	хеленый	N;DEF;FEM;PL	N;ANIM;NOM;FEM;SG
helene	элен	helene	элен	N;DEF;FEM;PL	N;ANIM;NOM;FEM;SG
helene	хелен	helene	хеленый	N;DEF;FEM;PL	N;ANIM;NOM;FEM;SG
seven	seven	seve	seven	N;INDF;NEUT;SG	PROPN
seven	семь	seve	семь	N;INDF;NEUT;SG	NUM;NOM
seven	седьмая	seve	седьмой	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG
farlige	опасно	farlig	опасный	ADJ;PL	ADJ;NEUT;SG
farlige	опасная	farlig	опасный	ADJ;PL	ADJ;NOM;FEM;SG
farlige	опасный	farlig	опасный	ADJ;PL	ADJ;NOM;MASC;SG
farlige	опасное	farlig	опасный	ADJ;PL	ADJ;NOM;NEUT;SG
anmeldelse	пересмотреть	anmeldelse	пересмотреть	N;INDF;MASC;SG	V;PFV;NFIN;ACT
konsekvens	последствия	konsekvens	последствие	N;INDF;MASC;SG	N;INAN;NOM;NEUT;PL
konsekvens	последовательности	konsekvens	последовательность	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
pater	отче	pater	отче	N;INDF;MASC;SG	INTJ
negativt	негативных	negativ	негативный	ADJ;INDF;NEUT;SG	ADJ;GEN;PL
negativt	отрицательные	negativ	отрицательный	ADJ;INDF;NEUT;SG	ADJ;NOM;PL
negativt	отрицательно	negativ	отрицательно	ADJ;INDF;NEUT;SG	ADV
negativt	негативные	negativ	негативный	ADJ;INDF;NEUT;SG	ADJ;NOM;PL
böhmen	богемии	böhm	богемия	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
irish	ирландский	irish	ирландский	N	ADJ;NOM;MASC;SG
artilleri	артиллерийские	artilleri	артиллерийский	N;INDF;NEUT;SG	ADJ;NOM;PL
artilleri	артиллерийский	artilleri	артиллерийский	N;INDF;NEUT;SG	ADJ;NOM;MASC;SG
lagre	спасти	lagre	спасти	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
lagre	сохранять	lagre	сохранять	N;INDF;NEUT;SG	V;IPFV;NFIN;ACT
lagre	сохранить	lagre	сохранить	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
lagre	сохраните	lagre	сохранить	N;INDF;NEUT;SG	V;PFV;IMP;PL;2;FUT;FIN;ACT
kyst	береговая	kyst	береговой	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG
illustrasjon	иллюстрации	illustrasjon	иллюстрация	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
deltagere	участников	deltagere	участник	N;INDF;MASC;SG	N;ANIM;GEN;MASC;PL
deltagere	участники	deltagere	участник	N;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
oppfatter	воспринимают	oppfatter	воспринимать	N;INDF;FEM;PL	V;IPFV;IND;PL;3;PRS;FIN;ACT
splittet	разделились	splitt	разделиться	N;DEF;NEUT;SG	V;PFV;IND;PL;PST;FIN;MID
varm	горячие	varm	горячий	ADJ;INDF;SG	ADJ;NOM;PL
varm	hot	varm	hot	ADJ;INDF;SG	PROPN
varm	горячо	varm	горячо	ADJ;INDF;SG	ADV
varm	теплые	varm	теплый	ADJ;INDF;SG	ADJ;NOM;PL
mekanisk	механические	mekanisk	механический	ADJ;INDF;NEUT;SG	ADJ;NOM;PL
mekanisk	механических	mekanisk	механический	ADJ;INDF;NEUT;SG	ADJ;GEN;PL
helgen	выходные	helg	выходной	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
helgen	святой	helg	святой	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
helgen	сен	helg	сен	N;INDF;MASC;SG	
helgen	святая	helg	святой	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
terreng	местности	terreng	местность	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
uro	беспорядков	uro	беспорядки	N;INDF;FEM;SG	N;INAN;GEN;MASC;PL
uro	беспорядки	uro	беспорядки	N;INDF;FEM;SG	N;INAN;NOM;MASC;PL
uro	волнения	uro	волнение	N;INDF;FEM;SG	N;INAN;NOM;NEUT;PL
arkeologisk	археологических	arkeologisk	археологический	ADJ;INDF;NEUT;SG	ADJ;GEN;PL
xiv	xiv	xiv	xiv	N;INDF;MASC	NUM
gene	джин	gene	джин	N	PART
ammunisjon	боеприпасов	ammunisjon	боеприпас	N;INDF;MASC;SG	N;INAN;GEN;MASC;PL
ammunisjon	боеприпасы	ammunisjon	боеприпас	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
ammunisjon	патроны	ammunisjon	патрон	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
ammunisjon	боеприпасы	ammunisjon	боеприпас	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
kiss	kiss	kiss	kiss	N;INDF;MASC;SG	PROPN
kiss	целуй	kiss	целуй	N;INDF;MASC;SG	V;IPFV;IMP;SG;2;FIN;ACT
annonsert	объявлено	annonsere	объявить	ADJ;INDF;SG;V.PTCP	V;PFV;NEUT;SG;PST;V.PTCP;PASS
annonsert	объявили	annonsere	объявить	ADJ;INDF;SG;V.PTCP	V;PFV;IND;PL;PST;FIN;ACT
