les	the	le	the	DET;DEF;PL	PROPN
est	east	être	east	V;IND;SG;3;PRS;FIN	PROPN
est	timur	être	timur	V;IND;SG;3;PRS;FIN	N;SG
une	satu	un	satu	DET;INDF;FEM;SG	NUM
une	one	un	one	DET;INDF;FEM;SG	PROPN
catégorie	kategori	catégorie	kategori	N;FEM;SG	PROPN;SG
qui	siapa	qui	siapa	PRO	PRO
qui	who	qui	who	PRO	PROPN
que	that	que	that	CONJ	PROPN
que	itu	que	itu	CONJ	DET
que	yang	que	yang	CONJ	PRO
son	sound	son	sound	DET;MASC;SG	PROPN
son	suara	son	suara	DET;MASC;SG	PROPN;SG
son	his	son	his	DET;MASC;SG	PROPN
son	nya	son	nya	DET;MASC;SG	PRO
son	menta	son	menta	DET;MASC;SG	
son	its	son	its	DET;MASC;SG	PROPN
plus	ditambah	plus	ditambah	ADV	V;SG;PASS
plus	plus	plus	plus	ADV	PROPN
plus	selengkapnya	plus	selengkap	ADV	N;SG
plus	lainnya	plus	lainnya	ADV	N
pas	not	pas	not	ADV;NEG	PROPN
pas	bukan	pas	bukan	ADV;NEG	PART;NEG
pas	tidak	pas	tidak	ADV;NEG	PART;NEG
sont	are	être	are	V;IND;PL;3;PRS;FIN	PROPN
elle	she	elle	she	PRO;FEM;SG;3	PROPN
elle	elle	elle	elle	PRO;FEM;SG;3	PROPN
été	summer	être	summer	V;MASC;SG;PST;V.PTCP	PROPN
avancement	progress	avancement	progress	N;MASC;SG	PROPN
comme	suka	comme	suka	ADP	V;SG
comme	sukai	comme	sukai	ADP	ADJ;SG
comme	like	comme	like	ADP	PROPN
mais	tapi	mais	tapi	CONJ	CONJ
mais	tetapi	mais	tetapi	CONJ	CONJ
pop	pops	pop	pops	N;FEM;SG	PROPN
pop	pap	pop	pap	N;FEM;SG	PROPN
pop	pop	pop	pop	N;FEM;SG	PROPN
deux	two	deux	two	NUM	PROPN
ses	his	son	his	DET;MASC;PL	PROPN
ses	nya	son	nya	DET;MASC;PL	PRO
ses	ses	son	ses	DET;MASC;PL	PROPN
ses	menta	son	menta	DET;MASC;PL	
ses	its	son	its	DET;MASC;PL	PROPN
naissance	naissance	naissance	naissance	N;FEM;SG	PROPN
naissance	born	naissance	born	N;FEM;SG	PROPN
naissance	lahir	naissance	lahir	N;FEM;SG	V;SG;ACT
naissance	terlahir	naissance	terlahir	N;FEM;SG	V;SG;PASS
naissance	dilahirkan	naissance	dilahirkan	N;FEM;SG	V;SG;PASS
naissance	lahir	naissance	lahir	N;FEM;SG	V;SG;ACT
france	prancis	france	prancis	N;FEM;SG	PROPN;SG
france	france	france	france	N;FEM;SG	PROPN
france	perancis	france	perancis	N;FEM;SG	PROPN;SG
saint	suci	saint	suci	PROPN	ADJ;SG
saint	kudus	saint	kudus	PROPN	PROPN;SG
saint	holy	saint	holy	PROPN	PROPN
saint	santo	saint	santo	PROPN	PROPN
saint	saint	saint	saint	PROPN	PROPN
après	sesudah	après	sesudah	ADP	CONJ
après	after	après	after	ADP	PROPN
fait	made	faire	made	V;MASC;SG;PST;V.PTCP	PROPN
fait	selesai	faire	selesai	V;MASC;SG;PST;V.PTCP	ADV;SG
fait	beres	faire	beres	V;MASC;SG;PST;V.PTCP	
fait	done	faire	done	V;MASC;SG;PST;V.PTCP	PROPN
notes	catatan	note	catatan	N;FEM;PL	N;SG
notes	notes	note	notes	N;FEM;PL	PROPN
sous	under	sous	under	ADP	PROPN
même	even	même	even	ADV	PROPN
même	genap	même	genap	ADV	
même	bahkan	même	bahkan	ADV	CONJ
même	same	même	same	ADV	PROPN
être	being	être	being	V;NFIN	PROPN
être	menjadi	être	menjadi	V;NFIN	V;SG;ACT
français	français	français	français	ADJ;MASC;SG	PROPN
français	prancis	français	prancis	ADJ;MASC;SG	PROPN;SG
français	perancis	français	perancis	ADJ;MASC;SG	PROPN;SG
ont	telah	avoir	telah	V;IND;PL;3;PRS;FIN	ADV
ont	memiliki	avoir	menmiliki	V;IND;PL;3;PRS;FIN	V;SG;ACT
ont	miliki	avoir	miliki	V;IND;PL;3;PRS;FIN	V;SG;ACT
paris	paris	pari	paris	N;MASC;PL	PROPN
lui	him	lui	him	PRO;SG;3	PROPN
lieu	tempatkan	lieu	tempatkan	N;MASC;SG	V;SG;ACT
lieu	place	lieu	place	N;MASC;SG	PROPN
cet	ini	ce	ini	PRO;SG;3	DET
autres	lain	autre	lain	PRO;PL	ADJ;SG
autres	lainnya	autre	lainnya	PRO;PL	N
autres	lain	autre	lain	PRO;PL	ADJ;SG
autres	lainnya	autre	lainnya	PRO;PL	N
décès	death	décès	death	N;MASC;SG	PROPN
décès	maut	décès	maut	N;MASC;SG	PROPN;SG
décès	mati	décès	mati	N;MASC;SG	ADJ;SG
références	referensi	référence	referensi	N;FEM;PL	N;SG
références	rujukan	référence	rujukan	N;FEM;PL	N;SG
liens	taut	lien	taut	N;MASC;PL	N;SG
liens	pranala	lien	pranala	N;MASC;PL	N;SG
liens	tautan	lien	tautan	N;MASC;PL	N;SG
liens	links	lien	links	N;MASC;PL	PROPN
était	euy	être	euy	V;IND;SG;3;IPFV;FIN	PROPN
était	was	être	was	V;IND;SG;3;IPFV;FIN	PROPN
commune	common	commune	common	N;FEM;SG	PROPN
ville	town	ville	town	N;FEM;SG	PROPN
ville	city	ville	city	N;FEM;SG	PROPN
jean	jean	jean	jean	PROPN	PROPN
jean	john	jean	john	PROPN	PROPN
jean	yohanes	jean	yohanes	PROPN	PROPN
date	tgl	date	tgl	N;FEM;SG	PROPN
cest	cest	cest	cest		PROPN
peut	may	pouvoir	may	V;IND;SG;3;PRS;FIN	PROPN
peut	mei	pouvoir	mei	V;IND;SG;3;PRS;FIN	PROPN;SG
peut	dapat	pouvoir	dapat	V;IND;SG;3;PRS;FIN	ADV;SG;ACT
peut	can	pouvoir	can	V;IND;SG;3;PRS;FIN	PROPN
peut	bisa	pouvoir	bisa	V;IND;SG;3;PRS;FIN	ADV
depuis	since	depuis	since	ADP	PROPN
première	premiere	premier	premiere	ADJ;FEM;SG	PROPN
première	premier	premier	premier	ADJ;FEM;SG	PROPN
première	pertama	premier	pertama	ADJ;FEM;SG	NUM
première	duluan	premier	duluan	ADJ;FEM;SG	
première	dulu	premier	dulu	ADJ;FEM;SG	N
première	first	premier	first	ADJ;FEM;SG	PROPN
ans	ans	an	ans	N;MASC;PL	PROPN
ans	tahun	an	tahun	N;MASC;PL	N;SG
alors	lalu	alors	lalu	ADV	CONJ;SG
alors	maka	alors	maka	ADV	CONJ
externes	eksternal	externe	eksternal	ADJ;MASC;PL	N
site	site	site	site	N;MASC;SG	PROPN
premier	premier	premier	premier	ADJ;MASC;SG	PROPN
premier	pertama	premier	pertama	ADJ;MASC;SG	NUM
premier	duluan	premier	duluan	ADJ;MASC;SG	
