길버트	gilbert	길버트	gilbert		N;MASC;SG
안드레	andre	안드레	andre	PROPN	N;MASC;SG
안드레	andré	안드레	andré	PROPN	PROPN
안드레	andré	안드레	andré	PROPN	PROPN
로버스	rovers	로버스	rovers	PROPN	N;MASC;PL
펭귄	pingouins	증+ㄴ	pingouin		N;MASC;PL
펭귄	manchots	증+ㄴ	manchot		N;MASC;PL
펭귄	manchot	증+ㄴ	manchot		N;MASC;SG
펭귄	pingouin	증+ㄴ	pingouin		N;MASC;SG
펭귄	manchots	증+ㄴ	manchot		N;MASC;PL
펭귄	pingouins	증+ㄴ	pingouin		N;MASC;PL
물류	logistique	물류	logistique	N	ADJ;MASC;SG
루터교	luthérienne	루터교	luthérien	PROPN	ADJ;FEM;SG
마키노	makino	마키노	makino		PROPN
다이토	taito	다이토	taito		PROPN
조수	tide	조수	tide		V
조수	marée	조수	marée		N;FEM;SG
조수	assistant	조수	assistant		N;MASC;SG
조수	adjointe	조수	adjoint		N;FEM;SG
조수	adjoint	조수	adjoint		N;MASC;SG
조수	assistante	조수	assistant		N;FEM;SG
아카이브	archivage	아카이브	archivage		N;MASC;SG
아카이브	archiver	아카이브	archiver		V;NFIN
아카이브	archive	아카이브	archive		N;FEM;SG
아카이브	archives	아카이브	archive		N;FEM;PL
정착	réglés	정착	réglé	N	V;MASC;PL;PST;V.PTCP
정착	réglé	정착	régler	N	V;MASC;SG;PST;V.PTCP
다이렉트	directe	다이렉트	direct	N	ADJ;FEM;SG
다이렉트	directement	다이렉트	directement	N	ADV
다이렉트	direct	다이렉트	direct	N	ADJ;MASC;SG
다이렉트	directs	다이렉트	direct	N	ADJ;MASC;PL
희생	sacrifié	희생	sacrifier	N	V;MASC;SG;PST;V.PTCP
희생	sacrifier	희생	sacrifier	N	V;NFIN
도박	jeu	도박	jeu		N;MASC;SG
도박	parier	도박	parier		V;NFIN
도박	pari	도박	pari		N;MASC;SG
도박	gamble	도박	gamble		PROPN
캔버라	canberra	캔버라	canberra	PROPN	PROPN
아름다워	beau	아름답+어	beau		ADJ;MASC;SG
아름다워	superbe	아름답+어	superbe		ADJ;MASC;SG
아름다워	magnifiques	아름답+어	magnifique		ADJ;MASC;PL
아름다워	magnifique	아름답+어	magnifique		ADJ;MASC;SG
아름다워	belle	아름답+어	beau		ADJ;FEM;SG
점원	commis	점원	commettre		V;MASC;SG;PST;V.PTCP
점원	clerc	점원	clerc		N;MASC;SG
점원	greffier	점원	greffier		N;MASC;SG
점원	commis	점원	commettre		V;MASC;SG;PST;V.PTCP
발급	émis	발급	émettre	N	V;MASC;SG;PST;V.PTCP
발급	émises	발급	émettre	N	V;FEM;PL;PST;V.PTCP
발급	délivrés	발급	délivrer	N	V;MASC;PL;PST;V.PTCP
발급	émise	발급	émettre	N	V;FEM;SG;PST;V.PTCP
발급	délivré	발급	délivrer	N	V;MASC;SG;PST;V.PTCP
스윙	balancer	스페	balancer		V;NFIN
스윙	balançoire	스페	balançoire		N;FEM;SG
스윙	swing	스페	swing		N;MASC;SG
터키어	turques	터키+어	turc		ADJ;FEM;PL
터키어	turque	터키+어	turc		ADJ;FEM;SG
터키어	turc	터키+어	turc		ADJ;MASC;SG
터키어	turcs	터키+어	turc		N;MASC;PL
그레그	greg	그레그	greg		PROPN
그레그	gregg	그레그	gregg		PROPN
테러리스트	terroriste	테러리스트	terroriste	N	ADJ;MASC;SG
하단	fond	하단	fond		N;MASC;SG
충격	choquante	충격	choquante	N	ADJ;FEM;SG
충격	choquer	충격	choquer	N	V;NFIN
충격	choquant	충격	choquant	N	ADJ;MASC;SG
충격	choquantes	충격	choquant	N	ADJ;FEM;PL
충격	choquer	충격	choquer	N	V;NFIN
충격	choqué	충격	choquer	N	V;MASC;SG;PST;V.PTCP
충격	choqués	충격	choquer	N	V;MASC;PL;PST;V.PTCP
충격	choquée	충격	choquer	N	V;FEM;SG;PST;V.PTCP
교차	croisée	교차	croisé		V;FEM;SG;PST;V.PTCP
교차	croix	교차	croix		N;FEM;SG
교차	traverser	교차	traverser		V;NFIN
교차	croisé	교차	croisé		V;MASC;SG;PST;V.PTCP
교차	croisement	교차	croisement		N;MASC;SG
교차	intersection	교차	intersection		N;FEM;SG
교차	carrefour	교차	carrefour		N;MASC;SG
코로나	corona	코로나	corona		PROPN
부두	vaudou	부두	vaudou		N;MASC;SG
부두	pier	부두	pier		PROPN
부두	jetée	부두	jeter		V;FEM;SG;PST;V.PTCP
부두	embarcadère	부두	embarcadère		N;MASC;SG
슬라이드	glissières	슬라이드	glissier		N;FEM;PL
슬라이드	diapositives	슬라이드	diapositif		N;FEM;PL
슬라이드	slide	슬라이드	slide		N;MASC;SG
슬라이드	glisser	슬라이드	glisser		V;NFIN
슬라이드	glisse	슬라이드	glisse		N;FEM;SG
슬라이드	manège	슬라이드	manège		N;MASC;SG
슬라이드	carrousel	슬라이드	carrousel		N;MASC;SG
잠재적	potentiels	잠재+적	potentiel	N	ADJ;MASC;PL
잠재적	potentielle	잠재+적	potentiel	N	ADJ;FEM;SG
검정색	noire	검정색	noir		ADJ;FEM;SG
검정색	black	검정색	black		ADJ;MASC;SG
검정색	noires	검정색	noir		ADJ;FEM;PL
검정색	noir	검정색	noir		N;MASC;SG
검정색	noirs	검정색	noir		ADJ;MASC;PL
애슬레틱	athlétique	애슬레틱	athlétique	PROPN	ADJ;MASC;SG
애슬레틱	athlétisme	애슬레틱	athlétisme	PROPN	N;MASC;SG
풍자	satirique	풍자	satirique	N	ADJ;MASC;SG
풍자	satirique	풍자	satirique	N	ADJ;MASC;SG
간디	hépatique	간디	hépatique		ADJ;MASC;SG
간디	foies	간디	foie		N;MASC;PL
간디	foie	간디	foie		N;MASC;SG
간디	hépatiques	간디	hépatique		ADJ;MASC;PL
쓰루미	tsurumi	쓰루미	tsurumi	N	PROPN
가속	accélérés	가속	accéléré	N	V;MASC;PL;PST;V.PTCP
가속	accélérée	가속	accélérer	N	V;FEM;SG;PST;V.PTCP
가속	accéléré	가속	accélérer	N	V;MASC;SG;PST;V.PTCP
테크노	techno	테크노	techno		N;MASC;SG
노스웨스트	northwest	노스웨스트	northwest	PROPN	PROPN
상속	hérite	상속	hériter	N	V;IND;SG;3;PRS;FIN
크리스토프	kristoff	크리스토프	kristoff	PROPN	N;MASC;SG
버디	pote	버디	pote		N;MASC;SG
버디	copain	버디	copain		N;MASC;SG
버디	buddy	버디	buddy		PROPN
시어도어	theodore	시어도+어	theodore		N;MASC;SG
시어도어	théodore	시어도+어	théodore		N;MASC;SG
조종	manipuler	조종	manipuler	N	V;NFIN
보헤미아	bohême	보헤미아	bohême	PROPN	ADJ;MASC;SG
간략하게	brièvement	간략+하+게	brièvement	CONJ	ADV
휠체어	fauteuil	휠체어	fauteuil		N;MASC;SG
럭키	chanceux	럭키	chanceux		ADJ;MASC;SG
럭키	chanceuse	럭키	chanceur		ADJ;FEM;SG
럭키	lucky	럭키	lucky		PROPN
럭키	veinard	럭키	veinard		N;MASC;SG
미타	mita	미타	mita		PROPN
인스턴트	instantané	인스턴트	instantané		ADJ;MASC;SG
인스턴트	instantanée	인스턴트	instantané		ADJ;FEM;SG
인스턴트	instant	인스턴트	instant		N;MASC;SG
인스턴트	instantanés	인스턴트	instantané		ADJ;MASC;PL
애틀랜틱	atlantique	애틀랜틱	atlantique		ADJ;MASC;SG
호놀룰루	honolulu	호놀루+ㄹ	honolulu	PROPN	PROPN
쇼크	choquer	쇼크	choquer	N	V;NFIN
아바나	havane	아바+나	havane	PROPN	N;FEM;SG
가와카미	kawakami	가와카미	kawakami		PROPN
나이로비	nairobi	나이로비	nairobi	PROPN	PROPN
셰퍼드	berger	셰퍼드	berger		N;MASC;SG
셰퍼드	bergers	셰퍼드	berger		N;MASC;PL
셰퍼드	shepherd	셰퍼드	shepherd		PROPN
그라나다	grenade	그라나다	grenade	PROPN	N;FEM;SG
그라나다	granada	그라나다	granada	PROPN	PROPN
루키	lou	루키	lou		
부드럽게	douce	부드럽+게	doux		ADJ;FEM;SG
부드럽게	doux	부드럽+게	doux		ADJ;MASC;SG
부드럽게	douceur	부드럽+게	douceur		N;FEM;SG
부드럽게	douces	부드럽+게	doux		ADJ;FEM;PL
부드럽게	tendre	부드럽+게	tendre		V;NFIN
부드럽게	soft	부드럽+게	soft		N;MASC;SG
부드럽게	lisser	부드럽+게	lisser		V;NFIN
부드럽게	lisses	부드럽+게	lisse		ADJ;MASC;PL
부드럽게	lisse	부드럽+게	lisse		ADJ;FEM;SG
부드럽게	délicatement	부드럽+게	délicatement		ADV
부드럽게	doucement	부드럽+게	doucement		ADV
묘사	descriptif	묘사	descriptif	N	ADJ;MASC;SG
제미니	gémeaux	제미+니	gémeau		N;MASC;PL
제미니	gemini	제미+니	gemini		PROPN
미란다	miranda	미라+ㄴ다	miranda		PROPN
항만	harbor	항만	harbor		PROPN
트랜지스터	transistors	트랜지스터	transistor		N;MASC;PL
트랜지스터	transistor	트랜지스터	transistor		N;MASC;SG
세이	essai	세이	essai		N;MASC;SG
코발트	cobalt	코발트	cobalt		N;MASC;SG
차이점	différence	차이점	différence		N;FEM;SG
차이점	diff	차이점	diff		
차이점	différence	차이점	différence		N;FEM;SG
차이점	différences	차이점	différence		N;FEM;PL
논리학	logique	논리학	logique	N	ADJ;FEM;SG
논리학	logiques	논리학	logique	N	ADJ;MASC;PL
버틀러	butler	버틀러	butler		PROPN
버틀러	majordome	버틀러	majordome		N;MASC;SG
마르셀	marcelle	마르+고	marcelle	PROPN	N;FEM;SG
마르셀	marcel	마르+고	marcel	PROPN	N;MASC;SG
이니셜	initiale	이니+처	initial		ADJ;FEM;SG
이니셜	initial	이니+처	initial		ADJ;MASC;SG
이니셜	initiales	이니+처	initial		ADJ;FEM;PL
이니셜	initiales	이니+처	initial		ADJ;FEM;PL
일치	matches	일치	match		N;MASC;PL
일치	correspondances	일치	correspondance		N;FEM;PL
일치	matchs	일치	match		N;MASC;PL
일치	allumettes	일치	allumette		N;FEM;PL
일치	appariement	일치	appariement		N;MASC;SG
일치	adéquation	일치	adéquation		N;FEM;SG
일치	correspondance	일치	correspondance		N;FEM;SG
일치	correspondant	일치	correspondre		V;PRS;V.PTCP
일치	correspondance	일치	correspondance		N;FEM;SG
일치	allumette	일치	allumette		N;FEM;SG
일치	match	일치	match		N;MASC;SG
일치	assorti	일치	assorti		V;MASC;SG;PST;V.PTCP
모리야마	moriyama	모리야마	moriyama		PROPN
성숙한	maturité	성숙+하+ㄴ	maturité	V	N;FEM;SG
성숙한	mûr	성숙+하+ㄴ	mûr	V	ADJ;MASC;SG
성숙한	mûres	성숙+하+ㄴ	mûre	V	ADJ;FEM;PL
성숙한	mûre	성숙+하+ㄴ	mûre	V	ADJ;FEM;SG
성숙한	mature	성숙+하+ㄴ	mature	V	ADJ;FEM;SG
갈라타사라이	galatasaray	갈라타사라이	galatasaray		PROPN
나오코	naoko	나오코	naoko		PROPN
비정상적인	anormale	비정상+적+이+ㄴ	anormal	V	ADJ;FEM;SG
비정상적인	anormal	비정상+적+이+ㄴ	anormal	V	ADJ;MASC;SG
비정상적인	anomalie	비정상+적+이+ㄴ	anomalie	V	N;FEM;SG
비정상적인	anormaux	비정상+적+이+ㄴ	anormal	V	ADJ;MASC;PL
코스트	côte	코스트	côte		N;FEM;SG
바스크	basque	바스크	basque	PROPN	ADJ;MASC;SG
켈러	keller	켈러	keller		PROPN
비너스	venus	비너스	venir		V;MASC;PL;PST;V.PTCP
비너스	vénus	비너스	vénu		PROPN
손상	endommagé	손상	endommager	N	V;MASC;SG;PST;V.PTCP
손상	endommagées	손상	endommager	N	V;FEM;PL;PST;V.PTCP
손상	endommagés	손상	endommager	N	V;MASC;PL;PST;V.PTCP
손상	abîmés	손상	abîmer	N	V;MASC;PL;PST;V.PTCP
손상	abîmé	손상	abîmer	N	V;MASC;SG;PST;V.PTCP
손상	endommagée	손상	endommager	N	V;FEM;SG;PST;V.PTCP
손상	dommage	손상	dommage	N	INTJ
소매	détail	소매	détail		N;MASC;SG
소매	manchons	소매	manchon		N;MASC;PL
소매	manches	소매	manche		N;FEM;PL
소매	manchon	소매	manchon		N;MASC;SG
소매	manches	소매	manche		N;FEM;PL
소매	manche	소매	manche		N;FEM;SG
인피니티	infinité	인피니티	infinité		N;FEM;SG
인피니티	infinity	인피니티	infinity		PROPN
인피니티	infini	인피니티	infini		PROPN
호흡	respire	호흡	respirer	N	V;IND;SG;3;PRS;FIN
호흡	respirer	호흡	respirer	N	V;NFIN
호흡	respiratoire	호흡	respiratoire	N	ADJ;MASC;SG
호흡	respiratoires	호흡	respiratoire	N	ADJ;MASC;PL
호흡	respirer	호흡	respirer	N	V;NFIN
경쟁력	compétitif	경쟁력	compétitif	N	ADJ;MASC;SG
경쟁력	concurrentiel	경쟁력	concurrentiel	N	ADJ;MASC;SG
경쟁력	concurrentielle	경쟁력	concurrentiel	N	ADJ;FEM;SG
경쟁력	compétitifs	경쟁력	compétitif	N	ADJ;MASC;PL
불완전한	imparfaite	불완전+하+ㄴ	imparfait	V	ADJ;FEM;SG
불완전한	imparfait	불완전+하+ㄴ	imparfait	V	ADJ;MASC;SG
캐럴	carol	캐+아+내+ㄹ	carol		PROPN
캐럴	carole	캐+아+내+ㄹ	carole		N;FEM;SG
캐럴	carroll	캐+아+내+ㄹ	carroll		PROPN
파이브	five	파이브	five		PROPN
파이브	cinq	파이브	cinq		NUM
긴자	ginza	긴자	ginza		PROPN
루피	roupies	루피	roupie		N;FEM;PL
루피	roupie	루피	roupie		N;FEM;SG
사라예보	sarajevo	사라예보	sarajevo	PROPN	PROPN
모닝	matin	모닝	matin		N;MASC;SG
모닝	morning	모닝	morning		PROPN
모닝	matinée	모닝	matiné		V;FEM;SG;PST;V.PTCP
모닝	matinale	모닝	matinal		ADJ;FEM;SG
카린	karine	카리+ㄴ	karine		N;FEM;SG
카린	karin	카리+ㄴ	karin		PROPN
페루자	pérouse	페루+자	pérouse	PROPN	PROPN
악당	méchant	악당	méchant		ADJ;MASC;SG
악당	scélérat	악당	scélérat		ADJ;MASC;SG
악당	vilain	악당	vilain		ADJ;MASC;SG
인디언스	indiens	인디언스	indien	PROPN	ADJ;MASC;PL
사노	sano	사노	sano		PROPN
보르네오	bornéo	보르네오	bornéo	PROPN	PROPN
합법적인	légitime	합법+적+이+ㄴ	légitime	V	ADJ;MASC;SG
합법적인	juridique	합법+적+이+ㄴ	juridique	V	ADJ;MASC;SG
합법적인	légal	합법+적+이+ㄴ	légal	V	ADJ;MASC;SG
합법적인	légales	합법+적+이+ㄴ	légal	V	ADJ;FEM;PL
합법적인	légale	합법+적+이+ㄴ	légal	V	ADJ;FEM;SG
나미비아	namibie	나미비아	namibie	PROPN	PROPN
나미비아	namibienne	나미비아	namibien	PROPN	ADJ;FEM;SG
나미비아	namibien	나미비아	namibien	PROPN	ADJ;MASC;SG
휴식	briser	휴식	briser	N	V;NFIN
휴식	reposant	휴식	reposer	N	V;PRS;V.PTCP
휴식	repos	휴식	repos	N	ADJ;MASC;SG
휴식	repose	휴식	reposer	N	V;IND;SG;3;PRS;FIN
리코	ricoh	리코	ricoh		PROPN
북극	arctique	북극	arctique		ADJ;MASC;SG
똑바로	hétéro	똑바로	hétéro		N;MASC;SG
캘거리	calgary	캘거리	calgary	PROPN	PROPN
친절한	aimable	친절+하+ㄴ	aimable	V	ADJ;MASC;SG
로테르담	rotterdam	로테르담	rotterdam	PROPN	PROPN
