que	te	que	te	PRO	V;DEF;IND;SG;1;PRS;FIN;ACT
a	az	o	az	DET	
o	az	o	az	DET	
non	nem	non	nem	PART	ADV
non	don	non	don	PART	
os	az	o	az	DET	
se	te	se	te	CONJ	V;DEF;IND;SG;1;PRS;FIN;ACT
para	for	para	for	ADP	
por	for	por	for	ADP	
por	miért	por	miért	ADP	ADV
por	kérem	por	kér	ADP	V;DEF;IMP;SG;3;PRS;FIN;ACT
por	kérlek	por	kérl	ADP	V;DEF;IMP;SG;1;PRS;FIN;ACT
do	az	do	az	PROPN	
do	től	do	től	PROPN	
do	tól	do	tól	PROPN	
do	from	do	from	PROPN	
da	az	da	az	V	
da	től	da	től	V	
da	tól	da	tól	V	
da	from	da	from	V	
as	az	o	az	DET	
como	hogyan	como	hogyan	PRO	ADV
como	mint	como	mint	PRO	CONJ
como	like	como	lik	PRO	
como	tetszik	como	tetszik	PRO	V;INDF;IND;SG;3;PRS;FIN;ACT
máis	több	máis	több	ADV	DET;INDF
máis	more	máis	more	ADV	
máis	további	máis	további	ADV	N;NOM;SG
máis	tobb	máis	tobb	ADV	
máis	legtöbb	máis	legtöbb	ADV	
no	az	no	az	V	
ben	jó	ben	jó	ADV	
ben	hát	ben	hát	ADV	
ben	mindegyik	ben	mindegyik	ADV	
ben	mind	ben	mind	ADV	CONJ
ben	minden	ben	minden	ADV	PRO;NOM;SG;3
si	igen	si	igen	ADV	
si	igen	si	igen	ADV	
na	az	na	az	N	
con	with	con	with	ADP	
ao	az	ao	az	PROPN	
son	ők	ser	ők	V	PRO;NOM;PL;3
á	az	á	az	N	
hai	ott	haber	ott	V	ADV
todo	mindegyik	todo	mindegyik	DET	
todo	mind	todo	mind	DET	CONJ
todo	minden	todo	minden	DET	PRO;NOM;SG;3
todo	mindent	todo	minden	DET	
todo	minden	todo	minden	DET	PRO;NOM;SG;3
cando	mikor	cando	mikor	PRO	ADV
cando	amikor	cando	amikor	PRO	ADV
cando	te	cando	te	PRO	V;DEF;IND;SG;1;PRS;FIN;ACT
xa	máris	xa	máris	ADV	
xa	te	xa	te	ADV	V;DEF;IND;SG;1;PRS;FIN;ACT
dos	től	dos	től	PROPN	
dos	tól	dos	tól	PROPN	
dos	from	dos	from	PROPN	
dos	az	dos	az	PROPN	
ti	te	ti	te		V;DEF;IND;SG;1;PRS;FIN;ACT
só	kizárólag	só	kizárólag	ADV	
así	mint	así	mint	ADV	CONJ
así	like	así	lik	ADV	
así	tetszik	así	tetszik	ADV	V;INDF;IND;SG;3;PRS;FIN;ACT
así	ezt	así	ez	ADV	PRO;ACC;SG;3
así	ez	así	ez	ADV	PRO;NOM;SG;3
así	ez	así	ez	ADV	PRO;NOM;SG;3
¿	hogyan	¿	hogyan		ADV
¿	miért	¿	miért		ADV
¿	te	¿	te		V;DEF;IND;SG;1;PRS;FIN;ACT
onde	hol	onde	hol	PRO	ADV
onde	ahol	onde	ahol	PRO	ADV
el	neki	el	ő	PRO	
era	volt	ser	van	V	V;INDF;IND;SG;3;PST;FIN;ACT
nos	az	nos	az	PRO	
esta	ezt	este	ez	DET	PRO;ACC;SG;3
esta	ez	este	ez	DET	PRO;NOM;SG;3
esta	este	este	este	DET	ADV
nada	bármit	nada	bármit	PRO	
nada	bármi	nada	bármi	PRO	
algo	valami	algo	valami	PRO	
algo	valamit	algo	valamit	PRO	
algo	bármit	algo	bármit	PRO	
algo	bármi	algo	bármi	PRO	
algo	néhány	algo	néhány	PRO	DET;INDF
todos	mindegyik	todo	mindegyik	DET	
todos	mind	todo	mind	DET	CONJ
todos	minden	todo	minden	DET	PRO;NOM;SG;3
todos	minden	todo	minden	DET	PRO;NOM;SG;3
todos	mindenki	todo	mindenki	DET	
todos	mindenkinek	todo	mindenki	DET	
este	ezt	este	ez	DET	PRO;ACC;SG;3
este	ez	este	ez	DET	PRO;NOM;SG;3
este	ez	este	ez	DET	PRO;NOM;SG;3
