mekaniği	mehāniķi	mekanik	mehāniķis	N;NOM;SG;3	N;NOM;MASC;PL
depo	noliktavā	depo	noliktava		N;ESS;FEM;SG
depo	noliktava	depo	noliktava		N;NOM;FEM;SG
depo	uzglabāšana	depo	uzglabāšana		N;NOM;FEM;SG
depo	glabāšana	depo	glabāšana		N;NOM;FEM;SG
depo	krātuves	depo	krātuve		N;NOM;FEM;PL
depo	krātuve	depo	krātuve		N;NOM;FEM;SG
nişan	mērķis	nişan	mērķis		N;NOM;MASC;SG
nişan	aprīlis	nişan	aprīlis		N;NOM;MASC;SG
nişan	aprīlī	nişan	aprīlis		N;ESS;MASC;SG
nişan	aprīļa	nişan	aprīlis		N;GEN;MASC;SG
nişan	iesaistīšanās	nişan	iesaistīšanās		N;NOM;FEM;SG
nişan	iesaiste	nişan	iesaiste		N;NOM;FEM;SG
burton	burton	burton	burton		
başlıkları	virsraksti	başlık	virsraksts	N;ACC;PL;3	N;NOM;MASC;PL
başlıkları	virsrakstos	başlık	virsraksts	N;ACC;PL;3	N;ESS;MASC;PL
hac	svētceļojums	hac	svētceļojums		N;NOM;MASC;SG
hac	hadžs	hac	hadžs		N;NOM;MASC;SG
planlı	plānota	planlı	plānot		V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
planlı	plānots	planlı	plānot		V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
planlı	plānotie	planlı	plānot		V;PFV;NOM;DEF;MASC;PL;PST;V.PTCP
planlı	plānotais	planlı	plānot		V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
planlı	plānota	planlı	plānot		V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
planlı	plānoto	planlı	plānot		V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP
planlı	plānots	planlı	plānot		V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
planlı	plānotie	planlı	plānot		V;PFV;NOM;DEF;MASC;PL;PST;V.PTCP
planlı	plānotās	planlı	plānot		V;PFV;NOM;DEF;FEM;PL;PST;V.PTCP
çerçeve	rāmji	çerçev	rāmis	N;NOM;SG;3	N;NOM;MASC;PL
çerçeve	rāmja	çerçev	rāmis	N;NOM;SG;3	N;GEN;MASC;SG
çerçeve	rāmi	çerçev	rāmi	N;NOM;SG;3	ADV
artı	arti	artı	arte		
artı	plus	artı	plus		
artı	pluss	artı	pluss		N;NOM;MASC;SG
protokol	protokolā	protokol	protokols		N;ESS;MASC;SG
protokol	protokols	protokol	protokols		N;NOM;MASC;SG
edinburgh	edinburgas	edinburgh	edinburga	PROPN;NOM;SG;3	N;NOM;FEM;PL
tanımlama	definēšana	tanımla	definēšana	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;FEM;SG
tanımlama	definīcija	tanımla	definīcija	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;FEM;SG
tanımlama	definēšana	tanımla	definēšana	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;FEM;SG
tanımlama	identifikācijas	tanımla	identifikācija	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;FEM;PL
tanımlama	identifikācija	tanımla	identifikācija	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;FEM;SG
tanımlama	identificēšana	tanımla	identificēšana	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;FEM;SG
tanımlama	apraksts	tanımla	apraksts	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;MASC;SG
rovers	rovers	rovers	rovers		N;NOM;MASC;SG
yatan	izdēšanas	yat	izdēšana		N;NOM;FEM;PL
disiplin	disciplīnu	dis	disciplīna	N;NOM;SG;3	N;ACC;MASC;SG
tutulması	aptumsums	tut	aptumsums	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;NOM;MASC;SG
torres	torres	torres	torre	PROPN;NOM;SG;3	
kompleks	komplekss	kompleks	komplekss		N;NOM;MASC;SG
kompleks	sarežģīts	kompleks	sarežģīts		ADJ;NOM;MASC;SG
kompleks	kompleksā	kompleks	komplekss		N;ESS;MASC;SG
kompleks	sarežģīti	kompleks	sarežģīti		ADV
kompleks	sarežģīta	kompleks	sarežģīta		ADJ;NOM;FEM;SG
nevada	nevada	neva	nevadīt	PROPN;NOM;SG;3	
eskimo	eskimosi	eskimo	eskimosi		N;NOM;MASC;PL
eskimo	inuītu	eskimo	inuīt		N;ACC;MASC;SG
eskimo	iglu	eskimo	igla		N;ACC;FEM;SG
ekvador	ekvadora	ekvador	ekvadors	PROPN;NOM;SG;3	N;NOM;MASC;SG
çeşitlilik	šķirnes	çeşitlilik	šķirne	N;NOM;SG;3	N;NOM;FEM;PL
sankt	sankt	sankt	sankt	PROPN;NOM;SG;3	
barselona	barselonas	barselon	barselona	PROPN;NOM;SG;3	PROPN;NOM;FEM;PL
barselona	barselona	barselon	barselons	PROPN;NOM;SG;3	N;NOM;FEM;SG
çekilmesi	atsaukšana	çek	atsaukšana	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;NOM;FEM;SG
çekilmesi	atsaukšanu	çek	atsaukšana	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;ACC;FEM;SG
çekilmesi	izstāšanās	çek	izstāšanās	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;NOM;FEM;SG
çekilmesi	anulēšana	çek	anulēšana	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;NOM;FEM;SG
honda	honda	hon	honds	N;NOM;SG;3	
fosil	fosilijas	fosil	fosilija		N;NOM;FEM;PL
fosil	fosilo	fosil	fosilot		N
silindir	balons	sil	balons	V;PFV;IND;SG;3;POS;PST;PASS	N;NOM;MASC;SG
silindir	cilindra	sil	cilindrs	V;PFV;IND;SG;3;POS;PST;PASS	N;GEN;MASC;SG
silindir	cilindrs	sil	cilindrs	V;PFV;IND;SG;3;POS;PST;PASS	N;NOM;MASC;SG
silindir	baloni	sil	balons	V;PFV;IND;SG;3;POS;PST;PASS	N;NOM;MASC;PL
silindir	cilindri	sil	cilindrs	V;PFV;IND;SG;3;POS;PST;PASS	N;NOM;MASC;PL
market	tirgus	market	tirgus		N;NOM;MASC;SG
