през	poprzez	през	poprzez	ADP	
като	jak	като	jak	CONJ	ADV
като	like	като	lik	CONJ	
след	after	след	after	ADP	
след	po	след	po	ADP	INTJ
това	tym	този	to	PRO;NOM;NEUT;SG	PRO;INS;NEUT;SG
българия	bułgaria	българия	bułgarium	PROPN;INDF;FEM;SG	N;NOM;FEM;SG
българия	bułgarii	българия	bułgaria	PROPN;INDF;FEM;SG	N;GEN;FEM;SG
част	częściowo	част	częściowo	N;INDF;FEM;SG	ADV
която	które	който	który	PRO;NOM;FEM;SG	DET;ACC;MASC;SG
която	która	който	który	PRO;NOM;FEM;SG	DET;NOM;FEM;SG
която	który	който	który	PRO;NOM;FEM;SG	DET;NOM;MASC;SG
което	które	който	który	PRO;NOM;NEUT;SG	DET;ACC;MASC;SG
което	która	който	który	PRO;NOM;NEUT;SG	DET;NOM;FEM;SG
което	który	който	który	PRO;NOM;NEUT;SG	DET;NOM;MASC;SG
външни	zewnętrzne	външен	zewnętrzny	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
препратки	odniesienia	препратка	odnieść	N;INDF;FEM;PL	N;GEN;NEUT;SG
препратки	referencji	препратка	referencja	N;INDF;FEM;PL	N;GEN;FEM;SG
град	town	град	town	N;INDF;MASC;SG	
град	city	град	city	N;INDF;MASC;SG	
много	wielu	много	wiele	ADV;INDF;PL	DET;ACC;MASC;PL
много	wiele	много	wiele	ADV;INDF;PL	DET;ACC;MASC;PL
#виж	#patrz	ввиж	spatrzeć	PROPN;INDF;MASC;SG	
също	także	също	także	ADV	PART
също	też	също	też	ADV	PART
също	również	също	również	ADV	PART
един	jeden	един	jeden	NUM;INDF;MASC;SG	ADJ;NOM;MASC;SG
един	jedna	един	jeden	NUM;INDF;MASC;SG	ADJ;NOM;FEM;SG
между	pomiędzy	между	pomiędzy	ADP	
около	okolice	около	okolica	ADP	N;ACC;FEM;SG
около	dookoła	около	dookoła	ADP	
софия	sofia	софия	sofia	PROPN;INDF;FEM;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
софия	zofia	софия	zofia	PROPN;INDF;FEM;SG	PROPN;NOM;FEM;SG
софия	sophia	софия	sophia	PROPN;INDF;FEM;SG	
софия	zofia	софия	zofia	PROPN;INDF;FEM;SG	PROPN;NOM;FEM;SG
други	inne	друг	inny	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
други	pozostał	друг	pozostać	ADJ;INDF;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
други	inny	друг	inny	ADJ;INDF;PL	ADJ;NOM;MASC;SG
други	inne	друг	inny	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
други	pozostał	друг	pozostać	ADJ;INDF;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
още	jeszcze	още	jeszcze	ADV	PART
още	more	още	more	ADV	
още	bardziej	още	bardzo	ADV	ADV;CMPR
още	więcej	още	dużo	ADV	ADV;CMPR
война	war	война	war	N;INDF;FEM;SG	
само	tylko	само	tylko	ADV	PART
само	tylko	само	tylko	ADV	PART
област	regiony	област	regić	N;INDF;FEM;SG	N;NOM;MASC;PL
област	powiat	област	powiat	N;INDF;FEM;SG	
община	gmina	община	gmina	N;INDF;FEM;SG	
когато	gdy	когато	gdy	ADV	CONJ
когато	kiedy	когато	kiedy	ADV	ADV
вид	wpisz	вид	wpić	N;INDF;MASC;SG	V;PFV;IMP;SG;2;FIN;ACT
вид	typ	вид	typ	N;INDF;MASC;SG	
вид	gatunki	вид	gatunek	N;INDF;MASC;SG	N;NOM;MASC;PL
една	edna	един	edna	NUM;INDF;FEM;SG	PROPN;NOM;FEM;SG
една	jeden	един	jeden	NUM;INDF;FEM;SG	ADJ;NOM;MASC;SG
една	jedna	един	jeden	NUM;INDF;FEM;SG	ADJ;NOM;FEM;SG
всички	wszystkie	всеки	wszystek	PRO;NOM;PL	DET;NOM;MASC;PL
всички	wszystko	всеки	wszystko	PRO;NOM;PL	PRO;NOM;NEUT;SG
всички	all	всеки	all	PRO;NOM;PL	
всички	każdy	всеки	każdy	PRO;NOM;PL	DET;NOM;MASC;SG
семейство	rodziny	семейство	rodzina	N;INDF;NEUT;SG	N;NOM;FEM;PL
семейство	rodzinne	семейство	rodzinny	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
семейство	rodzinnie	семейство	rodzinnie	N;INDF;NEUT;SG	ADV
македония	macedonii	македония	macedonia	PROPN;INDF;FEM;SG	
македония	macedonia	македония	macedonia	PROPN;INDF;FEM;SG	N;NOM;FEM;SG
сащ	stany	сащ	stany	PROPN;INDF;MASC;PL	N;NOM;MASC;PL
сащ	ameryka	сащ	ameryka	PROPN;INDF;MASC;PL	
сащ	usa	сащ	usać	PROPN;INDF;MASC;PL	PROPN;NOM;NEUT;PL
над	ponad	над	ponad	ADP	PART
над	over	над	over	ADP	
над	odbiór	над	odbiór	ADP	N;NOM;MASC;SG
над	wyżej	над	wysoko	ADP	ADV;CMPR
над	ponad	над	ponad	ADP	PART
над	powyżej	над	powyżej	ADP	
срещу	kontra	срещу	kontry	ADP	
срещу	przeciw	срещу	przeciw	ADP	
души	dusz	души	dusza	N;INDF	
души	dusze	души	dusza	N;INDF	N;NOM;FEM;SG
мини	mini	мина	minia	N;INDF;FEM;PL	
мини	miny	мина	mina	N;INDF;FEM;PL	N;ACC;FEM;SG
мини	kopalnia	мина	kopalniać	N;INDF;FEM;PL	N;NOM;FEM;SG
мини	kopalni	мина	kopalnia	N;INDF;FEM;PL	
мини	kopalnie	мина	kopalnia	N;INDF;FEM;PL	N;NOM;FEM;SG
мини	minnie	мина	minnie	N;INDF;FEM;PL	
намира	znajdzie	намирам-(се)	znaleźć	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;FUT;FIN;ACT
република	republiki	република	republika	N;INDF;FEM;SG	
късно	późny	късно	późny	ADV	ADJ;NOM;MASC;SG
май	majowe	май	majowy	PROPN;INDF;MASC;SG	ADJ;NOM;NEUT;SG
май	maja	май	mieć	PROPN;INDF;MASC;SG	
май	może	май	móc	PROPN;INDF;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
май	majowy	май	majowy	PROPN;INDF;MASC;SG	ADJ;NOM;MASC;SG
май	maj	май	maj	PROPN;INDF;MASC;SG	
