loại	tastează	loại	tasta	N	V;IND;3;PRS;FIN
một	una	một	unul	NUM	PRO;FEM;SG;3
một	unul	một	unul	NUM	PRO;MASC;SG;3
năm	cinci	năm	cinci	N	NUM;PL
của	dumneavoastră	của	dumneavoastră	ADP	PRO;2
của	ta	của	tău	ADP	DET;FEM;SG;1
các	ai	các	avea	DET	V;SG;2
các	te	các	tu	DET	PRO;ACC;SG;2
các	tu	các	tu	DET	PRO;NOM;SG;2
này	asta	này	acesta	PROPN	PRO;FEM;SG;3
này	aceasta	này	acesta	PROPN	PRO;FEM;SG;3
này	hei	này	hei	PROPN	
thích	plăcut	thích	plăcut	V	ADJ;INDF;MASC;SG
thích	ca	thích	ca	V	ADV
thích	like	thích	like	V	
thích	aprecierile	thích	apreciere	V	N;DEF;FEM;PL
thích	aprecieri	thích	apreciere	V	N;INDF;FEM;PL
học	studii	học	studiu	V	N;INDF;FEM;PL
học	studiul	học	studiu	V	N;DEF;MASC;SG
học	studiu	học	studiu	V	N;INDF;MASC;SG
học	scoala	học	scoală	V	N;DEF;FEM;SG
học	școala	học	școală	V	N;DEF;FEM;SG
học	şcoala	học	pcoală	V	N;DEF;FEM;SG
học	școală	học	școală	V	N;INDF;FEM;SG
học	şcoală	học	şcoală	V	N;INDF;FEM;SG
học	învățare	học	învățare	V	N;INDF;FEM;SG
người	man	người	man	N	
thực	real	thực	real	V	ADJ;INDF;MASC;SG
thực	reale	thực	real	V	ADJ;INDF;FEM;PL
thực	reală	thực	real	V	ADJ;INDF;FEM;SG
thực	autentic	thực	autentic	V	ADV
thực	autentice	thực	autentic	V	ADJ;INDF;FEM;PL
thực	autentică	thực	autentic	V	ADJ;INDF;FEM;SG
liên	lien	liên	lien		N;INDF;MASC;SG
tham	comune	tham	comun	V	ADJ;INDF;FEM;PL
tham	joint	tham	joint	V	N;INDF;MASC;SG
tham	tham	tham	tham	V	
kết	sfarsit	kết	sfarsi	N	
đầu	primii	đầu	prim	N	NUM;DEF;MASC;PL
đầu	prima	đầu	prim	N	NUM;DEF;FEM;SG
đầu	primul	đầu	prim	N	NUM;DEF;MASC;SG
ngoài	afara	ngoài	afara	N	ADV
ngoài	afară	ngoài	afară	N	ADV
ngoài	exterioare	ngoài	exterior	N	ADJ;INDF;FEM;PL
thành	thành	thành	thành	V	
thành	cheng	thành	cheng	V	PROPN
thành	cetatea	thành	cetate	V	N;DEF;FEM;SG
thành	cetate	thành	cetate	V	
khoa	ştiinţe	khoa	ştiinţe		N;INDF;FEM;PL
khoa	știință	khoa	știință		N;INDF;FEM;SG
khoa	stiinta	khoa	stiintă		N;DEF;FEM;SG
khoa	facultatea	khoa	facultate		N;DEF;FEM;SG
khoa	facultate	khoa	facultate		N;INDF;FEM;SG
cho	cho	cho	cho	V	N;INDF;MASC;SG
cho	pentru	cho	pentru	V	ADP;ACC
không	nu	không	nu	;NEG	PART;NEG
tiên	tiên	tiên	tiên	N	
hoa	unită	hoa	unit	N	ADJ;INDF;FEM;SG
hoa	unite	hoa	unit	N	ADJ;INDF;FEM;PL
hoa	unit	hoa	unit	N	ADJ;INDF;MASC;SG
những	acestea	những	acesta	DET	PRO;FEM;PL;3
những	astea	những	acesta	DET	PRO;FEM;PL;3
những	acelea	những	acela	DET	PRO;FEM;PL;3
những	alea	những	acela	DET	PRO;FEM;PL;3
những	au	những	avea	DET	V;PL;3
những	ei	những	el	DET	PRO;MASC;PL;3
những	ele	những	el	DET	PRO;FEM;PL;3
nam	masculi	nam	mascul	N	ADJ;INDF;MASC;PL
nam	masculin	nam	masculin	N	ADJ;INDF;MASC;SG
nam	nan	nam	nan	N	
nam	nam	nam	nam	N	
công	publice	công	public	N	ADJ;INDF;FEM;PL
công	public	công	public	N	ADJ;INDF;MASC;SG
công	publică	công	publica	N	V;IND;SG;3;PST;FIN
chính	chiar	chính	chiar	PART	ADV
chính	proprie	chính	propriu	PART	ADJ;INDF;FEM;SG
chính	proprii	chính	propriu	PART	ADJ;INDF;PL
chính	primare	chính	primar	PART	ADJ;INDF;FEM;PL
chính	primară	chính	primar	PART	ADJ;INDF;FEM;SG
chính	primar	chính	primar	PART	N;INDF;MASC;SG
chính	principala	chính	principal	PART	ADJ;DEF;FEM;SG
chính	main	chính	main	PART	N
chính	principale	chính	principal	PART	ADJ;INDF;FEM;PL
