lincoln	lincoln	lincoln	lincoln	PROPN	N;NOM;MASC;SG
cardiaque	srčno	cardiaque	srčno	ADJ;MASC;SG	ADV
kent	kent	kent	kent	PROPN	N;NOM;MASC;SG
parlant	govorjenje	parler	govorjenje	V;PRS;V.PTCP	N;NOM;NEUT;SG
parlant	govorjenje	parler	govorjenje	V;PRS;V.PTCP	N;NOM;NEUT;SG
fernández	fernandez	fernánder	fernandez	PROPN	N;NOM;MASC;SG
fernández	fernández	fernánder	fernández	PROPN	PROPN;NOM;MASC;SG
voisines	sosede	voisin	soseda	ADJ;FEM;PL	N;ACC;MASC;PL
voisines	sosedje	voisin	sosed	ADJ;FEM;PL	N;NOM;MASC;PL
voisines	sosedi	voisin	soseda	ADJ;FEM;PL	N;NOM;MASC;PL
voisines	sosedov	voisin	sosed	ADJ;FEM;PL	N;GEN;MASC;PL
voisines	sosede	voisin	soseda	ADJ;FEM;PL	N;ACC;MASC;PL
voisines	sosedje	voisin	sosed	ADJ;FEM;PL	N;NOM;MASC;PL
voisines	sosedi	voisin	soseda	ADJ;FEM;PL	N;NOM;MASC;PL
voisines	sosednja	voisin	sosednji	ADJ;FEM;PL	ADJ;NOM;FEM;SG
voisines	sosednji	voisin	sosednji	ADJ;FEM;PL	ADJ;NOM;DEF;MASC;SG
remarques	opombi	remarque	opomba	N;FEM;PL	N;NOM;FEM;SG
sofia	sofija	sofia	sofija	PROPN	N;NOM;FEM;SG
sofia	sofia	sofia	sofia	PROPN	N;NOM;FEM;SG
hébreu	hebrejsko	hébreu	hebrejski	N;MASC;SG	ADJ;NOM;NEUT;SG
inhumé	zakopan	inhumer	zakopan	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
inhumé	zakopano	inhumer	zakopan	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
inhumé	pokopani	inhumer	pokopan	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
inhumé	pokopan	inhumer	pokopan	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
inhumé	pokopana	inhumer	pokopan	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
pat	pat	pat	pat	PROPN	PROPN;NOM;MASC;SG
variables	spremenljivka	variable	spremenljivka	ADJ;FEM;PL	N;NOM;FEM;SG
variables	spremenljivo	variable	spremenljivo	ADJ;FEM;PL	ADJ;NOM;NEUT;SG
variables	spremenljiva	variable	spremenljiv	ADJ;FEM;PL	ADJ;NOM;FEM;SG
variables	spremenljivke	variable	spremenljivka	ADJ;FEM;PL	N;NOM;FEM;PL
vignoble	vinogradi	vignoble	vinograd	N;MASC;SG	N;NOM;MASC;PL
vignoble	vinogradov	vignoble	vinograd	N;MASC;SG	N;GEN;MASC;PL
roue	kolesa	roue	koleso	N;FEM;SG	N;NOM;NEUT;PL
autorisé	pooblaščeni	autoriser	pooblaščen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
autorisé	dovoljeno	autoriser	dovoljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
autorisé	dovoljen	autoriser	dovoljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
autorisé	pooblaščen	autoriser	pooblaščen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
autorisé	pooblaščeni	autoriser	pooblaščen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
autorisé	dovoljeno	autoriser	dovoljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
autorisé	dovoljen	autoriser	dovoljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
sierra	sierra	sierra	sierra	PROPN	N;NOM;FEM;SG
retenu	zadržani	retenir	zadržan	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
albin	albin	albin	albin	PROPN	PROPN;NOM;MASC;SG
organes	trupla	organe	trupla	N;MASC;PL	V;PFV;FEM;PL;V.PTCP
sylvain	sylvain	sylvain	sylvain	PROPN	
compétence	pristojnosti	compétence	pristojnost	N;FEM;SG	N;NOM;FEM;PL
compétence	veščine	compétence	veščina	N;FEM;SG	N;NOM;FEM;PL
compétence	pristojnosti	compétence	pristojnost	N;FEM;SG	N;NOM;FEM;PL
compétence	kompetence	compétence	kompetenec	N;FEM;SG	N;NOM;FEM;PL
décerné	oddana	décerner	oddan	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
décerné	oddano	décerner	oddano	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
provinciale	provinciale	provincial	provincial	ADJ;FEM;SG	N;NOM;MASC;SG
usages	uporabe	usage	uporaba	N;MASC;PL	N;GEN;FEM;SG
démocrates	demokrat	démocrate	demokrat	N;MASC;PL	N;NOM;MASC;SG
espérance	hope	espérance	hopa	N;FEM;SG	
fragments	delec	fragment	delec	N;MASC;PL	N;NOM;MASC;SG
fragments	drobec	fragment	drobec	N;MASC;PL	N;NOM;MASC;SG
seattle	seattle	seattle	seatel	PROPN	PROPN;NOM;MASC;SG
existant	obstoječa	exister	obstoječ	V;PRS;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
existant	obstoječo	exister	obstoječ	V;PRS;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
existant	obstoječe	exister	obstoječ	V;PRS;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
existant	obstoječi	exister	obstoječ	V;PRS;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
bond	bond	bond	bond	N;MASC;SG	
missiles	izstrelek	missile	izstrelek	N;MASC;PL	N;NOM;MASC;SG
missiles	projektil	missile	projektiti	N;MASC;PL	N;NOM;MASC;SG
missiles	raketa	missile	raketa	N;MASC;PL	N;NOM;FEM;SG
ordonné	urejen	ordonner	urejen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
ordonné	naročeno	ordonner	naročen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
certifié	potrjeno	certifier	potrjen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
certifié	potrjeni	certifier	potrjen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
innovation	inovacije	innovation	inovacija	N;FEM;SG	N;NOM;FEM;PL
innovation	inovacij	innovation	inovacija	N;FEM;SG	N;GEN;FEM;PL
combiné	kombinirano	combiner	kombiniran	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
combiné	kombinirana	combiner	kombiniran	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
amy	amy	amy	amy	PROPN	PROPN;NOM;FEM;SG
turner	turner	turner	turner	PROPN	N;NOM;MASC;SG
turner	turnerja	turner	turner	PROPN	N;ACC;MASC;SG
alternatif	alternative	alternatif	alternativa	ADJ;MASC;SG	N;NOM;FEM;PL
alternatif	alternativa	alternatif	alternativa	ADJ;MASC;SG	N;NOM;FEM;SG
écrites	pisno	écrire	pisno	V;FEM;PL;PST;V.PTCP	ADV
écrites	napisano	écrire	napisan	V;FEM;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
écrites	napisana	écrire	napisan	V;FEM;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
écrites	pisna	écrire	pisen	V;FEM;PL;PST;V.PTCP	ADJ;NOM;FEM;SG
écrites	zapisano	écrire	zapisan	V;FEM;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
définitive	dokončne	définitif	dokončen	ADJ;FEM;SG	ADJ;NOM;FEM;PL
définitive	dokončno	définitif	dokončno	ADJ;FEM;SG	ADV
jaunes	rumena	jaune	rumen	ADJ;MASC;PL	ADJ;NOM;FEM;SG
jaunes	rumeni	jaune	rume	ADJ;MASC;PL	ADJ;NOM;DEF;MASC;SG
jaunes	rumen	jaune	rumen	ADJ;MASC;PL	ADJ;NOM;INDF;MASC;SG
jaunes	rumeno	jaune	rumen	ADJ;MASC;PL	ADV
burkina	burkina	burkina	burkina	N;MASC;SG	PROPN;NOM;FEM;SG
yonne	yonne	yonne	yonne	PROPN	ADJ;NOM;MASC;SG
sachant	vedoč	savoir	vedoč	V;PRS;V.PTCP	ADV
chargés	napolnjena	charger	napolnjen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
chargés	nabita	charger	nabit	V;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
chargés	naložen	charger	naložen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
chargés	napolnjeno	charger	napolnjen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
chargés	naloženo	charger	naložen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
chargés	obremenjen	charger	obremenjen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
chargés	laden	charger	laden	V;MASC;PL;PST;V.PTCP	N;NOM;MASC;SG
blé	pšenični	blé	pšeničen	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
blé	pšenice	blé	pšenica	N;MASC;SG	N;NOM;FEM;PL
inaugurée	slovesno	inaugurer	slovesno	V;FEM;SG;PST;V.PTCP	ADV
his	njegovo	his	njegov	PROPN	DET;NOM;NEUT;SG;3
his	njegove	his	njegov	PROPN	DET;NOM;FEM;PL;3
his	njegov	his	njegov	PROPN	DET;NOM;MASC;SG;3
his	njegova	his	njegov	PROPN	DET;NOM;FEM;SG;3
conrad	conrada	conrad	conrad	PROPN	N;ACC;MASC;SG
conrad	conrad	conrad	conrad	PROPN	N;NOM;MASC;SG
rousseau	rousseau	rousseau	rousse	PROPN	N;NOM;MASC;SG
meyer	meyer	meyer	meyero	PROPN	
stable	stabilni	stable	stabilen	ADJ;MASC;SG	ADJ;NOM;MASC;PL
stable	hlev	stable	hlev	ADJ;MASC;SG	N;NOM;MASC;SG
terrestres	kopenski	terrestre	kopenski	ADJ;MASC;PL	ADJ;NOM;DEF;MASC;SG
symphonique	simfonija	symphonique	simfonija	ADJ;MASC;SG	N;NOM;FEM;SG
ecclésiastique	svečenik	ecclésiastique	svečenik	ADJ;MASC;SG	N;NOM;MASC;SG
