luhur	yüce	luhur	yüce	N	
integrasi	bütünleşme	integrasi	bütünleş	N;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
staff	kadro	staff	kadro	N	
staff	asa	staff	asa	N	
staff	personel	staff	personel	N	
output	çıktılar	output	çık	N	V;PFV;IND;PL;3;POS;PST
output	çıkış	output	çıkış	N	
output	çıktı	output	çık	N	V;PFV;IND;SG;3;POS;PST
output	çıktılar	output	çık	N	V;PFV;IND;PL;3;POS;PST
ibm	ibm	ibm	ibm	PROPN	
zeus	zeus	zeus	zeus	PROPN	
mengingatkan	hatırlattı	meningatkan	hatırla	V;SG;ACT	V;PFV;IND;SG;3;POS;PST;CAUS
mengingatkan	hatırlatmak	meningatkan	hatırla	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
mengingatkan	hatırlatma	meningatkan	hatırla	V;SG;ACT	V;PFV;IMP;SG;2;NEG;PRS;CAUS
gelora	gelora	gelora	gelor	N;SG	
zhao	zhao	zhao	zhao	PROPN	
azhar	azhar	azhar	azhar	PROPN	
animation	canlandırma	animation	canlan	N	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
animation	animasyon	animation	animasyon	N	
cacing	solucan	cacing	solucan	N;SG	
cacing	kurtçuk	cacing	kurtçuk	N;SG	
cacing	solucanlar	cacing	solucan	N;SG	N;NOM;PL;3
cacing	solucanlar	cacing	solucan	N;SG	N;NOM;PL;3
highland	highland	highland	highland	N	PROPN;NOM;SG;3
pembuluh	damarları	pembuluh	damar	N;SG	N;NOM;PL;3
pembuluh	damar	pembuluh	damar	N;SG	
pembuluh	damarlar	pembuluh	damar	N;SG	N;NOM;PL;3
orangtua	aileler	orangtua	aile	N;SG	N;NOM;PL;3
orangtua	ebeveyn	orangtua	ebevey	N;SG	
orangtua	ebeveynler	orangtua	ebeveyn	N;SG	N;NOM;PL;3
orangtua	ebeveyn	orangtua	ebevey	N;SG	
orangtua	veli	orangtua	veli	N;SG	
orangtua	ebeveynler	orangtua	ebeveyn	N;SG	N;NOM;PL;3
omar	omar	omar	omar	PROPN	
omar	ömer	omar	ömer	PROPN	
gandum	tahıl	gandum	tahıl	N;SG	
gandum	buğday	gandum	buğday	N;SG	
gandum	buğday	gandum	buğday	N;SG	
account	hesap	account	hesap	PROPN	
digit	sayılar	digit	say	N;SG	N;NOM;PL;3
digit	rakam	digit	rakam	N;SG	
