להינשא	căsători	ננשא	căsător	V;NFIN;MID	
פורמלי	formale	פורמאלי	formal	ADJ;MASC;SG	ADJ;INDF;FEM;PL
פורמלי	formal	פורמאלי	formal	ADJ;MASC;SG	ADV
הערכת	evaluarea	הערכה	evaluare	N;PSSD;FEM;SG	N;DEF;FEM;SG
הערכת	evaluare	הערכה	evaluare	N;PSSD;FEM;SG	N;INDF;FEM;SG
בכר	behar	בכר	behar	PROPN	
בכר	bakr	בכר	bakr	PROPN	PROPN
הגיל	varsta	הגיל	varsta	ADV	N;DEF;FEM;SG
הגיל	vârstă	הגיל	vârstă	ADV	N;INDF;FEM;SG
הגיל	vârsta	הגיל	vârstă	ADV	N;DEF;FEM;SG
טק	tec	טק	tec		N;INDF;MASC;SG
טק	tech	טק	tech		N
בצמוד	alăturate	בצמוד	alătura		ADJ;INDF;FEM;PL
בצמוד	adiacente	בצמוד	adiacent		ADJ;INDF;FEM;PL
תומפסון	thompson	תומפסון	thompson	PROPN	PROPN
שלד	scheletice	שלד	scheletic	PROPN	ADJ;INDF;FEM;PL
שלד	scheletul	שלד	schelet	PROPN	N;DEF;MASC;SG
שלד	schelet	שלד	schelet	PROPN	N;INDF;MASC;SG
כותבת	scrierea	כתב	scriere	V;FEM;SG;V.PTCP;ACT	N;DEF;FEM;SG
כותבת	scriere	כתב	scriere	V;FEM;SG;V.PTCP;ACT	N;INDF;FEM;SG
כותבת	scriu	כתב	scrie	V;FEM;SG;V.PTCP;ACT	V;IND;PL;3;PRS;FIN
פרננדו	fernando	פרננדו	fernando	PROPN	PROPN
גויס	recrutat	גויס	recruta	PROPN	ADJ;INDF;MASC;SG
קודמת	anterior	קודם	anterior	ADJ;FEM;SG	ADV
קודמת	anterioare	קודם	anterior	ADJ;FEM;SG	ADJ;INDF;FEM;PL
קודמת	precedent	קודם	precedent	ADJ;FEM;SG	N;INDF;MASC;SG
נורמן	norman	נורמן	norman	PROPN	PROPN
מוקשים	minele	מקשה	mină	V;MASC;PL;V.PTCP;PASS	N;DEF;FEM;PL
חסד	milă	חסד	milă		N;INDF;FEM;SG
חסד	mila	חסד	milă		N;DEF;FEM;SG
חסד	bunătate	חסד	bunătate		N;INDF;FEM;SG
חסד	bunătatea	חסד	bunătate		N;DEF;FEM;SG
חסד	har	חסד	har		N;INDF;MASC;SG
חסד	harul	חסד	har		N;DEF;MASC;SG
חסד	grace	חסד	grac		PROPN
חסד	grație	חסד	grație		N;INDF;FEM;SG
הולמס	holmes	הולמס	holmes	PROPN	PROPN
גולדשטיין	goldstein	גולדשטיין	goldstein	PROPN	PROPN
