den	на	den	на	PRO;DEF;MASC+FEM;SG	ADP
som	like	som	like	CONJ	PROPN;INDF;MASC;SG
som	което	som	който	CONJ	PRO;NOM;NEUT;SG
som	която	som	който	CONJ	PRO;NOM;FEM;SG
runt	около	runt	около	ADV	ADP
runt	кръгла	runt	кръгъл	ADV	N;INDF;FEM;SG
runt	кръгли	runt	кръгъл	ADV	ADJ;INDF;PL
runt	рунд	runt	рунд	ADV	N;INDF;MASC;SG
runt	кръг	runt	кръг	ADV	N;INDF;MASC;SG
månaden	месечна	månad	месечен	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;FEM;SG
månaden	месечно	månad	месечно	N;NOM;DEF;MASC+FEM;SG	ADV
månaden	месечни	månad	месечен	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;PL
månaden	месечен	månad	месечен	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;MASC;SG
månaden	месец	månad	месец	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
nederbörd	валежи	nederbörd	валеж	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;PL
nederbörd	валежи	nederbörd	валеж	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;PL
ligger	лъжи	ligga	лъжа	V;IND;PRS;FIN;ACT	N;INDF;FEM;PL
ligger	разположена	ligga	разположа-(се)	V;IND;PRS;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ligger	разположен	ligga	разположа-(се)	V;IND;PRS;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ligger	разположени	ligga	разположа-(се)	V;IND;PRS;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
ligger	разположено	ligga	разположа-(се)	V;IND;PRS;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
ingår	включени	ingå	включа-(се)	V;IND;PRS;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
ingår	включено	ingå	включа-(се)	V;IND;PRS;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
ingår	включена	ingå	включа-(се)	V;IND;PRS;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ingår	включен	ingå	включа-(се)	V;IND;PRS;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
att	че	att	че	PART	CONJ
familjen	семейство	familj	семейство	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
inga	инга	ingen	инга	PRO;INDF;PL	N;INDF;FEM;SG
delen	част	del	част	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
släktet	род	släkte	род	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
underarter	подвид	underart	подвид	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
life	живота	life	живот	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
life	life	life	life	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
life	животът	life	живот	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
