til	za	til	za	ADV	ADP;ACC
med	sa	med	sa	ADV	ADP;INS
var	bio	være	biti	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP;ACT
var	bila	være	biti	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP;ACT
var	bile	være	biti	V;IND;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP;ACT
var	bili	være	biti	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP;ACT
blev	bio	blive	biti	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP;ACT
blev	bila	blive	biti	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP;ACT
han	hana	han	hana	PRO;NOM;MASC+FEM;SG;3	N;NOM;FEM;SG
han	han	han	han	PRO;NOM;MASC+FEM;SG;3	PROPN;NOM;MASC;SG
fra	od	fra	od	ADV	ADP;GEN
fra	iz	fra	iz	ADV	ADP;GEN
har	dobio	have	dobiti	V;IND;PRS;FIN;ACT	V;MASC;SG;PST;V.PTCP;ACT
ved	znaj	vide	znaj	V;IND;PRS;FIN;ACT	INTJ
også	previse	også	previs	ADV	N;NOM;MASC;SG
efter	nakon	efter	nakon	ADV	ADP;GEN
sig	reci	sig	reći	PRO;ACC;3;REFL	INTJ
kan	svibanj	kunne	svibanj	V;IND;PRS;FIN;ACT	N;NOM;MASC;SG
kan	may	kunne	may	V;IND;PRS;FIN;ACT	PROPN;NOM;MASC;SG
kan	svibnja	kunne	svibanj	V;IND;PRS;FIN;ACT	N;GEN;MASC;SG
score	rezultat	score	rezultat	V;NFIN;ACT	N;NOM;MASC;SG
score	ocjena	score	ocjena	V;NFIN;ACT	N;NOM;FEM;SG
under	ispod	under	ispod	ADV	ADP;GEN
under	pod	under	pod	ADV	ADP;INS
under	ispod	under	ispod	ADV	ADP;GEN
hans	hans	hans	hans	DET;3	PROPN;NOM;MASC;SG
over	preko	over	preko	ADV	ADP;GEN
over	iznad	over	iznad	ADV	ADP;GEN
første	prvo	første	prvo	ADJ	ADV
dansk	danske	dansk	danski	ADJ;INDF;SG	ADJ;NOM;DEF;FEM;PL
dansk	danski	dansk	danski	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
mod	hrabrosti	mod	hrabrost	N;INDF;NEUT;SG	N;NOM;FEM;PL
mod	protiv	mod	protiv	N;INDF;NEUT;SG	ADP;GEN
andre	drugi	anden	drugi	PRO;PL	ADJ;NOM;MASC;SG
andre	drugo	anden	drugi	PRO;PL	ADJ;NOM;NEUT;SG
andre	druga	anden	drugi	PRO;PL	ADJ;NOM;FEM;SG
andre	ostali	anden	ostao	PRO;PL	ADJ;NOM;DEF;MASC;PL
