din	від	din	від	ADP;ACC	ADP;GEN
care	хто	care	хто	PRO;3	PRO;ANIM;NOM;MASC;SG
care	who	care	who	PRO;3	
care	какой	care	какой	PRO;3	
care	який	care	який	PRO;3	DET;NOM;MASC;SG
care	які	care	який	PRO;3	DET;NOM;PL
care	яке	care	який	PRO;3	DET;NOM;NEUT;SG
care	яка	care	який	PRO;3	DET;NOM;FEM;SG
fost	був	fi	бути	V;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN
fost	було	fi	бути	V;MASC;SG;V.PTCP	V;IPFV;NEUT;IND;SG;PST;FIN
fost	були	fi	бути	V;MASC;SG;V.PTCP	V;IPFV;IND;PL;PST;FIN
mai	май	mai	май	ADV	
pentru	для	pentru	для	ADP;ACC	ADP;GEN
lui	lui	el	lui	PRO;3	
lui	його	el	він	PRO;3	PRO;ACC;MASC;SG;3
sunt	надаються	fi	надаватися	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN
dupa	після	dupa	після	N;DEF;FEM;SG	ADP;GEN
dupa	після	dupa	після	N;DEF;FEM;SG	ADP;GEN
ale	ale	al	ale	DET;FEM;PL	
ale	ель	al	ель	DET;FEM;PL	
lea	леа	lea	ле		PROPN;ANIM;NOM;FEM;SG
prin	крізь	prin	крізь	ADP;ACC	
prin	наскрізь	prin	наскрізь	ADP;ACC	ADV
prin	передивився	prin	передивитися	ADP;ACC	V;PFV;MASC;IND;SG;PST;FIN
regiunea	ділянку	regiune	ділянка	N;DEF;FEM;SG	N;INAN;ACC;FEM;SG
regiunea	регіон	regiune	регіон	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
mare	чудово	mare	чудово	ADJ;INDF;MASC;SG	ADV
mare	великі	mare	великий	ADJ;INDF;MASC;SG	ADJ;NOM;PL
mare	біг	mare	бігти	ADJ;INDF;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN
mare	море	mare	море	ADJ;INDF;MASC;SG	N;INAN;NOM;NEUT;SG
anul	рік	an	рік	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
comuna	спільними	comună	спільний	N;DEF;FEM;SG	ADJ;INS;PL
comuna	поширені	comună	поширений	N;DEF;FEM;SG	ADJ;PFV;NOM;PL;V.PTCP;PASS
comuna	спільне	comună	спільний	N;DEF;FEM;SG	ADJ;NOM;NEUT;SG
comuna	загальні	comună	загальний	N;DEF;FEM;SG	ADJ;NOM;PL
comuna	common	comună	common	N;DEF;FEM;SG	
comuna	муніципалітет	comună	муніципалітет	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
comuna	край	comună	край	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
comuna	спільними	comună	спільний	N;DEF;FEM;SG	ADJ;INS;PL
comuna	поширені	comună	поширений	N;DEF;FEM;SG	ADJ;PFV;NOM;PL;V.PTCP;PASS
comuna	спільне	comună	спільний	N;DEF;FEM;SG	ADJ;NOM;NEUT;SG
comuna	загальні	comună	загальний	N;DEF;FEM;SG	ADJ;NOM;PL
comuna	common	comună	common	N;DEF;FEM;SG	
externe	зовнішнє	extern	зовнішній	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
externe	зовнішній	extern	зовнішній	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
externe	зовнішня	extern	зовнішній	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
vezi	див	vedea	див.	V;IND;SG;2;PRS;FIN	
vezi	бачите	vedea	бачити	V;IND;SG;2;PRS;FIN	V;IPFV;IND;PL;2;PRS;FIN
vezi	бачу	vedea	бачити	V;IND;SG;2;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN
cod	код	cod	код		N;INAN;NOM;MASC;SG
populatie	населення	populatie	населення	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
bucuresti	бухарест	bucurest	бухарест	PROPN	PROPN;INAN;NOM;MASC;SG
bucuresti	bucuresti	bucurest	bucuresti	PROPN	
bucuresti	бухарест	bucurest	бухарест	PROPN	PROPN;INAN;NOM;MASC;SG
bucuresti	бухарест	bucurest	бухарест	PROPN	PROPN;INAN;NOM;MASC;SG
fiind	проводиться	fi	проводитися	V;V.MSDR	V;IPFV;IND;SG;3;PRS;FIN
fiind	будучи	fi	бути	V;V.MSDR	V;IPFV;PRS;V.CVB
fiind	буття	fi	буття	V;V.MSDR	N;INAN;NOM;NEUT;SG
romania	румунії	romanie	румунія	N;DEF;FEM;SG	PROPN;INAN;GEN;FEM;SG
romania	румунія	romanie	румунія	N;DEF;FEM;SG	PROPN;INAN;NOM;FEM;SG
romania	румунії	romanie	румунія	N;DEF;FEM;SG	PROPN;INAN;GEN;FEM;SG
romania	румунія	romanie	румунія	N;DEF;FEM;SG	PROPN;INAN;NOM;FEM;SG
jpg	jpg	jpg	jpg	N	
lista	перелік	listă	перелік	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
lista	list	listă	list	N;DEF;FEM;SG	
lista	список	listă	список	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
lista	перелік	listă	перелік	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
lista	list	listă	list	N;DEF;FEM;SG	
lista	список	listă	список	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
ucraina	україна	ucraina	україна	PROPN	PROPN;INAN;NOM;FEM;SG
ucraina	україні	ucraina	україна	PROPN	PROPN;INAN;DAT;FEM;SG
ani	ані	an	ані	N;INDF;MASC;PL	INTJ
avea	мали	avea	мати	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;PL;PST;FIN
avea	мав	avea	мати	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN
intre	поміж	intra	поміж	V;SBJV;3;PRS;FIN	
intre	між	intra	між	V;SBJV;3;PRS;FIN	ADP;INS
intre	поміж	intra	поміж	V;SBJV;3;PRS;FIN	
intre	між	intra	між	V;SBJV;3;PRS;FIN	ADP;INS
pana	доки	pană	доки	N;DEF;FEM;SG	ADV
pana	till	pană	till	N;DEF;FEM;SG	
pana	поки	pană	поки	N;DEF;FEM;SG	ADV
pana	доки	pană	доки	N;DEF;FEM;SG	ADV
pana	до	pană	до	N;DEF;FEM;SG	ADP;GEN
pana	поки	pană	поки	N;DEF;FEM;SG	ADV
pana	пера	pană	перо	N;DEF;FEM;SG	N;INAN;NOM;NEUT;PL
pana	перо	pană	перо	N;DEF;FEM;SG	N;INAN;NOM;NEUT;SG
poate	maybe	poate	maybe	ADV	
doua	два	doi	два	NUM;FEM;SG	NUM;NOM;MASC
doua	дві	doi	два	NUM;FEM;SG	NUM;NOM;FEM
doua	двоє	doi	двоє	NUM;FEM;SG	NUM;NOM
doua	двох	doi	два	NUM;FEM;SG	NUM;ACC
doua	двійка	doi	двійка	NUM;FEM;SG	N;INAN;NOM;FEM;SG
doua	два	doi	два	NUM;FEM;SG	NUM;NOM;MASC
doua	дві	doi	два	NUM;FEM;SG	NUM;NOM;FEM
doua	двоє	doi	двоє	NUM;FEM;SG	NUM;NOM
doua	двох	doi	два	NUM;FEM;SG	NUM;ACC
doua	двійка	doi	двійка	NUM;FEM;SG	N;INAN;NOM;FEM;SG
rege	кінг	rege	кінг	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
sub	under	sub	under	ADP;ACC	
alte	інший	alt	інший	DET;FEM;PL;3	DET;NOM;MASC;SG
alte	інша	alt	інший	DET;FEM;PL;3	DET;NOM;FEM;SG
alte	інші	alt	інший	DET;FEM;PL;3	DET;NOM;PL
alte	інше	alt	інший	DET;FEM;PL;3	DET;NOM;NEUT;SG
alte	інших	alt	інший	DET;FEM;PL;3	DET;GEN;PL
cand	коли	cand	коли		ADV
cand	коли	cand	коли		ADV
regiune	ділянку	regiune	ділянка	N;INDF;FEM;SG	N;INAN;ACC;FEM;SG
regiune	регіон	regiune	регіон	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
anii	роки	an	рік	N;DEF;MASC;PL	N;INAN;NOM;MASC;PL
parte	частина	parte	частина	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
judetul	графство	judet	графство	N;DEF;MASC;SG	N;INAN;NOM;NEUT;SG
judetul	повіт	judet	повіт	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
judetul	жупанія	judet	жупанія	N;DEF;MASC;SG	N;INAN;NOM;FEM;SG
judetul	графство	judet	графство	N;DEF;MASC;SG	N;INAN;NOM;NEUT;SG
judetul	повіт	judet	повіт	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
judetul	жупанія	judet	жупанія	N;DEF;MASC;SG	N;INAN;NOM;FEM;SG
centura	пасок	centură	пасік	N;DEF;FEM;SG	N;INAN;GEN;FEM;PL
centura	пояс	centură	пояс	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
centura	пояс	centură	пояс	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
dinastia	династія	dinastie	династія	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
septembrie	вересні	septembrie	вересень	N;INDF;MASC;SG	ADV
despre	приблизно	despre	приблизно	ADP;ACC	ADV
despre	інфо	despre	інфо	ADP;ACC	
despre	щодо	despre	щодо	ADP;ACC	ADP;GEN
unde	де	unde	де	ADV	ADV
unde	where	unde	where	ADV	
unde	куди	unde	куди	ADV	ADV
majoritatea	найцікавіше	majoritate	найцікавіше	N;DEF;FEM;SG	ADV;RL
majoritatea	більшість	majoritate	більшість	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
majoritatea	більшість	majoritate	більшість	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
majoritatea	більшістю	majoritate	більшість	N;DEF;FEM;SG	N;INAN;INS;FEM;SG
densitate	щільність	densitate	щільність	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
densitate	щільності	densitate	щільність	N;INDF;FEM;SG	N;INAN;GEN;FEM;SG
limba	язик	limbă	язик	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
limba	язика	limbă	язик	N;DEF;FEM;SG	N;INAN;GEN;MASC;SG
limba	мова	limbă	мова	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
limba	мови	limbă	мова	N;DEF;FEM;SG	N;INAN;NOM;FEM;PL
limba	мову	limbă	мова	N;DEF;FEM;SG	N;INAN;ACC;FEM;SG
limba	язик	limbă	язик	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
limba	язика	limbă	язик	N;DEF;FEM;SG	N;INAN;GEN;MASC;SG
limba	мова	limbă	мова	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
limba	мови	limbă	мова	N;DEF;FEM;SG	N;INAN;NOM;FEM;PL
limba	мову	limbă	мова	N;DEF;FEM;SG	N;INAN;ACC;FEM;SG
iunie	червні	iunie	червень	N;INDF;MASC;SG	ADV
multe	багато	mult	багато	PRO;FEM;PL;3	ADV
multe	багатьох	mult	багато	PRO;FEM;PL;3	DET;ACC
prima	перше	prim	перше	NUM;DEF;FEM;SG	ADV
