sammanhängande	المتاخمة	sammanhängande	مُتَاخِم	ADJ;NOM;PRS;V.PTCP	N;NOM;DEF;SG
bestämmelser	القواعد	bestämmelse	قَاعِدَة	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
bestämmelser	القوانين	bestämmelse	قَانُون	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
bestämmelser	احكام	bestämmelse	حُكم	N;NOM;INDF;MASC+FEM;PL	N;NOM;INDF;SG
bestämmelser	الاحكام	bestämmelse	حُكم	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
forbes	فوربس	forbes	فُوربِس	PROPN;NOM	
forbes	فوربز	forbes	فُوربز	PROPN;NOM	
nature	الطبيعة	nature	طَبِيعَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
mozart	موزارت	mommor	مُوزَار	PROPN;NOM	
återställa	اعادة	återställa	إِعَادَة	V;IMP;NFIN;ACT	N;NOM;INDF;SG
återställa	استعادة	återställa	اِستِعَادَة	V;IMP;NFIN;ACT	N;NOM;INDF;SG
teman	المواضيع	teman	مَوضُوع	N;NOM;INDF;NEUT;PL	N;NOM;DEF;PL
teman	الموضوعات	teman	مَوضُوع	N;NOM;INDF;NEUT;PL	N;NOM;DEF;PL
livsmedel	الطعام	livsmedel	طَعَام	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
livsmedel	الغذاء	livsmedel	غِذَاء	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
livsmedel	الاطعمة	livsmedel	الاطعمة	N;NOM;INDF;NEUT;SG	N;NOM;DEF;PL
värmdö	سندرلاند	värmdö	سَنَدِرُلَاند	N;NOM;INDF;MASC+FEM;SG	
fördelade	توزع	fördela	توزع	ADJ;NOM;PL;PST;V.PTCP	V;IPFV;FEM;IND;SG;3;FIN;ACT
captain	الكابتن	captain	الكابتن	N;NOM;INDF;MASC+FEM;SG	
captain	كابتن	captain	كابتن	N;NOM;INDF;MASC+FEM;SG	
myspace	myspa	myspace	myspa	N;NOM;INDF;MASC+FEM;SG	
ensamma	لوحدي	ensam	لوحدي	ADJ;NOM;PL	
ensamma	وحده	ensam	وحده	ADJ;NOM;PL	PRO;NOM;MASC;SG;3
ensamma	وحيد	ensam	وحيد	ADJ;NOM;PL	
ensamma	وحيدة	ensam	وَحِيد	ADJ;NOM;PL	ADJ;NOM;INDF;FEM;SG
ensamma	وحدي	ensam	وَحدِيّ	ADJ;NOM;PL	
ensamma	وحيدة	ensam	وَحِيد	ADJ;NOM;PL	ADJ;NOM;INDF;FEM;SG
ensamma	وحيدا	ensam	وحيدا	ADJ;NOM;PL	
ensamma	وحيد	ensam	وحيد	ADJ;NOM;PL	
ricardo	ريكاردو	ricardo	ريكاردو	N;NOM;INDF;MASC+FEM;SG	
willem	ويلما	willem	ويلما	PROPN;NOM	
willem	ويلم	willem	ويلم	PROPN;NOM	
inledning	المقدمة	inledning	مُقَدَّمَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
institution	المؤسسة	institution	مُؤَسَّسَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
väder	الجو	väder	جَوّ	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
väder	الطقس	väder	طَقس	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
alliansen	تحالف	allians	تَحَالُف	N;NOM;DEF;MASC+FEM;SG	N;NOM;INDF;SG
harriet	هارييت	harri	هَارِيِيت	N;NOM;DEF;NEUT;SG	
harriet	هاريت	harri	هَارِي	N;NOM;DEF;NEUT;SG	
räkning	بيل	räkning	بِيل	N;NOM;INDF;MASC+FEM;SG	
räkning	الفاتورة	räkning	فَاتُورَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
räkning	التعداد	räkning	تَعدَاد	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
akademisk	اكاديمية	akademisk	أَكَادِيمِيَّة	ADJ;NOM;INDF;MASC+FEM;SG	N;NOM;INDF;SG
akademisk	الاكاديمي	akademisk	إِكَادِيمِيّ	ADJ;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
akademisk	الاكاديمية	akademisk	إِكَادِيمِيّ	ADJ;NOM;INDF;MASC+FEM;SG	
akademisk	اكاديمي	akademisk	إِكَادِيمِيّ	ADJ;NOM;INDF;MASC+FEM;SG	
bedömning	التقييم	bedömning	تَقيِيم	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
bedömning	التقييم	bedömning	تَقيِيم	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
desert	الصحراء	desera	صَحرَاء	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
industrin	صناعة	industri	صِنَاعَة	N;NOM;DEF;MASC+FEM;SG	N;NOM;INDF;SG
cola	الكوكا	cola	الكوكا	N;NOM;INDF;MASC+FEM;SG	
cola	الكوك	cola	الكوك	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
cola	كوكا	cola	كُوكَا	N;NOM;INDF;MASC+FEM;SG	
cola	الكولا	cola	الكولا	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
cola	كولا	cola	كُولَا	N;NOM;INDF;MASC+FEM;SG	
case	القضية	case	قَضِيَّة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
case	الحالة	case	حَالَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
case	كايس	case	كَايس	N;NOM;INDF;MASC+FEM;SG	
primära	الابتدائي	primär	اِبتِدَائِيّ	ADJ;NOM;PL	ADJ;NOM;DEF;MASC;SG
primära	الابتدائية	primär	اِبتِدَائِيّ	ADJ;NOM;PL	ADJ;NOM;DEF;FEM;SG
primära	ابتدائي	primär	اِبتِدَائِيّ	ADJ;NOM;PL	N;ACC;INDF;SG
medborgarskap	الجنسية	medborgarskap	جِنسِيَّة	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
medborgarskap	جنسية	medborgarskap	جِنسِيّ	N;NOM;INDF;NEUT;SG	ADJ;NOM;INDF;FEM;SG
medborgarskap	الجنسية	medborgarskap	جِنسِيَّة	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
