singh	singh	singh	singh	N;INDF;MASC;SG	PROPN
styrket	fortalecido	styrke	fortalecido	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
styrket	reforzada	styrke	reforzado	N;DEF;NEUT;SG	ADJ;FEM;SG;V.PTCP
styrket	fortalecida	styrke	fortalecer	N;DEF;NEUT;SG	ADJ;FEM;SG;V.PTCP
styrket	reforzado	styrke	reforzado	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
fridtjof	fridtjof	fridtjof	fridtjof	ADJ;INDF;NEUT;SG	N;MASC;SG
organisere	organización	organisere	organización	V;NFIN	N;FEM;SG
organisere	organizador	organisere	organizador	V;NFIN	N;MASC;SG
unødvendig	innecesarios	unødvendig	innecesario	ADJ;INDF;NEUT;SG	ADJ;MASC;PL
unødvendig	innecesarias	unødvendig	innecesario	ADJ;INDF;NEUT;SG	ADJ;FEM;PL
normale	normalidad	normal	normalidad	ADJ;PL	N;FEM;SG
normale	normal	normal	normal	ADJ;PL	ADJ;SG
hardanger	hardanger	hardang	hardanger	N;INDF;MASC;SG	N;PL
halle	halle	halle	hallar	N;INDF;NEUT;SG	V;SBJV;SG;3;PRS;FIN
butikk	almacenar	butikk	almacenar	N;INDF;MASC;SG	V;NFIN
foretrekker	prefiera	foretrekke	preferir	N;INDF;MASC;PL	V;SBJV;SG;3;FIN
foretrekker	prefiere	foretrekke	preferir	N;INDF;MASC;PL	V;IND;SG;3;PRS;FIN
foretrekker	prefiera	foretrekke	preferir	N;INDF;MASC;PL	V;SBJV;SG;3;FIN
foretrekker	prefiero	foretrekke	preferir	N;INDF;MASC;PL	V;IND;SG;1;PRS;FIN
foretrekker	prefieren	foretrekke	preferir	N;INDF;MASC;PL	V;IND;PL;3;PRS;FIN
foretrekker	prefiere	foretrekke	preferir	N;INDF;MASC;PL	V;IND;SG;3;PRS;FIN
foretrekker	preferir	foretrekke	preferir	N;INDF;MASC;PL	V;NFIN
banks	bancos	banks	banco	N;INDF;MASC;SG	N;MASC;PL
planlagte	programado	planleggje	programado	ADJ;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
merkelig	strange	merkelig	strange	ADJ;INDF;NEUT;SG	N
merkelig	impares	merkelig	impar	ADJ;INDF;NEUT;SG	N;MASC;PL
merkelig	extrañamente	merkelig	extrañamente	ADJ;INDF;NEUT;SG	ADV
merkelig	curiosamente	merkelig	curiosamente	ADJ;INDF;NEUT;SG	ADV
mislykket	fracasado	mislykk	fracasar	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
mislykket	fallado	mislykk	fallar	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
mislykket	falló	mislykk	fallar	N;DEF;NEUT;SG	V;IND;SG;3;PST;FIN
palestinske	palestinos	palestinsk	palestino	ADJ;PL	N;MASC;PL
palestinske	palestino	palestinsk	palestino	ADJ;PL	N;MASC;SG
palestinske	palestina	palestinsk	palestino	ADJ;PL	ADJ;FEM;SG
vegard	vegard	vegard	vegard	N;INDF;MASC;SG	V;NFIN
ansikt	caras	ansikt	cara	N;INDF;NEUT;SG	N;FEM;PL
ansikt	rostros	ansikt	rostro	N;INDF;NEUT;SG	N;MASC;PL
tusenvis	miles	tusenvis	mil	N	NUM;PL
kunngjorde	anunciado	kunngjere	anunciado	V;IND;PST;FIN	ADJ;MASC;SG;V.PTCP
kunngjorde	anunciada	kunngjere	anunciado	V;IND;PST;FIN	ADJ;FEM;SG;V.PTCP
