також	וגם	також	וגם	ADV	
про	אודות	про	אודות	ADP;ACC	
його	שלו	він	של	PRO;ACC;MASC;SG;3	
його	שלו	він	של	PRO;ACC;MASC;SG;3	
його	בו	він	ב	PRO;ACC;MASC;SG;3	ADP
населення	דמוגרפיה	населення	דמוגרפיה	N;INAN;NOM;NEUT;SG	PROPN
час	פעמים	час	פעם	N;INAN;NOM;MASC;SG	N;FEM;PL
час	הטיימס	час	הטיימס	N;INAN;NOM;MASC;SG	PROPN
час	טיימס	час	טיימס	N;INAN;NOM;MASC;SG	PROPN
час	זמנים	час	זמן	N;INAN;NOM;MASC;SG	N;MASC;PL
час	הזמן	час	הזמן	N;INAN;NOM;MASC;SG	
час	טיים	час	טיים	N;INAN;NOM;MASC;SG	PROPN
області	אזורים	область	אזור	N;INAN;GEN;FEM;SG	N;MASC;PL
області	תחומים	область	תחום	N;INAN;GEN;FEM;SG	N;MASC;PL
які	אשר	який	אשר	DET;NOM;PL	CONJ
які	איזה	який	איזה	DET;NOM;PL	
при	pri	при	pri	ADP;ESS	
який	אשר	який	אשר	DET;NOM;MASC;SG	CONJ
який	איזה	який	איזה	DET;NOM;MASC;SG	
міста	ערים	місто	עיר	N;INAN;NOM;NEUT;SG	N;FEM;PL
міста	הערים	місто	הערים	N;INAN;NOM;NEUT;SG	V;MASC;SG;3;PST;ACT
див	ראי	див.	ראי		
див	רואה	див.	ראה		V;MASC;SG;V.PTCP;ACT
див	ראה	див.	ראה		V;MASC;SG;3;PST;ACT
село	הכפר	село	הכפר	N;INAN;NOM;NEUT;SG	
через	דרך	через	דרך	ADP;ACC	
через	ויה	через	ויה	ADP;ACC	PROPN
через	עקב	через	None	ADP;ACC	CONJ
через	דרך	через	דרך	ADP;ACC	
села	הכפרים	село	הכפר	N;INAN;NOM;NEUT;SG	N;MASC;PL
села	כפרים	село	כפר	N;INAN;NOM;NEUT;SG	N;MASC;PL
села	סילה	село	סילה	N;INAN;NOM;NEUT;SG	PROPN
так	כן	так	כן	INTJ	ADV
так	כן	так	כן	INTJ	ADV
тому	לכן	тому	לכן	ADV	CONJ
тому	לפיכך	тому	לפיכך	ADV	CONJ
рік	ריק	рік	ריק	N;INAN;NOM;MASC;SG	
ради	מועצה	рада	מועצה	N;INAN;NOM;FEM;PL	N;FEM;SG
ради	המועצה	рада	המועצה	N;INAN;NOM;FEM;PL	PROPN
має	חייב	мати	חייב	V;IPFV;IND;SG;3;PRS;FIN	ADJ;MASC;SG
область	אובלסט	область	אובלסט	N;INAN;NOM;FEM;SG	PROPN
область	האזור	область	האזור	N;INAN;NOM;FEM;SG	PROPN
того	טוגו	те	טוגו	PRO;INAN;GEN;NEUT;SG	PROPN
яка	מה	який	מה	DET;NOM;FEM;SG	ADV
яка	אשר	який	אשר	DET;NOM;FEM;SG	CONJ
яка	איזה	який	איזה	DET;NOM;FEM;SG	
сайті	האתר	сайт	האתר	N;INAN;DAT;MASC;SG	
близько	קרוב	близько	קרוב	ADV	
близько	סגור	близько	סגור	ADV	
близько	קרובים	близько	קרוב	ADV	N;MASC;PL
близько	ליד	близько	ליד	ADV	ADP
війни	המלחמות	війна	המלחמות	N;INAN;NOM;FEM;SG	N;FEM;PL
війни	מלחמות	війна	מלחמה	N;INAN;NOM;FEM;SG	N;FEM;PL
файл	קובץ	файл	קובץ	N;INAN;NOM;MASC;SG	PROPN
файл	הקובץ	файл	הקובץ	N;INAN;NOM;MASC;SG	PROPN
роки	שנה	рік	שנה	N;INAN;NOM;MASC;PL	N;FEM;SG
обговорення	דיונים	обговорення	דיון	N;INAN;NOM;NEUT;SG	N;MASC;PL
обговорення	לדון	обговорення	דן	N;INAN;NOM;NEUT;SG	V;NFIN;ACT
коли	מתי	коли	מתי	ADV	ADV
коли	כאשר	коли	כאשר	ADV	CONJ
лише	בלבד	лише	בלבד	PART	ADV
лише	רק	лише	רק	PART	ADV
список	הרשימה	список	הרשים	N;INAN;NOM;MASC;SG	V;FEM;SG;3;PST;ACT
вересня	ספטמבר	вересень	ספטמבר	N;INAN;GEN;MASC;SG	PROPN
цей	זה	цей	זה	DET;NOM;MASC;SG	PRO;MASC;SG;3
березня	מרץ	березень	מרץ	N;INAN;GEN;MASC;SG	PROPN
березня	במרץ	березень	במרץ	N;INAN;GEN;MASC;SG	PROPN
місце	ספוט	місце	ספוט	N;INAN;NOM;NEUT;SG	PROPN
місце	המקום	місце	המקום	N;INAN;NOM;NEUT;SG	
місце	מושב	місце	מושב	N;INAN;NOM;NEUT;SG	
місце	המושב	місце	המושב	N;INAN;NOM;NEUT;SG	
україні	אוקראינה	україна	אוקראינה	PROPN;INAN;DAT;FEM;SG	PROPN
серпня	אוגוסט	серпень	אוגוסט	N;INAN;GEN;MASC;SG	PROPN
січня	ינואר	січень	ינואר	N;INAN;GEN;MASC;SG	PROPN
січня	בינואר	січень	בינואר	N;INAN;GEN;MASC;SG	
став	הפכו	стати	הפך	V;PFV;MASC;IND;SG;PST;FIN	V;PL;3;PST
травня	מיי	травень	מיי	N;INAN;GEN;MASC;SG	
травня	מאי	травень	מאי	N;INAN;GEN;MASC;SG	PROPN
грудня	בדצמבר	грудень	בדצמבר	N;INAN;GEN;MASC;SG	PROPN
грудня	דצמבר	грудень	דצמבר	N;INAN;GEN;MASC;SG	PROPN
інших	אחרים	інший	אחר	DET;GEN;PL	ADJ;MASC;PL
інших	אחר	інший	אחר	DET;GEN;PL	ADP
інших	אחרות	інший	אחר	DET;GEN;PL	ADJ;FEM;PL
інших	אחרים	інший	אחר	DET;GEN;PL	ADJ;MASC;PL
інших	ואחרים	інший	ואחר	DET;GEN;PL	PROPN
жовтня	באוקטובר	жовтень	באוקטובר	N;INAN;GEN;MASC;SG	PROPN
жовтня	אוקטובר	жовтень	אוקטובר	N;INAN;GEN;MASC;SG	PROPN
жовтня	באוקטובר	жовтень	באוקטובר	N;INAN;GEN;MASC;SG	PROPN
липня	ביולי	липень	ביולי	N;INAN;GEN;MASC;SG	PROPN
липня	יולי	липень	יולי	N;INAN;GEN;MASC;SG	PROPN
участь	משתתפים	участь	השתתף	N;INAN;ACC;FEM;SG	V;MASC;PL;V.PTCP
участь	משתתפת	участь	השתתף	N;INAN;ACC;FEM;SG	V;FEM;SG;V.PTCP
участь	משתתף	участь	השתתף	N;INAN;ACC;FEM;SG	V;MASC;SG;V.PTCP
участь	השתתף	участь	השתתף	N;INAN;ACC;FEM;SG	V;MASC;SG;3;PST
участь	משתתפת	участь	השתתף	N;INAN;ACC;FEM;SG	V;FEM;SG;V.PTCP
участь	להשתתף	участь	השתתף	N;INAN;ACC;FEM;SG	V;NFIN
вид	אדיב	вид	אדיב	N;INAN;NOM;MASC;SG	PROPN
вид	מין	вид	מין	N;INAN;NOM;MASC;SG	
вид	מינים	вид	מין	N;INAN;NOM;MASC;SG	N;MASC;PL
вид	זן	вид	זן	N;INAN;NOM;MASC;SG	
вид	צפי	вид	None	N;INAN;NOM;MASC;SG	
вид	צפה	вид	צפה	N;INAN;NOM;MASC;SG	PROPN
вид	הצג	вид	הצג	N;INAN;NOM;MASC;SG	
можна	יכולה	можна	יכול	ADV	V;FEM;SG;V.PTCP
можна	יכול	можна	None	ADV	V;MASC;SG;V.PTCP
червня	יוני	червень	יוני	N;INAN;GEN;MASC;SG	PROPN
місто	טאון	місто	טאון	N;INAN;NOM;NEUT;SG	PROPN
місто	העיר	місто	העיר	N;INAN;NOM;NEUT;SG	V;MASC;SG;3;PST;ACT
місто	העיר	місто	העיר	N;INAN;NOM;NEUT;SG	V;MASC;SG;3;PST;ACT
життя	life	життя	life	N;INAN;NOM;NEUT;SG	
життя	החיים	життя	החיים	N;INAN;NOM;NEUT;SG	ADV
життя	חיים	життя	חיים	N;INAN;NOM;NEUT;SG	PROPN
квітня	אפריל	квітень	אפריל	N;INAN;GEN;MASC;SG	PROPN
листопада	נובמבר	листопад	נובמבר	N;INAN;GEN;MASC;SG	PROPN
листопада	בנובמבר	листопад	בנובמבר	N;INAN;GEN;MASC;SG	ADV
лютого	בפברואר	лютий	בפברואר	N;INAN;GEN;MASC;SG	ADV
лютого	פברואר	лютий	פברואר	N;INAN;GEN;MASC;SG	PROPN
лютого	פברואר	лютий	פברואר	N;INAN;GEN;MASC;SG	PROPN
опис	התיאור	опис	התיאור	N;INAN;NOM;MASC;SG	PROPN
центр	המרכז	центр	המרכז	N;INAN;NOM;MASC;SG	PROPN
центр	סנטר	центр	סנטר	N;INAN;NOM;MASC;SG	PROPN
центр	המרכז	центр	המרכז	N;INAN;NOM;MASC;SG	PROPN
захід	המערב	захід	המערב	N;INAN;NOM;MASC;SG	PROPN
захід	ווסט	захід	וסט	N;INAN;NOM;MASC;SG	PROPN
захід	מערבה	захід	מערבה	N;INAN;NOM;MASC;SG	ADV
захід	וסט	захід	וסט	N;INAN;NOM;MASC;SG	PROPN
тільки	בלבד	тільки	בלבד	PART	ADV
тільки	רק	тільки	רק	PART	ADV
франції	צרפת	франція	צרפת	PROPN;INAN;GEN;FEM;SG	PROPN
століття	מאות	століття	מאות	N;INAN;NOM;NEUT;SG	NUM;FEM;PL
століття	המאה	століття	המאה	N;INAN;NOM;NEUT;SG	
рада	המועצה	рада	המועצה	N;INAN;NOM;FEM;SG	PROPN
рада	ראדה	рада	ראדה	N;INAN;NOM;FEM;SG	PROPN
схід	מזרחה	схід	מזרחה	N;INAN;NOM;MASC;SG	ADV
схід	המזרח	схід	המזרח	N;INAN;NOM;MASC;SG	PROPN
схід	איסט	схід	איסט	N;INAN;NOM;MASC;SG	PROPN
міні	מיני	міні	מין		
особи	האדם	особа	האדם	N;ANIM;NOM;FEM;PL	
особи	אדם	особа	אדם	N;ANIM;NOM;FEM;PL	N;MASC;SG
над	נגמר	над	נגמר	ADP;ACC	V;MASC;SG;V.PTCP;MID
зображення	תמונות	зображення	תמונה	N;INAN;NOM;NEUT;SG	N;FEM;PL
зображення	התמונה	зображення	התמונה	N;INAN;NOM;NEUT;SG	V;FEM;SG;3;PST
зображення	התמונה	зображення	התמונה	N;INAN;NOM;NEUT;SG	V;FEM;SG;3;PST
зображення	תמונות	зображення	תמונה	N;INAN;NOM;NEUT;SG	N;FEM;PL
код	קוד	код	קוד	N;INAN;NOM;MASC;SG	
сайт	האתר	сайт	האתר	N;INAN;NOM;MASC;SG	
разом	ביחד	разом	ביחד	ADV	
інші	אחרים	інший	אחר	DET;NOM;PL	ADJ;MASC;PL
інші	אחר	інший	אחר	DET;NOM;PL	ADP
інші	אחרות	інший	אחר	DET;NOM;PL	ADJ;FEM;PL
інші	אחרים	інший	אחר	DET;NOM;PL	ADJ;MASC;PL
інші	ואחרים	інший	ואחר	DET;NOM;PL	PROPN
проти	כנגד	проти	כנגד	ADV	ADP
проти	נגד	проти	נגד	ADV	ADP
український	אוקראיני	український	אוקראיני	ADJ;NOM;MASC;SG	PROPN
історії	היסטוריה	історія	היסטוריה	N;INAN;NOM;FEM;PL	N;FEM;SG
історії	ההיסטוריה	історія	ההיסטוריה	N;INAN;NOM;FEM;PL	N;FEM;SG
всі	כולם	весь	None	DET;NOM;PL	N;MASC;PL
всі	הכל	весь	הכיל	DET;NOM;PL	N
багато	המון	багато	המון	ADV	
багато	רבות	багато	רב	ADV	N;FEM;PL
багато	רבים	багато	רב	ADV	V;MASC;PL;V.PTCP;ACT
кількість	רוזן	кількість	רוזן	N;INAN;NOM;FEM;SG	PROPN
кількість	המספר	кількість	המספר	N;INAN;NOM;FEM;SG	PROPN
перший	ראשון	перший	ראשון	ADJ;NOM;MASC;SG	PROPN
перший	קודם	перший	קודם	ADJ;NOM;MASC;SG	ADV
перший	ראשית	перший	ראשית	ADJ;NOM;MASC;SG	ADV
перший	תחילה	перший	תחילה	ADJ;NOM;MASC;SG	ADV
площа	פלאזה	площа	פלאזה	N;INAN;NOM;FEM;SG	PROPN
