категория	catégories	категория	catégorie	N;INAN;NOM;FEM;SG	N;FEM;PL
что	quel	что	quel	PRO;NOM	DET;MASC;SG
что	quelle	что	quel	PRO;NOM	DET;FEM;SG
как	comment	как	comment	CONJ	ADV
как	comme	как	comme	CONJ	ADP
как	aime	как	aimer	CONJ	V;IND;SG;3;PRS;FIN
как	aiment	как	aimer	CONJ	V;IND;PL;3;PRS;FIN
как	genre	как	genre	CONJ	N;MASC;SG
как	aimez	как	aimer	CONJ	V;IMP;PL;2;PRS;FIN
был	fut	быть	être	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
был	etait	быть	etever	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
был	était	быть	être	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
его	sa	он	son	PRO;ACC;MASC;SG;3	DET;FEM;SG
его	his	он	his	PRO;ACC;MASC;SG;3	PROPN
его	ses	он	son	PRO;ACC;MASC;SG;3	DET;MASC;PL
его	son	он	son	PRO;ACC;MASC;SG;3	DET;MASC;SG
это	cette	это	ce	PRO;INAN;NOM;NEUT;SG	DET;FEM;SG
это	que	это	que	PRO;INAN;NOM;NEUT;SG	CONJ
после	apres	после	après	ADP	
после	after	после	after	ADP	PROPN
после	aprés	после	apré	ADP	
было	fut	быть	être	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
было	etait	быть	etever	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
было	était	быть	être	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
была	etait	быть	etever	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
была	était	быть	être	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
были	étaient	быть	être	V;IPFV;IND;PL;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
вид	espèces	вид	espèce	N;INAN;NOM;MASC;SG	N;FEM;PL
вид	afficher	вид	afficher	N;INAN;NOM;MASC;SG	V;NFIN
вид	vue	вид	voir	N;INAN;NOM;MASC;SG	V;FEM;SG;PST;V.PTCP
вид	voir	вид	voir	N;INAN;NOM;MASC;SG	V;NFIN
вид	visualiser	вид	visualiser	N;INAN;NOM;MASC;SG	V;NFIN
под	under	под	under	ADP	PROPN
только	seul	только	seul	PART	ADJ;MASC;SG
только	uniquement	только	uniquement	PART	ADV
только	seulement	только	seulement	PART	ADV
только	seule	только	seul	PART	ADJ;FEM;SG
только	just	только	just	PART	INTJ
только	simplement	только	simplement	PART	ADV
только	juste	только	juste	PART	ADV
есть	got	быть	got	V;IPFV;IND;SG;3;PRS;FIN;ACT	
язык	langues	язык	langue	N;INAN;NOM;MASC;SG	N;FEM;PL
ссср	urss	ссср	urss	PROPN;INAN;NOM;MASC;SG	PROPN
мая	may	май	may	N;INAN;GEN;MASC;SG	PROPN
мая	peut	май	pouvoir	N;INAN;GEN;MASC;SG	V;IND;SG;3;PRS;FIN
где	oú	где	oú	ADV	CONJ
где	où	где	où	ADV	PRO
марта	marta	март	marta	N;INAN;GEN;MASC;SG	PROPN
марта	martha	март	martha	N;INAN;GEN;MASC;SG	PROPN
все	toute	все	tout	PRO;INAN;NOM;NEUT;SG	DET;FEM;SG
все	toutes	все	tout	PRO;INAN;NOM;NEUT;SG	PRO;FEM;PL
все	tous	все	tout	PRO;INAN;NOM;NEUT;SG	PRO;MASC;PL
все	all	все	all	PRO;INAN;NOM;NEUT;SG	
августа	augusta	август	augusta	N;INAN;GEN;MASC;SG	PROPN
том	tom	то	tom	PRO;INAN;NOM;NEUT;SG	PROPN
уже	déja	уже	déja	ADV	
уже	deja	уже	deja	ADV	INTJ
уже	dejà	уже	dejà	ADV	
сша	usa	сшать	usa	N;INAN;NOM;PL	PROPN
название	nommer	название	nommer	N;INAN;NOM;NEUT;SG	V;NFIN
название	noms	название	nom	N;INAN;NOM;NEUT;SG	N;MASC;PL
человек	humaine	человек	humain	N;ANIM;NOM;MASC;SG	ADJ;FEM;SG
человек	humains	человек	humain	N;ANIM;NOM;MASC;SG	ADJ;MASC;PL
человек	humain	человек	humain	N;ANIM;NOM;MASC;SG	ADJ;MASC;SG
смерти	morts	смерть	mourir	N;INAN;GEN;FEM;SG	V;MASC;PL;PST;V.PTCP
того	togo	то	togo	PRO;INAN;GEN;NEUT;SG	N;MASC;SG
города	ville	город	ville	N;INAN;NOM;MASC;PL	N;FEM;SG
может	pourrais	мочь	pouvoir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;COND;SG;1;PRS;FIN
может	pouvait	мочь	pouvoir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;IPFV;FIN
может	pourrait	мочь	pouvoir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;COND;SG;3;PRS;FIN
может	pourraient	мочь	pouvoir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;COND;PL;3;PRS;FIN
может	peuvent	мочь	pouvoir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
может	pouvez	мочь	pouvoir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IMP;PL;2;PRS;FIN
может	peux	мочь	pouvoir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;1;PRS;FIN
войны	guerre	война	guerre	N;INAN;NOM;FEM;PL	N;FEM;SG
войны	war	война	war	N;INAN;NOM;FEM;PL	N;SG
можно	peuvent	можно	pouvoir	ADV	V;IND;PL;3;PRS;FIN
можно	pouvez	можно	pouvoir	ADV	V;IMP;PL;2;PRS;FIN
можно	peux	можно	pouvoir	ADV	V;IND;SG;1;PRS;FIN
можно	peut	можно	pouvoir	ADV	V;IND;SG;3;PRS;FIN
переписи	recensement	перепись	recensement	N;INAN;NOM;FEM;PL	N;MASC;SG
село	selo	село	selo	N;INAN;NOM;NEUT;SG	PROPN
стал	devenus	стать	devenir	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
род	rod	род	rod	N;ANIM;NOM;MASC;SG	PROPN
один	seul	один	seul	NUM;NOM;MASC	ADJ;MASC;SG
один	seuls	один	seul	NUM;NOM;MASC	ADJ;MASC;PL
один	seule	один	seul	NUM;NOM;MASC	ADJ;FEM;SG
один	odin	один	odin	NUM;NOM;MASC	PROPN
один	un	один	un	NUM;NOM;MASC	PRO;MASC;SG
один	une	один	un	NUM;NOM;MASC	DET;INDF;FEM;SG
один	one	один	one	NUM;NOM;MASC	PROPN
реки	fleuve	река	fleuve	N;INAN;NOM;FEM;PL	N;MASC;SG
реки	rivière	река	rivière	N;INAN;NOM;FEM;PL	N;FEM;SG
населения	populations	население	population	N;INAN;GEN;NEUT;SG	N;FEM;PL
национальный	nationaux	национальный	national	ADJ;NOM;MASC;SG	ADJ;MASC;PL
национальный	nationales	национальный	national	ADJ;NOM;MASC;SG	ADJ;FEM;PL
область	oblast	область	oblast	N;INAN;NOM;FEM;SG	PROPN
список	listes	список	liste	N;INAN;NOM;MASC;SG	N;FEM;PL
сельское	rurales	сельский	rural	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
сельское	ruraux	сельский	rural	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
официальный	fonctionnaire	официальный	fonctionnaire	ADJ;NOM;MASC;SG	N;MASC;SG
официальный	officielles	официальный	officiel	ADJ;NOM;MASC;SG	ADJ;FEM;PL
официальный	officiels	официальный	officiel	ADJ;NOM;MASC;SG	ADJ;MASC;PL
против	against	против	against	ADP	PROPN
этот	ceci	этот	ceci	DET;NOM;MASC;SG	PRO;SG
этот	cet	этот	ce	DET;NOM;MASC;SG	PRO;SG;3
этот	cela	этот	cela	DET;NOM;MASC;SG	PRO;SG
этот	ce	этот	ce	DET;NOM;MASC;SG	PRO;SG;3
будет	will	быть	will	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
будет	volonté	быть	volonté	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;SG
будет	fera	быть	faire	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;FUT;FIN
будет	sera	быть	être	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;FUT;FIN
несколько	plusieurs	несколько	plusieurs	ADV	PRO;PL
несколько	multiple	несколько	multiple	ADV	ADJ;MASC;SG
несколько	multiples	несколько	multiple	ADV	ADJ;MASC;PL
несколько	plusieurs	несколько	plusieurs	ADV	PRO;PL
город	villes	город	ville	N;INAN;NOM;MASC;SG	N;FEM;PL
мира	mira	мир	mire	N;INAN;GEN;MASC;SG	PROPN
первое	premières	первый	premier	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
первое	premiers	первый	premier	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
описание	descriptif	описание	descriptif	N;INAN;NOM;NEUT;SG	ADJ;MASC;SG
всего	totale	все	total	PRO;INAN;GEN;NEUT;SG	ADJ;FEM;SG
всего	total	все	total	PRO;INAN;GEN;NEUT;SG	N;MASC;SG
всего	totaux	все	total	PRO;INAN;GEN;NEUT;SG	ADJ;MASC;PL
первый	premières	первый	premier	ADJ;NOM;MASC;SG	ADJ;FEM;PL
первый	premiers	первый	premier	ADJ;NOM;MASC;SG	ADJ;MASC;PL
среди	parmis	среди	parmettre	ADP	INTJ
два	two	два	two	NUM;NOM;MASC	PROPN
всех	toute	все	tout	PRO;ANIM;ACC;PL	DET;FEM;SG
всех	tout	все	tout	PRO;ANIM;ACC;PL	PRO;MASC;SG
всех	all	все	all	PRO;ANIM;ACC;PL	
раз	jadis	раз	jadis	CONJ	ADV
раз	once	раз	once	CONJ	N;FEM;SG
очень	tres	очень	tre	ADV	ADJ;MASC;SG
карта	cartes	карта	carte	N;INAN;NOM;FEM;SG	N;FEM;PL
площадь	plaza	площадь	plaza	N;INAN;NOM;FEM;SG	PROPN
площадь	carrés	площадь	carré	N;INAN;NOM;FEM;SG	N;MASC;PL
площадь	carrées	площадь	carrée	N;INAN;NOM;FEM;SG	ADJ;FEM;PL
даже	meme	даже	même	PART	INTJ
даже	même	даже	même	PART	ADV
затем	puis	затем	puis	ADV	CONJ
группы	groupe	группа	groupe	N;INAN;NOM;FEM;PL	N;MASC;SG
размер	tailles	размер	taille	N;INAN;NOM;MASC;SG	N;FEM;PL
почтовый	postaux	почтовый	postal	ADJ;NOM;MASC;SG	ADJ;MASC;PL
почтовый	postal	почтовый	postal	ADJ;NOM;MASC;SG	N;MASC;SG
страны	pays	страна	pays	N;INAN;NOM;FEM;PL	N;MASC;SG
страны	pays	страна	pays	N;INAN;NOM;FEM;PL	N;MASC;SG
улица	rues	улица	rue	N;INAN;NOM;FEM;SG	N;FEM;PL
улица	street	улица	street	N;INAN;NOM;FEM;SG	PROPN
население	démographiques	население	démographique	N;INAN;NOM;NEUT;SG	ADJ;MASC;PL
население	populations	население	population	N;INAN;NOM;NEUT;SG	N;FEM;PL
работы	travail	работа	travail	N;INAN;NOM;FEM;PL	N;MASC;SG
работы	travailler	работа	travailler	N;INAN;NOM;FEM;PL	V;NFIN
вместе	together	вместе	together	ADV	PROPN
упоминание	mentionnant	упоминание	mentionner	N;INAN;NOM;NEUT;SG	V;PRS;V.PTCP
упоминание	mentionner	упоминание	mentionner	N;INAN;NOM;NEUT;SG	V;NFIN
здесь	voilà	здесь	voilà	ADV	V
здесь	voici	здесь	voici	ADV	V
истории	histoire	история	histoire	N;INAN;NOM;FEM;PL	N;FEM;SG
истории	historique	история	historique	N;INAN;NOM;FEM;PL	ADJ;MASC;SG
александр	aleksandr	александр	aleksandr	N;ANIM;NOM;MASC;SG	PROPN
александр	alexander	александр	alexander	N;ANIM;NOM;MASC;SG	PROPN
армии	armées	армия	armer	N;INAN;NOM;FEM;SG	V;FEM;PL;PST;V.PTCP
хотя	quoique	хотя	quoique	CONJ	ADV
кроме	excepté	кроме	excepté	ADP	
другие	autre	другой	autre	ADJ;NOM;PL	PRO;SG
другие	autres	другой	autre	ADJ;NOM;PL	PRO;PL
другие	autres	другой	autre	ADJ;NOM;PL	PRO;PL
получил	got	получить	got	V;PFV;MASC;IND;SG;PST;FIN;ACT	
история	historique	история	historique	N;INAN;NOM;FEM;SG	ADJ;MASC;SG
либо	soit	либо	soit	CONJ	CONJ
участник	membres	участник	membre	N;ANIM;NOM;MASC;SG	N;MASC;PL
участник	participante	участник	participant	N;ANIM;NOM;MASC;SG	ADJ;FEM;SG
участник	participant	участник	participer	N;ANIM;NOM;MASC;SG	V;PRS;V.PTCP
страница	pages	страница	page	N;INAN;NOM;FEM;SG	N;FEM;PL
википедии	wikipédia	википедия	wikipédia	N;INAN;NOM;FEM;PL	V;MASC;SG;PST;V.PTCP
википедии	wikipedia	википедия	wikipedia	N;INAN;NOM;FEM;PL	N;FEM;SG
три	three	три	three	NUM;NOM	PROPN
человека	humaine	человек	humain	N;ANIM;ACC;MASC;SG	ADJ;FEM;SG
человека	humains	человек	humain	N;ANIM;ACC;MASC;SG	ADJ;MASC;PL
человека	humain	человек	humain	N;ANIM;ACC;MASC;SG	ADJ;MASC;SG
республики	république	республика	république	N;INAN;NOM;FEM;PL	N;FEM;SG
внутреннее	internes	внутренний	interne	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
эти	ces	этот	ce	DET;NOM;PL	PRO;PL;3
центр	centrer	центр	centrer	N;INAN;NOM;MASC;SG	V;NFIN
жизни	vie	жизнь	vie	N;INAN;NOM;FEM;PL	N;FEM;SG
генерал	généraux	генерал	général	N;ANIM;NOM;MASC;SG	ADJ;MASC;PL
генерал	généralités	генерал	généralité	N;ANIM;NOM;MASC;SG	N;FEM;PL
генерал	générale	генерал	général	N;ANIM;NOM;MASC;SG	ADJ;FEM;SG
родился	naissance	рождаться	naissance	V;PFV;MASC;IND;SG;PST;FIN;MID	N;FEM;SG
родился	born	рождаться	born	V;PFV;MASC;IND;SG;PST;FIN;MID	PROPN
кто	oms	кто	om	PRO;NOM	N;MASC;SG
кто	who	кто	who	PRO;NOM	PROPN
именно	exactement	именно	exactement	PART	ADV
община	communautaire	община	communautaire	N;INAN;NOM;FEM;SG	ADJ;MASC;SG
индексы	index	индекс	index	N;INAN;NOM;MASC;PL	N;MASC;SG
округа	districts	округ	district	N;INAN;GEN;MASC;SG	N;MASC;PL
округа	arrondissements	округ	arrondissement	N;INAN;GEN;MASC;SG	N;MASC;PL
округа	quartiers	округ	quartier	N;INAN;GEN;MASC;SG	N;MASC;PL
округа	comtés	округ	comté	N;INAN;GEN;MASC;SG	N;MASC;PL
