organe	elin	organ	elin	N;INDF;FEM;PL	N;NOM;SG
goethe	goethe	goethe	goethe	PROPN	N;NOM;SG
aug	elokuu	augi	elokuu		N;NOM;SG
bobby	bobbyn	bobby	bobby	PROPN	N;GEN;SG
bobby	bobby	bobby	bobby	PROPN	PROPN;NOM;SG
ring	soida	ring	soida	N;INDF;MASC;SG	V;SG;NFIN;ACT
sever	vakavat	sever	vakava	ADJ;INDF;MASC;SG	ADJ;NOM;PL
sever	sever	sever	sever	ADJ;INDF;MASC;SG	N;NOM;SG
pielea	ihon	piele	iho	N;DEF;FEM;SG	N;GEN;SG
pielea	iho	piele	iho	N;DEF;FEM;SG	N;NOM;SG
pielea	ihoa	piele	iho	N;DEF;FEM;SG	N;PRT;SG
abordare	lähestymistapa	abordare	lähestymis#tapa	N;INDF;FEM;SG	N;NOM;SG
abordare	lähestymistavan	abordare	lähestymis#tapa	N;INDF;FEM;SG	N;GEN;SG
vorbind	puhuminen	vorbi	puhuminen	V;V.MSDR	N;NOM;SG
mina	mina	mină	mina	N;DEF;FEM;SG	INTJ
mina	käsi	mină	käsi	N;DEF;FEM;SG	N;NOM;SG
mina	käden	mină	käsi	N;DEF;FEM;SG	N;GEN;SG
cameron	cameron	cameron	cameron	PROPN	N;NOM;SG
cameron	cameronin	cameron	cameron	PROPN	N;GEN;SG
revistele	lehtiä	revistă	lehti	N;DEF;FEM;PL	N;PRT;PL
revistele	lehdet	revistă	lehti	N;DEF;FEM;PL	N;NOM;PL
decisiv	ratkaisevat	decisiv	ratkaista	ADJ;INDF;MASC;SG	V;IND;PL;3;PRS;FIN;ACT
salbatice	wild	salbatic	wild	ADJ;INDF;FEM;PL	
salbatice	villiä	salbatic	villi	ADJ;INDF;FEM;PL	ADJ;PRT;SG
salbatice	hurja	salbatic	hurja	ADJ;INDF;FEM;PL	ADJ;NOM;SG
salbatice	villi	salbatic	villi	ADJ;INDF;FEM;PL	ADJ;NOM;SG
definitia	määrittely	definitie	määrittely	N;DEF;FEM;SG	N;NOM;SG
definitia	määritelmä	definitie	määritelmä	N;DEF;FEM;SG	N;NOM;SG
definitia	määritelmät	definitie	määritelmä	N;DEF;FEM;SG	N;NOM;PL
stins	haalistunut	stins	haalistua	ADJ;INDF;MASC;SG	V;NOM;SG;V.PTCP;ACT
averea	vauraus	avere	vauraus	N;DEF;FEM;SG	N;NOM;SG
averea	rikkautta	avere	rikkaus	N;DEF;FEM;SG	N;PRT;SG
averea	rikkaudet	avere	rikkaus	N;DEF;FEM;SG	N;NOM;PL
averea	vaurautta	avere	vauraus	N;DEF;FEM;SG	N;PRT;SG
averea	rikkaus	avere	rikkaus	N;DEF;FEM;SG	N;NOM;SG
practicat	harjoitettu	practica	harjoittaa	ADJ;INDF;MASC;SG	V;NOM;SG;V.PTCP;PASS
practicat	harjoitellut	practica	harjoiteltu	ADJ;INDF;MASC;SG	V;NOM;SG;V.PTCP;ACT
practicat	harjoittanut	practica	harjoittaa	ADJ;INDF;MASC;SG	V;NOM;SG;V.PTCP;ACT
dati	antaa	da	antaa		V;IND;SG;3;PRS;FIN;ACT
dati	annetaan	da	antaa		V;IND;PRS;FIN;PASS
tinta	target	tinta	tarki	N;DEF;FEM;SG	N;NOM;SG
tinta	kohde	tinta	kohde	N;DEF;FEM;SG	N;NOM;SG
tinta	target	tinta	tarki	N;DEF;FEM;SG	N;NOM;SG
tinta	kohde	tinta	kohde	N;DEF;FEM;SG	N;NOM;SG
comunitatile	yhteisöt	comunitate	yhteisö	N;DEF;FEM;PL	N;NOM;PL
comunitatile	yhteisöjen	comunitate	yhteisö	N;DEF;FEM;PL	N;GEN;PL
vanzare	myyntiin	vanzare	myynti	N;INDF;FEM;SG	N;IN+ALL;SG
vanzare	myynti	vanzare	myynti	N;INDF;FEM;SG	N;NOM;SG
