پِیاک	joodik	پِیاک	joodik	PROPN;NOM;MASC;SG;3	N;NOM;SG
پِیالہ	karikavõistlused	پِیالہ	karika_võistlus	PROPN;NOM;MASC;SG;3	N;NOM;PL
پِیالہ	cup	پِیالہ	cup	PROPN;NOM;MASC;SG;3	N;NOM;SG
پِیالہ	tops	پِیالہ	tops	PROPN;NOM;MASC;SG;3	N;NOM;SG
پِیالہ	tass	پِیالہ	tass	PROPN;NOM;MASC;SG;3	N;NOM;SG
پِیالہ	karikas	پِیالہ	karikas	PROPN;NOM;MASC;SG;3	N;NOM;SG
پِیالی	kraavi	پِیالی	kraav	PROPN;NOM;MASC;SG;3	N;NOM;SG
پیام	sõnum	پیام	sõnum	PROPN;NOM;MASC;SG;3	N;NOM;SG
پیام	teade	پیام	teade	PROPN;NOM;MASC;SG;3	N;NOM;SG
پیام	paku	پیام	pakkuma	PROPN;NOM;MASC;SG;3	V;IMP;SG;2;PRS;FIN;ACT
پیام	pakkumine	پیام	pakkumine	PROPN;NOM;MASC;SG;3	N;NOM;SG
پیام	pakkuda	پیام	pakkuma	PROPN;NOM;MASC;SG;3	V;NFIN
پیام	kutse	پیام	kutse	PROPN;NOM;MASC;SG;3	N;NOM;SG
پیامی	sõnumitooja	پیامی	sõnumi_too=ja	ADJ	N;NOM;SG
پِیانا	vett	پِیانا	vesi	PROPN;NOM;MASC;SG;3	N;PRT;SG
پِیانا	vesi	پِیانا	vesi	PROPN;NOM;MASC;SG;3	N;NOM;SG
پِیپ	lümf	پِیپ	lümf	PROPN;NOM;MASC;SG;3	N;NOM;SG
پِیپ	mäda	پِیپ	mäda	PROPN;NOM;MASC;SG;3	N;NOM;SG
پِیپا	rasvunud	پِیپا	rasvunud	PROPN;NOM;MASC;SG;3	ADJ;PST;V.PTCP;ACT
پِیپا	tagumik	پِیپا	tagumik	PROPN;NOM;MASC;SG;3	N;NOM;SG
پِیپا	joodik	پِیپا	joodik	PROPN;NOM;MASC;SG;3	N;NOM;SG
پِیپا	tünn	پِیپا	tünn	PROPN;NOM;MASC;SG;3	N;NOM;SG
پِیت	õnn	پِیت	õnn	PROPN;NOM;MASC;SG;3	N;NOM;SG
پِیت	õnne	پِیت	õnn	PROPN;NOM;MASC;SG;3	N;PRT;SG
پِیت	armastan	پِیت	armastama	PROPN;NOM;MASC;SG;3	V;IND;SG;1;PRS;FIN;ACT
پِیت	love	پِیت	love	PROPN;NOM;MASC;SG;3	N;NOM;SG
پِیت	armastus	پِیت	armastus	PROPN;NOM;MASC;SG;3	N;NOM;SG
پِیت	armastust	پِیت	armastus	PROPN;NOM;MASC;SG;3	N;PRT;SG
پِیت	kollase	پِیت	kollane	PROPN;NOM;MASC;SG;3	ADJ;GEN;SG
پِیت	kollased	پِیت	kollane	PROPN;NOM;MASC;SG;3	ADJ;NOM;PL
پِیت	kollane	پِیت	kollane	PROPN;NOM;MASC;SG;3	ADJ;NOM;SG
پِیت	kiindumus	پِیت	kiindumus	PROPN;NOM;MASC;SG;3	N;NOM;SG
پِیت	kiindumust	پِیت	kiindumus	PROPN;NOM;MASC;SG;3	N;PRT;SG
