och	si	och	sine	CONJ	
med	med	med	med	ADP	N;INDF;MASC;SG
som	ca	som	ca	CONJ	ADV
som	like	som	like	CONJ	
som	care	som	care	CONJ	PRO;3
runt	rotund	runt	rotund	ADV	ADJ;INDF;MASC;SG
runt	rotunde	runt	rotund	ADV	ADJ;INDF;FEM;PL
runt	rundă	runt	rund	ADV	N;INDF;FEM;SG
runt	rotundă	runt	rotund	ADV	ADJ;INDF;FEM;SG
runt	runda	runt	runda	ADV	N;DEF;FEM;SG
månaden	lunare	månad	lunar	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;FEM;PL
månaden	lunar	månad	lunar	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;MASC;SG
månaden	lunară	månad	lunar	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;FEM;SG
månaden	lună	månad	lună	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
månaden	luna	månad	lună	N;NOM;DEF;MASC+FEM;SG	N;DEF;FEM;SG
nederbörd	precipitare	nederbörd	precipitar	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
ligger	minciunile	ligga	minciune	V;IND;PRS;FIN;ACT	N;DEF;FEM;PL
ligger	minciuni	ligga	minciună	V;IND;PRS;FIN;ACT	N;INDF;FEM;PL
ligger	localizată	ligga	localiza	V;IND;PRS;FIN;ACT	ADJ;INDF;FEM;SG
ligger	localizat	ligga	localiza	V;IND;PRS;FIN;ACT	ADJ;INDF;MASC;SG
ligger	situat	ligga	situa	V;IND;PRS;FIN;ACT	ADJ;INDF;MASC;SG
ingår	inclusă	ingå	include	V;IND;PRS;FIN;ACT	ADJ;INDF;FEM;SG
ingår	inclus	ingå	include	V;IND;PRS;FIN;ACT	ADJ;INDF;MASC;SG
ingår	incluse	ingå	inclus	V;IND;PRS;FIN;ACT	ADJ;INDF;FEM;PL
att	că	att	că	PART	CONJ;POS
att	asta	att	acesta	PART	PRO;FEM;SG;3
att	aia	att	acela	PART	PRO;FEM;SG;3
ett	una	en	unul	NUM;NOM;INDF;NEUT;SG	PRO;FEM;SG;3
ett	unul	en	unul	NUM;NOM;INDF;NEUT;SG	PRO;MASC;SG;3
ett	unu	en	unu	NUM;NOM;INDF;NEUT;SG	NUM;MASC;SG
över	over	över	over	ADP	N;INDF;MASC;SG
familjen	familie	familj	familie	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
familjen	familia	familj	familie	N;NOM;DEF;MASC+FEM;SG	N;DEF;FEM;SG
inga	niciuna	ingen	nici_unul	PRO;INDF;PL	
inga	inga	ingen	inga	PRO;INDF;PL	
delen	parte	del	parte	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
delen	partea	del	parte	N;NOM;DEF;MASC+FEM;SG	N;DEF;FEM;SG
släktet	gen	släkte	gen	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
underarter	subspecii	underart	subspeciu	N;NOM;INDF;MASC+FEM;PL	N;DEF;FEM;PL
life	life	life	life	N;NOM;INDF;MASC+FEM;SG	
life	viaţa	life	viapă	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
life	viaţă	life	viaţă	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
life	viața	life	viață	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
life	viață	life	viață	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
life	viata	life	viată	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
listade	enumerat	lisa	enumera	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;MASC;SG
listade	listat	lisa	lista	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;MASC;SG
landet	țară	land	țară	N;NOM;DEF;NEUT;SG	N;INDF;FEM;SG
landet	tara	land	tară	N;NOM;DEF;NEUT;SG	N;DEF;FEM;SG
landet	țara	land	țară	N;NOM;DEF;NEUT;SG	N;DEF;FEM;SG
landet	ţara	land	gară	N;NOM;DEF;NEUT;SG	N;DEF;FEM;SG
landet	ţară	land	ţară	N;NOM;DEF;NEUT;SG	N;INDF;FEM;SG
meter	metru	meter	metru	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
meter	contor	meter	contor	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
meter	metru	meter	metru	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
meter	yarzi	meter	yard	N;NOM;INDF;MASC+FEM;PL	
huvudstaden	capitoliu	huvudstad	capitoliu	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;PL
huvudstaden	capitala	huvudstad	capitală	N;NOM;DEF;MASC+FEM;SG	N;DEF;FEM;SG
huvudstaden	capitală	huvudstad	capitală	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
huvudstaden	capital	huvudstad	capital	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
havet	mare	hav	mare	N;NOM;DEF;NEUT;SG	ADJ;INDF;MASC;SG
havet	marea	hav	mare	N;NOM;DEF;NEUT;SG	N;DEF;FEM;SG
havet	oceanul	hav	ocean	N;NOM;DEF;NEUT;SG	N;DEF;MASC;SG
havet	ocean	hav	ocean	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
invånare	locuitorii	invånare	locuitor	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC;PL
invånare	cetățenii	invånare	cetățean	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC;PL
invånare	cetateni	invånare	cetaten	N;NOM;INDF;MASC+FEM;PL	ADJ;INDF;MASC;PL
millimeter	milimetru	millimet	milimetru	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
millimeter	milimetru	millimet	milimetru	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
genomsnitt	medii	genomsnitt	medie	N;NOM;INDF;NEUT;SG	N;INDF;FEM;PL
genomsnitt	medie	genomsnitt	medie	N;NOM;INDF;NEUT;SG	N;INDF;FEM;SG
genomsnitt	mediu	genomsnitt	mediu	N;NOM;INDF;NEUT;SG	ADJ;INDF;MASC;SG
genomsnitt	mediile	genomsnitt	medie	N;NOM;INDF;NEUT;SG	N;DEF;FEM;PL
genomsnittlig	medii	genomsnittlig	medie	ADJ;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;PL
genomsnittlig	medie	genomsnittlig	medie	ADJ;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
var	var	var	var	PRO;INDF;MASC+FEM;SG	
var	erau	var	fi	PRO;INDF;MASC+FEM;SG	V;IND;PL;3;IPFV;FIN
var	unde	var	unde	PRO;INDF;MASC+FEM;SG	ADV
juli	juli	juli	jule	N;NOM;INDF;MASC+FEM;SG	PROPN
han	han	han	han	PRO;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
har	au	ha	avea	V;IND;PRS;FIN;ACT	V;PL;3
per	per	per	per	ADP	
vattendrag	râurilor	vattendrag	râu	N;NOM;INDF;NEUT;SG	N;DEF;FEM;PL
vattendrag	rivers	vattendrag	rivers	N;NOM;INDF;NEUT;SG	PROPN
vattendrag	râurile	vattendrag	râu	N;NOM;INDF;NEUT;SG	N;DEF;FEM;PL
vattendrag	râuri	vattendrag	râu	N;NOM;INDF;NEUT;SG	N;INDF;FEM;PL
kanada	canada	kanad	canadă	PROPN;NOM	PROPN
provinsen	provincie	provins	provincie	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
provinsen	provincia	provins	provincie	N;NOM;DEF;MASC+FEM;SG	N;DEF;FEM;SG
närheten	proximitate	närhet	proximitate	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
högsta	supreme	hög	suprem	ADJ;NOM;DEF;RL	
högsta	supremă	hög	suprem	ADJ;NOM;DEF;RL	ADJ;INDF;FEM;SG
högsta	suprema	hög	suprem	ADJ;NOM;DEF;RL	ADJ;DEF;FEM;SG
högsta	suprem	hög	suprem	ADJ;NOM;DEF;RL	ADJ;INDF;MASC;SG
högsta	maximă	hög	maxim	ADJ;NOM;DEF;RL	ADJ;INDF;FEM;SG
högsta	maxima	hög	maxim	ADJ;NOM;DEF;RL	N;DEF;FEM;SG
högsta	maxim	hög	maxim	ADJ;NOM;DEF;RL	ADJ;INDF;MASC;SG
högsta	maximum	hög	maximum	ADJ;NOM;DEF;RL	N;INDF;MASC;SG
kan	putea	kunna	putea	V;IND;PRS;FIN;ACT	V;IND;SG;3;IPFV;FIN
kan	pot	kunna	putea	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
kan	can	kunna	can	V;IND;PRS;FIN;ACT	
länkar	linkurile	länka	link	N;NOM;INDF;MASC+FEM;PL	N;DEF;FEM;PL
externa	extern	ext	extern	N;NOM;DEF;MASC+FEM;PL	ADJ;INDF;MASC;SG
externa	externe	ext	extern	N;NOM;DEF;MASC+FEM;PL	ADJ;INDF;FEM;PL
externa	externi	ext	extern	N;NOM;DEF;MASC+FEM;PL	ADJ;INDF;MASC;PL
externa	externă	ext	extern	N;NOM;DEF;MASC+FEM;PL	ADJ;INDF;FEM;SG
externa	exterior	ext	exterior	N;NOM;DEF;MASC+FEM;PL	N;INDF;MASC;SG
läge	localizare	läge	localizare	N;NOM;INDF;NEUT;SG	N;INDF;FEM;SG
läge	locație	läge	locație	N;NOM;INDF;NEUT;SG	N;INDF;FEM;SG
läge	locația	läge	locație	N;NOM;INDF;NEUT;SG	N;DEF;FEM;SG
läge	locaţia	läge	locahie	N;NOM;INDF;NEUT;SG	N;DEF;FEM;SG
läge	modul	läge	mod	N;NOM;INDF;NEUT;SG	N;DEF;MASC;SG
lake	lacul	lake	lac	N;NOM;INDF;NEUT;SG	N;DEF;MASC;SG
lake	lake	lake	lakă	N;NOM;INDF;NEUT;SG	PROPN
sjö	lacul	sjö	lac	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
sjö	lake	sjö	lakă	N;NOM;INDF;MASC+FEM;SG	PROPN
sjö	mare	sjö	mare	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC;SG
sjö	marea	sjö	mare	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
sig	sig	sig	siga	PRO;ACC;DEF	
kommun	comuna	kommun	comună	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
två	doua	två	doi	NUM;NOM	NUM;FEM;SG
lac	lac	lac	lac	V;IMP;FIN;ACT	N;INDF;MASC;SG
terrängen	teren	terräng	teren	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
long	lung	long	lung	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC;SG
long	lungă	long	lung	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;FEM;SG
long	long	long	long	N;NOM;INDF;MASC+FEM;SG	
juni	juni	juni	june	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;PL
juni	june	juni	june	N;NOM;INDF;MASC+FEM;SG	
lat	lat	lat	lat	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC;SG
lat	lene	lat	lene	N;NOM;INDF;MASC+FEM;SG	
växer	crească	växa	crește	V;IND;PRS;FIN;ACT	V;SBJV;3;PRS;FIN
många	multi	mången	mult	PRO;INDF;PL	
efter	dupa	efter	dupa	ADP	N;DEF;FEM;SG
nära	închide	nära	închide	ADV	V;IND;SG;3;PRS;FIN
nära	inchide	nära	inchide	ADV	V;IND;SG;3;PRS;FIN
nära	lângă	nära	lângă	ADV	ADP;ACC
väster	west	väster	west	N;NOM;INDF;MASC+FEM;SG	PROPN
väster	vestul	väster	vest	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
provins	provincie	provins	provincie	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
provins	provincia	provins	provincie	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
öster	east	öster	east	N;NOM;INDF;MASC+FEM;SG	PROPN
öster	estul	öster	est	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
först	primii	först	prim	ADV	NUM;DEF;MASC;PL
först	prima	först	prim	ADV	NUM;DEF;FEM;SG
först	primul	först	prim	ADV	NUM;DEF;MASC;SG
berg	muntele	berg	munte	N;NOM;INDF;NEUT;SG	N;DEF;MASC;SG
