birdlife	birdlife	birdlife	birdlifa	N;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
avbrutt	zrušená	avbru	zrušený	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
avbrutt	zrušené	avbru	zrušený	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
avbrutt	zrušený	avbru	zrušený	N;INDF;MASC;SG	ADJ;INAN;NOM;MASC;SG
avbrutt	zrušené	avbru	zrušený	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
avbrutt	zrušená	avbru	zrušený	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
avbrutt	zrušený	avbru	zrušený	N;INDF;MASC;SG	ADJ;INAN;NOM;MASC;SG
avbrutt	prerušená	avbru	prerušený	N;INDF;MASC;SG	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
avbrutt	prerušené	avbru	prerušený	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
avbrutt	prerušený	avbru	prerušený	N;INDF;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
avbrutt	prerušené	avbru	prerušený	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
avbrutt	prerušená	avbru	prerušený	N;INDF;MASC;SG	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
luigi	luigi	luigi	luiga	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
variasjoner	varianty	variasjon	variant	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
variasjoner	variácie	variasjon	variácia	N;INDF;MASC;SG	N;NOM;FEM;PL
variasjoner	odchýlky	variasjon	odchýlka	N;INDF;MASC;SG	N;NOM;FEM;PL
legend	vysvetlivky	legend	vysvetlivka	N;INDF;NEUT;SG	N;NOM;FEM;PL
legend	legendy	legend	legenda	N;INDF;NEUT;SG	N;NOM;FEM;PL
brooklyn	brooklyn	brooklyn	brooklyn	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
brooklyn	brooklyne	brooklyn	brooklyne	N;INDF;MASC;SG	ADV
fabrikker	továrne	fabrikker	továrne	N;INDF;FEM;PL	ADV
flikvinger	babôčkovité	flikvinger	babôčkovitý	N;INDF;FEM;PL	ADJ;NOM;NEUT;SG
ruth	ruth	ruth	ruth	N;INDF;FEM;SG	PROPN;NOM;FEM;SG
tsar	car	tsar	car	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
rund	okrúhle	rund	okrúhle	ADJ;INDF;SG	ADJ;NOM;NEUT;PL
rund	kolo	rund	kolo	ADJ;INDF;SG	N;NOM;NEUT;SG
rund	kola	rund	kolo	ADJ;INDF;SG	N;NOM;NEUT;PL
inntekt	príjmy	inntekt	príjmy	N;INDF;FEM;SG	N;INAN;NOM;MASC;PL
inntekt	výnosy	inntekt	výnos	N;INDF;FEM;SG	N;INAN;NOM;MASC;PL
inntekt	príjmy	inntekt	príjmy	N;INDF;FEM;SG	N;INAN;NOM;MASC;PL
inntekt	výnosy	inntekt	výnos	N;INDF;FEM;SG	N;INAN;NOM;MASC;PL
raf	raf	raf	raf	N	PROPN;ANIM;NOM;MASC;SG
atlantic	atlantický	atlantic	atlantický	N;INDF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
div	div	div	div	N;INDF	
gjeld	dlhy	gjelde	dlh	V;IND;PRS;FIN	N;INAN;NOM;MASC;PL
gjeld	dlhu	gjelde	dlh	V;IND;PRS;FIN	N;INAN;GEN;MASC;SG
gjeld	dlh	gjelde	dlh	V;IND;PRS;FIN	N;INAN;NOM;MASC;SG
gjeld	pohľadávka	gjelde	pohľadávka	V;IND;PRS;FIN	N;NOM;FEM;SG
gjeld	dlhy	gjelde	dlh	V;IND;PRS;FIN	N;INAN;NOM;MASC;PL
nansen	nansen	nanse	nansen	N;DEF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
sittet	sedieť	sittet	sedieť	N;INDF;MASC;SG	V;IPFV;POS;NFIN
sittet	sedí	sittet	sedieť	N;INDF;MASC;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
sittet	sadol	sittet	sadnúť	N;INDF;MASC;SG	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
sittet	sedeli	sittet	sedieť	N;INDF;MASC;SG	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
sittet	sedel	sittet	sedieť	N;INDF;MASC;SG	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
sittet	sat	sittet	sat	N;INDF;MASC;SG	
württemberg	württembersko	württemberg	württembersko	N;INDF;NEUT;SG	ADV
tel	tel	telje	tel	N;INDF;MASC;SG	
rgb	rgb	rgb	rgba	N;INDF;NEUT;SG	
hong	hong	hong	hong	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
mikhail	michail	mikhail	michail	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
forhånd	dopredu	forhånd	dopredu	N;INDF;MASC;SG	ADV
forhånd	vopred	forhånd	vopred	N;INDF;MASC;SG	ADV
miste	stratiť	miste	stratiť	ADJ;INDF;SG;V.PTCP	V;PFV;POS;NFIN
miste	prehrať	miste	prehrať	ADJ;INDF;SG;V.PTCP	V;PFV;POS;NFIN
box	box	box	box	N	
primære	primárne	primær	primárne	ADJ;PL	ADV
primære	primárna	primær	primárny	ADJ;PL	ADJ;NOM;FEM;SG
primære	primárny	primær	primárny	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
chang	chang	chang	chang	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
torp	torp	torp	torp	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
poul	poul	poul	poul	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
angola	angola	angol	angola	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
varmt	horúci	varm	horúci	ADJ;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
varmt	sexi	varm	sexi	ADJ;INDF;NEUT;SG	N;NOM;FEM;SG
varmt	hot	varm	hot	ADJ;INDF;NEUT;SG	
varmt	horúce	varm	horúci	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;PL
varmt	teple	varm	teplo	ADJ;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
varmt	teplo	varm	teplo	ADJ;INDF;NEUT;SG	N;NOM;NEUT;SG
halsen	hrdla	hals	hrdlo	N;DEF;MASC;SG	N;NOM;NEUT;PL
biter	hryzie	bite	hrýzť	N;INDF;MASC;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
biter	kusy	bite	kus	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
biter	kúsky	bite	kúsok	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
biter	kusov	bite	kus	N;INDF;MASC;SG	N;INAN;GEN;MASC;PL
seine	seine	sein	seiňa	ADJ;PL	
uenig	nesúhlasiť	uenig	nesúhlasiť	ADJ;INDF;NEUT;SG	V;IPFV;NEG;NFIN
uenig	nesúhlas	uenig	nesúhlas	ADJ;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
uenig	nesúhlasím	uenig	súhlasiť	ADJ;INDF;NEUT;SG	V;IPFV;IND;SG;1;NEG;PRS;FIN
avla	zobrala	avle	zobrať	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
avla	vzal	avle	vziať	ADJ;INDF;NEUT;SG;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
avla	brala	avle	bralo	ADJ;INDF;NEUT;SG;V.PTCP	N;NOM;FEM;SG
avla	bral	avle	brať	ADJ;INDF;NEUT;SG;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
protester	protesty	protester	protest	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
protester	protestov	protester	protest	N;INDF;NEUT;SG	N;INAN;GEN;MASC;PL
båret	prepravovaných	bår	prepravovaný	N;DEF;NEUT;SG	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;PASS
båret	niesli	bår	niesť	N;DEF;NEUT;SG	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
båret	niesol	bår	niesť	N;DEF;NEUT;SG	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
båret	znášal	bår	znášať	N;DEF;NEUT;SG	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
gress	trávy	gress	tráva	N;INDF;MASC;SG	N;NOM;FEM;PL
gress	trávy	gress	tráva	N;INDF;MASC;SG	N;NOM;FEM;PL
barndom	detstva	barndom	detstvo	N;INDF;MASC;SG	N;NOM;NEUT;PL
renessansen	renesancie	renessanse	renesancie	N;DEF;MASC;SG	N;NOM;FEM;PL
nagano	nagano	nagano	nagano	N;INDF;MASC;SG	PROPN;NOM;NEUT;SG
ulv	wolf	ulv	wolf	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
utmerkelse	awards	utmerkelse	awards	N;INDF;MASC;SG	
utmerkelse	ocenenia	utmerkelse	ocenenie	N;INDF;MASC;SG	N;NOM;NEUT;PL
medarbeidere	zamestnanci	medarbeidere	zamestnanec	V;NFIN	N;ANIM;NOM;MASC;PL
medarbeidere	zamestnancov	medarbeidere	zamestnanec	V;NFIN	N;ANIM;ACC;MASC;PL
medarbeidere	pridružení	medarbeidere	pridruženie	V;NFIN	N;NOM;NEUT;PL
medarbeidere	spoločníci	medarbeidere	spoločník	V;NFIN	N;ANIM;NOM;MASC;PL
medarbeidere	spol	medarbeidere	spol	V;NFIN	
medarbeidere	spolupracovníkov	medarbeidere	spolupracovník	V;NFIN	N;ANIM;ACC;MASC;PL
medarbeidere	kolegovia	medarbeidere	kolega	V;NFIN	N;ANIM;NOM;MASC;PL
medarbeidere	spolupracovníci	medarbeidere	spolupracovník	V;NFIN	N;ANIM;NOM;MASC;PL
medarbeidere	kolegov	medarbeidere	koleg	V;NFIN	N;GEN;NEUT;PL
farget	farebné	farg	farebný	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG
farget	farebný	farg	farebný	N;DEF;NEUT;SG	ADJ;ANIM;NOM;MASC;SG
ted	ted	ted	ted	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
oppvekst	výchovy	oppvekst	výchova	N;INDF;MASC;SG	N;NOM;FEM;PL
lidelse	utrpenia	lidelse	utrpenie	N;INDF;MASC;SG	N;NOM;NEUT;PL
mislyktes	zlyhal	mislyktes	zlyhať	N;INDF;NEUT;SG	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
mislyktes	zlyhalo	mislyktes	zlyhať	N;INDF;NEUT;SG	V;PFV;NEUT;SG;POS;PST;V.PTCP
mislyktes	neúspešné	mislyktes	neúspešný	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
sub	sub	sub	sub	N	
separat	oddelene	separat	oddelene	ADJ;INDF;NEUT;SG	ADV
separat	samostatne	separat	samostatne	ADJ;INDF;NEUT;SG	ADV
konferansen	konferencie	konferanse	konferencia	N;DEF;MASC;SG	N;NOM;FEM;PL
alberto	alberto	alberto	alberto	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
fan	ventilátor	fan	ventilátor	ADJ;INDF;SG	N;INAN;NOM;MASC;SG
fan	fanúšik	fan	fanúšik	ADJ;INDF;SG	N;ANIM;NOM;MASC;SG
fan	fan	fan	fan	ADJ;INDF;SG	INTJ
fan	fanúšika	fan	fanúšika	ADJ;INDF;SG	N;ANIM;ACC;MASC;SG
befolket	obývaných	befolkt	obývaný	N;DEF;NEUT;SG	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;PASS
sjøs	morská	sjøs	morský	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
eter	zjesť	eter	zjesť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
eter	jesť	eter	jesť	N;INDF;NEUT;SG	V;IPFV;POS;NFIN
rase	plemena	rase	plemeno	N;INDF;MASC;SG	N;NOM;NEUT;PL
rase	preteky	rase	preteky	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
rase	rasy	rase	rasa	N;INDF;MASC;SG	N;NOM;FEM;PL
høydepunkt	zdôrazniť	høydepunkt	zdôrazniť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
høydepunkt	zvýrazniť	høydepunkt	zvýrazniť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
nancy	nancy	nancy	nanca	N	PROPN;NOM;FEM;SG
bent	bent	bente	bent	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
