loại	digite	loại	digitir	N	V;SBJV;SG;3;PRS;FIN
một	one	một	one	NUM	N;MASC;SG
năm	cinco	năm	cinco	N	NUM
của	seu	của	seu	ADP	DET;MASC;SG
của	sua	của	seu	ADP	DET;FEM;SG
các	tu	các	tu	DET	INTJ
các	você	các	você	DET	PRO;NOM;SG;3
các	vc	các	vc	DET	PRO;NOM;MASC;SG;3
này	este	này	este	PROPN	DET;MASC;SG
này	esta	này	este	PROPN	PRO;FEM;SG
này	isso	này	isso	PROPN	PRO;MASC;SG
này	isto	này	isto	PROPN	PRO;MASC;SG
này	essa	này	esse	PROPN	PRO;FEM;SG
này	esse	này	esse	PROPN	DET;MASC;SG
này	ei	này	ei	PROPN	N;MASC;SG
này	hey	này	hey	PROPN	N;MASC;SG
thích	like	thích	like	V	N;MASC;SG
thích	curta	thích	curto	V	ADJ;FEM;SG
thích	como	thích	como	V	ADV
thích	curtidas	thích	curtida	V	N;FEM;PL
thích	likes	thích	like	V	N;MASC;PL
thích	gostos	thích	gosto	V	N;MASC;PL
học	estudo	học	estudo	V	N;MASC;SG
học	escola	học	escola	V	N;FEM;SG
học	aprendizagem	học	aprendizagem	V	N;FEM;SG
thực	real	thực	real	V	N;MASC;SG
thực	verdadeiro	thực	verdadeiro	V	ADJ;MASC;SG
thực	reais	thực	real	V	N;MASC;PL
thực	verdadeiros	thực	verdadeiro	V	ADJ;MASC;PL
thực	verdadeira	thực	verdadeiro	V	ADJ;FEM;SG
thực	autêntico	thực	autêntico	V	ADJ;MASC;SG
thực	autêntica	thực	autêntico	V	ADJ;FEM;SG
thực	realmente	thực	realmente	V	ADV
liên	lien	liên	lien		N;MASC;SG
tham	articulação	tham	articulação	V	N;FEM;SG
tham	joint	tham	joint	V	N;MASC;SG
kết	terminar	kết	terminar	N	V;NFIN
đầu	primeira	đầu	primeiro	N	ADJ;FEM;SG
đầu	primeiros	đầu	primeiro	N	ADJ;MASC;PL
đầu	primeiramente	đầu	primeiramente	N	ADV
đầu	primeiro	đầu	primeiro	N	ADV
ngoài	fora	ngoài	fora	N	ADV
thành	cheng	thành	cheng	V	N;MASC;SG
thành	cidadela	thành	cidadela	V	N;FEM;SG
khoa	ciências	khoa	ciência		N;FEM;PL
khoa	ciência	khoa	ciência		N;FEM;SG
khoa	faculdade	khoa	faculdade		N;FEM;SG
cho	cho	cho	cho	V	N;MASC;SG
cho	por	cho	por	V	ADP
cho	para	cho	para	V	ADP
không	não	không	não	;NEG	INTJ
hoa	unida	hoa	unida	N	V;FEM;SG;V.PTCP
những	essas	những	esse	DET	PRO;FEM;PL
