süleymaniye	sulaymaniyya	süleyman	sulaymaniyya	V;PFV;DAT;IND;POS;PRS;V.MSDR	N;MASC;SG
perküsyon	percussioni	perküsyon	percussione		N;FEM;PL
perküsyon	percussione	perküsyon	percussione		N;FEM;SG
kabaca	rozzamente	kaba	rozzamente		ADV
engebeli	bumpy	engebel	bumpy		ADJ;SG
hamam	hammam	hamam	hammam		N;MASC
hamam	saune	hamam	sauna		N;FEM;PL
hamam	sauna	hamam	sauna		N;FEM;SG
tropikal	tropicali	tropikal	tropicale	N;NOM;SG;3	ADJ;PL
tropikal	tropicale	tropikal	tropicale	N;NOM;SG;3	ADJ;SG
bang	bang	bang	bang		N
gotik	dark	gotik	dark		N
gotik	goth	gotik	goth		N
gotik	gotico	gotik	gotico		ADJ;MASC;SG
gotik	gothic	gotik	gothic		N;MASC
gotik	gotica	gotik	gotica		ADJ;FEM;SG
koyar	mette	koy	mettere		V;IND;SG;3;PRS;FIN
makedon	macedoni	makedon	macedone		N;MASC;PL
makedon	macedone	makedon	macedone		ADJ;MASC;SG
wembley	wembley	wembley	wembley	PROPN;NOM;SG;3	N;MASC
mantar	funghi	mantar	fungo		N;MASC;PL
mantar	fungo	mantar	fungo		N;MASC;SG
mantar	funghi	mantar	fungo		N;MASC;PL
mantar	fungo	mantar	fungo		N;MASC;SG
mantar	funghi	mantar	fungo		N;MASC;PL
mantar	sughero	mantar	sughero		N;MASC;SG
mantar	cork	mantar	cork		N;MASC
hope	speranze	hope	speranza		N;FEM;PL
hope	speri	hope	spero		V;IND;SG;2;PRS;FIN
hope	hope	hope	hope		N
hope	speranza	hope	speranza		N;FEM;SG
hope	auguro	hope	augurare		V;IND;SG;1;PRS;FIN
deneyimli	sperimentato	deneyimli	sperimentare		V;MASC;SG;PST;V.PTCP
deneyimli	esperto	deneyimli	esperto		N;MASC;SG
zara	zara	zara	zara		N;FEM;SG
spears	lance	spears	lance		N;FEM;PL
spears	spears	spears	spears		N
hart	hart	hart	hart		N;MASC
paketi	pacchetti	paket	pacchetto	N;NOM;SG;3	N;MASC;PL
özbek	uzbeka	özbek	uzbekare		ADJ;FEM;SG
yatak	materassi	yatak	materasso	N;NOM;SG;3	N;MASC;PL
yatak	materassi	yatak	materasso	N;NOM;SG;3	N;MASC;PL
yatak	lettini	yatak	lettino	N;NOM;SG;3	N;MASC;PL
yatak	letti	yatak	letto	N;NOM;SG;3	N;MASC;PL
tünel	tunnel	tünel	tunnel		N;MASC
tünel	tunnel	tünel	tunnel		N;MASC
tünel	gallerie	tünel	galleria		N;FEM;PL
armstrong	armstrong	armstrong	armstrong		N;MASC;SG
hamile	incinta	hamile	incinto		N;FEM;SG
hamile	incinte	hamile	incinte		N;FEM;PL
nohut	ceci	nohut	cece		N;MASC;PL
satılan	venduti	sat	vendere	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
satılan	venduto	sat	vendere	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
satılan	venduta	sat	vendere	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
satılan	vendute	sat	vendere	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
robbie	robbie	robbie	robbie		N;FEM;SG
amino	amminoacidi	amino	amminoacido		N;MASC;PL
amino	amino	amino	amino		V;IND;PL;3;PRS;FIN
amino	aminoacidi	amino	aminoacido		N;MASC;PL
amino	ammino	amino	ammino		N;MASC;SG
allan	allan	allan	allan		N;MASC;SG
gore	gore	gore	gora		N
temizlik	pulire	temizlik	pulire	N;NOM;SG;3	V;NFIN
