din	from	din	from	ADP;ACC	N
care	oms	care	oms	PRO;3	N;FEM;SG
care	quiénes	care	quién	PRO;3	PRO;PL
care	quién	care	quién	PRO;3	PRO;SG
care	quien	care	quien	PRO;3	PRO;SG
care	cuáles	care	cuál	PRO;3	PRO;PL
care	cuál	care	cuál	PRO;3	PRO;SG
care	cual	care	cual	PRO;3	PRO;SG
mai	mai	mai	mai	ADV	N;MASC
mai	more	mai	more	ADV	
lui	lui	el	lui	PRO;3	N
lui	sus	el	su	PRO;3	DET;PL;3
lui	su	el	su	PRO;3	DET;SG;3
sunt	están	fi	estar	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
sunt	are	fi	are	V;IND;PL;3;PRS;FIN	N
după	despues	după	despue	ADP;ACC	
după	after	după	after	ADP;ACC	N
după	después	după	después	ADP;ACC	ADV
ale	ale	al	ale	DET;FEM;PL	N;FEM;SG
lea	lea	lea	leer		V;IMP;SG;3;FIN
prin	through	prin	through	ADP;ACC	N
mare	big	mare	big	ADJ;INDF;MASC;SG	N
mare	grandes	mare	grande	ADJ;INDF;MASC;SG	ADJ;PL
mare	mar	mare	mar	ADJ;INDF;MASC;SG	N;SG
comună	comunes	comun	común	ADJ;INDF;FEM;SG	ADJ;PL
comună	frecuentes	comun	frecuente	ADJ;INDF;FEM;SG	ADJ;PL
comună	common	comun	common	ADJ;INDF;FEM;SG	N
are	ha	avea	haber	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
externe	externa	extern	externo	ADJ;INDF;FEM;PL	ADJ;FEM;SG
externe	externo	extern	externo	ADJ;INDF;FEM;PL	ADJ;MASC;SG
externe	exterior	extern	exterior	ADJ;INDF;FEM;PL	ADJ;SG
vezi	véase	vedea	véase	V;IND;SG;2;PRS;FIN	V;SBJV;SG;3;PRS;FIN
vezi	see	vedea	ser	V;IND;SG;2;PRS;FIN	
vezi	vea	vedea	ver	V;IND;SG;2;PRS;FIN	V;IMP;SG;3;FIN
cod	code	cod	coder		N
cod	códigos	cod	código		N;MASC;PL
cod	codigo	cod	codigo		N;MASC;SG
cod	código	cod	código		N;MASC;SG
cod	bacalao	cod	bacalao		N;MASC;SG
bucurești	bucarest	bucuresc	bucarest	PROPN	N;MASC;SG
bucurești	bucurești	bucuresc	bucurești	PROPN	N;MASC;SG
fiind	estar	fi	estar	V;V.MSDR	V;NFIN
românia	rumania	românia	rumania	PROPN	N;FEM;SG
românia	rumanía	românia	rumanía	PROPN	N;FEM;SG
jpg	jpg	jpg	jpg	N	PROPN
lista	listado	listă	listado	N;DEF;FEM;SG	ADJ;MASC;SG;V.PTCP
ucraina	ucrania	ucraina	ucrania	PROPN	N;FEM;SG
ani	ani	an	ani	N;INDF;MASC;PL	
avea	tenido	avea	tener	V;IND;SG;3;IPFV;FIN	ADJ;MASC;SG;V.PTCP
avea	tuvo	avea	tener	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN
avea	había	avea	haber	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
până	asta	până	aste	ADP;ACC	
comuna	comunes	comună	común	N;DEF;FEM;SG	ADJ;PL
comuna	frecuente	comună	frecuente	N;DEF;FEM;SG	ADJ;SG
comuna	común	comună	común	N;DEF;FEM;SG	ADJ;SG
comuna	frecuentes	comună	frecuente	N;DEF;FEM;SG	ADJ;PL
poate	quizas	poate	quiza	ADV	N;FEM;SG
poate	talvez	poate	talvez	ADV	INTJ
poate	quizas	poate	quiza	ADV	N;FEM;SG
două	two	doi	two	NUM;FEM;PL	PROPN
sub	debajo	sub	debajo	ADP;ACC	ADV
sub	under	sub	under	ADP;ACC	PROPN
alte	otras	alt	otro	DET;FEM;PL;3	PRO;FEM;PL
alte	otro	alt	otro	DET;FEM;PL;3	PRO;MASC;SG
alte	otros	alt	otro	DET;FEM;PL;3	PRO;MASC;PL
când	cuándo	când	cuándo	ADV	PRO
când	when	când	when	ADV	N
când	cuando	când	cuando	ADV	CONJ
despre	acerca	despre	acerca	ADP;ACC	ADV
unde	where	unde	where	ADV	N
unde	donde	unde	donde	ADV	PRO
unde	adonde	unde	adonde	ADV	
unde	dónde	unde	dónde	ADV	PRO
majoritatea	mayoritaria	majoritate	mayoritario	N;DEF;FEM;SG	ADJ;FEM;SG
majoritatea	mayorías	majoritate	mayoría	N;DEF;FEM;SG	N;FEM;PL
majoritatea	mayoritario	majoritate	mayoritario	N;DEF;FEM;SG	ADJ;MASC;SG
limbă	idiomas	limbă	idioma	N;INDF;FEM;SG	N;MASC;PL
iunie	june	iunie	june	N;INDF;MASC;SG	PROPN
prima	primera	prim	primero	NUM;DEF;FEM;SG	ADJ;FEM;SG
prima	primeras	prim	primero	NUM;DEF;FEM;SG	ADJ;FEM;PL
prima	primer	prim	primero	NUM;DEF;FEM;SG	ADJ;MASC;SG
prima	primeros	prim	primero	NUM;DEF;FEM;SG	ADJ;MASC;PL
prima	primero	prim	primero	NUM;DEF;FEM;SG	ADV
august	august	august	augusto	N;INDF;MASC;SG	PROPN
sat	poblado	sat	poblado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
sat	senté	sat	sentar	N;INDF;MASC;SG	V;IND;SG;1;PST;FIN
martie	marchen	martie	marchen	N;INDF;MASC;SG	V;IMP;PL;3;FIN
toate	all	tot	all	PRO;FEM;PL;3	N
toate	todo	tot	todo	PRO;FEM;PL;3	PRO;MASC;SG
adresă	direcciones	adresa	dirección	N;INDF;FEM;SG	N;FEM;PL
cum	how	cum	how	ADV	PROPN
cum	cómo	cum	cómo	ADV	PRO
cum	como	cum	como	ADV	CONJ
avut	tenido	avea	tener	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
avut	había	avea	haber	V;MASC;SG;V.PTCP	V;IND;SG;3;IPFV;FIN
familia	familiar	familie	familiar	N;DEF;FEM;SG	ADJ;SG
familia	familiares	familie	familiar	N;DEF;FEM;SG	N;MASC;PL
nord	nord	nord	nord	N;INDF;MASC;SG	
principală	main	principal	main	ADJ;INDF;FEM;SG	N
principală	principales	principal	principal	ADJ;INDF;FEM;SG	ADJ;PL
aprilie	april	aprilie	april	N;INDF;MASC;SG	PROPN
erau	estaban	fi	estar	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;IPFV;FIN
erau	fueron	fi	ser	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;PST;FIN
primul	primera	prim	primero	NUM;DEF;MASC;SG	ADJ;FEM;SG
primul	primeras	prim	primero	NUM;DEF;MASC;SG	ADJ;FEM;PL
primul	primer	prim	primero	NUM;DEF;MASC;SG	ADJ;MASC;SG
primul	primeros	prim	primero	NUM;DEF;MASC;SG	ADJ;MASC;PL
primul	primero	prim	primero	NUM;DEF;MASC;SG	ADV
doar	just	doar	justo	ADV	N
asteroid	asteroide	asteroid	asteroide	ADJ;INDF;MASC;SG	N;MASC;SG
asteroid	asteroides	asteroid	asteroid	ADJ;INDF;MASC;SG	N;MASC;PL
recensământului	censos	recensământ	censo	N;DEF;MASC;SG	N;MASC;PL
listă	listado	listă	listado	N;INDF;FEM;SG	ADJ;MASC;SG;V.PTCP
limba	idiomas	limbă	idioma	N;DEF;FEM;SG	N;MASC;PL
discuție	discusiones	discuție	discusión	N;INDF;FEM;SG	N;FEM;PL
franța	francia	franța	francia	PROPN	PROPN
franța	france	franța	france	PROPN	N;FEM;SG
mult	much	mult	much	ADV	N
foarte	very	foarte	ver	ADV	N
data	date	dată	date	N;DEF;FEM;SG	V;IND;SG;2;PRS;FIN
data	datos	dată	dato	N;DEF;FEM;SG	N;MASC;PL
unul	una	unul	uno	PRO;MASC;SG;3	DET;INDF;FEM;SG
unul	one	unul	one	PRO;MASC;SG;3	N
grup	agrupar	grup	agrupar	N;INDF;MASC;SG	V;NFIN
pot	puedo	putea	poder	V;IND;PL;3;PRS;FIN	V;IND;SG;1;PRS;FIN
pot	lata	putea	lata	V;IND;PL;3;PRS;FIN	N;FEM;SG
pot	can	putea	can	V;IND;PL;3;PRS;FIN	PROPN
pot	puede	putea	poder	V;IND;PL;3;PRS;FIN	V;IND;SG;3;PRS;FIN
camp	campamentos	camp	campamento	N;INDF;MASC;SG	N;MASC;PL
germania	alemania	germania	alemania	PROPN	N;FEM;SG
face	make	face	maker	V;IND;SG;3;PRS;FIN	N
satul	poblado	sat	poblado	N;DEF;MASC;SG	ADJ;MASC;SG;V.PTCP
național	nacionales	național	nacional	ADJ;INDF;MASC;SG	ADJ;PL
minoritate	minoritarios	minoritate	minoritario	N;INDF;FEM;SG	N;MASC;PL
minoritate	minoritarias	minoritate	minoritario	N;INDF;FEM;SG	ADJ;FEM;PL
minoritate	minoritario	minoritate	minoritario	N;INDF;FEM;SG	ADJ;MASC;SG
ucraineană	ucrania	ucrainean	ucrania	ADJ;INDF;FEM;SG	N;FEM;SG
general	generalidades	general	generalidad	ADJ;INDF;MASC;SG	N;FEM;PL
general	generales	general	general	ADJ;INDF;MASC;SG	N;MASC;PL
general	general	general	general	ADJ;INDF;MASC;SG	N;SG
peste	over	peste	over	ADP;ACC	PROPN
română	rumano	român	rumano	ADJ;INDF;FEM;SG	N;MASC;SG
română	rumanos	român	rumano	ADJ;INDF;FEM;SG	N;MASC;PL
află	aprenda	afla	aprender	V;IND;SG;3;PST;FIN	V;IMP;SG;3;FIN
află	aprendan	afla	aprender	V;IND;SG;3;PST;FIN	V;IMP;PL;3;FIN
află	aprende	afla	aprender	V;IND;SG;3;PST;FIN	V;IND;SG;3;PRS;FIN
început	comenzó	început	comenzar	N;INDF;MASC;SG	V;IND;SG;3;PST;FIN
început	iniciada	început	iniciado	N;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
început	comenzado	început	comenzar	N;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
început	iniciado	început	iniciado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
început	empezando	început	empezar	N;INDF;MASC;SG	V;V.MSDR
început	comenzando	început	comenzar	N;INDF;MASC;SG	V;V.MSDR
iii	iii	trei	iii	NUM;SG	
duce	duque	duce	duque	V;IND;SG;3;PRS;FIN	N;MASC;SG
duce	ducado	duce	ducado	V;IND;SG;3;PRS;FIN	ADJ;MASC;SG;V.PTCP
duce	duke	duce	duke	V;IND;SG;3;PRS;FIN	PROPN
duce	duce	duce	ducir	V;IND;SG;3;PRS;FIN	N;MASC;SG
român	rumano	român	rumano	ADJ;INDF;MASC;SG	N;MASC;SG
român	rumanos	român	rumano	ADJ;INDF;MASC;SG	N;MASC;PL
existând	existente	exista	existente	V;V.MSDR	ADJ;SG
existând	existentes	exista	existente	V;V.MSDR	ADJ;PL
vedere	vistas	vedere	visto	N;INDF;FEM;SG	ADJ;FEM;PL;V.PTCP
vedere	vista	vedere	visto	N;INDF;FEM;SG	ADJ;FEM;SG;V.PTCP
vedere	view	vedere	view	N;INDF;FEM;SG	PROPN
vedere	ver	vedere	ver	N;INDF;FEM;SG	V;NFIN
specie	especies	specie	especie	N;INDF;FEM;SG	N;FEM;PL
unite	united	unit	united	ADJ;INDF;FEM;PL	N;SG
unite	unido	unit	unido	ADJ;INDF;FEM;PL	ADJ;MASC;SG;V.PTCP
unite	unió	unit	unir	ADJ;INDF;FEM;PL	V;IND;SG;3;PST;FIN
unite	unida	unit	unido	ADJ;INDF;FEM;PL	ADJ;FEM;SG;V.PTCP
moldova	moldavia	moldova	moldavia	PROPN	N;FEM;SG
moldova	moldova	moldova	moldova	PROPN	N;FEM;SG
aceste	éstas	acest	este	DET;FEM;PL;3	PRO;FEM;PL
aceste	estos	acest	este	DET;FEM;PL;3	PRO;MASC;PL
aceste	estas	acest	este	DET;FEM;PL;3	PRO;FEM;PL
aceste	éstos	acest	este	DET;FEM;PL;3	PRO;MASC;PL
secolul	century	secol	century	N;DEF;MASC;SG	PROPN
una	una	unul	uno	PRO;FEM;SG;3	DET;INDF;FEM;SG
una	one	unul	one	PRO;FEM;SG;3	N
life	vida	life	vida		N;FEM;SG
life	life	life	life		N
reședință	residence	reședință	residence	N;INDF;FEM;SG	V;IND;SG;3;PRS;FIN
tot	todas	tot	todo	PRO;MASC;SG;3	PRO;FEM;PL
tot	all	tot	all	PRO;MASC;SG;3	N
tot	todos	tot	todo	PRO;MASC;SG;3	PRO;MASC;PL
tot	todavia	tot	todavia	PRO;MASC;SG;3	INTJ
tot	still	tot	still	PRO;MASC;SG;3	N
tot	todavía	tot	todavía	PRO;MASC;SG;3	ADV
tot	aún	tot	aún	PRO;MASC;SG;3	ADV
chiar	hasta	chiar	hasta	ADV	ADP
făcut	hecha	face	hecho	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
făcut	made	face	mader	V;MASC;SG;V.PTCP	N
făcut	hecho	face	hecho	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
cunoscute	conocida	cunoscut	conocido	ADJ;INDF;FEM;PL	ADJ;FEM;SG;V.PTCP
cunoscute	conocido	cunoscut	conocido	ADJ;INDF;FEM;PL	ADJ;MASC;SG;V.PTCP
date	data	dată	datar	N;INDF;FEM;PL	N;FEM;SG
date	dato	dată	dato	N;INDF;FEM;PL	N;MASC;SG
trebuie	mosto	trebui	mosto	V;IND;3;PRS;FIN	N;MASC;SG
