من	кой	مِن	кой	ADP	PRO;NOM;MASC;SG
تصنيف	рейтинги	تَصنِيف	рейтинг	N;NOM;INDF;SG	N;INDF;MASC;PL
عام	годината	عَام	година	N;NOM;INDF;SG	N;DEF;FEM;SG
عام	публично	عَام	публично	N;NOM;INDF;SG	ADV
عام	публични	عَام	публичен	N;NOM;INDF;SG	ADJ;INDF;PL
عام	публична	عَام	публичен	N;NOM;INDF;SG	ADJ;INDF;FEM;SG
عام	обществено	عَام	обществен	N;NOM;INDF;SG	ADV
عام	публичен	عَام	публичен	N;NOM;INDF;SG	ADJ;INDF;MASC;SG
عام	обществени	عَام	обществен	N;NOM;INDF;SG	ADJ;INDF;PL
عام	обща	عَام	общ	N;NOM;INDF;SG	ADJ;INDF;FEM;SG
عام	общи	عَام	общ	N;NOM;INDF;SG	ADJ;INDF;PL
اسم	името	اِسم	име	N;NOM;INDF;SG	N;DEF;NEUT;SG
بن	кошче	بِن	кошче	PROPN	N;INDF;NEUT;SG
بن	бин	بِن	бин	PROPN	PROPN;INDF;MASC;SG
بن	бен	بِن	бен	PROPN	PROPN;INDF;MASC;SG
المنطقة	район	مِنطَقَة	район	N;NOM;DEF;SG	N;INDF;MASC;SG
المنطقة	регион	مِنطَقَة	регион	N;NOM;DEF;SG	N;INDF;MASC;SG
المنطقة	област	مِنطَقَة	област	N;NOM;DEF;SG	N;INDF;FEM;SG
المنطقة	окръг	مِنطَقَة	окръг	N;NOM;DEF;SG	N;INDF;MASC;SG
المنطقة	област	مِنطَقَة	област	N;NOM;DEF;SG	N;INDF;FEM;SG
المنطقة	район	مِنطَقَة	район	N;NOM;DEF;SG	N;INDF;MASC;SG
المنطقة	зона	مِنطَقَة	зона	N;NOM;DEF;SG	N;INDF;FEM;SG
المنطقة	зона	مِنطَقَة	зона	N;NOM;DEF;SG	N;INDF;FEM;SG
المنطقة	площ	مِنطَقَة	площ	N;NOM;DEF;SG	N;INDF;FEM;SG
المنطقة	област	مِنطَقَة	област	N;NOM;DEF;SG	N;INDF;FEM;SG
المنطقة	район	مِنطَقَة	район	N;NOM;DEF;SG	N;INDF;MASC;SG
هو	него	هُوَ	аз	PRO;NOM;MASC;SG;3	PRO;ACC;MASC;SG;3
هي	нея	هُوَ	аз	PRO;NOM;FEM;SG;3	PRO;ACC;FEM;SG;3
سنة	годината	سَنَة	година	N;NOM;INDF;SG	N;DEF;FEM;SG
كان	бе	كَان	съм	V;PFV;MASC;SG;3;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
اختياري	незадължително	اِختِيَارِيّ	незадължително	ADJ;NOM;INDF;MASC;SG	ADV
اختياري	незадължителни	اِختِيَارِيّ	незадължителен	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;PL
هذه	това	هٰذَا	този	DET;NOM;FEM;SG	PRO;NOM;NEUT;SG
هذه	тези	هٰذَا	този	DET;NOM;FEM;SG	DET;PL
الذي	което	اَلَّذِي	който	DET;NOM;MASC;SG	PRO;NOM;NEUT;SG
الذي	която	اَلَّذِي	който	DET;NOM;MASC;SG	PRO;NOM;FEM;SG
هذا	това	هٰذَا	този	DET;NOM;MASC;SG	PRO;NOM;NEUT;SG
هذا	че	هٰذَا	че	DET;NOM;MASC;SG	CONJ
لا	не	لَا	не	PART	INTJ;NEG
بين	бен	بَينَ	бен	ADP;ACC	PROPN;INDF;MASC;SG
تعليق	коментирайте	تَعلِيق	коментирам	N;NOM;INDF;SG	V;IPFV;IMP;PL;2;FIN
تعليق	коментирам	تَعلِيق	коментирам	N;NOM;INDF;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
تاريخ	историята	تَارِيخ	история	N;NOM;INDF;SG	N;DEF;FEM;SG
حيث	къде	حَيثُ	къде	CONJ	ADV
المتحدة	обединени	مُتَّحِد	обединя-(се)	ADJ;NOM;DEF;FEM;SG	V;PFV;INDF;PL;V.PTCP;PASS
المتحدة	обединена	مُتَّحِد	обединя-(се)	ADJ;NOM;DEF;FEM;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
المتحدة	обединен	مُتَّحِد	обединя-(се)	ADJ;NOM;DEF;FEM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
المتحدة	юнайтед	مُتَّحِد	юнайтед	ADJ;NOM;DEF;FEM;SG	N;INDF;MASC;SG
المتحدة	обединено	مُتَّحِد	обединя-(се)	ADJ;NOM;DEF;FEM;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
ذلك	че	ذلك	че		CONJ
عبد	абдул	عبد	абдул		N;INDF;MASC;SG
عبد	роб	عبد	роб		N;INDF;MASC;SG
عبد	робиня	عبد	робине		N;INDF;FEM;SG
كانت	бе	كَان	съм	V;PFV;FEM;SG;3;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
التعداد	преброяване	تَعدَاد	преброяване	N;NOM;DEF;SG	N;INDF;NEUT;SG
التعداد	изброяване	تَعدَاد	изброяване	N;NOM;DEF;SG	N;INDF;NEUT;SG
التعداد	преброяване	تَعدَاد	преброяване	N;NOM;DEF;SG	N;INDF;NEUT;SG
المسؤول	админ	مَسؤُول	админ	N;NOM;DEF;SG	N;INDF;MASC;SG
المسؤول	администратор	مَسؤُول	администратор	N;NOM;DEF;SG	N;INDF;MASC;SG
المسؤول	отговорни	مَسؤُول	отговорен	N;NOM;DEF;SG	ADJ;INDF;PL
المسؤول	отговорно	مَسؤُول	отговорно	N;NOM;DEF;SG	ADV
المسؤول	отговорен	مَسؤُول	отговорен	N;NOM;DEF;SG	ADJ;INDF;MASC;SG
المسؤول	отговорна	مَسؤُول	отговорен	N;NOM;DEF;SG	ADJ;INDF;FEM;SG
مدينة	градът	مَدِينَة	град	N;NOM;INDF;SG	N;DEF;MASC;SG
مدينة	city	مَدِينَة	city	N;NOM;INDF;SG	PROPN;INDF;MASC;SG
محمد	мохамед	محمد	мохамед		N;INDF;MASC;SG
محمد	мохамед	محمد	мохамед		N;INDF;MASC;SG
محمد	мохамед	محمد	мохамед		N;INDF;MASC;SG
محمد	мехмет	محمد	мехмет		N;INDF;MASC;SG
محمد	мехмед	محمد	мехмед		N;INDF;MASC;SG
محمد	мохамед	محمد	мохамед		N;INDF;MASC;SG
المدينة	град	مَدِينَة	град	N;NOM;DEF;SG	N;INDF;MASC;SG
المدينة	градче	مَدِينَة	градче	N;NOM;DEF;SG	N;INDF;NEUT;SG
المدينة	град	مَدِينَة	град	N;NOM;DEF;SG	N;INDF;MASC;SG
المدينة	сити	مَدِينَة	сит	N;NOM;DEF;SG	N;INDF;MASC;SG
المدينة	city	مَدِينَة	city	N;NOM;DEF;SG	PROPN;INDF;MASC;SG
تم	готово	تَمّ	готов	V;PFV;MASC;SG;3;ACT	ADV
تم	направено	تَمّ	направя-(се)	V;PFV;MASC;SG;3;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
تم	сторено	تَمّ	сторя-(се)	V;PFV;MASC;SG;3;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
كل	всички	كُلّ	всеки	N;NOM;INDF;SG	PRO;NOM;PL
كل	всичко	كُلّ	всеки	N;NOM;INDF;SG	PRO;NOM;NEUT;SG
