loại	क़िस्म	loại	कठिस्म	N	
năm	सालो	năm	सालो	N	
năm	पांच	năm	पांच	N	NUM
năm	पाँच	năm	पाँच	N	NUM
của	आपकी	của	आप	ADP	PRO;FEM;SG;2;FORM
của	आपके	của	आप	ADP	PRO;MASC;SG;2;FORM
của	आपका	của	आप	ADP	PRO;MASC;SG;2;FORM
của	अपने	của	अपना	ADP	PRO;NOM;MASC
của	अपना	của	अपना	ADP	PRO;NOM;MASC;SG
các	आपको	các	आप	DET	PRO;SG;2;FORM
các	आप	các	आप	DET	PRO;NOM;SG;2;FORM
các	तुम	các	तुम	DET	PRO;NOM;SG;3
này	ये	này	यह	PROPN	PRO;NOM;PL;3
này	यह	này	यह	PROPN	PRO;NOM;SG;3
này	इस	này	यह	PROPN	DET;ACC;SG;3
này	अरे	này	अरा	PROPN	
này	हे	này	हे	PROPN	
vật	एनिमल	vật	एनिमल	N	
thích	like	thích	like	V	
thích	जैसे	thích	जैसे	V	CONJ
thích	पसंद	thích	पसंद	V	N;NOM;FEM;SG;3
học	अध्ययन	học	अध्ययन	V	N;NOM;MASC;SG;3
học	अध्ययन	học	अध्ययन	V	N;NOM;MASC;SG;3
học	पढ़ाई	học	पढ़ाई	V	N;NOM;FEM;SG;3
học	विद्यालय	học	विद्यालय	V	N;NOM;MASC;SG;3
học	school	học	school	V	N;NOM;MASC;SG;3
học	स्कूल	học	स्कूल	V	N;NOM;MASC;SG;3
học	जानें	học	जान	V	N;NOM;FEM;PL;3
người	मैन	người	मैन	N	
người	man	người	ओे	N	
thực	असली	thực	असली	V	ADJ;NOM
thực	यथार्थ	thực	यथार्थ	V	ADV
thực	रीयल	thực	रीयल	V	N;NOM;MASC;SG;3
thực	वास्तविक	thực	वास्तविक	V	ADJ;NOM
thực	रियल	thực	रियल	V	N;NOM;MASC;SG;3
thực	दरअसल	thực	दरअसल	V	ADV
thực	प्रमाणिक	thực	प्रमाणिक	V	N;NOM;MASC;SG;3
thực	प्रामाणिक	thực	प्रामाणिक	V	ADJ;NOM
thực	सचमुच	thực	सचमुच	V	
thực	वाकई	thực	वाकई	V	
tham	संयुक्त	tham	संयुक्त	V	PROPN;NOM;MASC;SG;3
kết	समाप्त	kết	समाप्त	N	ADJ
đầu	प्रथम	đầu	प्रथम	N	ADJ
đầu	पहली	đầu	पहला	N	ADJ;NOM;FEM;SG
đầu	पहले	đầu	पहले	N	ADV;NOM;MASC;SG;3
đầu	पहला	đầu	पहला	N	ADJ;NOM;MASC;SG
ngoài	बाहर	ngoài	बाहर	N	ADV;NOM;MASC;SG;3
ngoài	बाहरी	ngoài	बाहरी	N	ADJ;NOM
thành	चेंग	thành	चेंग	V	PROPN;NOM;MASC;SG;3
khoa	विज्ञान	khoa	विज्ञान		N;NOM;MASC;SG;3
khoa	संकाय	khoa	संकाय		N;NOM;MASC;SG;3
với	साथ	với	साथ	ADP	ADV;NOM;MASC;SG;3
tháng	फरवरी	tháng	फरवरी	N	PROPN;NOM;FEM;SG;3
tháng	फ़रवरी	tháng	फ़रवरी	N	PROPN;NOM;FEM;SG;3
cho	चो	cho	चो	V	
không	नही	không	नही	;NEG	
không	नहीं	không	नहीं	;NEG	PART;NEG
không	नहींं	không	नहींं	;NEG	
không	नहीं	không	नहीं	;NEG	PART;NEG
tiên	परी	tiên	परी	N	PROPN;NOM;FEM;SG;3
hoa	यूनाइटेड	hoa	यूनाइटेड	N	PROPN;NOM;MASC;SG;3
hoa	संयुक्त	hoa	संयुक्त	N	PROPN;NOM;MASC;SG;3
hoa	पुष्प	hoa	पुष्प	N	
hoa	फ्लावर	hoa	फ्लावर	N	
hoa	पुष्प	hoa	पुष्प	N	
dân	dân	dân	dân	N	
những	ये	những	यह	DET	PRO;NOM;PL;3
những	उन्होंने	những	वह	DET	PRO;SG;3;FORM
những	वे	những	वह	DET	PRO;NOM;SG;3
nam	नान	nam	नान	N	PROPN;NOM;MASC;SG;3
nam	nan	nam	आ	N	PROPN;NOM;MASC;SG;3
nam	दक्षिणी	nam	दक्षिणी	N	PROPN;NOM;MASC;SG;3
nam	साउथ	nam	साउथ	N	PROPN;NOM;MASC;SG;3
nam	दक्षिण	nam	दक्षिण	N	PROPN;NOM;MASC;SG;3
nam	nam	nam	nam	N	PROPN;NOM;MASC;SG;3
công	सार्वजनिक	công	सार्वजनिक	N	ADJ
chính	सम	chính	सम	PART	
chính	अपनी	chính	अपना	PART	PRO;NOM;FEM
chính	खुद	chính	खुद	PART	PRO;NOM
chính	स्वयं	chính	स्वयं	PART	
chính	अपने	chính	अपना	PART	PRO;NOM;MASC
chính	अपना	chính	अपना	PART	PRO;NOM;MASC;SG
chính	प्राथमिक	chính	प्राथमिक	PART	N;NOM
chính	मुख्य	chính	मुख्य	PART	PROPN;NOM;MASC;SG;3
chính	मेन	chính	मेन	PART	
chính	प्रमुख	chính	प्रमुख	PART	N;NOM;MASC;SG;3
động	गतिशील	động	गतिशील	V	N;NOM;MASC;SG;3
động	डायनेमिक	động	डायनेमिक	V	N;NOM;MASC;SG;3
động	स्वचलित	động	स्वचलित	V	PROPN;NOM
động	स्वचालित	động	स्वचालित	V	ADJ;NOM
khi	कब	khi	कब	N	PRO
khi	जब	khi	जब	N	PRO;NOM
đến	आगमन	đến	आगमन	PART	N;NOM;MASC;SG;3
đến	आईये	đến	आईया	PART	PROPN;NOM;MASC;SG;3
đến	आइये	đến	आ	PART	V;SBJV;PL;3;FIN;ACT
theo	थियो	theo	थियो	V	
theo	बाद	theo	बाद	V	ADV;NOM;MASC;SG;3
tỉnh	शांत	tỉnh	शांत	N	ADJ
tỉnh	जागे	tỉnh	जाग	N	V;MASC;SG;FIN;ACT
tỉnh	जाग	tỉnh	जाग	N	V;ACT
sau	बाद	sau	बाद	N	ADV;NOM;MASC;SG;3
sau	बाद	sau	बाद	N	ADV;NOM;MASC;SG;3
trung	मध्यम	trung	मध्यम	N	
trung	मीडियम	trung	मीडियम	N	
trung	केंद्रीय	trung	केंद्रीय	N	PROPN;NOM;SG;3
trung	मध्य	trung	मध्य	N	
trung	सेंट्रल	trung	सेंट्रल	N	PROPN;NOM;MASC;SG;3
trung	मध्य	trung	मध्य	N	
trên	ऊपर	trên	ऊपर		ADV;NOM;MASC;SG;3
nhà	होम	nhà	होम	N	
nhà	होम	nhà	होम	N	
thị	ग्राफ	thị	ग्राफ	N	PROPN;NOM;MASC;SG;3
như	like	như	like	CONJ	
như	जैसे	như	जैसे	CONJ	CONJ
huyện	जिलाध्यक्ष	huyện	जिलाध्यक्ष	N	PROPN;NOM;MASC;SG;3
bản	डच	bản	डच	N	
miêu	मियाओ	miêu	मियाओ	N	
đại	बड़े	đại	बडा	N	ADJ;NOM;MASC;PL
đại	बड़ा	đại	बड़ा	N	ADJ;NOM;MASC;SG
đại	बड़ी	đại	बडा	N	ADJ;NOM;FEM;SG
đại	बिग	đại	बिग	N	
hiện	दिखाओ	hiện	दिखा	N	V;SBJV;SG;FIN;ACT
hiện	दिखाएं	hiện	दिखा	N	V;SBJV;PL;FIN;ACT
hiện	दिखाएँ	hiện	दिखा	N	V;SBJV;PL;FIN;ACT
thế	उस	thế	वह	PROPN	DET;ACC;SG;3
thế	कि	thế	कि	PROPN	
bar	पट्टी	bar	पट्टी		N;NOM;FEM;SG;3
bar	बार	bar	बार		N;NOM;FEM;SG;3
cũng	भी	cũng	भी		PART
việt	việt	việt	việt	N	
việt	वियतनाम	việt	वियतनाम	N	PROPN;NOM;MASC;SG;3
việt	viet	việt	viet	N	
nhất	बेस्ट	nhất	बेस्ट		PROPN;NOM;MASC;SG;3
nhất	सर्वश्रेष्ठ	nhất	सर्वश्रेष्ठ		PROPN;NOM;MASC;SG;3
nhất	बेहतरीन	nhất	बेहतरीन		ADJ
nhân	मरीज	nhân	मरीज		N;NOM;MASC;PL;3
nhân	रोगी	nhân	रोगी		N;NOM;MASC;SG;3
phát	प्रसारण	phát	प्रसारण	V	N;NOM;MASC;SG;3
phát	ब्रॉडकास्ट	phát	ब्रॉडकास्ट	V	N;NOM;MASC;SG;3
phát	गोली	phát	गोली	V	N;NOM;FEM;SG;3
phát	शॉट	phát	शॉट	V	N;NOM;MASC;SG;3
phát	गोले	phát	गोला	V	N;NOM;MASC;PL;3
phát	शॉट	phát	शॉट	V	N;NOM;MASC;SG;3
phát	गोलियाँ	phát	गोली	V	N;NOM;FEM;PL;3
anh	आपको	anh	आप	N	PRO;SG;2;FORM
anh	आप	anh	आप	N	PRO;NOM;SG;2;FORM
anh	तुम	anh	तुम	N	PRO;NOM;SG;3
pháp	फ़्रांसीसी	pháp	फ़्रांसीसी	N	PROPN;NOM;MASC;SG;3
pháp	फ्रांसीसी	pháp	फ्रांसीसी	N	ADJ;NOM
pháp	फ्रेंच	pháp	फ्रेंच	N	
pháp	फ्रांस	pháp	फ्रांस	N	PROPN;NOM;MASC;SG;3
pháp	फ़्रांस	pháp	फाररांस	N	PROPN;NOM;MASC;SG;3
chúng	उनसे	chúng	वह	PROPN	PRO;SG;3;FORM
chúng	उनके	chúng	वह	PROPN	PRO;MASC;SG;3;FORM
chúng	उनको	chúng	वह	PROPN	PRO;SG;3;FORM
chúng	उन्हें	chúng	वह	PROPN	PRO;SG;3;FORM
chúng	उन्होंने	chúng	वह	PROPN	PRO;SG;3;FORM
chúng	वे	chúng	वह	PROPN	PRO;NOM;SG;3
tập	प्रकरण	tập	प्रकरण		N;NOM;MASC;SG;3
tập	एपिसोड	tập	एपिसोड		N;NOM;MASC;SG;3
tập	एपीसोड	tập	एपीसोड		N;NOM;MASC;SG;3
tập	धारावाहिक	tập	धारावाहिक		N;NOM;MASC;SG;3
tập	एपिसोड	tập	एपिसोड		N;NOM;MASC;SG;3
tập	एपीसोड	tập	एपीसोड		N;NOM;MASC;SG;3
nhiều	कई	nhiều	कई	ADJ	DET
nhiều	अनेक	nhiều	अनेक	ADJ	DET
nhiều	मल्टीपल	nhiều	मल्टीपल	ADJ	PROPN;NOM;MASC;SG;3
nhiều	बहुमुखी	nhiều	बहुमुखी	ADJ	N;NOM;MASC;SG;3
nhiều	बहु	nhiều	बहु	ADJ	
nhiều	अनेक	nhiều	अनेक	ADJ	DET
chi	चाई	chi	चा	N	
chi	ची	chi	ची	N	PROPN;NOM;MASC;SG;3
chỉ	सिर्फ	chỉ	सिर्फ		PART
chỉ	केवल	chỉ	केवल		PART
chỉ	तभी	chỉ	तभी		PRO;NOM
chỉ	सिर्फ	chỉ	सिर्फ		PART
chỉ	बस	chỉ	बस		N;NOM;FEM;SG;3
vùng	मण्डल	vùng	मण्डल	N	PROPN;NOM;MASC;SG;3
đây	यहां	đây	यहाँ	PROPN	PRO;NOM
đây	यहा	đây	यहा	PROPN	
đây	यहाँ	đây	यहाँ	PROPN	PRO;NOM
sinh	जन्म	sinh	जन्म	V	N;NOM;MASC;SG;3
sinh	born	sinh	born	V	PROPN;NOM;MASC;SG;3
sinh	जन्म	sinh	जन्म	V	N;NOM;MASC;SG;3
sinh	जनम	sinh	जनम	V	PROPN;NOM;MASC;SG;3
con	कॉन	con	कॉन	N	
con	चाइल्ड	con	चाइल्ड	N	PROPN;NOM;MASC;SG;3
quan	गुआन	quan	गुआन	V	
quan	अधिकारी	quan	अधिकारी	V	N;NOM;MASC;PL;3
tin	विश्वास	tin	विश्वास		N;NOM;MASC;SG;3
tin	मानना	tin	मान		V;NFIN;ACT
tin	कहानियाँ	tin	कहानी		N;NOM;FEM;PL;3
tin	कहानियां	tin	कहानी		N;NOM;FEM;PL;3
tin	खबर	tin	खबर		N;NOM;FEM;SG;3
tin	समाचार	tin	समाचार		N;NOM;MASC;SG;3
tin	न्यूज	tin	न्यूज		N;NOM;FEM;SG;3
tin	भरोसा	tin	भरोसा		N;NOM;MASC;SG;3
tin	ट्रस्ट	tin	ट्रस्ट		N;NOM;MASC;SG;3
tin	विश्वास	tin	विश्वास		N;NOM;MASC;SG;3
đồng	ताम्र	đồng	ताम्र	N	
đồng	तांबा	đồng	तांबा	N	
đồng	đồng	đồng	đồng	N	
đồng	कांस्य	đồng	कांस्य	N	PROPN;NOM;MASC;SG;3
viên	बुलेट	viên	बुलेट	N	
viên	वियना	viên	वियना	N	PROPN;NOM;MASC;SG;3
phải	सही	phải	सही	V	ADJ
phải	जरूर	phải	जरूर	V	ADV
việc	job	việc	job	N	
bắc	उत्तर	bắc	उत्तर	N	PROPN;NOM;MASC;SG;3
bắc	उत्तरी	bắc	उत्तरी	N	PROPN;NOM;MASC;SG;3
sách	किताबे	sách	किताबा	N	
sách	किताबे	sách	किताबा	N	
tiểu	छोटे	tiểu	छोटा		ADJ;NOM;MASC;PL
tiểu	छोटा	tiểu	छोटा		ADJ;NOM;MASC;SG
tiểu	छोटी	tiểu	छोटा		ADJ;FEM;SG
khác	भिन्न	khác	भिन्न	ADJ	ADP
khác	अन्य	khác	अन्य	ADJ	N;NOM;MASC;SG;3
khác	अन्य	khác	अन्य	ADJ	N;NOM;MASC;SG;3
cao	हाई	cao	हाई	ADJ	N;NOM
cao	आलीशान	cao	आलीशान	ADJ	N;NOM;MASC;SG;3
cao	उच्च	cao	उच्च	ADJ	
tây	पश्चिम	tây	पश्चिम	N	PROPN;NOM;MASC;SG;3
tây	वेस्ट	tây	वेस्ट	N	PROPN;NOM;MASC;SG;3
tây	पश्चिमी	tây	पश्चिमी	N	ADJ
hội	चांस	hội	चांस	N	PROPN;NOM;MASC;SG;3
cùng	समान	cùng	समान	ADJ	
cùng	वही	cùng	वह	ADJ	PRO;NOM;SG;3
giải	ढीला	giải	ढीला	V	ADJ;NOM;MASC;SG
giải	मुक्केबाजी	giải	मुक्केबाजी	V	N;NOM;FEM;SG;3
giải	बॉक्सिंग	giải	बॉक्सिंग	V	N;NOM;FEM;SG;3
giải	मुक्केबाज़ी	giải	मुक्केबाज़ी	V	N;NOM;FEM;SG;3
giải	समाधान	giải	समाधान	V	N;NOM;MASC;SG;3
giải	विभेदन	giải	विभेदन	V	N;NOM;MASC;SG;3
giải	रिज़ॉल्यूशन	giải	रिजोॉल्यूशन	V	N;NOM;MASC;SG;3
giải	रेज़ोल्यूशन	giải	रेजोोल्यूशन	V	N;NOM;MASC;SG;3
