категорія	kategorijo	категорія	kategorija	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
від	vid	від	vid	ADP;GEN	N;NOM;MASC;SG
для	za	для	za	ADP;GEN	
також	tudi	також	tudi	ADV	PART
про	glede	про	glede	ADP;ACC	ADV
його	njegovo	він	njegov	PRO;ACC;MASC;SG;3	DET;NOM;NEUT;SG;3
його	njegove	він	njegov	PRO;ACC;MASC;SG;3	DET;NOM;FEM;PL;3
його	njegov	він	njegov	PRO;ACC;MASC;SG;3	DET;NOM;MASC;SG;3
його	njegova	він	njegov	PRO;ACC;MASC;SG;3	DET;NOM;FEM;SG;3
його	its	він	its	PRO;ACC;MASC;SG;3	
його	njega	він	on	PRO;ACC;MASC;SG;3	PRO;GEN;MASC;SG;3
він	wien	він	wien	PRO;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
під	pod	під	pod	ADP;ACC	
після	po	після	po	ADP;GEN	N;NOM;MASC;SG
або	bodisi	або	bodisi	CONJ	
час	krat	час	krat	N;INAN;NOM;MASC;SG	ADV
час	časi	час	čas	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
час	časa	час	čas	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
області	območja	область	območje	N;INAN;GEN;FEM;SG	N;NOM;NEUT;PL
області	področja	область	področje	N;INAN;GEN;FEM;SG	N;NOM;NEUT;PL
області	površine	область	površina	N;INAN;GEN;FEM;SG	N;NOM;FEM;PL
які	katero	який	kateri	DET;NOM;PL	DET;ACC;NEUT;SG
які	kateri	який	kateri	DET;NOM;PL	DET;NOM;MASC;SG
які	katere	який	kateri	DET;NOM;PL	DET;ACC;FEM;PL
які	katerih	який	kateri	DET;NOM;PL	DET;GEN;MASC;PL
які	ki	який	ki	DET;NOM;PL	CONJ
які	katerega	який	kateri	DET;NOM;PL	DET;GEN;MASC;SG
який	katero	який	kateri	DET;NOM;MASC;SG	DET;ACC;NEUT;SG
який	kateri	який	kateri	DET;NOM;MASC;SG	DET;NOM;MASC;SG
який	katere	який	kateri	DET;NOM;MASC;SG	DET;ACC;FEM;PL
який	katerih	який	kateri	DET;NOM;MASC;SG	DET;GEN;MASC;PL
який	ki	який	ki	DET;NOM;MASC;SG	CONJ
який	katerega	який	kateri	DET;NOM;MASC;SG	DET;GEN;MASC;SG
були	bil	бути	biti	V;IPFV;IND;PL;PST;FIN	V;MASC;SG;V.PTCP
були	bila	бути	biti	V;IPFV;IND;PL;PST;FIN	V;FEM;SG;V.PTCP
осіб	oseb	особа	oseba	N;ANIM;ACC;FEM;PL	N;GEN;FEM;PL
осіб	osebe	особа	oseba	N;ANIM;ACC;FEM;PL	N;NOM;FEM;PL
міста	mest	місто	mesto	N;INAN;NOM;NEUT;SG	N;GEN;NEUT;PL
міста	mesta	місто	mesto	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;PL
міста	mesti	місто	mesto	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;PL
див	glej	див.	gledati		V;IPFV;IMP;SG;2;FIN
див	glejte	див.	gledati		V;IPFV;IMP;PL;2;FIN
село	vasi	село	vas	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
через	via	через	via	ADP;ACC	N;NOM;MASC;SG
через	skoz	через	skoz	ADP;ACC	
села	vasi	село	vas	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
села	sela	село	sela	N;INAN;NOM;NEUT;SG	PROPN;NOM;FEM;SG
так	ja	так	ja	INTJ	PART
так	jaa	так	jaa	INTJ	
так	ja	так	ja	INTJ	PART
так	da	так	da	INTJ	
тому	zato	тому	zato	ADV	CONJ
тому	zatorej	тому	zatorej	ADV	
рік	ricka	рік	ricko	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
ради	svet	рада	svet	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
ради	sveta	рада	svet	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
сша	zda	сШа	zdati	PROPN;INAN;GEN	PROPN;GEN;FEM;PL
сша	usa	сШа	usa	PROPN;INAN;GEN	
область	oblast	область	oblast	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
того	togo	те	tog	PRO;INAN;GEN;NEUT;SG	ADV
того	toga	те	tog	PRO;INAN;GEN;NEUT;SG	ADJ;NOM;FEM;SG
яка	kaj	який	kaj	DET;NOM;FEM;SG	PRO;ACC;NEUT;SG
яка	katero	який	kateri	DET;NOM;FEM;SG	DET;ACC;NEUT;SG
яка	katere	який	kateri	DET;NOM;FEM;SG	DET;ACC;FEM;PL
яка	katerih	який	kateri	DET;NOM;FEM;SG	DET;GEN;MASC;PL
яка	ki	який	ki	DET;NOM;FEM;SG	CONJ
