kategória	catégories	kategória	catégorie	N;NOM;FEM;SG	N;FEM;PL
ako	comme	ako	comme	ADV	ADP
ako	aime	ako	aimer	ADV	V;IND;SG;3;PRS;FIN
ako	aiment	ako	aimer	ADV	V;IND;PL;3;PRS;FIN
ako	genre	ako	genre	ADV	N;MASC;SG
ako	aimez	ako	aimer	ADV	V;IMP;PL;2;PRS;FIN
bol	bol	byť	bol	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	N;MASC;SG
bol	fut	byť	être	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
bol	etait	byť	etever	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
bol	était	byť	être	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
pozri	consultez	pozrieť	consulter	V;PFV;IMP;SG;2;POS;FIN	V;IMP;PL;2;PRS;FIN
pozri	voyez	pozrieť	voir	V;PFV;IMP;SG;2;POS;FIN	V;IMP;PL;2;PRS;FIN
pozri	vois	pozrieť	vois	V;PFV;IMP;SG;2;POS;FIN	V;IND;SG;2;PRS;FIN
pozri	regardez	pozrieť	regarder	V;PFV;IMP;SG;2;POS;FIN	V;IMP;PL;2;PRS;FIN
pozri	regarde	pozrieť	regarder	V;PFV;IMP;SG;2;POS;FIN	V;IND;SG;3;PRS;FIN
pozri	regardes	pozrieť	regarde	V;PFV;IMP;SG;2;POS;FIN	V;IMP;PL;2;PRS;FIN
mba	mba	mba	mba		N;MASC;SG
obyvateľov	résidants	obyvateľ	résidant	N;ANIM;ACC;MASC;PL	ADJ;MASC;PL
jeho	his	jeho	his	DET;NOM;NEUT;SG;3	PROPN
jeho	ses	jeho	son	DET;NOM;NEUT;SG;3	DET;MASC;PL
jeho	ses	jeho	son	DET;NOM;NEUT;SG;3	DET;MASC;PL
ktorá	lesquels	ktorý	lequel	DET;NOM;FEM;SG	PRO;MASC;PL
ktorá	laquelle	ktorý	lequel	DET;NOM;FEM;SG	PRO;FEM;SG
ktorá	lequel	ktorý	lequel	DET;NOM;FEM;SG	PRO;MASC;SG
pri	pri	pri	pri	ADP;ESS	
bola	fut	byť	être	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
bola	etait	byť	etever	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
bola	était	byť	être	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
ktoré	lesquels	ktorý	lequel	DET;NOM;NEUT;SG	PRO;MASC;PL
ktoré	laquelle	ktorý	lequel	DET;NOM;NEUT;SG	PRO;FEM;SG
ktoré	lequel	ktorý	lequel	DET;NOM;NEUT;SG	PRO;MASC;SG
ktorý	lesquels	ktorý	lequel	DET;ANIM;NOM;MASC;SG	PRO;MASC;PL
ktorý	laquelle	ktorý	lequel	DET;ANIM;NOM;MASC;SG	PRO;FEM;SG
ktorý	lequel	ktorý	lequel	DET;ANIM;NOM;MASC;SG	PRO;MASC;SG
zoznam	listes	zoznam	liste	N;INAN;NOM;MASC;SG	N;FEM;PL
socorro	socorro	socorro	socorro	N;NOM;NEUT;SG	PROPN
externé	extérieurs	externý	extérieur	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
externé	extérieur	externý	extérieur	ADJ;NOM;NEUT;SG	N;MASC;SG
externé	externes	externý	externe	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
iné	autre	iný	autre	DET;NOM;NEUT;SG	PRO;SG
iné	autres	iný	autre	DET;NOM;NEUT;SG	PRO;PL
iné	autres	iný	autre	DET;NOM;NEUT;SG	PRO;PL
the	le	the	le		DET;DEF;MASC;SG
the	les	the	le		DET;DEF;PL
the	la	the	le		DET;DEF;FEM;SG
boli	étaient	byť	être	V;IPFV;MASC;PL;POS;PST;V.PTCP	V;IND;PL;3;IPFV;FIN
podľa	under	podľa	under	ADP;GEN	PROPN
bolo	fut	byť	être	V;IPFV;NEUT;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
bolo	etait	byť	etever	V;IPFV;NEUT;SG;POS;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
bolo	était	byť	être	V;IPFV;NEUT;SG;POS;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
jej	sa	ona	son	PRO;DAT;FEM;SG;3	DET;FEM;SG
jej	ses	ona	son	PRO;DAT;FEM;SG;3	DET;MASC;PL
jej	son	ona	son	PRO;DAT;FEM;SG;3	DET;MASC;SG
ich	leurs	on	son	PRO;NOM;MASC;PL;3	DET;MASC;PL
ich	ich	on	ich	PRO;NOM;MASC;PL;3	
team	équipe	team	équipe	PROPN;ANIM;NOM;MASC;SG	N;FEM;SG
team	equipe	team	equipe	PROPN;ANIM;NOM;MASC;SG	N;FEM;SG
byť	etre	byť	être	V;IPFV;POS;NFIN	V;NFIN
francúzska	francais	francúzsky	francais	N;NOM;FEM;SG	ADJ;MASC;SG
francúzska	française	francúzsky	français	N;NOM;FEM;SG	ADJ;FEM;SG
francúzska	français	francúzsky	français	N;NOM;FEM;SG	ADJ;MASC;SG
francúzska	françaises	francúzsky	français	N;NOM;FEM;SG	ADJ;FEM;PL
najvyšší	supreme	vysoký	supreme	ADJ;ANIM;NOM;RL;MASC;SG	N;MASC;SG
