que	att	que	att	PRO;MASC;SG	PART
uma	one	um	one	NUM	N;NOM;INDF;MASC+FEM;SG
com	com	com	com	ADP	N;NOM;INDF;MASC+FEM;SG
foi	var	foi	var	ADV	PRO;INDF;MASC+FEM;SG
como	gilla	como	gilla	ADV	V;IMP;FIN;ACT
como	gillar	como	gilla	ADV	V;IND;PRS;FIN;ACT
como	som	como	som	ADV	CONJ
como	like	como	like	ADV	V;IMP;FIN;ACT
não	inte	não	inte	INTJ	PART;NEG
não	ej	não	ej	INTJ	PART;NEG
mais	more	mais	more	ADV	
mais	fler	mais	mången	ADV	PRO;INDF;PL
sua	hans	seu	han	DET;FEM;SG	PRO;DEF
sua	ditt	seu	du	DET;FEM;SG	PRO;DEF;NEUT;SG
sua	din	seu	du	DET;FEM;SG	PRO;DEF;MASC+FEM;SG
sua	dina	seu	du	DET;FEM;SG	PRO;DEF;PL
sua	ditt	seu	du	DET;FEM;SG	PRO;DEF;NEUT;SG
sua	din	seu	du	DET;FEM;SG	PRO;DEF;MASC+FEM;SG
sua	dina	seu	du	DET;FEM;SG	PRO;DEF;PL
sua	its	seu	its	DET;FEM;SG	N;NOM;INDF;MASC+FEM;SG
sua	dess	seu	den	DET;FEM;SG	PRO;DEF
são	are	ser	are	V;IND;PL;3;PRS;FIN	N;NOM;INDF;MASC+FEM;SG
seu	hans	seu	han	DET;MASC;SG	PRO;DEF
seu	its	seu	its	DET;MASC;SG	N;NOM;INDF;MASC+FEM;SG
seu	dess	seu	den	DET;MASC;SG	PRO;DEF
seu	ditt	seu	du	DET;MASC;SG	PRO;DEF;NEUT;SG
seu	din	seu	du	DET;MASC;SG	PRO;DEF;MASC+FEM;SG
seu	dina	seu	du	DET;MASC;SG	PRO;DEF;PL
seu	ditt	seu	du	DET;MASC;SG	PRO;DEF;NEUT;SG
seu	din	seu	du	DET;MASC;SG	PRO;DEF;MASC+FEM;SG
seu	dina	seu	du	DET;MASC;SG	PRO;DEF;PL
min	min	min	jag	N;MASC;PL	PRO;DEF;MASC+FEM;SG
das	das	das	das	N;MASC;SG	PROPN;NOM
também	oxå	também	oxå	ADV	N;NOM;INDF;MASC+FEM;SG
também	too	também	too	ADV	N;NOM;INDF;NEUT;SG
ser	ser	ser	se	V;NFIN	V;IND;PRS;FIN;ACT
ele	honom	ele	han	PRO;NOM;MASC;SG;3	PRO;ACC;DEF;MASC+FEM;SG
discussão	diskussioner	discussão	diskussion	N;FEM;SG	N;NOM;INDF;MASC+FEM;PL
anos	years	ano	years	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
anos	år	ano	år	N;MASC;PL	N;NOM;INDF;NEUT;SG
era	var	ser	var	V;IND;SG;3;IPFV;FIN	PRO;INDF;MASC+FEM;SG
sobre	ungefär	sobre	ungefär	ADP	ADV
foram	var	ser	var	V;IND;PL;3;PST;FIN	PRO;INDF;MASC+FEM;SG
mesmo	samma	mesmo	samma	ADV	DET;INDF
mesmo	detsamma	mesmo	densamma	ADV	PRO;DEF;NEUT;SG
onde	var	onde	var	ADV	PRO;INDF;MASC+FEM;SG
onde	vart	onde	var	ADV	N;NOM;INDF;NEUT;SG
grande	large	grande	large	ADJ;MASC;SG	N;NOM;INDF;MASC+FEM;SG
grande	stora	grande	stor	ADJ;MASC;SG	ADJ;NOM;PL
grande	big	grande	big	ADJ;MASC;SG	N;NOM;INDF;NEUT;SG
grande	stora	grande	stor	ADJ;MASC;SG	ADJ;NOM;PL
grande	jättebra	grande	jättebra	ADJ;MASC;SG	N;NOM;INDF;NEUT;SG
grande	toppen	grande	topp	ADJ;MASC;SG	N;NOM;DEF;MASC+FEM;SG
grande	grande	grande	grand	ADJ;MASC;SG	N;NOM;INDF;NEUT;SG
brasil	brasilien	brasil	brasili	N;MASC;SG	PROPN;NOM
brasil	brasilianska	brasil	brasiliansk	N;MASC;SG	ADJ;NOM;PL
depois	after	depois	after	ADV	N;NOM;INDF;MASC+FEM;SG
depois	efter	depois	efter	ADV	ADP
estado	statliga	estado	statlig	N;MASC;SG	ADJ;NOM;PL
estado	statligt	estado	statlig	N;MASC;SG	ADJ;NOM;INDF;NEUT;SG
estado	villkor	estado	villkor	N;MASC;SG	N;NOM;INDF;NEUT;PL
após	efteråt	após	efteråt	ADP	ADV
após	after	após	after	ADP	N;NOM;INDF;MASC+FEM;SG
primeiro	första	primeiro	en	ADV	ADJ;NOM
