les	на	le	на	DET;DEF;PL	ADP
est	източно	être	източно	V;IND;SG;3;PRS;FIN	ADV
est	изток	être	изток	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
une	една	un	един	DET;INDF;FEM;SG	NUM;INDF;FEM;SG
une	един	un	един	DET;INDF;FEM;SG	NUM;INDF;MASC;SG
une	едно	un	един	DET;INDF;FEM;SG	NUM;INDF;NEUT;SG
qui	кой	qui	кой	PRO	PRO;NOM;MASC;SG
son	звук	son	звук	DET;MASC;SG	N;INDF;MASC;SG
son	звука	son	звук	DET;MASC;SG	N;DEF;MASC;SG
son	му	son	мой	DET;MASC;SG	PRO;DAT;MASC;SG;3
pas	не	pas	не	ADV;NEG	INTJ;NEG
elle	ел	elle	ел	PRO;FEM;SG;3	PROPN
été	лятото	être	лято	V;MASC;SG;PST;V.PTCP	N;DEF;NEUT;SG
été	съмър	être	съмър	V;MASC;SG;PST;V.PTCP	N;INDF;MASC;SG
été	лято	être	лято	V;MASC;SG;PST;V.PTCP	N;INDF;NEUT;SG
été	лятно	être	летен	V;MASC;SG;PST;V.PTCP	ADV
été	самър	être	самър	V;MASC;SG;PST;V.PTCP	PROPN;INDF;MASC;SG
comme	като	comme	като	ADP	CONJ
comme	like	comme	like	ADP	PROPN;INDF;MASC;SG
cette	това	ce	този	DET;FEM;SG	PRO;NOM;NEUT;SG
pop	pop	pop	pop	N;FEM;SG	NUM;INDF;PL
ses	неговият	son	мой	DET;MASC;PL	DET;DEF;MASC;SG;3
ses	неговата	son	мой	DET;MASC;PL	DET;DEF;FEM;SG;3
ses	му	son	мой	DET;MASC;PL	PRO;DAT;MASC;SG;3
ses	неговия	son	мой	DET;MASC;PL	DET;DEF;MASC;SG;3
naissance	naissance	naissance	naissance	N;FEM;SG	PROPN;INDF;MASC;SG
naissance	родени	naissance	родя-(се)	N;FEM;SG	V;PFV;INDF;PL;V.PTCP;PASS
naissance	роден	naissance	родя-(се)	N;FEM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
naissance	родена	naissance	родя-(се)	N;FEM;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
france	франция	france	франция	N;FEM;SG	PROPN;INDF;FEM;SG
saint	свято	saint	свят	PROPN	N;INDF;NEUT;SG
saint	свети	saint	свет	PROPN	N;INDF;MASC;SG
saint	свята	saint	свят	PROPN	N;INDF;FEM;SG
saint	сейнт	saint	сейнт	PROPN	N;INDF;MASC;SG
saint	свети	saint	свет	PROPN	N;INDF;MASC;SG
saint	светица	saint	светица	PROPN	N;INDF;FEM;SG
saint	светец	saint	светец	PROPN	N;INDF;MASC;SG
fait	направени	faire	направя-(се)	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
fait	готово	faire	готов	V;MASC;SG;PST;V.PTCP	ADV
même	дори	même	дори	ADV	PART
même	даже	même	даже	ADV	PART
même	същият	même	същ	ADV	ADJ;DEF;MASC;SG
même	същата	même	същ	ADV	ADJ;DEF;FEM;SG
même	същото	même	същ	ADV	ADJ;DEF;NEUT;SG
nom	фамилно	nom	фамилен	N;MASC;SG	ADV
français	френско	français	френски	ADJ;MASC;SG	ADV
français	французи	français	француга	ADJ;MASC;SG	N;INDF;MASC;PL
français	французин	français	французин	ADJ;MASC;SG	N;INDF;MASC;SG
paris	парис	pari	парис	N;MASC;PL	N;INDF;MASC;SG
paris	париж	pari	париж	N;MASC;PL	PROPN;INDF;MASC;SG
autres	друго	autre	друг	PRO;PL	ADV
autres	друг	autre	друг	PRO;PL	ADJ;INDF;MASC;SG
autres	други	autre	друг	PRO;PL	ADJ;INDF;PL
autres	другите	autre	друг	PRO;PL	ADJ;DEF;PL
autres	други	autre	друг	PRO;PL	ADJ;INDF;PL
était	бе	être	съм	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;SG;3;PST;FIN;ACT
commune	обща	commune	общ	N;FEM;SG	ADJ;INDF;FEM;SG
commune	общ	commune	общ	N;FEM;SG	ADJ;INDF;MASC;SG
commune	общи	commune	общ	N;FEM;SG	ADJ;INDF;PL
commune	чести	commune	честя-(се)	N;FEM;SG	N;INDF;FEM;PL
ville	city	ville	city	N;FEM;SG	PROPN;INDF;MASC;SG
jean	жан	jean	жан	PROPN	PROPN;INDF;MASC;SG
jean	джийн	jean	джийн	PROPN	PROPN;INDF;FEM;SG
jean	джон	jean	джон	PROPN	PROPN;INDF;MASC;SG
jean	йоан	jean	йоан	PROPN	PROPN;INDF;MASC;SG
leur	тяхното	lui	наш	PRO;PL;3	DET;DEF;NEUT;SG;3
leur	тяхната	lui	наш	PRO;PL;3	DET;DEF;FEM;SG;3
leur	техните	lui	наш	PRO;PL;3	DET;DEF;PL;3
leur	техният	lui	наш	PRO;PL;3	DET;DEF;MASC;SG;3
peut	май	pouvoir	май	V;IND;SG;3;PRS;FIN	PROPN;INDF;MASC;SG
peut	могат	pouvoir	мога	V;IND;SG;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
peut	can	pouvoir	can	V;IND;SG;3;PRS;FIN	PROPN;INDF;MASC;SG
première	премиерата	premier	премиера	ADJ;FEM;SG	N;DEF;FEM;SG
première	премиера	premier	премиер	ADJ;FEM;SG	N;DEF;MASC;SG
première	първо	premier	първо	ADJ;FEM;SG	ADV
ans	ans	an	ans	N;MASC;PL	N;INDF;MASC;SG
externes	външна	externe	външен	ADJ;MASC;PL	ADJ;INDF;FEM;SG
externes	външно	externe	външен	ADJ;MASC;PL	ADV
externes	външен	externe	външен	ADJ;MASC;PL	ADJ;INDF;MASC;SG
premier	премиер	premier	премиер	ADJ;MASC;SG	N;INDF;MASC;SG
premier	премиера	premier	премиер	ADJ;MASC;SG	N;DEF;MASC;SG
premier	първо	premier	първо	ADJ;MASC;SG	ADV
ces	тези	ce	този	PRO;PL;3	DET;PL
film	филмова	film	филмов	N;MASC;SG	ADJ;INDF;FEM;SG
voir	изглед	voir	изглед	V;NFIN	N;INDF;MASC;SG
voir	гледка	voir	гледка	V;NFIN	N;INDF;FEM;SG
voir	оглед	voir	оглед	V;NFIN	N;INDF;MASC;SG
voir	преглед	voir	преглед	V;NFIN	N;INDF;MASC;SG
pays	държави	pays	държава	N;MASC;SG	N;INDF;FEM;PL
pays	страни	pays	страна	N;MASC;SG	N;INDF;FEM;PL
grand	голямо	grand	голям	ADJ;MASC;SG	ADV
grand	големи	grand	голям	ADJ;MASC;SG	ADJ;INDF;PL
grand	биг	grand	биг	ADJ;MASC;SG	N;INDF;MASC;SG
grand	голямо	grand	голям	ADJ;MASC;SG	ADV
grand	големи	grand	голям	ADJ;MASC;SG	ADJ;INDF;PL
grand	страхотно	grand	страхотно	ADJ;MASC;SG	ADV
grand	бона	grand	бона	ADJ;MASC;SG	N;INDF;MASC;SG
grand	гранд	grand	гранд	ADJ;MASC;SG	N;INDF;MASC;SG
tout	всички	tout	всеки	PRO;MASC;SG	PRO;NOM;PL
groupe	групово	groupe	групово	N;MASC;SG	ADV
groupe	групова	groupe	групов	N;MASC;SG	ADJ;INDF;FEM;SG
nord	северно	nord	северно	N;MASC;SG	ADV
nord	северна	nord	северен	N;MASC;SG	ADJ;INDF;FEM;SG
nord	северни	nord	северен	N;MASC;SG	ADJ;INDF;PL
nord	северна	nord	северен	N;MASC;SG	ADJ;INDF;FEM;SG
nord	nord	nord	nor	N;MASC;SG	PROPN;INDF;MASC;SG
bien	добър	bien	добър	ADV	ADJ;INDF;MASC;SG
bien	еее	bien	ее	ADV	INTJ
puis	тогава	puis	тогава	CONJ	ADV
équipe	тийм	équipe	тийм	N;FEM;SG	N;INDF;MASC;PL
équipe	team	équipe	team	N;FEM;SG	PROPN;INDF;MASC;SG
club	club	club	club	N;MASC;SG	PROPN;INDF;MASC;SG
sud	sud	sud	sud	N;MASC;SG	PROPN;INDF;MASC;SG
sud	южно	sud	южен	N;MASC;SG	ADV
sud	южна	sud	южен	N;MASC;SG	ADJ;INDF;FEM;SG
partie	party	partie	party	N;FEM;SG	ADJ
avant	преден	avant	преден	ADP	ADJ;INDF;MASC;SG
avant	предни	avant	преден	ADP	ADJ;INDF;PL
avant	отпред	avant	отпред	ADP	ADV
avant	фронт	avant	фронт	ADP	N;INDF;MASC;SG
avant	предна	avant	преден	ADP	ADJ;INDF;FEM;SG
non	не	non	не	ADV	INTJ;NEG
fin	фин	fin	фин	N;FEM;SG	ADJ;INDF;MASC;SG
fin	край	fin	край	N;FEM;SG	ADP
plusieurs	mnogo	plusieurs	mnogo	PRO;PL	PROPN;INDF;NEUT;SG
plusieurs	много	plusieurs	много	PRO;PL	ADV;INDF;PL
plusieurs	множествена	plusieurs	множествен	PRO;PL	ADJ;INDF;FEM;SG
plusieurs	многобройни	plusieurs	многоброен	PRO;PL	ADJ;INDF;PL
plusieurs	множество	plusieurs	множество	PRO;PL	N;INDF;NEUT;SG
mars	марс	mars	марс	N;MASC;SG	PROPN;INDF;MASC;SG
série	серии	série	серия	N;FEM;SG	N;INDF;FEM;PL
série	серийни	série	сериен	N;FEM;SG	ADJ;INDF;PL
mai	май	mai	май	N;MASC;SG	PROPN;INDF;MASC;SG
mai	mai	mai	mai	N;MASC;SG	INTJ
mai	маи	mai	май	N;MASC;SG	ADV
mort	смърт	mourir	смърт	V;MASC;SG;PST;V.PTCP	N;INDF;FEM;SG
mort	смъртта	mourir	смърт	V;MASC;SG;PST;V.PTCP	N;DEF;FEM;SG
mort	морт	mourir	морт	V;MASC;SG;PST;V.PTCP	N;INDF;MASC;SG
mort	мъртви	mourir	мъртъв	V;MASC;SG;PST;V.PTCP	ADJ;INDF;PL
mort	мъртва	mourir	мъртва	V;MASC;SG;PST;V.PTCP	ADJ;INDF;FEM;SG
