panel	چھاج.	panel	چھاج.	N;NOM;MASC;SG	
fizyczny	مادّی	fizyczny	مادّی	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
negatywny	سلب	negatywny	سلب	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
negatywny	ماننے	negatywny	مان	ADJ;NOM;MASC;SG	V;ACC;NFIN
negatywny	انکار	negatywny	انکار	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
negatywny	سلب	negatywny	سلب	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
negatywny	ماننے	negatywny	مان	ADJ;NOM;MASC;SG	V;ACC;NFIN
negatywny	انکار	negatywny	انکار	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
patronat	امداد	patronat	مدد	N;NOM;MASC;SG	N;NOM;MASC;PL;3
patronat	امداد	patronat	مدد	N;NOM;MASC;SG	N;NOM;MASC;PL;3
sic	یونہی	sie	یونہی		
poinformowała	ذہین.	poinformować	ذہین.	V;PFV;FEM;IND;SG;PST;FIN;ACT	PROPN;NOM;MASC;SG;3
wstępnie	ابتدائی.	wstępnie	ابتدائی.	ADV	PROPN;NOM;MASC;SG;3
wstępnie	پیشتر.	wstępnie	پیشتر.	ADV	N;NOM;MASC;SG;3
wstępnie	تمہیدی	wstępnie	تمہیدی	ADV	N;NOM;MASC;SG;3
wstępnie	ابتدائی.	wstępnie	ابتدائی.	ADV	PROPN;NOM;MASC;SG;3
wstępnie	پیشتر.	wstępnie	پیشتر.	ADV	N;NOM;MASC;SG;3
reklamę	برط	reklama	برط	N;ACC;FEM;SG	
reklamę	اشتہار.	reklama	اشتہار.	N;ACC;FEM;SG	
reklamę	اشتہار.	reklama	اشتہار.	N;ACC;FEM;SG	
dynamiczny	زوردار.	dynamiczny	زوردار.	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
traktowanie	علاج.	traktować	علاج.	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	
traktowanie	طعام	traktować	طعام	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	PROPN;NOM;MASC;SG;3
betonu	اصلی	beton	اصلی	N;GEN;MASC;SG	ADJ
betonu	ریت	beton	ریت	N;GEN;MASC;SG	N;NOM;MASC;SG;3
betonu	واضح	beton	واضح	N;GEN;MASC;SG	ADJ
betonu	بٹھانا.	beton	بٹھاناؤ	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
betonu	کیفیت	beton	کیفیت	N;GEN;MASC;SG	N;NOM;FEM;SG;3
dostępność	دستیابی	dostępność	دستیابی	N;NOM;FEM;SG	ADJ
niejasne	مخفی	niejasny	مخفی		ADJ
niejasne	ناصاف.	niejasny	ناصاف.		ADJ
niejasne	تاریک.	niejasny	تاریک.		PROPN;NOM;MASC;SG;3
niejasne	مبہم	niejasny	مبہم		ADJ
niejasne	دُھندلا	niejasny	دُھندلا		PROPN;NOM;MASC;SG;3
niejasne	مبہم.	niejasny	مبہم.		PROPN;NOM;MASC;SG;3
niejasne	مشتبہ	niejasny	مشتبہ		ADJ
niejasne	مگھم.	niejasny	مگھم.		PROPN;NOM;MASC;SG;3
niejasne	مبہم	niejasny	مبہم		ADJ
private	نجی	privaty	نجی		N;NOM;MASC;SG;3
private	خفیہ	privaty	خفیہ		N;NOM;MASC;SG;3
private	نجی	privaty	نجی		N;NOM;MASC;SG;3
private	خفیہ	privaty	خفیہ		N;NOM;MASC;SG;3
private	اپنا	privaty	اپنا		PRO;NOM;SG;3
monitor	منذر.	monitor	منذر.	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
monitor	مخدّر	monitor	مخدّر	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
latający	اَدھر.	latać	اَدھر.	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT	PROPN;NOM;MASC;SG;3
latający	معلق	latać	معلق	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT	N;NOM;MASC;SG;3
latający	پُراں	latać	پُراں	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT	PROPN;NOM;MASC;SG;3
latający	مستعجل	latać	مستعجل	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT	PROPN;NOM;MASC;SG;3
moss	کائی	moss	کائی	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
zbieranie	ڈھیر	zbierać	ڈھیر	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	V;ACT
zbieranie	بٹورنا	zbierać	بٹور	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	V;NFIN;ACT
rzadka	خوشگوار-	rzadka	خوشگوار-	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
rzadka	لطیف	rzadka	لطیف	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
rzadka	خوشگوار-	rzadka	خوشگوار-	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
rzadka	لطیف	rzadka	لطیف	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
eddy	گردِاب.	eddy	گردِاب.		PROPN;NOM;MASC;SG;3
eddy	بھنور	eddy	بھنور		V;ACT
eddy	گردِاب.	eddy	گردِاب.		PROPN;NOM;MASC;SG;3
tan	سنولانا	tan	سنولانا		V;NFIN;ACT
zależny	محمول	zależny	محمول	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
zależny	(	zależny	(	ADJ;NOM;MASC;SG	
poprawny	برجا	poprawny	برجا	ADJ;NOM;MASC;SG	V;MASC;SG;V.PTCP;ACT
poprawny	(	poprawny	(	ADJ;NOM;MASC;SG	
poprawny	بجا.	poprawny	بجا.	ADJ;NOM;MASC;SG	
poprawny	کردار	poprawny	کردار	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
poprawny	درست.	poprawny	درست.	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
poprawny	بجا.	poprawny	بجا.	ADJ;NOM;MASC;SG	
poprawny	کردار	poprawny	کردار	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
poprawny	درست.	poprawny	درست.	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
równość	برابر	równość	برابر	N;NOM;FEM;SG	ADJ
logika	معقول	logika	معقول	N;NOM;FEM;SG	ADJ
logika	مربوط	logika	مربوط	N;NOM;FEM;SG	ADJ
logika	صحیح	logika	صحیح	N;NOM;FEM;SG	ADJ
logika	استدلالی	logika	استدلالی	N;NOM;FEM;SG	ADJ
logika	منطقی	logika	منطقی	N;NOM;FEM;SG	ADJ
logika	معقول	logika	معقول	N;NOM;FEM;SG	ADJ
logika	مربوط	logika	مربوط	N;NOM;FEM;SG	ADJ
logika	صحیح	logika	صحیح	N;NOM;FEM;SG	ADJ
logika	استدلالی	logika	استدلالی	N;NOM;FEM;SG	ADJ
logika	ثبوت.	logika	ثبوت.	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
awaria	برپا	awariać	برپا	N;NOM;FEM;SG	V;V.PTCP;ACT
awaria	منعقد	awariać	منعقد	N;NOM;FEM;SG	ADJ
awaria	دیوالہ	awariać	دیوالہ	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
awaria	سقوط	awariać	سقوط	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
awaria	خرابی	awariać	خرابی	N;NOM;FEM;SG	ADJ
awaria	بربادی.	awariać	بربادی.	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
awaria	بگاڑ	awariać	بگاڑ	N;NOM;FEM;SG	V;ACT
awaria	برپا	awariać	برپا	N;NOM;FEM;SG	V;V.PTCP;ACT
awaria	منعقد	awariać	منعقد	N;NOM;FEM;SG	ADJ
awaria	دیوالہ	awariać	دیوالہ	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
awaria	سقوط	awariać	سقوط	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
awaria	خرابی	awariać	خرابی	N;NOM;FEM;SG	ADJ
awaria	بربادی.	awariać	بربادی.	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
awaria	بگاڑ	awariać	بگاڑ	N;NOM;FEM;SG	V;ACT
awaria	بگاڑ.	awariać	بگاڑ.	N;NOM;FEM;SG	
złom	چھٹن	złom	چھٹن	N;NOM;MASC;SG	
złom	جھاگ.	złom	جھاگ.	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
złom	جھوٹن.	złom	جھوٹن.	N;NOM;MASC;SG	V;NFIN;ACT
