категорія	catégories	категорія	catégorie	N;INAN;NOM;FEM;SG	N;FEM;PL
від	du	від	du	ADP;GEN	DET;MASC;SG
від	vid	від	vid	ADP;GEN	
його	sa	він	son	PRO;ACC;MASC;SG;3	DET;FEM;SG
його	his	він	his	PRO;ACC;MASC;SG;3	PROPN
його	ses	він	son	PRO;ACC;MASC;SG;3	DET;MASC;PL
його	son	він	son	PRO;ACC;MASC;SG;3	DET;MASC;SG
його	sa	він	son	PRO;ACC;MASC;SG;3	DET;FEM;SG
його	ses	він	son	PRO;ACC;MASC;SG;3	DET;MASC;PL
його	son	він	son	PRO;ACC;MASC;SG;3	DET;MASC;SG
був	fut	бути	être	V;IPFV;MASC;IND;SG;PST;FIN	V;IND;SG;3;PST;FIN
був	etait	бути	etever	V;IPFV;MASC;IND;SG;PST;FIN	V;IND;SG;3;IPFV;FIN
був	était	бути	être	V;IPFV;MASC;IND;SG;PST;FIN	V;IND;SG;3;IPFV;FIN
населення	démographiques	населення	démographique	N;INAN;NOM;NEUT;SG	ADJ;MASC;PL
населення	populations	населення	population	N;INAN;NOM;NEUT;SG	N;FEM;PL
було	fut	бути	être	V;IPFV;NEUT;IND;SG;PST;FIN	V;IND;SG;3;PST;FIN
було	etait	бути	etever	V;IPFV;NEUT;IND;SG;PST;FIN	V;IND;SG;3;IPFV;FIN
було	était	бути	être	V;IPFV;NEUT;IND;SG;PST;FIN	V;IND;SG;3;IPFV;FIN
він	wien	він	wien	PRO;NOM;MASC;SG;3	PROPN
під	under	під	under	ADP;ACC	PROPN
після	apres	після	après	ADP;GEN	
після	after	після	after	ADP;GEN	PROPN
після	aprés	після	apré	ADP;GEN	
або	soit	або	soit	CONJ	CONJ
області	domaines	область	domaine	N;INAN;GEN;FEM;SG	N;MASC;PL
області	zones	область	zone	N;INAN;GEN;FEM;SG	N;FEM;PL
які	lesquels	який	lequel	DET;NOM;PL	PRO;MASC;PL
які	laquelle	який	lequel	DET;NOM;PL	PRO;FEM;SG
які	lequel	який	lequel	DET;NOM;PL	PRO;MASC;SG
при	pri	при	pri	ADP;ESS	
який	lesquels	який	lequel	DET;NOM;MASC;SG	PRO;MASC;PL
який	laquelle	який	lequel	DET;NOM;MASC;SG	PRO;FEM;SG
який	lequel	який	lequel	DET;NOM;MASC;SG	PRO;MASC;SG
була	fut	бути	être	V;IPFV;FEM;IND;SG;PST;FIN	V;IND;SG;3;PST;FIN
була	etait	бути	etever	V;IPFV;FEM;IND;SG;PST;FIN	V;IND;SG;3;IPFV;FIN
була	était	бути	être	V;IPFV;FEM;IND;SG;PST;FIN	V;IND;SG;3;IPFV;FIN
були	étaient	бути	être	V;IPFV;IND;PL;PST;FIN	V;IND;PL;3;IPFV;FIN
міста	villes	місто	ville	N;INAN;NOM;NEUT;SG	N;FEM;PL
див	consultez	див.	consulter		V;IMP;PL;2;PRS;FIN
див	voyez	див.	voir		V;IMP;PL;2;PRS;FIN
див	voir	див.	voir		V;NFIN
див	vois	див.	vois		V;IND;SG;2;PRS;FIN
село	selo	село	selo	N;INAN;NOM;NEUT;SG	PROPN
через	dus	через	devoir	ADP;ACC	V;MASC;PL;PST;V.PTCP
через	due	через	devoir	ADP;ACC	V;FEM;SG;PST;V.PTCP
через	dû	через	devoir	ADP;ACC	V;MASC;SG;PST;V.PTCP
села	bourgs	село	bourg	N;INAN;NOM;NEUT;SG	N;MASC;PL
села	villages	село	village	N;INAN;NOM;NEUT;SG	N;MASC;PL
села	sela	село	sela	N;INAN;NOM;NEUT;SG	
так	oui	так	oui	INTJ	
так	yeah	так	yeah	INTJ	
так	ouai	так	ouai	INTJ	
так	oui	так	oui	INTJ	
так	yes	так	ye	INTJ	
рік	rick	рік	rick	N;INAN;NOM;MASC;SG	PROPN
відстань	distances	відстань	distance	N;INAN;NOM;FEM;SG	N;FEM;PL
ради	conseil	рада	conseil	N;INAN;NOM;FEM;PL	N;MASC;SG
сша	usa	сШа	usa	PROPN;INAN;GEN	PROPN
має	moût	мати	moût	V;IPFV;IND;SG;3;PRS;FIN	N;MASC;SG
має	doivent	мати	devoir	V;IPFV;IND;SG;3;PRS;FIN	V;IND;PL;3;PRS;FIN
має	devez	мати	devoir	V;IPFV;IND;SG;3;PRS;FIN	V;IMP;PL;2;PRS;FIN
область	oblast	область	oblast	N;INAN;NOM;FEM;SG	PROPN
того	togo	те	togo	PRO;INAN;GEN;NEUT;SG	N;MASC;SG
яка	quoi	який	quoi	DET;NOM;FEM;SG	PRO
яка	lesquels	який	lequel	DET;NOM;FEM;SG	PRO;MASC;PL
яка	laquelle	який	lequel	DET;NOM;FEM;SG	PRO;FEM;SG
яка	lequel	який	lequel	DET;NOM;FEM;SG	PRO;MASC;SG
близько	fermer	близько	fermer	ADV	V;NFIN
близько	proche	близько	proche	ADV	ADJ;MASC;SG
близько	proche	близько	proche	ADV	ADJ;MASC;SG
війни	guerres	війна	guerre	N;INAN;NOM;FEM;SG	N;FEM;PL
обговорення	discussions	обговорення	discussion	N;INAN;NOM;NEUT;SG	N;FEM;PL
обговорення	discussions	обговорення	discussion	N;INAN;NOM;NEUT;SG	N;FEM;PL
обговорення	discuter	обговорення	discuter	N;INAN;NOM;NEUT;SG	V;NFIN
обговорення	discutez	обговорення	discuter	N;INAN;NOM;NEUT;SG	V;IMP;PL;2;PRS;FIN
коли	lorsque	коли	lorsque	ADV	CONJ
коли	quand	коли	quand	ADV	CONJ
лише	seul	лише	seul	PART	ADJ;MASC;SG
лише	uniquement	лише	uniquement	PART	ADV
лише	seulement	лише	seulement	PART	ADV
лише	seule	лише	seul	PART	ADJ;FEM;SG
список	listes	список	liste	N;INAN;NOM;MASC;SG	N;FEM;PL
цей	ceci	цей	ceci	DET;NOM;MASC;SG	PRO;SG
цей	cet	цей	ce	DET;NOM;MASC;SG	PRO;SG;3
цей	cela	цей	cela	DET;NOM;MASC;SG	PRO;SG
цей	ce	цей	ce	DET;NOM;MASC;SG	PRO;SG;3
місце	seat	місце	seat	N;INAN;NOM;NEUT;SG	PROPN
україні	ukraine	україна	ukrainer	PROPN;INAN;DAT;FEM;SG	ADJ;FEM;SG
став	devenus	стати	devenir	V;PFV;MASC;IND;SG;PST;FIN	V;MASC;PL;PST;V.PTCP
травня	may	травень	may	N;INAN;GEN;MASC;SG	PROPN
