خزان	tanka	خَزَّان	tanek	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
صممت	zasnovan	صَمَّم	zasnovan	V;PFV;FEM;SG;3;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
صممت	zasnovana	صَمَّم	zasnovan	V;PFV;FEM;SG;3;ACT	ADJ;NOM;FEM;SG;V.PTCP
مجلد	mapo	مُجَلَّد	mapa	N;NOM;INDF;SG	N;ACC;FEM;SG
وليم	william	وليم	william		N;NOM;MASC;SG
قبله	poljubček	قبله	poljubček	PRO;NOM;MASC;SG;3	N;NOM;MASC;SG
قبله	kiss	قبله	kiss	PRO;NOM;MASC;SG;3	
قبله	poljub	قبله	poljub	PRO;NOM;MASC;SG;3	N;NOM;MASC;SG
السكن	ohišja	سَكَن	ohišje	N;NOM;DEF;SG	N;NOM;NEUT;PL
السكن	nastanitve	سَكَن	nastanitev	N;NOM;DEF;SG	N;NOM;FEM;PL
البعيد	oddaljen	بَعِيد	oddaljen		ADJ;NOM;INDF;MASC;SG
البعيد	oddaljeno	بَعِيد	oddaljen		ADV
البعيد	oddaljeni	بَعِيد	oddaljen		ADJ;NOM;MASC;PL
البعيد	oddaljena	بَعِيد	oddaljen		ADJ;NOM;FEM;SG
البعيد	oddaljen	بَعِيد	oddaljen		ADJ;NOM;INDF;MASC;SG
البعيد	oddaljeno	بَعِيد	oddaljen		ADV
البعيد	oddaljeni	بَعِيد	oddaljen		ADJ;NOM;MASC;PL
البعيد	oddaljenih	بَعِيد	oddaljen		ADJ;GEN;MASC;PL
البعيد	oddaljena	بَعِيد	oddaljen		ADJ;NOM;FEM;SG
جدل	polemik	جَدَل	polemik	N;NOM;INDF;SG	N;GEN;MASC;PL
شون	shawn	شَون	shawn		N;NOM;MASC;SG
اسطنبول	istanbulu	اسطنبول	istanbulel		PROPN;DAT;MASC;SG
اسطنبول	istanbul	اسطنبول	istanbul		PROPN;NOM;MASC;SG
باتمان	batman	باتمان	batman		N;NOM;MASC;SG
يولد	rojen	وَلَّد	rojen	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
يولد	rojena	وَلَّد	rojen	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
يولد	rojene	وَلَّد	rojen	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ;NOM;FEM;PL;V.PTCP
يولد	rojeni	وَلَّد	rojen	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ;NOM;MASC;PL;V.PTCP
حرق	gorela	حَرق	gorel		V;IPFV;FEM;SG;V.PTCP
حرق	zažgal	حَرق	zažgati		V;PFV;MASC;SG;V.PTCP
حرق	zgori	حَرق	zgoriti		V;PFV;IND;SG;3;PRS;FIN
حرق	gori	حَرق	goreti		
حرق	gorenje	حَرق	gorenje		N;NOM;NEUT;SG
النيجر	niger	النيجر	niger		N;NOM;MASC;SG
فلورنسا	florence	فِلُورَنسَا	florenca		N;NOM;FEM;SG
فلورنسا	firence	فِلُورَنسَا	firence		N;NOM;FEM;PL
بورت	burt	بُورت	burt		N;NOM;MASC;SG
بورت	pristanišče	بُورت	pristanišče		N;NOM;NEUT;SG
بورت	pristanišča	بُورت	pristanišče		N;NOM;NEUT;PL
بورت	port	بُورت	port		N;NOM;MASC;SG
جلسات	sej	جَلسَة	seja	N;NOM;INDF;PL	
عال	visoko	عَالِي	visoko	N;NOM;INDF;SG	ADV
عال	visoka	عَالِي	visok	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
عال	glasna	عَالِي	glasen	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
عال	glasno	عَالِي	glasno	N;NOM;INDF;SG	ADV
عال	glasen	عَالِي	glasen	N;NOM;INDF;SG	ADJ;NOM;INDF;MASC;SG
مريض	potrpežljiv	مَرِيض	potrpežljiv	N;NOM;INDF;SG	ADJ;NOM;INDF;MASC;SG
مريض	bolan	مَرِيض	bolan	N;NOM;INDF;SG	ADJ;NOM;INDF;MASC;SG
بطريق	pingvini	بُطرِيق	pingvina	N;NOM;INDF;SG	N;NOM;MASC;PL
مناورات	manevre	مُنَاوَرَة	manever	N;NOM;INDF;PL	N;ACC;MASC;PL
مناورات	manevre	مُنَاوَرَة	manever	N;NOM;INDF;PL	N;ACC;MASC;PL
مثيرة	sexy	مُثِير	sexy	ADJ;NOM;INDF;FEM;SG	N;NOM;FEM;SG
مثيرة	seksi	مُثِير	seksa	ADJ;NOM;INDF;FEM;SG	N;NOM;MASC;SG
المقيمين	stanovalci	مُقِيم	stanovalec	ADJ;ACC;DEF;MASC;PL	N;NOM;MASC;PL
المقيمين	prebivalcev	مُقِيم	prebivalec	ADJ;ACC;DEF;MASC;PL	N;GEN;MASC;PL
المقيمين	prebivalci	مُقِيم	prebivalec	ADJ;ACC;DEF;MASC;PL	N;NOM;MASC;PL
شتاء	zimska	شِتَاء	zimski	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
شتاء	zimsko	شِتَاء	zimski	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
شتاء	zimo	شِتَاء	zima	N;NOM;INDF;SG	N;ACC;FEM;SG
شرب	pitja	شُرب	pitje	N;NOM;INDF;SG	N;GEN;NEUT;SG
شرب	piti	شُرب	piti	N;NOM;INDF;SG	V;IPFV;NFIN
شرب	pijačo	شُرب	pijača	N;NOM;INDF;SG	N;ACC;FEM;SG
اكتساب	pridobi	اِكتِسَاب	pridobiti	N;NOM;INDF;SG	V;PFV;IND;SG;3;PRS;FIN
اكتساب	pridobijo	اِكتِسَاب	pridobiti	N;NOM;INDF;SG	V;PFV;IND;PL;3;PRS;FIN
ليوناردو	leonardo	ليوناردو	leonardo		N;NOM;MASC;SG
المتاحف	muzeje	مُتَاحَف	muzej	N;NOM;DEF;PL	N;ACC;MASC;PL
بورما	burmi	بُورمَا	burma		N;NOM;FEM;SG
بورما	burmo	بُورمَا	burma		N;ACC;FEM;SG
بورما	burmanskih	بُورمَا	burmanski		ADJ;GEN;MASC;PL
سين	sen	سَين	sena		N;NOM;MASC;SG
منتظم	redno	مُنتَظِم	redno	ADJ;NOM;INDF;MASC;SG	ADV
الجيولوجية	geološke	جِيُولُوجِيّ	geološki	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;FEM;PL
رمزي	simbolično	رَمزِيّ	simbolično		ADV
استكشاف	raziskuje	اِستِكشَاف	raziskovati	N;NOM;INDF;SG	V;IPFV;IND;SG;3;PRS;FIN
استكشاف	raziskovanju	اِستِكشَاف	raziskovanje	N;NOM;INDF;SG	N;DAT;NEUT;SG
استكشاف	raziskati	اِستِكشَاف	raziskati	N;NOM;INDF;SG	V;PFV;NFIN
درعا	oklep	دَرَّع	oklep		N;NOM;MASC;SG
درعا	ščit	دَرَّع	ščit		N;NOM;MASC;SG
الصانع	proizvajalca	صَانِع	proizvajalec	N;NOM;DEF;SG	N;ANIM;ACC;MASC;SG
فرس	mare	فَرَس	mara		N;NOM;MASC;SG
فرس	kobila	فَرَس	kobilo		N;NOM;FEM;SG
فرس	kobilo	فَرَس	kobilo		N;ACC;NEUT;SG
الذئاب	volkovi	ذَائِب	volkov		N;NOM;MASC;PL
المواصفات	specifikacija	مُوَاصَفَة	specifikacija	N;NOM;DEF;PL	N;NOM;FEM;SG
كيب	kip	كيب	kip		N;NOM;MASC;SG
كيب	kipa	كيب	kipa		N;NOM;MASC;SG
زر	gumb	زر	gumb		N;NOM;MASC;SG
زر	button	زر	button		N;NOM;MASC;SG
القبلية	plemenski	قَبَلِيّ	plemenski	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;MASC;PL
الطيبة	dobrote	طَيِّب	dobrot	N;NOM;DEF;SG	N;NOM;FEM;PL
الطيبة	prijaznosti	طَيِّب	prijaznost	N;NOM;DEF;SG	N;GEN;FEM;SG
شعور	občutki	شُعُور	občutek	N;NOM;INDF;SG	N;NOM;MASC;PL
العملاق	velikanski	عِملَاق	velikanski	N;NOM;DEF;SG	ADJ;NOM;MASC;SG
العملاق	ogromen	عِملَاق	ogromen	N;NOM;DEF;SG	ADJ;NOM;INDF;MASC;SG
العملاق	orjaški	عِملَاق	orjaški	N;NOM;DEF;SG	ADJ;NOM;DEF;MASC;SG
ريفية	podeželje	رِيفِيّ	podeželje	ADJ;NOM;INDF;FEM;SG	N;NOM;NEUT;SG
ريفية	podeželske	رِيفِيّ	podeželski	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;FEM;PL
ليلا	laila	ليلا	laiti	N;NOM;INDF;SG	PROPN;NOM;FEM;SG
العجز	invalidnosti	عَجز	invalidnost	N;NOM;DEF;SG	N;GEN;FEM;SG
بولونيا	bologni	بُولُونِيَا	bologen		ADJ;NOM;MASC;SG
نيكولا	nicola	نِيكُولَا	nicolo		PROPN;NOM;MASC;SG
الكود	kodo	الكود	koda	N;NOM;DEF;SG	N;ACC;FEM;SG
الخلط	zmede	خَلط	zmesti	N;NOM;DEF;SG	V;PFV;IND;SG;3;PRS;FIN
الخلط	zmedeno	خَلط	zmeden	N;NOM;DEF;SG	ADJ;NOM;NEUT;SG;V.PTCP
الخلط	zmedena	خَلط	zmeden	N;NOM;DEF;SG	ADJ;NOM;FEM;SG;V.PTCP
الخلط	zmedeni	خَلط	zmeden	N;NOM;DEF;SG	ADJ;NOM;MASC;PL;V.PTCP
الخلط	zmeden	خَلط	zmeden	N;NOM;DEF;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
الزهراء	zahra	زَهرَاء	zahra	N;NOM;DEF;SG	PROPN;NOM;FEM;SG
المقابر	pokopališču	مَقبَر	pokopališče	N;NOM;DEF;PL	N;DAT;NEUT;SG
المقابر	pokopališče	مَقبَر	pokopališče	N;NOM;DEF;PL	N;NOM;NEUT;SG
منفصل	ločeni	مُنفَصِل	ločen	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;PL;V.PTCP
منفصل	ločeni	مُنفَصِل	ločen	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;PL;V.PTCP
هود	kapuco	هود	kapuca		N;ACC;FEM;SG
هود	hood	هود	hooda		N;NOM;MASC;SG
بديلة	alternative	بَدِيلَة	alternativa	N;NOM;INDF;SG	N;NOM;FEM;PL
بديلة	alternativni	بَدِيلَة	alternativen	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
بديلة	alternativno	بَدِيلَة	alternativen	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
