som	لايك	som	لَايك	ADP	
det	هذا	det	هٰذَا	PRO;NEUT;SG;3	DET;NOM;MASC;SG
det	ذلك	det	ذلك	PRO;NEUT;SG;3	
for	لاجل	for	لاجل	ADP	
med	w	med	!	ADP	
den	th	den	th	PRO;SG;3	
den	ال	den	اَل	PRO;SG;3	PART
ble	صارت	ble	صَار		V;PFV;FEM;SG;3;ACT
ble	بقيت	ble	بَقِي		V;PFV;FEM;SG;3;ACT
ble	بقى	ble	بَقِي		
var	كانت	vere	كَان	V;IND;PST;FIN	V;PFV;FEM;SG;3;ACT
var	كان	vere	كَان	V;IND;PST;FIN	V;PFV;MASC;SG;3;ACT
han	هان	han	هان	PRO;NOM;MASC;SG;3	
fra	من	fra	مِن		ADP
fra	f	fra	!		
har	عندي	ha	عُندِيّ	V;IND;PRS;FIN	
ikke	ليس	ikke	لَيس		V;PFV;MASC;SG;3;ACT
ikke	لا	ikke	لَا		PART
ikke	وليس	ikke	وليس		
ikke	مش	ikke	مش		
også	كمان	også	كَمَان	ADV	
ved	الحطب	ved	حَطب	ADP	N;NOM;DEF;SG
men	لكن	men	لكن	CONJ	
men	بس	men	بِسّ	CONJ	
men	ولكن	men	ولكن	CONJ	
etter	بعدما	etter	بَعدَمَا	ADP	CONJ
seg	نفسه	seg	نفسه	PRO;ACC;SG	PRO;NOM;MASC;SG;3
the	th	the	th		
the	ال	the	اَل		PART
lenker	السلاسل	lank	سَلسَلَة	N;INDF;FEM;PL	N;NOM;DEF;PL
lenker	الوصلات	lank	وُصلَة	N;INDF;FEM;PL	N;NOM;DEF;PL
lenker	الصلات	lank	صَلَة	N;INDF;FEM;PL	N;NOM;DEF;PL
lenker	الروابط	lank	رَابِطَة	N;INDF;FEM;PL	N;NOM;DEF;PL
under	ادناه	under	ادناه	ADP	N;NOM;INDF;SG
eksterne	الخارجية	ekstern	خَارِجِيَّة	ADJ;PL	N;NOM;DEF;SG
eksterne	خارجي	ekstern	خَارِجِيّ	ADJ;PL	ADJ;NOM;INDF;MASC;SG
eksterne	خارجية	ekstern	خَارِجِيَّة	ADJ;PL	N;NOM;INDF;SG
kan	يم	kunne	يم	V;IND;PRS;FIN	
andre	ثانيا	annan	ثَانِي	DET;PL	ADJ;ACC;INDF;MASC;SG
andre	الثانيه	annan	الثانيه	DET;PL	
andre	تاني	annan	تَانِي	DET;PL	
andre	الثاني	annan	ثَانِي	DET;PL	ADJ;NOM;DEF;MASC;SG
andre	الثانية	annan	ثَانِي	DET;PL	ADJ;NOM;DEF;FEM;SG
andre	ثاني	annan	ثاني	DET;PL	
andre	اخرى	annan	آخَر	DET;PL	ADJ;NOM;INDF;FEM;SG
andre	اخرون	annan	آخَر	DET;PL	ADJ;NOM;INDF;MASC;PL
andre	اخرين	annan	آخَر	DET;PL	ADJ;ACC;INDF;MASC;PL
andre	الاخرون	annan	آخَر	DET;PL	ADJ;NOM;DEF;MASC;PL
dette	هذا	dette	هٰذَا	PRO;NEUT;SG;3	DET;NOM;MASC;SG
dette	هذه	dette	هٰذَا	PRO;NEUT;SG;3	DET;NOM;FEM;SG
over	اعلاه	over	إِعلَاه	ADP	
første	اول	første	أَوَّل	ADJ;DEF;SG	ADJ;NOM;INDF;MASC;SG
første	اولا	første	أَوَّل	ADJ;DEF;SG	ADJ;ACC;INDF;MASC;SG
hun	هون	hun	هُون		
hun	انها	hun	انها		
hun	هي	hun	هُوَ		PRO;NOM;FEM;SG;3
sin	ده	sin	دٰهٰ	PRO;MASC;SG	
født	ولد	føde	وَلَد	ADJ;INDF;SG;V.PTCP	N;NOM;INDF;SG
født	تولد	føde	تَوَلُّد	ADJ;INDF;SG;V.PTCP	V;IPFV;FEM;IND;SG;3;FIN;ACT
født	مولود	føde	مولود	ADJ;INDF;SG;V.PTCP	N;NOM;INDF;SG
født	يولد	føde	وَلَّد	ADJ;INDF;SG;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
født	ولدت	føde	وَلَد	ADJ;INDF;SG;V.PTCP	V;PFV;FEM;SG;3;PASS
mot	شجاعة	mot	شَجَاعَة	ADP	N;NOM;INDF;SG
mot	الشجاعة	mot	شَجَاعَة	ADP	N;NOM;DEF;SG
denne	هذا	denne	هٰذَا	PRO;SG;3	DET;NOM;MASC;SG
denne	هذه	denne	هٰذَا	PRO;SG;3	DET;NOM;FEM;SG
hans	هانز	hans	هانز	PRO;NEUT;SG	
hans	هانس	hans	هانس	PRO;NEUT;SG	
