một	üks	một	üks	NUM	PRO;NOM;SG
năm	viis	năm	viis	N	NUM;NOM;SG
của	sinu	của	sina	ADP	PRO;GEN;SG;2
của	teie	của	sina	ADP	PRO;NOM;PL;2
các	sind	các	sina	DET	PRO;PRT;SG;2
các	you	các	you	DET	N;NOM;SG
các	sina	các	sina	DET	PRO;NOM;SG;2
này	see	này	see	PROPN	PRO;NOM;SG
này	selle	này	see	PROPN	PRO;GEN;SG
này	seda	này	see	PROPN	PRO;PRT;SG
này	hei	này	hei	PROPN	INTJ
thích	nagu	thích	nagu	V	CONJ
học	õppimine	học	õppimine	V	N;NOM;SG
học	uuring	học	uuring	V	N;NOM;SG
học	kooli	học	kool	V	N;PRT;SG
học	koolis	học	kool	V	N;IN+ESS;SG
học	kool	học	kool	V	N;NOM;SG
học	õppimine	học	õppimine	V	N;NOM;SG
thực	reaalne	thực	reaalne	V	ADJ;NOM;SG
thực	ehtne	thực	ehtne	V	ADJ;NOM;SG
thực	tõeline	thực	tõeline	V	ADJ;NOM;SG
thực	tegelikult	thực	tegelikult	V	ADV
thực	tegelt	thực	tegelt	V	ADV
thực	autentne	thực	autentne	V	ADJ;NOM;SG
thực	tõesti	thực	tõesti	V	ADV
liên	lien	liên	lien		N;NOM;SG
tham	ühine	tham	ühine	V	ADJ;NOM;SG
tham	ühise	tham	ühine	V	ADJ;GEN;SG
đầu	kõigepealt	đầu	kõige_pealt	N	ADV
đầu	esmalt	đầu	esmalt	N	ADV
đầu	esimene	đầu	esimene	N	ADJ;NOM;SG
ngoài	väljaspool	ngoài	väljas_pool	N	ADV
ngoài	väljas	ngoài	väljas	N	ADV
ngoài	välimine	ngoài	välimine	N	ADJ;NOM;SG
thành	cheng	thành	cheng	V	N;NOM;SG
thành	kindlus	thành	kindlus	V	N;NOM;SG
khoa	teadus	khoa	teadus		N;NOM;SG
khoa	teadust	khoa	teadus		N;PRT;SG
khoa	õppejõud	khoa	õppe_jõud		N;NOM;SG
khoa	teaduskonna	khoa	teaduskond		N;PRT;SG
với	koos	với	koos	ADP	ADV
cho	cho	cho	cho	V	N;NOM;SG
cho	for	cho	for	V	N;NOM;SG
không	mitte	không	mitte	;NEG	ADV;NEG
không	ei	không	ei	;NEG	ADV
không	eip	không	eip	;NEG	N;NOM;SG
hoa	ühinenud	hoa	ühinema	N	V;PST;V.PTCP;ACT
những	need	những	see	DET	PRO;NOM;PL
những	neid	những	see	DET	PRO;PRT;PL
những	need	những	see	DET	PRO;NOM;PL
những	nad	những	tema	DET	PRO;NOM;PL;3
nam	isased	nam	isane	N	ADJ;NOM;PL
nam	isane	nam	isane	N	ADJ;NOM;SG
công	ründa	công	ründ	N	V;IMP;SG;2;PRS;FIN;ACT
công	avalik	công	avalik	N	ADJ;NOM;SG
công	avalikud	công	avalik	N	ADJ;NOM;PL
chính	isegi	chính	isegi	PART	ADV
chính	oma	chính	oma	PART	PRO;NOM;SG
chính	primaarne	chính	primaarne	PART	ADJ;NOM;SG
chính	esmane	chính	esmane	PART	ADJ;NOM;SG
chính	põhi	chính	põhi	PART	N;NOM;SG
chính	peamised	chính	peamine	PART	ADJ;NOM;PL
chính	main	chính	mai	PART	N;NOM;SG
chính	peamine	chính	peamine	PART	ADJ;NOM;SG
động	dünaamiline	động	dünaamiline	V	ADJ;NOM;SG
động	dünaamika	động	dünaamika	V	N;NOM;SG
động	automaat	động	automaat	V	N;NOM;SG
động	automaatsed	động	automaatne	V	ADJ;NOM;PL
động	automaatne	động	automaatne	V	ADJ;NOM;SG
động	automaatselt	động	automaatselt	V	ADV
khi	millal	khi	millal	N	ADV
khi	kui	khi	kui	N	CONJ
đến	saabumine	đến	saabumine	PART	N;NOM;SG
đến	saabusid	đến	saabuma	PART	V;IND;PL;3;PST;FIN;ACT
đến	saabunud	đến	saabuma	PART	V;PST;V.PTCP;ACT
đến	saabus	đến	saabuma	PART	V;IND;SG;3;PST;FIN;ACT
đến	tule	đến	tulema	PART	V;IMP;SG;2;PRS;FIN;ACT
đến	tulekul	đến	tulek	PART	N;AT+ESS
;SG
đến	tulemas	đến	tulema	PART	V;IN+ESS;V.CVB;ACT
đến	tuleb	đến	tulema	PART	V;IND;SG;3;PRS;FIN;ACT
theo	theo	theo	theo	V	N;NOM;SG
theo	follow	theo	follow	V	N;NOM;SG
theo	järgi	theo	järgi	V	ADV
theo	järgne	theo	järgne	V	N;NOM;SG
theo	pärast	theo	pärast	V	ADV
tỉnh	kaine	tỉnh	kaine	N	ADJ;NOM;SG
sau	pärast	sau	pärast	N	ADV
sau	hiljem	sau	hiljem	N	ADV
trung	keskmise	trung	keskmine	N	ADJ;GEN;SG
trung	keskmine	trung	keskmine	N	ADJ;NOM;SG
trung	keskmised	trung	keskmine	N	ADJ;NOM;PL
trung	kesksed	trung	keskne	N	ADJ;NOM;PL
trung	keskne	trung	keskne	N	ADJ;NOM;SG
trung	keskmine	trung	keskmine	N	ADJ;NOM;SG
trên	eespool	trên	ees_pool		ADV
trên	ülalpool	trên	ülal_pool		ADV
trên	ülal	trên	ülal		ADV
như	nagu	như	nagu	CONJ	CONJ
như	meeldib	như	meeldima	CONJ	V;IND;SG;3;PRS;FIN;ACT
bản	hollandi	bản	hollandi	N	ADJ
đại	suured	đại	suur	N	ADJ;NOM;PL
đại	suure	đại	suur	N	ADJ;GEN;SG
đại	suur	đại	suur	N	ADJ;NOM;SG
hiện	näidatakse	hiện	näitama	N	V;IND;PRS;FIN;PASS
hiện	näita	hiện	näitama	N	V;IMP;SG;2;PRS;FIN;ACT
thế	see	thế	see	PROPN	PRO;NOM;SG
thế	seda	thế	see	PROPN	PRO;PRT;SG
bar	baar	bar	baar		N;NOM;SG
bar	bar	bar	bar		N;NOM;SG
bar	baari	bar	baar		N;PRT;SG
lại	uuesti	lại	uuesti		ADV
lại	taas	lại	taas		ADV
lại	jälle	lại	jälle		ADV
cũng	samuti	cũng	samuti		ADV
cũng	ka	cũng	ka		ADV
nhất	parima	nhất	parim		ADJ;GEN;RL;SG
nhất	parimad	nhất	parim		ADJ;NOM;RL;PL
nhất	parimat	nhất	parim		ADJ;PRT;CMPR;SG
nhất	parim	nhất	parim		ADJ;NOM;RL;SG
nhân	korrutada	nhân	korrutama		V;NFIN
nhân	core	nhân	core		N;NOM;SG
nhân	tuum	nhân	tuum		N;NOM;SG
nhân	tuuma	nhân	tuum		N;PRT;SG
nhân	patsient	nhân	patsient		N;NOM;SG
phát	ülekanne	phát	üle_kanne	V	N;NOM;SG
phát	lask	phát	lask	V	N;NOM;SG
phát	tulistatud	phát	tulistama	V	ADJ;PST;V.PTCP;PASS
anh	sind	anh	sina	N	PRO;PRT;SG;2
anh	sina	anh	sina	N	PRO;NOM;SG;2
pháp	prantsuse	pháp	prantsuse	N	ADJ
chúng	neid	chúng	see	PROPN	PRO;PRT;PL
chúng	nad	chúng	tema	PROPN	PRO;NOM;PL;3
tập	episood	tập	episoo		N;NOM;SG
tập	episoodid	tập	episoot		N;NOM;PL
nhiều	paljud	nhiều	palju	ADJ	PRO;NOM;PL
nhiều	paljusid	nhiều	palju	ADJ	PRO;PRT;PL
nhiều	palju	nhiều	palju	ADJ	ADV
nhiều	much	nhiều	much	ADJ	N;NOM;SG
nhiều	palju	nhiều	palju	ADJ	ADV
nhiều	mitu	nhiều	mitu	ADJ	PRO;NOM;SG
chỉ	ainult	chỉ	ainult		ADV
chỉ	lihtsalt	chỉ	lihtsalt		ADV
đây	siin	đây	siin	PROPN	ADV
sinh	sünd	sinh	sünd	V	N;NOM;SG
sinh	sünni	sinh	sünd	V	N;NOM;SG
con	con	con	con	N	INTJ
quan	guan	quan	guan	V	N;NOM;SG
quan	quan	quan	quan	V	N;NOM;SG
quan	politseinik	quan	politseinik	V	N;NOM;SG
quan	ohvitser	quan	ohvitser	V	N;NOM;SG
tin	uskuma	tin	uskuma		V;IN+ALL;V.CVB;ACT
tin	usu	tin	uskuma		V;IMP;SG;2;PRS;FIN;ACT
tin	usud	tin	uskuma		V;IND;SG;2;PRS;FIN;ACT
tin	tin	tin	tin		N;NOM;SG
tin	tina	tin	tina		N;NOM;SG
tin	lugusid	tin	lugu		N;PRT;PL
tin	lood	tin	lugu		N;NOM;PL
tin	jutud	tin	jutt		N;NOM;PL
tin	news	tin	news		N;NOM;SG
tin	uudis	tin	uudis		N;NOM;SG
tin	uudised	tin	uudis		N;NOM;PL
tin	usalda	tin	usaldama		V;IMP;SG;2;PRS;FIN;ACT
