sony	sony	sony	sony	N;INDF;MASC;SG	PROPN;NOM
feminină	kvinnlig	feminin	kvinnlig	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
feminină	feminina	feminin	feminin	ADJ;INDF;FEM;SG	ADJ;NOM;PL
feminină	kvinnligt	feminin	kvinnlig	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;NEUT;SG
gură	mun	gură	mun	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
gură	munnen	gură	mun	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
psihologie	psykologi	psihologie	psykologi	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
creator	skaparen	creator	skapare	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
creator	skapare	creator	skapare	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;PL
circuit	kretsar	circuit	krets	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;PL
neutru	neutrala	neutru	neutral	ADJ;INDF;MASC;SG	ADJ;NOM;PL
bahia	bahia	bahia	bahia	PROPN	N;NOM;INDF;MASC+FEM;SG
telefon	telefonen	telefon	telefon	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
controlată	styrd	controlat	styrd	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
controlată	kontrollerad	controlat	kontrollerad	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
controlată	kontrolleras	controlat	kontrollera	ADJ;INDF;FEM;SG	V;IND;PRS;FIN;PASS
controlată	kontrollerade	controlat	kontrollera	ADJ;INDF;FEM;SG	ADJ;NOM;PL;PST;V.PTCP
controlată	kontrollerat	controlat	kontrollera	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
larry	larry	larry	larry	PROPN	PROPN;NOM
copenhaga	copenhagen	copenhaga	copenhagen	PROPN	N;NOM;DEF;MASC+FEM;SG
copenhaga	köpenhamn	copenhaga	köpenhamn	PROPN	PROPN;NOM
copenhaga	köpenhamns	copenhaga	köpenhamn	PROPN	PROPN;GEN
lipsește	saknade	lipsi	sakna	V;IND;SG;3;PRS;FIN	V;IND;PST;FIN;ACT
lipsește	saknad	lipsi	saknad	V;IND;SG;3;PRS;FIN	N;NOM;INDF;MASC+FEM;SG
lipsește	försvunnen	lipsi	försvinn	V;IND;SG;3;PRS;FIN	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
roland	roland	roland	roland	N;INDF;MASC;SG	PROPN;NOM
trepte	fotspår	treaptă	fotspå	N;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;SG
trepte	fotsteg	treaptă	fotsteg	N;INDF;FEM;PL	N;NOM;INDF;NEUT;SG
trepte	fotsteg	treaptă	fotsteg	N;INDF;FEM;PL	N;NOM;INDF;NEUT;SG
trepte	steg	treaptă	steg	N;INDF;FEM;PL	N;NOM;INDF;NEUT;SG
conservarea	bevarande	conservare	bevarande	N;DEF;FEM;SG	ADJ;NOM;PRS;V.PTCP
conservarea	konservering	conservare	konservering	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
conservarea	bevarande	conservare	bevarande	N;DEF;FEM;SG	ADJ;NOM;PRS;V.PTCP
mahmud	mahmud	mahmud	mahmud	N;INDF;MASC;SG	PROPN;NOM
