johannes	johannes	johanne	johannes	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG
western	zahodna	westerne	zahoden		ADJ;NOM;FEM;SG
western	zahodni	westerne	zahoden		ADJ;NOM;DEF;MASC;SG
western	western	westerne	western		
western	zahodno	westerne	zahodno		ADV
domāšanas	naravnanost	domāšana	naravnanost	N;NOM;FEM;PL	N;NOM;FEM;SG
licence	licenco	licence	licenca	N;NOM;FEM;SG	N;ACC;FEM;SG
fiziskā	fizično	fiziska	fizično	ADJ;NOM;FEM;SG	ADV
vēlams	zaželeno	vēlams	zaželen	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;NEUT;SG;V.PTCP
vēlams	zaželen	vēlams	zaželen	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP
aitu	ovca	aita	ovca	N;ACC;MASC;SG	N;NOM;MASC;SG
aitu	ovce	aita	ovca	N;ACC;MASC;SG	N;NOM;MASC;PL
pietiek	dovolj	pietikt	dovolj	V;FH;IND;3;POS;PRS;FIN;ACT	DET
model	model	model	model		N;NOM;MASC;SG
model	vzorec	model	vzorec		N;NOM;MASC;SG
model	maneken	model	maneken		N;NOM;MASC;SG
izdevumus	stroški	izdevumi	strošek	N;ACC;MASC	N;NOM;MASC;PL
fēru	ferščina	fēra	ferščina	N;ACC;MASC;SG	N;NOM;FEM;SG
fēru	ferskih	fēra	ferski	N;ACC;MASC;SG	ADJ;GEN;MASC;PL
meklēja	iskana	meklēt	iskan	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
piegādes	dostavo	piegāde	dostava	N;NOM;FEM;PL	N;ACC;FEM;SG
piegādes	dostavi	piegāde	dostava	N;NOM;FEM;PL	V;PFV;IND;SG;3;PRS;FIN
piegādes	dobava	piegāde	dobava	N;NOM;FEM;PL	N;NOM;FEM;SG
piegādes	dostava	piegāde	dostava	N;NOM;FEM;PL	N;NOM;FEM;SG
piegādes	dobava	piegāde	dobava	N;NOM;FEM;PL	N;NOM;FEM;SG
maksāja	plačano	maksāt	plačan	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;NEUT;SG;V.PTCP
maksāja	plačani	maksāt	plačan	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;MASC;PL;V.PTCP
maksāja	plačan	maksāt	plačan	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
maksāja	plačana	maksāt	plačan	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
iesaistīts	vpletena	iesaistīt	vpleten	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
iesaistīts	vpleten	iesaistīt	vpleten	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
iesaistīts	vključen	iesaistīt	vključen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
iesaistīts	vpletena	iesaistīt	vpleten	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
iesaistīts	vpleten	iesaistīt	vpleten	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
skābes	kislina	skābe	kislina	N;NOM;FEM;PL	N;NOM;FEM;SG
sibīriju	sibiriji	sibīrija	sibirij	N;ACC;FEM;SG	N;DAT;FEM;SG
jebkad	ever	jebkad	ever		
jebkad	kdaj	jebkad	kdaj		ADV
ieviešanas	predstavljanje	ieviešana	predstavljanje	N;NOM;FEM;PL	N;NOM;NEUT;SG
iniciatīvu	pobuda	iniciatīva	pobuda	ADJ;ACC;MASC;SG	N;NOM;FEM;SG
