から	från	から	från	CONJ	ADP
日本	japan	日本	japa	PROPN	PROPN;NOM
日本	nippon	日本	nippon	PROPN	PROPN;NOM
この	denna	この	denna	DET	PRO;DEF;MASC+FEM;SG
この	detta	この	denna	DET	PRO;DEF;NEUT;SG
まで	tills	まで	tills	ADP	ADV
まで	tills	まで	tills	ADP	ADV
また	också	また	också	CONJ	ADV
また	även	また	även	CONJ	ADV
昭和	showa	昭和	showa	PART	V;IMP;FIN;ACT
大学	college	大学	college	N	PROPN;NOM
放送	sändningen	放送	sändning	V	N;NOM;DEF;MASC+FEM;SG
放送	utsändning	放送	utsändning	V	N;NOM;INDF;MASC+FEM;SG
放送	sändning	放送	sändning	V	N;NOM;INDF;MASC+FEM;SG
放送	utsändning	放送	utsändning	V	N;NOM;INDF;MASC+FEM;SG
放送	sändning	放送	sändning	V	N;NOM;INDF;MASC+FEM;SG
東京	tokyo	東京	tokyo	PROPN	PROPN;NOM
より	än	よる	än	V	CONJ
削除	borttagna	削除	bortta	V	ADJ;NOM;PL;PST;V.PTCP
削除	borttagen	削除	borttag	V	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
削除	raderat	削除	radera	V	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
削除	borttaget	削除	borttag	V	N;NOM;DEF;NEUT;SG
削除	raderade	削除	radera	V	ADJ;NOM;PL;PST;V.PTCP
削除	borttagning	削除	borttagning	V	N;NOM;INDF;MASC+FEM;SG
削除	borttagning	削除	borttagning	V	N;NOM;INDF;MASC+FEM;SG
削除	radering	削除	radering	V	N;NOM;INDF;MASC+FEM;SG
削除	strykning	削除	strykning	V	N;NOM;INDF;MASC+FEM;SG
削除	avlägsna	削除	avlägsen	V	ADJ;NOM;PL
現在	aktuell	現在	aktuell	N	ADJ;NOM;INDF;MASC+FEM;SG
現在	nuvarande	現在	nuvarande	N	ADJ;NOM;PRS;V.PTCP
現在	aktuellt	現在	aktuell	N	ADJ;NOM;INDF;NEUT;SG
現在	aktuella	現在	aktuell	N	ADJ;NOM;PL
現在	nuvarande	現在	nuvarande	N	ADJ;NOM;PRS;V.PTCP
アメリカ	america	アメリカ	americ	PROPN	N;NOM;INDF;MASC+FEM;SG
アメリカ	amerika	アメリカ	amerik	PROPN	N;NOM;INDF;MASC+FEM;SG
について	ungefär	について	ungefär	ADP	ADV
作品	funkar	作品	funka	N	V;IND;PRS;FIN;ACT
作品	arbetar	作品	arbeta	N	V;IND;PRS;FIN;ACT
作品	fungerar	作品	fungera	N	V;IND;PRS;FIN;ACT
時代	eran	時代	eran	N	PRO;DEF;MASC+FEM;SG
時代	era	時代	era	N	PRO;DEF;PL
映画	filma	映画	filma	N	V;IMP;FIN;ACT
使用	användning	使用	användning	V	N;NOM;INDF;MASC+FEM;SG
出演	skenet	出演	sken	V	N;NOM;DEF;NEUT;SG
出演	framträdanden	出演	framträdande	V	N;NOM;INDF;NEUT;PL
出演	framträdande	出演	framträdande	V	ADJ;NOM;PRS;V.PTCP
出演	utseende	出演	utseende	V	N;NOM;INDF;NEUT;SG
出演	utseendet	出演	utseende	V	N;NOM;DEF;NEUT;SG
出演	gips	出演	gipsa	V	N;NOM;INDF;NEUT;SG
出演	gjutna	出演	göta	V	ADJ;NOM;PL;PST;V.PTCP
出演	kastad	出演	kastad	V	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
