ivar	ivar	ivar	ivara		
indbygget	vgrajeni	indbygge	vgrajen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
indbygget	vgrajeno	indbygge	vgrajen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
indbygget	zgrajeno	indbygge	zgrajen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
indbygget	zgrajen	indbygge	zgrajen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
indbygget	zgrajeni	indbygge	zgrajen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
indbygget	zgrajena	indbygge	zgrajen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
diana	diana	diana	dian		N;NOM;FEM;SG
cornelius	cornelius	cornelius	cornelius	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
teologisk	teološka	teologisk	teološki	ADV	ADJ;NOM;FEM;SG
tilbagetrækning	dvigi	tilbagetrækning	dviga	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
tilbagetrækning	odstopi	tilbagetrækning	odstopiti	N;INDF;MASC+FEM;SG	V;PFV;IND;SG;3;PRS;FIN
mus	miške	mus	miški	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
mus	miška	mus	miški	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
mus	miško	mus	miški	N;INDF;MASC+FEM;SG	ADV
mus	miške	mus	miški	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
über	über	über	über	V;IND;PST;FIN;ACT	
cleveland	cleveland	cleveland	cleveland		PROPN;NOM;MASC;SG
elseif	elseif	elseif	elseif		
jer	jer	I	jer	PRO;ACC;MASC+FEM;PL;2	
saa	saa	saa	saa	ADV	
saa	sps	saa	sps	ADV	PROPN;NOM;MASC;SG
beretninger	poročili	beretning	poročilo	N;INDF;MASC+FEM;PL	V;PFV;MASC;PL;V.PTCP
ingrid	ingrid	ingrid	ingrid	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
holmes	holmes	holme	holmes	V;NFIN;PASS	N;NOM;MASC;SG
anbefalede	priporočamo	anbefale	priporočati	V;IND;PST;FIN;ACT	V;IPFV;IND;PL;1;PRS;FIN
anbefalede	priporočena	anbefale	priporočen	V;IND;PST;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
anbefalede	priporočeno	anbefale	priporočen	V;IND;PST;FIN;ACT	ADJ;NOM;NEUT;SG;V.PTCP
anbefalede	priporočeni	anbefale	priporočen	V;IND;PST;FIN;ACT	ADJ;NOM;MASC;PL;V.PTCP
anbefalede	priporočljivo	anbefale	priporočljiv	V;IND;PST;FIN;ACT	ADJ;NOM;NEUT;SG
teknikker	tehnik	teknik	tehnika	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
marker	označi	mark	označiti	N;INDF;MASC+FEM;PL	V;PFV;IND;SG;3;PRS;FIN
ted	ted	ted	ted		PROPN;NOM;MASC;SG
tree	jelka	tree	jelka		PROPN;NOM;FEM;SG
tree	drevo	tree	drevo		N;NOM;NEUT;SG
tree	tre	tree	trije		
reducere	zmanjšanje	reducere	zmanjšanje	V;NFIN;ACT	N;NOM;NEUT;SG
porto	porto	porto	porta		PROPN;NOM;MASC;SG
enkel	enostavno	enkel	enostavno	ADJ;INDF;MASC+FEM;SG	ADV
enkel	preprosto	enkel	preprosto	ADJ;INDF;MASC+FEM;SG	ADV
balkan	balkan	balkan	balkan		N;NOM;MASC;SG
balkan	balkana	balkan	balkana		N;GEN;MASC;SG
balkan	balkan	balkan	balkan		N;NOM;MASC;SG
tilbagevendende	periodično	tilbagevendende	periodično	V;PRS;V.PTCP	ADV
tilbagevendende	povratnikov	tilbagevendende	povratnik	V;PRS;V.PTCP	N;GEN;MASC;PL
svaret	odgovori	svar	odgovor	N;DEF;NEUT;SG	N;NOM;MASC;PL
edgar	edgar	edgar	edgar		N;NOM;MASC;SG
angels	angele	angels	angela	N;INDF;MASC+FEM;SG	N;ACC;MASC;PL
angels	angelov	angels	angelov	N;INDF;MASC+FEM;SG	N;GEN;MASC;PL
angels	angelčki	angels	angelček	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
angels	angeli	angels	angela	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
dæk	pnevmatika	dæk	pnevmatika	N;INDF;NEUT;PL	N;NOM;FEM;SG
dæk	gumo	dæk	guma	N;INDF;NEUT;PL	N;ACC;FEM;SG
dæk	guma	dæk	guma	N;INDF;NEUT;PL	N;NOM;FEM;SG
dæk	krov	dæk	krov	N;INDF;NEUT;PL	N;NOM;MASC;SG
dæk	palubi	dæk	palub	N;INDF;NEUT;PL	N;NOM;FEM;DU
dæk	kritje	dæk	kritje	N;INDF;NEUT;PL	N;NOM;NEUT;SG
dæk	pnevmatika	dæk	pnevmatika	N;INDF;NEUT;PL	N;NOM;FEM;SG
drømme	dream	drøm	dream	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
drømme	sanjsko	drøm	sanjski	N;INDF;MASC+FEM;PL	ADJ;NOM;NEUT;SG
