que	das	que	der	CONJ	PRO;NOM;NEUT;SG
les	les	el	les	DET;DEF;FEM;PL	
els	die	el	der	DET;DEF;MASC;PL	DET;NOM;DEF;FEM;SG
els	der	el	der	DET;DEF;MASC;PL	DET;NOM;DEF;MASC;SG
els	dem	el	der	DET;DEF;MASC;PL	PRO;DAT;NEUT;SG
els	den	el	der	DET;DEF;MASC;PL	DET;ACC;DEF;MASC;SG
els	das	el	der	DET;DEF;MASC;PL	PRO;NOM;NEUT;SG
com	mögen	com	mögen	CONJ	V;FIN
com	gefällt	com	gefallen	CONJ	V;IND;SG;3;PRS;FIN
com	wie	com	wie	CONJ	ADP
com	like	com	like	CONJ	PROPN;NOM;SG
més	weiteres	més	weit	ADV	ADJ;NOM;NEUT;SG
més	weitere	més	weit	ADV	ADJ;NOM;FEM;PL
bar	bar	bar	bar	N;MASC;SG	PROPN
bar	balken	bar	balken	N;MASC;SG	V;NFIN
seu	hauptsitz	seu	hauptsitz	DET;MASC;SG;3	V;V.PTCP
seu	sitz	seu	sitz	DET;MASC;SG;3	N;NOM;MASC;SG
seu	zentrale	seu	zentral	DET;MASC;SG;3	ADJ;NOM;FEM;PL
seu	hauptquartier	seu	hauptquartier	DET;MASC;SG;3	
seu	firmensitz	seu	firmensitz	DET;MASC;SG;3	ADV
van	van	anar	van	V;IND;PL;3;PRS;FIN	PROPN;NOM;MASC;SG
era	ära	ser	ära	V;IND;SG;3;IPFV;FIN	N;NOM;FEM;SG
era	era	ser	era	V;IND;SG;3;IPFV;FIN	
era	zeitalter	ser	zeitalter	V;IND;SG;3;IPFV;FIN	ADJ
text	text	text	Text	N;MASC;SG	
text	texte	text	texen	N;MASC;SG	ADV
entre	dazwischen	entre	dazwischen	ADP	ADV
fou	war	ser	sein	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN
fou	wurde	ser	werden	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN;PASS
anys	jahren	any	jahren	N;MASC;PL	ADJ
anys	jahre	any	jahren	N;MASC;PL	ADV
any	baujahr	any	baujahr	N;MASC;SG	
any	jahre	any	jahren	N;MASC;SG	ADV
població	bevölkerung	població	bevölkerung	N;FEM;SG	ADJ
població	bevölkerungszahl	població	bevölkerungszahl	N;FEM;SG	ADJ
població	grundgesamtheit	població	grundgesamtheit	N;FEM;SG	ADJ;NOM;SG
població	einwohner	població	einwohner	N;FEM;SG	N;NOM;MASC;PL
població	einwohnerzahl	població	einwohnerzahl	N;FEM;SG	ADJ
però	doch	però	doch	CONJ	ADV
però	allerdings	però	allerdings	CONJ	ADV
però	but	però	bun	CONJ	
però	jedoch	però	jedoch	CONJ	ADV
aquest	dieser	aquest	dies	DET;MASC;SG	PRO;NOM;MASC;SG
aquest	diese	aquest	dies	DET;MASC;SG	PRO;NOM;FEM;SG
aquest	das	aquest	der	DET;MASC;SG	PRO;NOM;NEUT;SG
altres	sonstiges	altre	sonstig	PRO;PL	ADJ;NOM;NEUT;SG
altres	andere	altre	ander	PRO;PL	ADJ;NOM;FEM;PL
altres	anderen	altre	ander	PRO;PL	ADJ;NOM;PL
altres	sonstige	altre	sonstig	PRO;PL	ADJ;NOM;FEM;PL
altres	anderes	altre	ander	PRO;PL	ADJ;NOM;NEUT;SG
altres	sonstiges	altre	sonstig	PRO;PL	ADJ;NOM;NEUT;SG
altres	andere	altre	ander	PRO;PL	ADJ;NOM;FEM;PL
altres	anderen	altre	ander	PRO;PL	ADJ;NOM;PL
altres	sonstige	altre	sonstig	PRO;PL	ADJ;NOM;FEM;PL
estat	staat	ser	staaen	V;MASC;SG;PST;V.PTCP	N
estat	bundesland	ser	bundesland	V;MASC;SG;PST;V.PTCP	
estat	zustand	ser	zustand	V;MASC;SG;PST;V.PTCP	
estat	mitgliedstaat	ser	mitgliedstaat	V;MASC;SG;PST;V.PTCP	ADJ
estat	bundesstaat	ser	bundesstaat	V;MASC;SG;PST;V.PTCP	ADJ
després	nach	després	nach	ADV	ADP
després	after	després	aft	ADV	PROPN;NOM;SG
després	nachdem	després	nachdem	ADV	CONJ
fins	bis	fins	bis	ADV	ADP
des	des	des	der	ADP	DET;GEN;DEF;NEUT;SG
aquesta	dieser	aquest	dies	DET;FEM;SG	PRO;NOM;MASC;SG
aquesta	diese	aquest	dies	DET;FEM;SG	PRO;NOM;FEM;SG
aquesta	das	aquest	der	DET;FEM;SG	PRO;NOM;NEUT;SG
eren	wurden	ser	werden	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;PST;FIN;PASS
eren	waren	ser	sein	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;PST;FIN
estats	staaten	estat	staaten	N;MASC;PL	V;FIN
from	von	from	von		ADP
from	ab	from	ab		ADP
from	aus	from	aus		ADP
part	teilweise	part	teilweise		ADV
part	teil	part	teil		ADV
cap	keine	cap	kein		PRO;NOM;INDF;FEM;SG;NEG
cap	keiner	cap	kein		PRO;NOM;INDF;MASC;SG;NEG
cap	keines	cap	kein		ADV
sobre	umschlag	sobre	umschlagen	ADP	
gran	great	gran	greaen	ADJ;SG	PROPN
gran	große	gran	groß	ADJ;SG	ADJ;NOM;FEM;PL
durant	während	durant	während	ADP	CONJ
durant	durant	durant	durant	ADP	PROPN;NOM;MASC;SG
tot	alles	tot	alle	PRO;MASC;SG	PRO;NOM;INDF;NEUT;SG
