ύδατα	водах	ύδωρ	вода	N;NOM;NEUT;PL	N;INAN;ESS;FEM;PL
υψηλάντη	ипсиланти	ψηλάντης	ипсилант	ADV	N;ANIM;NOM;MASC;SG
μεραρχίες	отделов	μεραρχία	отдел	N;NOM;FEM;PL	N;INAN;GEN;MASC;PL
αυστριακό	австрии	αυστριακός	австрия	ADJ;NOM;NEUT;SG	N;INAN;NOM;FEM;SG
πυροβολικό	артиллерийские	πυροβολικός	артиллерийский	N;NOM;NEUT;SG	ADJ;NOM;PL
πυροβολικό	артиллерийский	πυροβολικός	артиллерийский	N;NOM;NEUT;SG	ADJ;NOM;MASC;SG
τέλεια	идеально	τέλεια	идеально	ADJ;NOM;FEM;SG	ADV
τέλεια	здорово	τέλεια	здорово	ADJ;NOM;FEM;SG	ADV
τέλεια	отлично	τέλεια	отлично	ADJ;NOM;FEM;SG	ADV
τέλεια	великолепно	τέλεια	великолепно	ADJ;NOM;FEM;SG	ADV
απογραφές	переписей	απογραφή	перепись	N;NOM;FEM;PL	N;INAN;GEN;FEM;PL
γάτα	cat	γάτα	cat	N;NOM;FEM;SG	PROPN
ισότητα	равенство	ισότητα	равенство	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
ισότητα	равноправие	ισότητα	равноправие	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
ισότητα	равная	ισότητα	равный	N;ACC;FEM;SG	ADJ;NOM;FEM;SG
ισότητα	равных	ισότητα	равный	N;ACC;FEM;SG	ADJ;GEN;PL
ισότητα	равный	ισότητα	равный	N;ACC;FEM;SG	ADJ;NOM;MASC;SG
ισότητα	равные	ισότητα	равный	N;ACC;FEM;SG	ADJ;NOM;PL
ισότητα	равное	ισότητα	равный	N;ACC;FEM;SG	ADJ;NOM;NEUT;SG
ίκαρος	икар	ίκαρος	икар	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
αλγερίας	алжир	αλγερία	алжир	PROPN;GEN;FEM;SG	N;INAN;NOM;MASC;SG
αλγερίας	алжира	αλγερία	алжир	PROPN;GEN;FEM;SG	N;INAN;NOM;MASC;SG
αλγερίας	алжире	αλγερία	алжир	PROPN;GEN;FEM;SG	N;INAN;NOM;MASC;SG
γκαλερί	галереи	γκαλώ	галерея	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
γκαλερί	галерею	γκαλώ	галерея	N;NOM;FEM;SG	N;INAN;ACC;FEM;SG
γκαλερί	галереи	γκαλώ	галерея	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
κολούμπια	колумбия	κολούμπιος	колумбия	PROPN;NOM;FEM;SG	N;INAN;NOM;FEM;SG
κολούμπια	колумбийский	κολούμπιος	колумбийский	PROPN;NOM;FEM;SG	ADJ;NOM;MASC;SG
εγκεφαλικό	инсульт	εγκεφαλικός	инсульт	ADJ;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
αλαμπάμα	алабама	αλαμπάμα	алабам		N;INAN;NOM;FEM;SG
εντάξει	ок	εντάξει	ок	ADV	
σύνορο	границы	σύνορο	граница	N;NOM;NEUT;SG	N;INAN;NOM;FEM;PL
σύνορο	границу	σύνορο	граница	N;NOM;NEUT;SG	N;INAN;ACC;FEM;SG
λειτουργική	функциональные	λειτουργικός	функциональный	ADJ;NOM;FEM;SG	ADJ;NOM;PL
λειτουργική	функциональных	λειτουργικός	функциональный	ADJ;NOM;FEM;SG	ADJ;GEN;PL
λειτουργική	оперативной	λειτουργικός	оперативный	ADJ;NOM;FEM;SG	ADJ;INS;FEM;SG
κρίσεις	кризисов	κρίση	кризис	N;NOM;FEM;PL	N;INAN;GEN;MASC;PL
πωλήσεων	продажа	πώληση	продажа	N;GEN;FEM;PL	N;INAN;NOM;FEM;SG
πωλήσεων	продажи	πώληση	продажа	N;GEN;FEM;PL	N;INAN;NOM;FEM;PL
γλυκό	сладкий	γλυκό	сладкий	N;NOM;NEUT;SG	ADJ;NOM;MASC;SG
γλυκό	сладкие	γλυκό	сладкий	N;NOM;NEUT;SG	ADJ;NOM;PL
γλυκό	сладкая	γλυκό	сладкий	N;NOM;NEUT;SG	ADJ;NOM;FEM;SG
γκαρντ	гард	γκαρντ	гарда		
μιγκέλ	мигель	μιγκέλ	мигель		N;ANIM;NOM;MASC;SG
ρούντολφ	рудольф	ρούντολφ	рудольф	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
ρούντολφ	рудольф	ρούντολφ	рудольф	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
πήτερ	петр	πήτερ	петр		N;ANIM;NOM;MASC;SG
πήτερ	питер	πήτερ	питер		N;ANIM;NOM;MASC;SG
πήτερ	петер	πήτερ	петер		N;ANIM;NOM;MASC;SG
πήτερ	пётр	πήτερ	пётр		N;ANIM;NOM;MASC;SG
χρήσιμες	полезная	χρήσιμος	полезный	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
χρήσιμες	полезное	χρήσιμος	полезный	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
χρήσιμες	полезный	χρήσιμος	полезный	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
χρήσιμες	полезно	χρήσιμος	полезный	ADJ;NOM;FEM;PL	ADJ;NEUT;SG
κοπεγχάγη	копенгагене	κοπεγχάγη	копенгагень	PROPN;ACC;FEM;SG	N;INAN;ESS;MASC;SG
κοπεγχάγη	копенгаген	κοπεγχάγη	копенгагный	PROPN;ACC;FEM;SG	N;INAN;NOM;MASC;SG
δίσκοι	records	δίσκος	records	N;NOM;MASC;PL	PROPN
δίσκοι	дисков	δίσκος	диск	N;NOM;MASC;PL	N;INAN;GEN;MASC;PL
βενεζουέλας	венесуэлы	βενεζουέλα	венесуэла	PROPN;GEN;FEM;SG	N;INAN;NOM;FEM;PL
βενεζουέλας	венесуэлы	βενεζουέλα	венесуэла	PROPN;GEN;FEM;SG	N;INAN;NOM;FEM;PL
βενεζουέλας	венесуэла	βενεζουέλα	венесуэла	PROPN;GEN;FEM;SG	N;INAN;NOM;FEM;SG
έσπασε	сломалась	σπάω	ломаться	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;FEM;IND;SG;PST;FIN;MID
