din	f	din	!	ADP;ACC	
care	من	care	مِن	PRO;3	ADP
care	اللي	care	لَيّ	PRO;3	
care	ايهما	care	ايهما	PRO;3	
care	الذي	care	اَلَّذِي	PRO;3	DET;NOM;MASC;SG
care	والذي	care	والذي	PRO;3	N;NOM;DEF;SG
mai	الماي	mai	مَاي	ADV	
mai	ماي	mai	مَاي	ADV	
mai	المزيد	mai	مَزِيد	ADV	N;NOM;DEF;SG
mai	اكتر	mai	أَكتَر	ADV	
mai	اكثر	mai	أَكثَر	ADV	ADJ;NOM;INDF;MASC;SG
mai	مزيد	mai	مَزِيد	ADV	N;NOM;INDF;SG
pentru	لاجل	pentru	لاجل	ADP;ACC	
lui	ده	el	دٰهٰ	PRO;3	
după	بعدما	după	بَعدَمَا	ADP;ACC	CONJ
după	بعد	după	بَعدَ	ADP;ACC	ADP;NOM
lea	ليا	lea	ليا		
regiunea	الاقليم	regiune	إِقلِيم	N;DEF;FEM;SG	
regiunea	اقليم	regiune	اقليم	N;DEF;FEM;SG	
regiunea	منطقة	regiune	مِنطَقَة	N;DEF;FEM;SG	N;NOM;INDF;SG
regiunea	المنطقة	regiune	مِنطَقَة	N;DEF;FEM;SG	N;NOM;DEF;SG
mare	العظيم	mare	عَظِيم	ADJ;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
mare	الكبير	mare	كَبِير	ADJ;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
mare	كبيره	mare	كبيره	ADJ;INDF;MASC;SG	
mare	البحر	mare	بَحر	ADJ;INDF;MASC;SG	N;NOM;DEF;SG
mare	بحر	mare	بَحر	ADJ;INDF;MASC;SG	N;NOM;INDF;SG
anul	عام	an	عَام	N;DEF;MASC;SG	N;NOM;INDF;SG
anul	العام	an	عَام	N;DEF;MASC;SG	N;NOM;DEF;SG
anul	السنه	an	سَنه	N;DEF;MASC;SG	N;NOM;DEF;SG
anul	سنة	an	سَنَة	N;DEF;MASC;SG	N;NOM;INDF;SG
anul	سنه	an	سنه	N;DEF;MASC;SG	N;NOM;INDF;SG
anul	السنة	an	سَنَة	N;DEF;MASC;SG	N;NOM;DEF;SG
comună	شائعة	comun	شَائِعَة	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;FEM;SG
comună	شائع	comun	شَائِع	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC;SG
externe	الخارجية	extern	خَارِجِيَّة	ADJ;INDF;FEM;PL	N;NOM;DEF;SG
externe	خارجي	extern	خَارِجِيّ	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC;SG
externe	خارجية	extern	خَارِجِيَّة	ADJ;INDF;FEM;PL	N;NOM;INDF;SG
locuitori	ساكن	locuitor	سَاكِن	N;INDF;MASC;PL	ADJ;NOM;INDF;MASC;SG
locuitori	السكان	locuitor	سَاكِن	N;INDF;MASC;PL	N;NOM;DEF;PL
locuitori	المقيمون	locuitor	مُقَيَّم	N;INDF;MASC;PL	N;NOM;DEF;PL
locuitori	المقيمين	locuitor	مُقِيم	N;INDF;MASC;PL	ADJ;ACC;DEF;MASC;PL
legături	الوصلات	legătură	وُصلَة	N;INDF;FEM;PL	N;NOM;DEF;PL
legături	الصلات	legătură	صَلَة	N;INDF;FEM;PL	N;NOM;DEF;PL
legături	الروابط	legătură	رَابِطَة	N;INDF;FEM;PL	N;NOM;DEF;PL
legături	الصلات	legătură	صَلَة	N;INDF;FEM;PL	N;NOM;DEF;PL
legături	الارتباطات	legătură	اِرتِبَاط	N;INDF;FEM;PL	N;NOM;DEF;PL
vezi	شاهد	vedea	شَاهَد	V;IND;SG;2;PRS;FIN	
vezi	ترى	vedea	رَأَى	V;IND;SG;2;PRS;FIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
dar	لكن	dar	لكن	CONJ;POS	
dar	بس	dar	بِسّ	CONJ;POS	
dar	ولكن	dar	ولكن	CONJ;POS	
cod	شفرة	cod	شَفرَة		N;NOM;INDF;SG
cod	الكود	cod	الكود		N;NOM;DEF;SG
cod	رمز	cod	رَمز		N;NOM;INDF;SG
cod	الرمز	cod	رَمز		N;NOM;DEF;SG
cod	كود	cod	كود		
cod	القد	cod	قَد		V;PFV;FEM;SG;3;ACT
cod	كود	cod	كود		
populație	السكان	populație	سَاكِن	N;INDF;FEM;SG	N;NOM;DEF;PL
bucurești	بوخارست	bucuresc	بُوخرَست	PROPN	
fiind	كونك	fi	كُونك	V;V.MSDR	
românia	رومانيا	românia	رُومَانِيَا	PROPN	
jpg	jpg	jpg	مُثَّة	N	V;PFV;MASC;SG;3;ACT
lista	قائمة	listă	قَائِمَة	N;DEF;FEM;SG	N;NOM;INDF;SG
lista	قائمه	listă	قائمه	N;DEF;FEM;SG	
lista	القائمة	listă	قَائِمَة	N;DEF;FEM;SG	N;NOM;DEF;SG
ucraina	اوكرانيا	ucraina	اوكرانيا	PROPN	
nume	منور	nume	منور	N;INDF	
nume	الاسم	nume	اِسم	N;INDF	N;NOM;DEF;SG
ani	انى	an	إِنَى	N;INDF;MASC;PL	
ani	السنين	an	سَنَة	N;INDF;MASC;PL	N;NOM;DEF;PL
ani	السنوات	an	سَنَة	N;INDF;MASC;PL	N;NOM;DEF;PL
până	حتى	până	حَتَّى	ADP;ACC	ADV
comuna	البلدية	comună	بَلَدِيَّة	N;DEF;FEM;SG	N;NOM;DEF;SG
comuna	بلدية	comună	بَلَدِيَّة	N;DEF;FEM;SG	N;NOM;INDF;SG
comuna	شائعة	comună	شَائِعَة	N;DEF;FEM;SG	ADJ;NOM;INDF;FEM;SG
comuna	شائع	comună	شَائِع	N;DEF;FEM;SG	ADJ;NOM;INDF;MASC;SG
poate	لربما	poate	لربما	ADV	
poate	ربما	poate	رُبَّمَا	ADV	PART
două	اثنان	doi	اِثنَان	NUM;FEM;PL	N;NOM;INDF;SG
rege	ملك	rege	مَلِك	N;INDF;MASC;SG	
rege	كينغ	rege	كينغ	N;INDF;MASC;SG	
rege	الملك	rege	مَلِك	N;INDF;MASC;SG	N;NOM;DEF;SG
rege	كينج	rege	كينج	N;INDF;MASC;SG	
alte	اخرى	alt	آخَر	DET;FEM;PL;3	ADJ;NOM;INDF;FEM;SG
când	حين	când	حِينَ	ADV	ADP;ACC
când	عندما	când	عِندَمَا	ADV	CONJ
când	متى	când	مَتَى	ADV	DET
regiune	الاقليم	regiune	إِقلِيم	N;INDF;FEM;SG	
regiune	اقليم	regiune	اقليم	N;INDF;FEM;SG	
regiune	منطقة	regiune	مِنطَقَة	N;INDF;FEM;SG	N;NOM;INDF;SG
regiune	المنطقة	regiune	مِنطَقَة	N;INDF;FEM;SG	N;NOM;DEF;SG
anii	السنين	an	سَنَة	N;DEF;MASC;PL	N;NOM;DEF;PL
anii	اعوام	an	عَام	N;DEF;MASC;PL	N;NOM;INDF;PL
anii	سنين	an	سَنَة	N;DEF;MASC;PL	N;NOM;INDF;PL
anii	السنوات	an	سَنَة	N;DEF;MASC;PL	N;NOM;DEF;PL
anii	سنوات	an	سَنَة	N;DEF;MASC;PL	N;NOM;INDF;PL
parte	جزء	parte	جُزء	N;INDF;FEM;SG	N;NOM;INDF;SG
parte	الجزء	parte	جُزء	N;INDF;FEM;SG	N;NOM;DEF;SG
județul	مقاطعة	județ	مُقَاطَعَة	N;DEF;MASC;SG	N;NOM;INDF;SG
județul	المقاطعة	județ	مُقَاطَعَة	N;DEF;MASC;SG	N;NOM;DEF;SG
centura	حزام	centură	حزام	N;DEF;FEM;SG	N;NOM;INDF;SG
centura	الحزام	centură	حِزَام	N;DEF;FEM;SG	N;NOM;DEF;SG
dinastia	سلالة	dinastie	سِلَالَة	N;DEF;FEM;SG	N;NOM;INDF;SG
dinastia	السلالة	dinastie	سِلَالَة	N;DEF;FEM;SG	N;NOM;DEF;SG
timp	الزمن	timp	زَمَن	N;INDF;MASC;SG	N;NOM;DEF;SG
timp	الوقت	timp	وَقت	N;INDF;MASC;SG	N;NOM;DEF;SG
timp	الزمان	timp	زَمَان	N;INDF;MASC;SG	N;NOM;DEF;SG
despre	بشان	despre	بشان	ADP;ACC	N;NOM;INDF;SG
despre	بخصوص	despre	بخصوص	ADP;ACC	N;NOM;INDF;SG
unde	اين	unde	أَينَ	ADV	DET
unde	حيث	unde	حَيثُ	ADV	CONJ
majoritatea	معظم	majoritate	مُعظَم	N;DEF;FEM;SG	N;NOM;INDF;SG
majoritatea	الاكثر	majoritate	أَكثَر	N;DEF;FEM;SG	ADJ;NOM;DEF;MASC;SG
majoritatea	اغلب	majoritate	أَغلَب	N;DEF;FEM;SG	
majoritatea	الاغلبية	majoritate	أَغلَبِيَّة	N;DEF;FEM;SG	N;NOM;DEF;SG
majoritatea	اغلبية	majoritate	أَغلَبِيَّة	N;DEF;FEM;SG	N;NOM;INDF;SG
majoritatea	الغالبية	majoritate	غَالِبِيَّة	N;DEF;FEM;SG	N;NOM;DEF;SG
densitate	كثافة	densitate	كَثَافَة	N;INDF;FEM;SG	N;NOM;INDF;SG
densitate	الكثافة	densitate	كَثَّافَة	N;INDF;FEM;SG	N;NOM;DEF;SG
limbă	لسان	limbă	لِسَان	N;INDF;FEM;SG	N;NOM;INDF;SG
limbă	اللسان	limbă	لِسَان	N;INDF;FEM;SG	N;NOM;DEF;SG
limbă	لغة	limbă	لُغَة	N;INDF;FEM;SG	N;NOM;INDF;SG
limbă	اللغة	limbă	لُغَة	N;INDF;FEM;SG	N;NOM;DEF;SG
multe	كثير	mult	كَثِير	PRO;FEM;PL;3	ADJ;NOM;INDF;MASC;SG
multe	العديد	mult	عَدِيد	PRO;FEM;PL;3	ADJ;NOM;DEF;MASC;SG
multe	الكثيرون	mult	كَثِير	PRO;FEM;PL;3	ADJ;NOM;DEF;MASC;PL
multe	كثيرون	mult	كَثِير	PRO;FEM;PL;3	ADJ;NOM;INDF;MASC;PL
multe	الكثير	mult	كَثِير	PRO;FEM;PL;3	ADJ;NOM;DEF;MASC;SG
prima	اول	prim	أَوَّل	NUM;DEF;FEM;SG	ADJ;NOM;INDF;MASC;SG
prima	اولا	prim	أَوَّل	NUM;DEF;FEM;SG	ADJ;ACC;INDF;MASC;SG
prima	الاول	prim	أَوَّل	NUM;DEF;FEM;SG	ADJ;NOM;DEF;MASC;SG
prima	الاولى	prim	أَوَّل	NUM;DEF;FEM;SG	ADJ;NOM;DEF;FEM;SG
august	اوغست	august	أَوغَس	N;INDF;MASC;SG	
sat	القرية	sat	قَريَة	N;INDF;MASC;SG	N;NOM;DEF;SG
sat	جلس	sat	جَلَس	N;INDF;MASC;SG	V;PFV;MASC;SG;3;ACT
sat	جلست	sat	جَلَس	N;INDF;MASC;SG	V;PFV;FEM;SG;3;ACT
martie	المسيرة	martie	مَسِيرَة	N;INDF;MASC;SG	N;NOM;DEF;SG
