ausscheiden	pengunduran	ausscheiden	penunduran	V;NFIN	N;SG
hamm	gam	hamm	gam	PROPN;NOM;MASC;SG	PROPN
auschwitz	auschwitz	auschwitz	auschwitz	PROPN	PROPN
zeitgenössische	kontemporer	zeitgenössisch	kontemporer	ADJ;NOM;FEM;PL	N
planungen	perencanaan	planung	penrencanaan	V;NFIN	N;SG
planungen	rencana	planung	rencana	V;NFIN	N;SG
beendigung	pemutusan	beendigung	penputusan	ADV	N;SG
beendigung	penghentian	beendigung	penhentian	ADV	N;SG
detroit	detroit	detroit	detroit	PROPN;NOM;MASC;SG	PROPN
emma	emma	emma	emma	PROPN;NOM;SG	PROPN
stoff	kain	stoff	kain		N;SG
stoff	zat	stoff	zat		N;SG
stoff	substansi	stoff	substansi		N;SG
stoff	kain	stoff	kain		N;SG
fremden	alien	fremd	alien	ADJ	PROPN
fremden	aliens	fremd	aliens	ADJ	PROPN
fremden	stranger	fremd	stranger	ADJ	PROPN
ernsthaft	serious	ernsthaft	serious	ADJ	PROPN
ernsthaft	seriously	ernsthaft	seriously	ADJ	PROPN
gelben	kuning	gelb	kuning		N;SG
krankheiten	penyakit	krankheit	pensakit	V;NFIN	N;SG
krankheiten	penyakit	krankheit	pensakit	V;NFIN	N;SG
krankheiten	gangguan	krankheit	gangguan	V;NFIN	N;SG
krankheiten	penyakit	krankheit	pensakit	V;NFIN	N;SG
zentimetern	sentimeter	zentimetern	sentimeter	ADJ	N;SG
bukarest	bucharest	bukarest	bucharest	PROPN;NOM;NEUT;SG	PROPN
bukarest	bukares	bukarest	bukares	PROPN;NOM;NEUT;SG	PROPN
mans	mans	mans	mans	PROPN;NOM;MASC;SG	PROPN
denkmäler	monumen	denkmäl	monumen	ADJ	N;SG
maine	maine	mainen	maine	PROPN;NOM;SG	PROPN
kongo	kongo	kongo	kongo	PROPN;NOM;MASC;SG	PROPN
kongo	ekuador	kongo	ekuador	PROPN;NOM;MASC;SG	PROPN;SG
stämme	suku	stammen	suku		N;SG
siebten	ketujuh	siebt	ketujuh	ADJ;NOM;MASC;SG	NUM
siebten	seventh	siebt	seventh	ADJ;NOM;MASC;SG	PROPN
musikern	musisi	musikern	musisi	V;NFIN	N
grob	rough	grob	rough	ADJ	PROPN
dialekt	dialek	dialekt	dialek	ADJ	N
dialekt	amoy	dialekt	amoy	ADJ	PROPN
dialekt	dialek	dialekt	dialek	ADJ	N
philologie	filologi	philologie	filologi	PROPN;NOM;SG	N
hofmann	hofmann	hofmann	hofmann	PROPN;NOM;MASC;SG	PROPN
südkorea	taiwan	südkorea	taiwan	PROPN;NOM;MASC;SG	PROPN;SG
südkorea	korea	südkorea	korea	PROPN;NOM;MASC;SG	PROPN;SG
südkorea	seoul	südkorea	seoul	PROPN;NOM;MASC;SG	PROPN
beachtung	perhatian	beachtung	perhatian		N;SG
beachtung	mengindahkan	beachtung	menindahkan		V;SG;ACT
grimm	grimm	greimen	grimm		PROPN
merkmal	karakteristik	merkmal	karakteristik	ADJ	N;SG
merkmal	fitur	merkmal	fitur	ADJ	N;SG
merkmal	sifat	merkmal	sifat	ADJ	N;SG
orthodoxen	ortodoks	orthodox	ortodoks	ADJ	PROPN
orthodoxen	ortodoksi	orthodox	ortodoksi	ADJ	PROPN
orthodoxen	ortodoks	orthodox	ortodoks	ADJ	PROPN
orthodoxen	orthodox	orthodox	orthodox	ADJ	PROPN
epoche	epoch	epoch	epoch	N;SG	PROPN
engineering	teknik	engineering	teknik	PROPN	N;SG
engineering	rekayasa	engineering	rekayasa	PROPN	N;SG
rechnung	rekening	rechnung	rekening	PROPN;SG	N;SG
rechnung	account	rechnung	account	PROPN;SG	PROPN
rechnung	akun	rechnung	akun	PROPN;SG	N;SG
rechnung	tagihan	rechnung	tagihan	PROPN;SG	N;SG
rechnung	penagihan	rechnung	pentagihan	PROPN;SG	N;SG
rechnung	faktur	rechnung	faktur	PROPN;SG	N;SG
rechnung	tagihan	rechnung	tagihan	PROPN;SG	N;SG
rechnung	bill	rechnung	bill	PROPN;SG	PROPN
rechnung	tagih	rechnung	tagih	PROPN;SG	N;SG;ACT
rechnung	ruu	rechnung	ruu	PROPN;SG	N;SG
rechnung	tagihan	rechnung	tagihan	PROPN;SG	N;SG
rechnung	faktur	rechnung	faktur	PROPN;SG	N;SG
browser	browser	brows	browser	ADJ	N
browser	peramban	brows	penramban	ADJ	N;SG
browser	browser	brows	browser	ADJ	N
konsul	konsul	konsul	konsul		PROPN
stab	tusuk	stab	tusuk		N;SG
stab	menusuk	stab	mentusuk		PROPN;SG;ACT
stab	stab	stab	stab		PROPN
stab	tikam	stab	tikam		N;SG;ACT
stab	rod	stab	rod		PROPN
draft	draf	drafen	draf	PROPN;NOM;SG	N;SG
draft	draft	drafen	draft	PROPN;NOM;SG	N;SG
draft	konsep	drafen	konsep	PROPN;NOM;SG	N;SG
