les	το	le	ο	DET;DEF;PL	DET;NOM;DEF;NEUT;SG
est	ανατολή	être	ανατολή	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG
est	ανατολική	être	ανατολικός	V;IND;SG;3;PRS;FIN	ADJ;NOM;FEM;SG
est	ανατολικά	être	ανατολικά	V;IND;SG;3;PRS;FIN	ADV
est	ανατολικό	être	ανατολικός	V;IND;SG;3;PRS;FIN	ADJ;NOM;NEUT;SG
est	ιστ	être	ιστ	V;IND;SG;3;PRS;FIN	NUM;NOM;MASC;SG
une	ενα	un	ένας	DET;INDF;FEM;SG	N;NOM;NEUT;SG
une	μία	un	ένας	DET;INDF;FEM;SG	NUM;NOM;FEM;SG
une	ένα	un	ένας	DET;INDF;FEM;SG	NUM;NOM;NEUT;SG
une	μια	un	ένας	DET;INDF;FEM;SG	NUM;NOM;FEM;SG
pour	for	pour	for	ADP	
qui	ποιος	qui	ποιος	PRO	DET;NOM;DEF;MASC;SG
que	αυτό	que	αυτός	CONJ	PRO;NOM;NEUT;SG;3
que	that	que	that	CONJ	
son	ήχο	son	ήχο	DET;MASC;SG	N;ACC;MASC;SG
son	ήχος	son	ήχος	DET;MASC;SG	N;NOM;MASC;SG
son	its	son	its	DET;MASC;SG	
plus	συν	plus	συν	ADV	N
plus	plus	plus	plus	ADV	
plus	περισσότεροι	plus	πολύς	ADV	ADJ;NOM;CMPR;MASC;PL
plus	περισσότερες	plus	πολύς	ADV	ADJ;NOM;CMPR;FEM;PL
plus	περισσότερα	plus	πολύς	ADV	ADJ;NOM;CMPR;NEUT;PL
pas	όχι	pas	όχι	ADV;NEG	PART
elle	αυτή	elle	αυτός	PRO;FEM;SG;3	PRO;NOM;FEM;SG;3
elle	εκείνη	elle	εκείνος	PRO;FEM;SG;3	PRO;ACC;FEM;SG;3
elle	ελ	elle	ελ	PRO;FEM;SG;3	
été	καλοκαιρι	être	καλοκαιρι	V;MASC;SG;PST;V.PTCP	N;NOM;NEUT;SG
été	καλοκαίρι	être	καλοκαίρι	V;MASC;SG;PST;V.PTCP	N;NOM;NEUT;SG
été	σάμμερ	être	σάμμερ	V;MASC;SG;PST;V.PTCP	N
été	σάμερ	être	σάμερ	V;MASC;SG;PST;V.PTCP	
avancement	progress	avancement	progress	N;MASC;SG	
comme	όπως	comme	όπως	ADP	ADV
comme	οπως	comme	οπως	ADP	ADV
comme	like	comme	like	ADP	
comme	σαν	comme	σαν	ADP	ADV
mais	αλλα	mais	αλλα	CONJ	ADV
mais	μα	mais	μα	CONJ	ADV
