der	the	der	the	DET;NOM;DEF;MASC;SG	PROPN
die	the	der	the	DET;NOM;DEF;FEM;SG	PROPN
den	the	der	the	DET;ACC;DEF;MASC;SG	PROPN
das	ini	der	ini	PRO;NOM;NEUT;SG	DET
das	the	der	the	PRO;NOM;NEUT;SG	PROPN
das	that	der	that	PRO;NOM;NEUT;SG	PROPN
das	itu	der	itu	PRO;NOM;NEUT;SG	DET
das	bahwa	der	bahwa	PRO;NOM;NEUT;SG	CONJ
das	yang	der	yang	PRO;NOM;NEUT;SG	PRO
das	das	der	das	PRO;NOM;NEUT;SG	PROPN
des	des	der	des	DET;GEN;DEF;NEUT;SG	PROPN
mit	menggunakan	mit	mengunakan	ADP	V;SG;ACT
mit	using	mit	using	ADP	PROPN
mit	mit	mit	mit	ADP	PROPN
ein	satu	ein	satu	ADV	NUM
ein	one	ein	one	ADV	PROPN
ein	ein	ein	ein	ADV	PROPN
als	als	als	als	ADP	PROPN
dem	the	der	the	PRO;DAT;NEUT;SG	PROPN
eine	satu	ein	satu	DET;NOM;INDF;FEM;SG	NUM
eine	one	ein	one	DET;NOM;INDF;FEM;SG	PROPN
wurde	euy	werden	euy	V;IND;SG;3;PST;FIN;PASS	PROPN
wurde	was	werden	was	V;IND;SG;3;PST;FIN;PASS	PROPN
auch	even	auch	even	ADV	PROPN
auch	genap	auch	genap	ADV	
auch	bahkan	auch	bahkan	ADV	CONJ
auch	too	auch	too	ADV	PROPN
nicht	not	nicht	not	PART;NEG	PROPN
nach	sesudah	nach	sesudah	ADP	CONJ
nach	after	nach	after	ADP	PROPN
war	euy	sein	euy	V;IND;SG;3;PST;FIN	PROPN
war	was	sein	was	V;IND;SG;3;PST;FIN	PROPN
bei	bei	bei	bei	ADP	PROPN
aus	keluar	aus	keluar	ADP	V;SG;ACT
aus	out	aus	out	ADP	PROPN
sie	you	sie	you	PRO;NOM;FEM;SG;3	PROPN
sie	anda	sie	anda	PRO;NOM;FEM;SG;3	PRO;SG;2;FORM
sie	kau	sie	kau	PRO;NOM;FEM;SG;3	PRO;SG;2;INFM
sie	kamu	sie	kamu	PRO;NOM;FEM;SG;3	PRO;SG;2;INFM
sie	she	sie	she	PRO;NOM;FEM;SG;3	PROPN
sie	mereka	sie	mereka	PRO;NOM;FEM;SG;3	PRO;PL;3
cest	cest	cest	cest		PROPN
bis	ditunda	bis	ditunda	ADP	V;SG;PASS
bis	tertunda	bis	tertunda	ADP	V;SG;PASS
bis	menunggu	bis	mentunggu	ADP	V;SG;ACT
bis	pending	bis	pending	ADP	PROPN
bis	bis	bis	bis	ADP	PROPN
ich	ich	ich	ich	PRO;NOM;SG;1	PROPN
einer	satu	ein	satu	PRO;NOM;INDF;MASC;SG	NUM
einer	one	ein	one	PRO;NOM;INDF;MASC;SG	PROPN
werden	will	werden	will	V;NFIN;PASS	PROPN
werden	akan	werden	akan	V;NFIN;PASS	ADV
werden	menjadi	werden	menjadi	V;NFIN;PASS	V;SG;ACT
werden	menjadi	werden	menjadi	V;NFIN;PASS	V;SG;ACT
sind	are	sein	are	V;IND;PL;3;PRS;FIN	PROPN
oder	oder	oder	oder	CONJ	PROPN
wird	will	werden	will	V;IND;SG;3;PRS;FIN;PASS	PROPN
wird	akan	werden	akan	V;IND;SG;3;PRS;FIN;PASS	ADV
durch	thru	durch	thru	ADP	PROPN
durch	through	durch	through	ADP	PROPN
score	score	scoren	score	PROPN	PROPN
score	skor	scoren	skor	PROPN	N;SG
zur	zur	zur	zur		PROPN
einen	satu	ein	satu	PRO;ACC;INDF;MASC;SG	NUM
einen	one	ein	one	PRO;ACC;INDF;MASC;SG	PROPN
dass	that	dass	that	CONJ	PROPN
dass	itu	dass	itu	CONJ	DET
dass	yang	dass	yang	CONJ	PRO
über	ttg	über	ttg	ADP	
über	perihal	über	perihal	ADP	N
über	via	über	via	ADP	
über	over	über	over	ADP	PROPN
aber	tapi	aber	tapi	CONJ	CONJ
aber	tetapi	aber	tetapi	CONJ	CONJ
wie	bagaimana	wie	bagaimana	ADP	ADV
wie	how	wie	how	ADP	PROPN
wie	wie	wie	wie	ADP	PROPN
wie	suka	wie	suka	ADP	V;SG
wie	sukai	wie	sukai	ADP	ADJ;SG
wie	like	wie	like	ADP	PROPN
nur	only	nur	only	ADV	PROPN
nur	nur	nur	nur	ADV	PROPN
nur	cuma	nur	cuma	ADV	
noch	yet	noch	yet	ADV	PROPN
noch	nor	noch	nor	ADV	PROPN
unter	under	unter	under	ADP	PROPN
hat	telah	haben	telah	V;IND;SG;3;PRS;FIN	ADV
hat	has	haben	has	V;IND;SG;3;PRS;FIN	PROPN
hat	hat	haben	hat	V;IND;SG;3;PRS;FIN	PROPN
hat	topi	haben	topi	V;IND;SG;3;PRS;FIN	N;SG
artikel	pasal	artikel	pasal	ADJ	N;SG
artikel	artikel	artikel	artikel	ADJ	N;SG
artikel	item	artikel	item	ADJ	N
artikel	butir	artikel	butir	ADJ	PROPN;SG
artikel	barang	artikel	barang	ADJ	N;SG
artikel	artikel	artikel	artikel	ADJ	N;SG
man	pria	man	pria	PRO;NOM;INDF;SG	N;SG
man	manusia	man	manusia	PRO;NOM;INDF;SG	N;SG
man	man	man	man	PRO;NOM;INDF;SG	PROPN
vor	front	vor	front	ADP	PROPN
vor	depan	vor	depan	ADP	N;SG
vor	pre	vor	pre	ADP	PROPN
vor	pra	vor	pra	ADP	PROPN;SG
vor	prior	vor	prior	ADP	PROPN
vor	sebelumnya	vor	sebelumnya	ADP	ADV
vor	before	vor	before	ADP	PROPN
wurden	were	werden	were	V;IND;PL;3;PST;FIN;PASS	PROPN
sein	his	sein	his	DET;NOM;MASC;SG	PROPN
sein	nya	sein	nya	DET;NOM;MASC;SG	PRO
sein	sein	sein	sein	DET;NOM;MASC;SG	PROPN
diese	ini	dies	ini	PRO;NOM;FEM;SG	DET
vom	dari	vom	dari		ADP
kann	may	können	may	V;IND;SG;3;PRS;FIN	PROPN
kann	mei	können	mei	V;IND;SG;3;PRS;FIN	PROPN;SG
kann	dapat	können	dapat	V;IND;SG;3;PRS;FIN	ADV;SG;ACT
kann	can	können	can	V;IND;SG;3;PRS;FIN	PROPN
kann	bisa	können	bisa	V;IND;SG;3;PRS;FIN	ADV
hier	disini	hier	disini	ADV	PROPN;SG;PASS
hier	here	hier	here	ADV	PROPN
hier	sini	hier	sini	ADV	ADP;SG
seine	his	sein	his	DET;NOM;FEM;SG	PROPN
