και	और	και	और	CONJ	
από	से	από	से	ADP	
από	इससे	από	यह	ADP	PRO;SG;3
με	साथ	με	साथ	ADP	ADV;NOM;MASC;SG;3
που	जिससे	που	जो	PRO;ACC;NEUT;SG;3	PRO;SG;3
για	लिये	για	ले	ADP	V;PFV;MASC;SG;V.PTCP;ACT
τους	उनसे	μου	वह	PRO;GEN;MASC;PL;3	PRO;SG;3;FORM
τους	उनके	μου	वह	PRO;GEN;MASC;PL;3	PRO;MASC;SG;3;FORM
τους	उनको	μου	वह	PRO;GEN;MASC;PL;3	PRO;SG;3;FORM
τους	उन्हें	μου	वह	PRO;GEN;MASC;PL;3	PRO;SG;3;FORM
ήταν	था	είμαι	था	V;IPFV;IND;SG;3;PST;FIN;PASS	V;MASC;IND;SG;PST;FIN;ACT
ήταν	थी	είμαι	था	V;IPFV;IND;SG;3;PST;FIN;PASS	V;FEM;IND;SG;PST;FIN;ACT
ότι	उस	ότι	वह	CONJ	DET;ACC;SG;3
ότι	कि	ότι	कि	CONJ	
έχει	रै	έχω	रै	V;IPFV;IND;SG;3;PRS;FIN;ACT	
θα	करेंगे	θα	कर	PART	V;MASC;IND;PL;3;FUT;FIN;ACT
θα	होगी	θα	हो	PART	V;FEM;IND;SG;3;FUT;FIN;ACT
θα	करेगा	θα	कर	PART	V;MASC;IND;SG;3;FUT;FIN;ACT
θα	करेगी	θα	कर	PART	V;FEM;IND;SG;3;FUT;FIN;ACT
θα	होगा	θα	हो	PART	V;MASC;IND;SG;3;FUT;FIN;ACT
αλλά	परन्तु	αλλά	परन्तु	CONJ	
αλλά	लेकीन	αλλά	लेकीन	CONJ	
αλλά	लकिन	αλλά	लकिन	CONJ	
μετά	तब	μετά	तब	ADV	PRO;NOM
επίσης	भी	επίσης	भी	ADV	PART
όπως	like	όπως	like	ADV	
όπως	जैसे	όπως	जैसे	ADV	CONJ
είχε	था	έχω	था	V;IPFV;IND;SG;3;PST;FIN;ACT	V;MASC;IND;SG;PST;FIN;ACT
ενώ	जबकी	ενώ	जबकी	CONJ	
ενώ	जबकि	ενώ	जबकि	CONJ	CONJ
αυτό	ये	αυτός	यह	PRO;NOM;NEUT;SG;3	PRO;NOM;PL;3
αυτό	यह	αυτός	यह	PRO;NOM;NEUT;SG;3	PRO;NOM;SG;3
αυτό	इस	αυτός	यह	PRO;NOM;NEUT;SG;3	DET;ACC;SG;3
αυτό	उस	αυτός	वह	PRO;NOM;NEUT;SG;3	DET;ACC;SG;3
αυτό	कि	αυτός	कि	PRO;NOM;NEUT;SG;3	
αυτή	वो	αυτός	वह	PRO;NOM;FEM;SG;3	
όπου	कहाँ	όπου	कहाँ	ADV	PRO
όπου	कहां	όπου	कहाँ	ADV	
όπου	जहां	όπου	जहाँ	ADV	PRO;NOM
όπου	जहाँ	όπου	जहाँ	ADV	PRO;NOM
όταν	कब	όταν	कब	CONJ	PRO
όταν	जब	όταν	जब	CONJ	PRO;NOM
μέχρι	तक	μέχρι	तक	ADP	CONJ
μέχρι	जबतक	μέχρι	जबतक	ADP	
ομάδα	दस्ता	ομάδα	दस्ता	N;ACC;FEM;SG	N;NOM;MASC;SG;3
ομάδα	दस्ते	ομάδα	दस्ता	N;ACC;FEM;SG	N;NOM;MASC;SG;3
ομάδα	स्क्वाड	ομάδα	स्क्वाड	N;ACC;FEM;SG	N;NOM;MASC;SG;3
ομάδα	ग्रुप	ομάδα	ग्रुप	N;ACC;FEM;SG	N;NOM;MASC;SG;3
ομάδα	समूह	ομάδα	समूह	N;ACC;FEM;SG	N;NOM;MASC;SG;3
ομάδα	टीम	ομάδα	टीम	N;ACC;FEM;SG	N;NOM;FEM;SG;3
ομάδα	टोली	ομάδα	टोली	N;ACC;FEM;SG	N;NOM;FEM;SG;3
θέση	पद	θέση	पद	N;ACC;FEM;SG	N;NOM;MASC;SG;3
θέση	स्थिति	θέση	स्थिति	N;ACC;FEM;SG	N;NOM;FEM;SG;3
χρόνια	दीर्घकालिक	χρόνος	दीर्घकालिक	N;NOM;NEUT;PL	ADJ;NOM
χρόνια	वर्ष	χρόνος	वर्ष	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
χρόνια	साल	χρόνος	साल	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
χρόνια	सालो	χρόνος	सालो	N;NOM;NEUT;PL	
πρώτη	प्रथम	πρώτος	प्रथम	NUM;NOM;FEM;SG	ADJ
πρώτη	पहली	πρώτος	पहला	NUM;NOM;FEM;SG	ADJ;NOM;FEM;SG
πρώτη	पहले	πρώτος	पहले	NUM;NOM;FEM;SG	ADV;NOM;MASC;SG;3
πρώτη	पहला	πρώτος	पहला	NUM;NOM;FEM;SG	ADJ;NOM;MASC;SG
πιο	ज्यादा	πιο	ज्यादा	ADV	DET
πιο	आदि	πιο	आदि	ADV	PART
πιο	अधिक	πιο	अधिक	ADV	DET
