جاپا	entrega	جاپا	entrega	PROPN;NOM;MASC;SG;3	N
جات	clase	جات	clase		N
جات	da	جات	da		V
جات	última	جات	último		ADJ
جات	unha	جات	un		DET
جات	como	جات	como		PRO
جات	de	جات	de		ADP
جات	tipo	جات	tipo		N
جات	especie	جات	especie		N
جات	familia	جات	familia		N
جات	familiar	جات	familiar		ADJ
جات	natureza	جات	natureza		N
جات	da	جات	da		V
جات	a	جات	o		DET
جات	fillo	جات	fillo		N
جات	nacín	جات	nacín		V
جات	naceu	جات	nacer		V
جات	nacer	جات	nacer		V
جات	naciches	جات	naciches		V
جات	nacen	جات	nacer		V
جات	clan	جات	clan		PROPN
جات	do	جات	do		PROPN
جات	dos	جات	dos		PROPN
جات	clans	جات	clan		N
جاتا	marchou	جا	marchar	V;IPFV;MASC;SG;V.PTCP	V
جاتا	vou	جا	var	V;IPFV;MASC;SG;V.PTCP	V
جاتا	vai	جا	ir	V;IPFV;MASC;SG;V.PTCP	V
جاتا	imos	جا	ir	V;IPFV;MASC;SG;V.PTCP	V
جاتا	vas	جا	ir	V;IPFV;MASC;SG;V.PTCP	V
جاتک	a	جاتک	o	PROPN;NOM;MASC;SG;3	DET
جاتک	luz	جاتک	luz	PROPN;NOM;MASC;SG;3	N
جاتک	nacemento	جاتک	nacemento	PROPN;NOM;MASC;SG;3	N
جاتک	orixe	جاتک	orixe	PROPN;NOM;MASC;SG;3	N
جاتک	de	جاتک	de	PROPN;NOM;MASC;SG;3	ADP
جاتی	vou	جا	var	V;IPFV;FEM;SG;V.PTCP	V
جاتی	vai	جا	ir	V;IPFV;FEM;SG;V.PTCP	V
جاتی	imos	جا	ir	V;IPFV;FEM;SG;V.PTCP	V
جاتی	vas	جا	ir	V;IPFV;FEM;SG;V.PTCP	V
جاتی	carreira	جا	carreira	V;IPFV;FEM;SG;V.PTCP	N
جاتی	raza	جا	raza	V;IPFV;FEM;SG;V.PTCP	N
جاتی	a	جا	o	V;IPFV;FEM;SG;V.PTCP	DET
جاتی	internacional	جا	internacional	V;IPFV;FEM;SG;V.PTCP	ADJ
جاتی	comunidade	جا	comunidade	V;IPFV;FEM;SG;V.PTCP	N
جاٹ	forte	جاٹ	forte	PROPN;NOM;MASC;SG;3	ADJ
جاٹ	fortes	جاٹ	forte	PROPN;NOM;MASC;SG;3	ADJ
جاچِت	pregunteille	جاچِت	pregunteille	PROPN;NOM;MASC;SG;3	ADJ
جاچِت	preguntou	جاچِت	preguntar	PROPN;NOM;MASC;SG;3	V
جاچِت	lle	جاچِت	lle	PROPN;NOM;MASC;SG;3	PRO
