から	від	から	від	CONJ	ADP;GEN
日本	японія	日本	японія	PROPN	PROPN;INAN;NOM;FEM;SG
日本	японію	日本	японія	PROPN	PROPN;INAN;ACC;FEM;SG
日本	японії	日本	японія	PROPN	PROPN;INAN;GEN;FEM;SG
日本	nippon	日本	nippon	PROPN	
まで	доки	まで	доки	ADP	ADV
まで	поки	まで	поки	ADP	ADV
まで	доки	まで	доки	ADP	ADV
まで	till	まで	till	ADP	
まで	поки	まで	поки	ADP	ADV
また	також	また	також	CONJ	ADV
昭和	сьова	昭和	сьово	PART	
もの	things	もの	things	N	
大学	внз	大学	внз	N	
放送	трансляція	放送	трансляція	V	N;INAN;NOM;FEM;SG
放送	ефіри	放送	ефір	V	N;INAN;NOM;MASC;PL
放送	трансляція	放送	трансляція	V	N;INAN;NOM;FEM;SG
東京	токіо	東京	токіо	PROPN	PROPN;INAN;NOM;NEUT;SG
東京	tokyo	東京	tokyo	PROPN	
削除	вилучені	削除	вилучений	V	ADJ;PFV;NOM;PL;V.PTCP;PASS
削除	вилучення	削除	вилучення	V	N;INAN;NOM;NEUT;SG
削除	видалення	削除	видалення	V	N;INAN;NOM;NEUT;SG
削除	вилучення	削除	вилучення	V	N;INAN;NOM;NEUT;SG
削除	вилучення	削除	вилучення	V	N;INAN;NOM;NEUT;SG
現在	поточні	現在	поточний	N	ADJ;NOM;PL
現在	поточний	現在	поточний	N	ADJ;NOM;MASC;SG
現在	поточна	現在	поточний	N	ADJ;NOM;FEM;SG
現在	зараз	現在	зараз	N	ADV
現在	наразі	現在	наразі	N	ADV
現在	теперішній	現在	теперішній	N	ADJ;DAT;FEM;SG
現在	присутні	現在	присутній	N	ADJ;NOM;PL
現在	присутня	現在	присутня	N	ADJ;NOM;FEM;SG
これ	цей	これ	цей	PRO	DET;NOM;MASC;SG
これ	ця	これ	цей	PRO	DET;NOM;FEM;SG
世界	світовий	世界	світовий	N	ADJ;NOM;MASC;SG
世界	world	世界	world	N	
アメリカ	америка	アメリカ	америка	PROPN	PROPN;INAN;NOM;FEM;SG
について	приблизно	について	приблизно	ADP	ADV
について	інфо	について	інфо	ADP	
作品	працює	作品	працювати	N	V;IPFV;IND;SG;3;PRS;FIN
映画	cinema	映画	cinema	N	
映画	знімали	映画	знімати	N	V;IPFV;IND;PL;PST;FIN
鉄道	залізнична	鉄道	залізничний	N	ADJ;NOM;FEM;SG
使用	користування	使用	користування	V	N;INAN;NOM;NEUT;SG
使用	використання	使用	використання	V	N;INAN;NOM;NEUT;SG
出演	виступи	出演	виступ	V	N;INAN;NOM;MASC;PL
出演	вигляд	出演	вигляд	V	N;INAN;NOM;MASC;SG
明治	мейдзі	明治	мейдзі	N	PROPN;INAN;NOM;FEM;SG
開始	початок	開始	початок	V	N;INAN;NOM;MASC;SG
開始	старт	開始	старт	V	N;INAN;NOM;MASC;SG
開始	початок	開始	початок	V	N;INAN;NOM;MASC;SG
開始	вступної	開始	вступний	V	ADJ;GEN;FEM;SG
のみ	лише	のみ	лише	ADP	PART
のみ	тільки	のみ	тільки	ADP	PART
活動	заняття	活動	заняття	V	N;INAN;NOM;NEUT;PL
活動	діяльності	活動	діяльність	V	N;INAN;GEN;FEM;SG
活動	діяльність	活動	діяльність	V	N;INAN;NOM;FEM;SG
研究	студій	研究	студія	V	N;INAN;GEN;FEM;PL
研究	дослідження	研究	дослідження	V	N;INAN;NOM;NEUT;SG
研究	дослідження	研究	дослідження	V	N;INAN;NOM;NEUT;SG
研究	research	研究	research	V	
会話	спілкування	会話	спілкування	V	N;INAN;NOM;NEUT;SG
会話	розмови	会話	розмова	V	N;INAN;NOM;FEM;PL
会話	розмова	会話	розмова	V	N;INAN;NOM;FEM;SG
会話	бесіда	会話	бесіда	V	N;INAN;NOM;FEM;SG
会話	розмови	会話	розмова	V	N;INAN;NOM;FEM;PL
会話	бесіди	会話	бесіда	V	N;INAN;NOM;FEM;PL
大阪	осака	大阪	осак	PROPN	PROPN;INAN;NOM;FEM;SG
存在	існування	存在	існування	V	N;INAN;NOM;NEUT;SG
優勝	виграш	優勝	виграти	V	N;INAN;NOM;MASC;SG
国際	міжнародний	国際	міжнародний	N	ADJ;NOM;MASC;SG
国際	міжнародна	国際	міжнародний	N	ADJ;NOM;FEM;SG
国際	міжнародні	国際	міжнародний	N	ADJ;NOM;PL
国際	міжнародне	国際	міжнародний	N	ADJ;NOM;NEUT;SG
一部	дехто	一部	дехто	N	PRO;ANIM;NOM
一部	деякі	一部	деякий	N	DET;NOM;PL
一部	якесь	一部	якийсь	N	DET;NOM;NEUT;SG
一部	якийсь	一部	якийсь	N	DET;NOM;MASC;SG
一部	трохи	一部	трохи	N	ADV
一部	частково	一部	частково	N	ADV
バス	шини	バス	шина	PROPN	N;INAN;NOM;FEM;PL
バス	бус	バス	бути	PROPN	
バス	шина	バス	шина	PROPN	N;INAN;NOM;FEM;SG
バス	автобус	バス	автобус	PROPN	N;INAN;NOM;MASC;SG
バス	бас	バス	бас	PROPN	PROPN;ANIM;NOM;MASC;SG
バス	басс	バス	басс	PROPN	
バス	автобуси	バス	автобус	PROPN	N;INAN;NOM;MASC;PL
ゲーム	ігор	ゲーム	гра	N	PROPN;ANIM;NOM;FEM;SG
ゲーム	games	ゲーム	games	N	
リーグ	льє	リーグ	льєти	N	
開発	розвитку	開発	розвиток	V	N;INAN;GEN;MASC;SG
開発	розвиток	開発	розвиток	V	N;INAN;NOM;MASC;SG
開発	розробка	開発	розробка	V	N;INAN;NOM;FEM;SG
事業	ділова	事業	ділово	N	ADJ;NOM;FEM;SG
事業	business	事業	business	N	
事業	діловий	事業	діловий	N	ADJ;NOM;MASC;SG
決定	рішенням	決定	рішення	V	N;INAN;INS;NEUT;SG
決定	рішення	決定	рішення	V	N;INAN;NOM;NEUT;SG
決定	рішення	決定	рішення	V	N;INAN;NOM;NEUT;SG
決定	рішень	決定	рішення	V	N;INAN;GEN;NEUT;PL
転送	вперед	転送	вперед	V	
転送	пересилання	転送	пересилання	V	N;INAN;NOM;NEUT;SG
転送	трансфер	転送	трансфер	V	N;INAN;NOM;MASC;SG
転送	перенесення	転送	перенесення	V	N;INAN;NOM;NEUT;SG
転送	перенесення	転送	перенесення	V	N;INAN;NOM;NEUT;SG
転送	передачу	転送	передача	V	N;INAN;ACC;FEM;SG
転送	передачі	転送	передача	V	N;INAN;NOM;FEM;PL
転送	передач	転送	передач	V	N;INAN;GEN;FEM;PL
転送	перенесення	転送	перенесення	V	N;INAN;NOM;NEUT;SG
情報	info	情報	info	N	
公式	формула	公式	формула	ADJ	N;INAN;NOM;FEM;SG
参加	приєднання	参加	приєднання	V	N;INAN;NOM;NEUT;SG
参加	участі	参加	участь	V	N;INAN;ACC;FEM;PL
参加	участь	参加	участь	V	N;INAN;ACC;FEM;SG
変更	зміни	変更	зміна	V	N;INAN;NOM;FEM;PL
変更	зміна	変更	зміна	V	N;INAN;NOM;FEM;SG
変更	зміна	変更	зміна	V	N;INAN;NOM;FEM;SG
変更	change	変更	change	V	
編曲	організувала	編曲	організувати	N	V;PFV;FEM;IND;SG;PST;FIN
編曲	організували	編曲	організувати	N	V;PFV;IND;PL;PST;FIN
編曲	домовились	編曲	домовитися	N	V;PFV;IND;PL;PST;FIN
サイト	юнеско	サイト	юнеско	N	
記録	запис	記録	запис	V	N;INAN;NOM;MASC;SG
記録	рекорд	記録	рекорд	V	N;INAN;NOM;MASC;SG
記録	запис	記録	запис	V	N;INAN;NOM;MASC;SG
クラブ	club	クラブ	club	N	
中央	central	中央	central	N	
中央	центральний	中央	центральний	N	ADJ;NOM;MASC;SG
中央	центральна	中央	центральний	N	ADJ;NOM;FEM;SG
同じ	збігається	同じ	збігатися	ADJ	V;IPFV;IND;SG;3;PRS;FIN
同じ	same	同じ	same	ADJ	
同じ	самий	同じ	самий	ADJ	DET;NOM;MASC;SG;REFL
設立	подальшому	設立	подальший	V	ADJ;DAT;MASC;SG
設立	заснований	設立	заснований	V	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
設立	інкорпорація	設立	інкорпорація	V	N;INAN;NOM;FEM;SG
設立	заклад	設立	заклад	V	N;INAN;NOM;MASC;SG
考え	роздуми	考える	роздум	V	N;INAN;NOM;MASC;PL
考え	мислення	考える	мислення	V	N;INAN;NOM;NEUT;SG
考え	думки	考える	думка	V	N;INAN;NOM;FEM;PL
教育	education	教育	education	N	
プロ	pro	プロ	pro	N	
プロ	профі	プロ	профа	N	
設置	встановлення	設置	встановлення	V	N;INAN;NOM;NEUT;SG
発表	оголошення	発表	оголошення	V	N;INAN;NOM;NEUT;SG
発表	анонс	発表	анонс	V	N;INAN;NOM;MASC;SG
小学校	елементарні	小学校	елементарний	N	ADJ;NOM;PL
小学校	початковій	小学校	початковий	N	ADJ;DAT;FEM;SG
編集	edit	編集	edit	V	
編集	правка	編集	правка	V	N;INAN;NOM;FEM;SG
編集	edits	編集	edits	V	
編集	редагування	編集	редагування	V	N;INAN;NOM;NEUT;SG
編集	монтаж	編集	монтаж	V	N;INAN;NOM;MASC;SG
編集	зміна	編集	зміна	V	N;INAN;NOM;FEM;SG
シーズン	season	シーズン	season	N	
フランス	франції	フランス	франція	PROPN	PROPN;INAN;GEN;FEM;SG
フランス	франція	フランス	франція	PROPN	PROPN;INAN;NOM;FEM;SG
フランス	францію	フランス	франція	PROPN	N;INAN;ACC;FEM;SG
都市	міст	都市	місто	N	
出版	видавець	出版	видавець	V	N;ANIM;NOM;MASC;SG
出版	видавництво	出版	видавництво	V	N;INAN;NOM;NEUT;SG
出版	оприлюднення	出版	оприлюднення	V	N;INAN;NOM;NEUT;SG
出版	публікацією	出版	публікація	V	N;INAN;INS;FEM;SG
出版	публікація	出版	публікація	V	N;INAN;NOM;FEM;SG
出版	публікування	出版	публікування	V	N;INAN;NOM;NEUT;SG
出版	публікацію	出版	публікація	V	N;INAN;ACC;FEM;SG
出版	публікація	出版	публікація	V	N;INAN;NOM;FEM;SG
世紀	century	世紀	century	N	
ノート	зауважте	ノート	зауважтий	N	V;PFV;IMP;PL;2;FIN
ノート	примітка	ノート	примітка	N	ADV
京都	кіото	京都	кіото	PROPN	PROPN;INAN;NOM;NEUT;SG
ドイツ	німеччини	ドイツ	німеччина	PROPN	PROPN;INAN;GEN;FEM;SG
ドイツ	німеччині	ドイツ	німеччина	PROPN	PROPN;INAN;DAT;FEM;SG
ドイツ	німеччина	ドイツ	німеччина	PROPN	PROPN;INAN;NOM;FEM;SG
ドイツ	німеччину	ドイツ	німеччина	PROPN	PROPN;INAN;ACC;FEM;SG
シングル	окремі	シングル	окремий	N	ADJ;NOM;PL
シングル	single	シングル	single	N	
シングル	самотній	シングル	самотній	N	ADJ;NOM;MASC;SG
終了	вихід	終了	вихід	V	N;INAN;NOM;MASC;SG
終了	фініш	終了	фініш	V	N;INAN;NOM;MASC;SG
終了	кінець	終了	кінець	V	N;INAN;NOM;MASC;SG
終了	закінчення	終了	закінчення	V	N;INAN;NOM;NEUT;SG
終了	завершені	終了	завершений	V	ADJ;PFV;NOM;PL;V.PTCP;PASS
終了	вихід	終了	вихід	V	N;INAN;NOM;MASC;SG
終了	виходу	終了	вихід	V	N;INAN;GEN;MASC;SG
