من	ποιος	مِن	ποιος	ADP	DET;NOM;DEF;MASC;SG
تصنيف	βαθμολογία	تَصنِيف	βαθμολογία	N;NOM;INDF;SG	N;ACC;FEM;SG
تصنيف	ταξινόμηση	تَصنِيف	ταξινόμηση	N;NOM;INDF;SG	N;ACC;FEM;SG
تصنيف	κατάταξη	تَصنِيف	κατάταξη	N;NOM;INDF;SG	N;ACC;FEM;SG
عن	περίπου	عَن	περίπου	ADP	ADV
عام	έτος	عَام	έτος	N;NOM;INDF;SG	N;ACC;NEUT;SG
عام	χρονιά	عَام	χρονιά	N;NOM;INDF;SG	N;ACC;FEM;SG
عام	δημόσιες	عَام	δημόσιος	N;NOM;INDF;SG	ADJ;NOM;FEM;PL
عام	δημόσια	عَام	δημόσιος	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
عام	δημόσιος	عَام	δημόσιος	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
عام	γενική	عَام	γενικός	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
عام	γενικές	عَام	γενικός	N;NOM;INDF;SG	ADJ;NOM;FEM;PL
عام	γενικά	عَام	γενικά	N;NOM;INDF;SG	ADV
عام	γενικό	عَام	γενικός	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
بن	μπιν	بِن	μπιν	PROPN	
بن	μπεν	بِن	μπεν	PROPN	
بن	ben	بِن	ben	PROPN	
بن	μπέν	بِن	μπέν	PROPN	
المنطقة	έκταση	مِنطَقَة	έκταση	N;NOM;DEF;SG	N;ACC;FEM;SG
هو	αυτόν	هُوَ	αυτός	PRO;NOM;MASC;SG;3	PRO;ACC;MASC;SG;3
هي	αυτή	هُوَ	αυτός	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
هي	εκείνη	هُوَ	εκείνος	PRO;NOM;FEM;SG;3	PRO;ACC;FEM;SG;3
سنة	έτος	سَنَة	έτος	N;NOM;INDF;SG	N;ACC;NEUT;SG
سنة	χρονιά	سَنَة	χρονιά	N;NOM;INDF;SG	N;ACC;FEM;SG
كان	ήταν	كَان	είμαι	V;PFV;MASC;SG;3;ACT	V;IPFV;IND;SG;3;PST;FIN;PASS
اختياري	προαιρετικά	اِختِيَارِيّ	προαιρετικά	ADJ;NOM;INDF;MASC;SG	ADV
اختياري	προαιρετικές	اِختِيَارِيّ	προαιρετικός	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;FEM;PL
هذه	αυτο	هٰذَا	αυτός	DET;NOM;FEM;SG	PRO;NOM;NEUT;SG;3
هذه	αυτό	هٰذَا	αυτός	DET;NOM;FEM;SG	PRO;NOM;NEUT;SG;3
هذه	αυτά	هٰذَا	αυτός	DET;NOM;FEM;SG	PRO;NOM;NEUT;PL;3
