izumil	erfindung	izumiti	erfindung	V;PFV;MASC;SG;V.PTCP	N;FEM;SG
navidezno	angeblich	navidezen	angeblich	ADV	ADJ
navidezno	scheinbar	navidezen	scheinbar	ADV	ADJ
navidezno	scheinbar	navidezen	scheinbar	ADV	ADJ
navidezno	virtuellen	navidezen	virtuell	ADV	ADJ
navidezno	virtuell	navidezen	virtuell	ADV	ADJ
navidezno	virtueller	navidezen	virtuell	ADV	ADJ
navidezno	virtuelle	navidezen	virtuell	ADV	ADJ;NOM;FEM;PL
navidezno	virtuelles	navidezen	virtuell	ADV	ADJ;NOM;NEUT;SG
philipp	philipp	philipp	philipp	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
zaviralci	hemmer	zaviralec	hemmer	N;NOM;MASC;PL	PROPN;NOM;SG
zaviralci	inhibitor	zaviralec	inhibitor	N;NOM;MASC;PL	
meyer	meyer	meyero	meyer		PROPN;NOM;MASC;SG
phil	phil	phiti	phil		PROPN;NOM;MASC;SG
kombinacijo	kombi	kombinacija	kombi	N;ACC;FEM;SG	
kombinacijo	kombinationen	kombinacija	kombination	N;ACC;FEM;SG	N;NOM;FEM;PL
miro	myrrhe	mira	myrrhe	N;NOM;MASC;SG	
miro	miro	mira	miro	N;NOM;MASC;SG	PROPN;NOM;SG
miro	mira	mira	mira	N;NOM;MASC;SG	PROPN;NOM;SG
sobi	raum	soba	raum	N;NOM;FEM;DU	ADV
sobi	hotelzimmer	soba	hotelzimmer	N;NOM;FEM;DU	
konji	pferde	konj	pferd	N;NOM;MASC;PL	
konji	pferd	konj	pferd	N;NOM;MASC;PL	
konji	pferden	konj	pferden	N;NOM;MASC;PL	V;NFIN
ustvarjalci	schöpfer	ustvarjalec	schöpfer	N;NOM;MASC;PL	
sep	sps	sep	sps		PROPN;NOM;SG
jovanović	jovanović	jovanović	jovanović	PROPN;NOM;MASC;SG	PROPN;NOM;SG
sato	sato	sato	sato	PROPN;NOM;MASC;SG	
krili	schwingen	krilo	schwingen	N;NOM;MASC;PL	V;NFIN
krili	flügel	krilo	flügeln	N;NOM;MASC;PL	ADJ
krili	wings	krilo	wings	N;NOM;MASC;PL	PROPN;NOM;SG
krili	flügeln	krilo	flügeln	N;NOM;MASC;PL	
princip	grundsatz	princip	grundsatz	N;NOM;MASC;SG	ADV
princip	prinzip	princip	prinzip	N;NOM;MASC;SG	ADJ
zmerno	gemäßigten	zmerno	gemäßigt	ADV	V;IND;PL;3;PST;FIN
zmerno	gemäßigte	zmerno	gemäßigt	ADV	ADJ;NOM;SG
zmerno	gemäßigt	zmerno	päßigen	ADV	ADJ;V.PTCP
zmerno	mäßig	zmerno	mäßig	ADV	ADJ
zmerno	mäßiger	zmerno	mäßiger	ADV	ADJ
zmerno	mäßige	zmerno	mäßig	ADV	ADJ;NOM;FEM;PL
zmerno	moderat	zmerno	moderat	ADV	ADJ
zmerno	moderate	zmerno	moderat	ADV	ADJ;NOM;FEM;PL
zmerno	gemäßigt	zmerno	päßigen	ADV	ADJ;V.PTCP
zmerno	mäßig	zmerno	mäßig	ADV	ADJ
zmerno	gemäßigt	zmerno	päßigen	ADV	ADJ;V.PTCP
zmerno	mittelmäßig	zmerno	mittelmäßig	ADV	ADJ
zmerno	moderat	zmerno	moderat	ADV	ADJ
graben	graben	graben	graben	N;NOM;MASC;SG	V;NFIN
davek	steuer	davek	steuer	N;NOM;MASC;SG	
davek	steuern	davek	steuern	N;NOM;MASC;SG	V;NFIN
davek	steuersatz	davek	steuersatz	N;NOM;MASC;SG	ADJ
kipa	kip	kipa	kip	N;NOM;MASC;SG	
diagram	diagramm	diagram	diagramm	N;NOM;MASC;SG	
diagram	abbildung	diagram	abbildung	N;NOM;MASC;SG	
diagram	skizze	diagram	skizz	N;NOM;MASC;SG	
stevens	stevens	stevens	stevens	PROPN;NOM;MASC;SG	PROPN;NOM;SG
jon	jon	jon	jon	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
pozitivna	positive	pozitiven	positiv	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
himna	hymne	himen	hymnen	N;NOM;FEM;SG	
himna	hymne	himen	hymnen	N;NOM;FEM;SG	
himna	nationalhymne	himen	nationalhymne	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
zaveze	zusagen	zaveza	zusagen	N;NOM;FEM;PL	ADV
zaveze	verpflichtungen	zaveza	verpflichtung	N;NOM;FEM;PL	V;NFIN
zaveze	verpflichtung	zaveza	verpflichtung	N;NOM;FEM;PL	V;IND;SG;3;PRS;FIN
tisk	pressemitteilungen	tisk	pressemitteilungen	N;NOM;MASC;SG	N;NOM;FEM;PL
tisk	presse	tisk	presse	N;NOM;MASC;SG	
tisk	press	tisk	press	N;NOM;MASC;SG	PROPN
tisk	drücken	tisk	drücken	N;NOM;MASC;SG	V;NFIN
tisk	druckereien	tisk	druckereien	N;NOM;MASC;SG	N;NOM;FEM;PL
tisk	druckmaschinen	tisk	druckmaschinen	N;NOM;MASC;SG	V;NFIN
tisk	drucken	tisk	drucken	N;NOM;MASC;SG	V;NFIN
tisk	druck	tisk	druck	N;NOM;MASC;SG	ADV
tisk	druckerei	tisk	druckerei	N;NOM;MASC;SG	
panzer	panzer	panzer	panzer	N;NOM;MASC;SG	ADJ
gorovje	berge	gorovje	bergen	N;NOM;NEUT;SG	
gorovje	bergwelt	gorovje	bergwelen	N;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
meščani	städter	meščan	stadt	N;NOM;MASC;PL	
meščani	bürger	meščan	bürger	N;NOM;MASC;PL	
jackie	jackie	jackie	jackie	PROPN;NOM;MASC;SG	PROPN;NOM;SG
opeke	ziegel	opeka	ziegel	N;NOM;FEM;PL	
režim	regelung	režim	Regelung	N;NOM;MASC;SG	ADJ
režim	regime	režim	regim	N;NOM;MASC;SG	
delavca	arbeitnehmer	delavec	arbeitnehmer	N;ANIM;ACC;MASC;SG	ADJ
delavca	arbeiter	delavec	arbeiter	N;ANIM;ACC;MASC;SG	
razdeljeno	geteilte	razdeljen	geteilt	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;NOM;FEM;PL
razdeljeno	aufgeteilt	razdeljen	aufteilen	ADJ;NOM;NEUT;SG;V.PTCP	V;V.PTCP
