med	med	med	med	ADP	N;NOM;MASC;SG
som	koje	som	koji	CONJ	DET;NOM;FEM;SG
som	koja	som	koji	CONJ	DET;NOM;FEM;SG
som	koji	som	koji	CONJ	DET;NOM;MASC;SG
runt	okrugli	runt	okrugao	ADV	ADJ;NOM;DEF;MASC;SG
runt	okruglo	runt	okrugao	ADV	ADJ;NOM;NEUT;SG
runt	okrugla	runt	okrugao	ADV	ADJ;NOM;DEF;FEM;SG
runt	runda	runt	rund	ADV	N;NOM;FEM;SG
månaden	mjesečno	månad	mjesečno	N;NOM;DEF;MASC+FEM;SG	ADV
månaden	mjesečni	månad	mjesečni	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
ligger	lazi	ligga	laziti	V;IND;PRS;FIN;ACT	N;NOM;FEM;PL
ligger	laži	ligga	laž	V;IND;PRS;FIN;ACT	N;NOM;FEM;PL
ligger	smješten	ligga	smjestiti	V;IND;PRS;FIN;ACT	ADJ;NOM;MASC;SG;V.PTCP;PASS
ingår	uključeno	ingå	uključiti	V;IND;PRS;FIN;ACT	ADJ;NOM;NEUT;SG;V.PTCP;PASS
ingår	uključen	ingå	uključiti	V;IND;PRS;FIN;ACT	ADJ;NOM;MASC;SG;V.PTCP
att	to	att	taj	PART	DET;NOM;NEUT;SG
familjen	obitelji	familj	obitelj	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;PL
inga	nijedan	ingen	nijedan	PRO;INDF;PL	ADJ;NOM;INDF;MASC;SG
inga	nijedna	ingen	nijedan	PRO;INDF;PL	ADJ;NOM;DEF;FEM;SG
inga	inga	ingen	ing	PRO;INDF;PL	PROPN;NOM;MASC;SG
delen	dijelom	del	dio	N;NOM;DEF;MASC+FEM;SG	N;INS;MASC;SG
underarter	podvrsta	underart	podvrst	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;SG
life	life	life	life	N;NOM;INDF;MASC+FEM;SG	ADP
listade	naveden	lisa	navesti	ADJ;NOM;PL;PST;V.PTCP	ADJ;NOM;MASC;SG;V.PTCP;PASS
listade	navedena	lisa	navesti	ADJ;NOM;PL;PST;V.PTCP	ADJ;NOM;DEF;FEM;SG;V.PTCP
meter	metar	meter	metar	N;NOM;INDF;MASC+FEM;PL	N;NOM;MASC;SG
meter	metara	meter	metar	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
meter	metar	meter	metar	N;NOM;INDF;MASC+FEM;PL	N;NOM;MASC;SG
meter	jardi	meter	jarda	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;SG
huvudstaden	capitol	huvudstad	capitol	N;NOM;DEF;MASC+FEM;SG	ADP
huvudstaden	kapitala	huvudstad	kapital	N;NOM;DEF;MASC+FEM;SG	N;GEN;MASC;SG
havet	morem	hav	more	N;NOM;DEF;NEUT;SG	N;INS;NEUT;SG
havet	moru	hav	more	N;NOM;DEF;NEUT;SG	N;DAT;NEUT;SG
kallaste	najhladnijih	kalla	mladan	ADJ;NOM;DEF;RL	ADJ;GEN;DEF;RL;MASC;PL
invånare	stanovnika	invånare	stanovnik	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
invånare	građanima	invånare	građanin	N;NOM;INDF;MASC+FEM;PL	N;DAT;MASC;PL
januari	siječnja	januari	siječanj	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
millimeter	milimetar	millimet	milimetar	N;NOM;INDF;MASC+FEM;PL	N;NOM;MASC;SG
millimeter	milimetara	millimet	milimetar	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
millimeter	milimetara	millimet	milimetar	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
genomsnitt	prosječan	genomsnitt	prosječan	N;NOM;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
genomsnitt	prosječno	genomsnitt	prosječno	N;NOM;INDF;NEUT;SG	ADV
genomsnitt	prosječni	genomsnitt	prosječni	N;NOM;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
genomsnitt	prosječna	genomsnitt	prosječan	N;NOM;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;SG
genomsnitt	prosjeka	genomsnitt	prosjek	N;NOM;INDF;NEUT;SG	N;GEN;MASC;SG
genomsnittlig	prosječno	genomsnittlig	prosječno	ADJ;NOM;INDF;MASC+FEM;SG	ADV
genomsnittlig	prosjek	genomsnittlig	prosjek	ADJ;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG
genomsnittlig	prosječni	genomsnittlig	prosječni	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
genomsnittlig	prosječna	genomsnittlig	prosječan	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
genomsnittlig	prosjeka	genomsnittlig	prosjek	ADJ;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
