castle	замок	cast	замка		N;INAN;NOM;MASC;SG
rain	дощ	rain	дощ		N;INAN;NOM;MASC;SG
eugene	євген	eugen	євген	PROPN;NOM;SG;3	PROPN;ANIM;NOM;MASC;SG
eugene	юджин	eugen	юджин	PROPN;NOM;SG;3	PROPN;ANIM;NOM;MASC;SG
eugene	євгеній	eugen	євгений	PROPN;NOM;SG;3	PROPN;ANIM;NOM;MASC;SG
çakmak	носову	çak	носовий		ADJ;ACC;FEM;SG
evrimsel	еволюційна	evrimsel	еволюційний		ADJ;NOM;FEM;SG
duyar	дізнається	duy	дізнаватися		V;PFV;IND;SG;3;FUT;FIN
spin	лічильника	spin	лічильник		N;INAN;GEN;MASC;SG
kaldırma	вилучення	kaldırma	вилучення		N;INAN;NOM;NEUT;SG
kaldırma	видалення	kaldırma	видалення		N;INAN;NOM;NEUT;SG
kaldırma	підняти	kaldırma	підняти		V;PFV;NFIN
kaldırma	ліфт	kaldırma	ліфт		N;INAN;NOM;MASC;SG
kaldırma	підібрали	kaldırma	підібрати		V;PFV;IND;PL;PST;FIN
kaldırma	піднімати	kaldırma	піднімати		V;IPFV;NFIN
kaldırma	вилучення	kaldırma	вилучення		N;INAN;NOM;NEUT;SG
kaldırma	видалення	kaldırma	видалення		N;INAN;NOM;NEUT;SG
emmanuel	еммануель	emmanuel	еммануель		PROPN;ANIM;NOM;MASC;SG
gregory	ґреґорі	gregory	ґреґор		PROPN;ANIM;NOM;MASC;SG
gregory	григорій	gregory	григорій		PROPN;ANIM;NOM;MASC;SG
gregory	грегорі	gregory	грегір		PROPN;ANIM;NOM;MASC;SG
aşı	вакцина	aş	вакцина		N;INAN;NOM;FEM;SG
aşı	вакцини	aş	вакцина		N;INAN;NOM;FEM;PL
feneri	маяк	fener	маяк		N;INAN;NOM;MASC;SG
atanan	призначена	ata	призначений		ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
atanan	оргкомітет	ata	оргкомітет		N;INAN;NOM;MASC;SG
atanan	призначені	ata	призначений		ADJ;PFV;NOM;PL;V.PTCP;PASS
atanan	призначив	ata	призначити		V;PFV;MASC;IND;SG;PST;FIN
esasen	принципово	esasen	принципово		ADV
dimitri	дмитро	dimitri	дмитро		PROPN;ANIM;NOM;MASC;SG
dimitri	дмитрій	dimitri	дмитрій		PROPN;ANIM;NOM;MASC;SG
duyuruldu	оголосили	duyur	оголосити	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;IND;PL;PST;FIN
malmö	мальме	malmö	мальме	PROPN;NOM;SG;3	PROPN;INAN;NOM;NEUT;SG
sözde	вірогідно	söz	вірогідно		ADV
sözde	ніби	söz	ніби		PART
sözde	імовірно	söz	імовірно		ADV
şiddetle	сильно	şiddet	сильно	N;INS;SG;3	ADV
şiddetle	криваво	şiddet	криваво	N;INS;SG;3	ADV
şiddetle	насилля	şiddet	насилля	N;INS;SG;3	N;INAN;NOM;NEUT;SG
şiddetle	насильство	şiddet	насильство	N;INS;SG;3	N;INAN;NOM;NEUT;SG
ajan	агенти	aj	агент		N;ANIM;NOM;MASC;PL
ajan	агент	aj	агент		N;ANIM;NOM;MASC;SG
harrison	гаррісон	harrison	гаррісон	PROPN;NOM;SG;3	PROPN;ANIM;NOM;MASC;SG
kaçak	runner	kaçak	runner		
kaçak	біг	kaçak	бігти		V;IPFV;MASC;IND;SG;PST;FIN
kaçak	втікач	kaçak	втікач		N;ANIM;NOM;MASC;SG
çevirmen	перекладач	çevir	перекладач		N;ANIM;NOM;MASC;SG
çevirmen	інтерпретатор	çevir	інтерпретатор		N;INAN;NOM;MASC;SG
çevirmen	переклад	çevir	переклад		N;INAN;NOM;MASC;SG
korunma	захист	korun	захист		N;INAN;NOM;MASC;SG
işçiler	робітників	işçi	робітник	N;NOM;PL;3	N;ANIM;ACC;MASC;PL
işçiler	працівників	işçi	працівник	N;NOM;PL;3	N;ANIM;ACC;MASC;PL
işçiler	співробітників	işçi	співробітник	N;NOM;PL;3	N;ANIM;ACC;MASC;PL
işçiler	працівників	işçi	працівник	N;NOM;PL;3	N;ANIM;ACC;MASC;PL
işçiler	службовців	işçi	службовець	N;NOM;PL;3	N;ANIM;ACC;MASC;PL
devil	диявол	devil	диявол		N;ANIM;NOM;MASC;SG
devil	біс	devil	біс		
connecticut	коннектикут	connecticut	коннектикут		PROPN;INAN;NOM;MASC;SG
uyku	сон	uyku	сон		N;INAN;NOM;MASC;SG
uyku	спати	uyku	спати		V;IPFV;NFIN
uyku	забуте	uyku	забути		ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS
uyku	спить	uyku	спати		V;IPFV;IND;SG;3;PRS;FIN
meksikalı	мексиканська	meksikalı	мексиканський		ADJ;NOM;FEM;SG
meksikalı	мексиканський	meksikalı	мексиканський		ADJ;NOM;MASC;SG
tanıma	визнання	tanım	визнання		N;INAN;NOM;NEUT;SG
colin	колін	colin	коліно		N;INAN;NOM;NEUT;PL
golcü	scorer	golcü	scorer		
kubbe	купол	kubbe	купол		N;INAN;NOM;MASC;SG
rakam	цифр	rakam	цифра		N;INAN;GEN;FEM;PL
rakam	цифри	rakam	цифра		N;INAN;NOM;FEM;PL
rakam	цифру	rakam	цифра		N;INAN;ACC;FEM;SG
rakam	цифра	rakam	цифра		N;INAN;NOM;FEM;SG
rakam	число	rakam	число		N;INAN;NOM;NEUT;SG
rakam	кількість	rakam	кількість		N;INAN;NOM;FEM;SG
rakam	номер	rakam	номер		N;INAN;NOM;MASC;SG
rakam	номера	rakam	номера		N;INAN;GEN;MASC;SG
rakam	числівник	rakam	числівник		N;INAN;NOM;MASC;SG
jules	жуль	jules	жуль		PROPN;ANIM;NOM;MASC;SG
görüşmeler	обговорення	görüşme	обговорення	N;NOM;PL;3	N;INAN;NOM;NEUT;SG
görüşmeler	зустрічей	görüşme	зустріч	N;NOM;PL;3	N;INAN;GEN;FEM;PL
imal	виготовлено	imal	виготовити		V;PFV;IND;0;FIN
imal	виготовлена	imal	виготовлений		ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
patrik	патріарх	patrik	патріар		N;ANIM;NOM;MASC;SG
marsilya	марсель	marsilya	марсель	N;NOM;SG;3	PROPN;ANIM;NOM;MASC;SG
asil	благородний	asil	благородний		ADJ;NOM;MASC;SG
asil	благородні	asil	благородний		ADJ;NOM;PL
sürpriz	здивувати	sürpriz	здивувати		V;PFV;NFIN
sürpriz	здивування	sürpriz	здивування		N;INAN;NOM;NEUT;SG
sürpriz	сюрприз	sürpriz	сюрприз		N;INAN;NOM;MASC;SG
sürpriz	несподіванка	sürpriz	несподіванка		N;INAN;NOM;FEM;SG
biter	завершується	bit	завершуватися	V;IPFV;IND;SG;3;POS	V;IPFV;IND;SG;3;PRS;FIN
biter	завершує	bit	завершувати	V;IPFV;IND;SG;3;POS	V;IPFV;IND;SG;3;PRS;FIN
biter	закінчується	bit	закінчуватися	V;IPFV;IND;SG;3;POS	V;IPFV;IND;SG;3;PRS;FIN
esnek	гнучкий	esnek	гнучкий		ADJ;NOM;MASC;SG
esnek	гнучка	esnek	гнучка		ADJ;NOM;FEM;SG
esnek	гнучкість	esnek	гнучкість		N;INAN;NOM;FEM;SG
esnek	flex	esnek	flex		
cameron	кемерон	cameron	кемерон	PROPN;NOM;SG;3	PROPN;ANIM;NOM;MASC;SG
lopez	лопес	lopez	лопес		PROPN;ANIM;NOM;FEM;SG
şikâyet	скарга	şikâyet	скарга		N;INAN;NOM;FEM;SG
kalıntılar	залишається	kalıntı	залишатися	N;NOM;PL;3	V;IPFV;IND;SG;3;PRS;FIN
günah	гріхом	günah	гріх		N;INAN;INS;MASC;SG
günah	гріха	günah	гріх		N;INAN;GEN;MASC;SG
günah	гріх	günah	гріх		N;INAN;NOM;MASC;SG
günah	гріхи	günah	гріх		N;INAN;NOM;MASC;PL
mide	живіт	mide	живіт		N;INAN;NOM;MASC;SG
mide	шлунок	mide	шлунок		N;INAN;NOM;MASC;SG
parma	парма	parma	парма	PROPN;NOM;SG;3	PROPN;INAN;NOM;MASC;SG
mehdi	мехді	mehdi	мехдий		PROPN;ANIM;NOM;MASC;SG
denizci	моряк	denizci	моряк		N;ANIM;NOM;MASC;SG
denizci	морська	denizci	морський		ADJ;NOM;FEM;SG
rika	ріка	rika	ріка	PROPN;NOM;SG;3	N;INAN;NOM;FEM;SG
joel	джоел	joel	джоель		PROPN;ANIM;NOM;MASC;SG
yazıyor	записує	yaz	записувати	V;PROG;IND;SG;3;POS;INFM;PRS	V;IPFV;IND;SG;3;PRS;FIN
yazıyor	пише	yaz	писати	V;PROG;IND;SG;3;POS;INFM;PRS	V;IPFV;IND;SG;3;PRS;FIN
elena	олена	elen	олена		PROPN;ANIM;NOM;FEM;SG
elena	елена	elen	елена		PROPN;ANIM;NOM;FEM;SG
elena	олена	elen	олена		PROPN;ANIM;NOM;FEM;SG
volga	волга	volga	Волга		PROPN;INAN;NOM;FEM;SG
kanatlı	крилаті	kanatlı	крилата		ADJ;NOM;PL
vestfalya	вестфалія	vestfalya	вестфалія	PROPN;NOM;SG;3	PROPN;INAN;NOM;FEM;SG
crystal	ясні	crystal	ясний	PROPN;NOM;SG;3	ADJ;NOM;PL
crystal	кристал	crystal	кристал	PROPN;NOM;SG;3	N;INAN;NOM;MASC;SG
julian	юліан	julian	юліан		PROPN;ANIM;NOM;MASC;SG
beklenmedik	неочікуваний	bekle	неочікуваний	V;PFV;POT;PL;1;NEG;PST	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
beklenmedik	несподіваний	bekle	несподіваний	V;PFV;POT;PL;1;NEG;PST	ADJ;NOM;MASC;SG
beklenmedik	несподіване	bekle	несподіваний	V;PFV;POT;PL;1;NEG;PST	ADJ;NOM;NEUT;SG
pasaportu	паспорт	pasaport	паспорт	N;ACC;SG;3	N;INAN;NOM;MASC;SG
duyarlı	адаптивний	duyarlı	адаптивний		ADJ;NOM;MASC;SG
duyarlı	чутливі	duyarlı	чутливий		ADJ;NOM;PL
