през	skoz	през	skoz	ADP	
след	po	след	po	ADP	N;NOM;MASC;SG
това	to	този	ta	PRO;NOM;NEUT;SG	DET;NOM;NEUT;SG
това	ta	този	ta	PRO;NOM;NEUT;SG	DET;NOM;MASC;SG
това	tole	този	tale	PRO;NOM;NEUT;SG	
това	tega	този	ta	PRO;NOM;NEUT;SG	DET;GEN;NEUT;SG
българия	bolgarija	българия	bolgarija	PROPN;INDF;FEM;SG	N;NOM;FEM;SG
българия	bolgarijo	българия	bolgarija	PROPN;INDF;FEM;SG	N;ACC;FEM;SG
част	delno	част	delno	N;INDF;FEM;SG	ADV
години	leta	година	leto	N;INDF;FEM;PL	N;GEN;NEUT;SG
която	katero	който	kateri	PRO;NOM;FEM;SG	DET;ACC;NEUT;SG
която	kateri	който	kateri	PRO;NOM;FEM;SG	DET;NOM;MASC;SG
която	katere	който	kateri	PRO;NOM;FEM;SG	DET;ACC;FEM;PL
която	katerih	който	kateri	PRO;NOM;FEM;SG	DET;GEN;MASC;PL
която	ki	който	ki	PRO;NOM;FEM;SG	CONJ
която	katerega	който	kateri	PRO;NOM;FEM;SG	DET;GEN;MASC;SG
което	katero	който	kateri	PRO;NOM;NEUT;SG	DET;ACC;NEUT;SG
което	kateri	който	kateri	PRO;NOM;NEUT;SG	DET;NOM;MASC;SG
което	katere	който	kateri	PRO;NOM;NEUT;SG	DET;ACC;FEM;PL
което	katerih	който	kateri	PRO;NOM;NEUT;SG	DET;GEN;MASC;PL
което	ki	който	ki	PRO;NOM;NEUT;SG	CONJ
което	katerega	който	kateri	PRO;NOM;NEUT;SG	DET;GEN;MASC;SG
външни	zunanji	външен	zunanji	ADJ;INDF;PL	ADJ;NOM;DEF;MASC;SG
външни	zunanja	външен	zunanji	ADJ;INDF;PL	ADJ;NOM;FEM;SG
препратки	sklicevanje	препратка	sklicevanje	N;INDF;FEM;PL	N;NOM;NEUT;SG
град	city	град	city	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
много	številni	много	številen	ADV;INDF;PL	ADJ;NOM;MASC;PL
много	mnogi	много	mnog	ADV;INDF;PL	DET;NOM;MASC;PL
много	veliko	много	veliko	ADV;INDF;PL	DET
също	tudi	също	tudi	ADV	PART
един	enga	един	en	NUM;INDF;MASC;SG	PRO;ACC;MASC;SG
около	naokrog	около	naokrog	ADP	ADV
софия	sofija	софия	sofija	PROPN;INDF;FEM;SG	N;NOM;FEM;SG
софия	sofia	софия	sofia	PROPN;INDF;FEM;SG	N;NOM;FEM;SG
софия	sofija	софия	sofija	PROPN;INDF;FEM;SG	N;NOM;FEM;SG
софия	sophio	софия	sophia	PROPN;INDF;FEM;SG	
софия	sophia	софия	sophia	PROPN;INDF;FEM;SG	PROPN;NOM;FEM;SG
други	drugi	друг	drug	ADJ;INDF;PL	ADJ;NOM;MASC;SG
други	drugo	друг	drug	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
други	druga	друг	drug	ADJ;INDF;PL	ADJ;NOM;FEM;SG
други	drugi	друг	drug	ADJ;INDF;PL	ADJ;NOM;MASC;SG
още	še	още	še	ADV	PART
още	več	още	več	ADV	DET
още	bolj	още	bolj	ADV	ADV;CMPR
война	vojne	война	vojna	N;INDF;FEM;SG	N;NOM;FEM;PL
само	le	само	le	ADV	PART
само	samo	само	samo	ADV	PART
само	le	само	le	ADV	PART
само	samo	само	samo	ADV	PART
под	pod	под	pod	ADP	
когато	kadar	когато	kadar	ADV	CONJ
когато	ko	когато	ko	ADV	CONJ
вид	vrste	вид	vrsta	N;INDF;MASC;SG	N;NOM;FEM;PL
една	edna	един	eden	NUM;INDF;FEM;SG	ADJ;NOM;FEM;SG
една	enga	един	en	NUM;INDF;FEM;SG	PRO;ACC;MASC;SG
всички	vsi	всеки	ves	PRO;NOM;PL	DET;NOM;MASC;PL
всички	vsem	всеки	ves	PRO;NOM;PL	DET;DAT;MASC;PL
всички	vse	всеки	ves	PRO;NOM;PL	DET;NOM;NEUT;SG
всички	vseh	всеки	ves	PRO;NOM;PL	DET;GEN;MASC;PL
всички	vsi	всеки	ves	PRO;NOM;PL	DET;NOM;MASC;PL
започва	prične	започвам-(се)	pričeti	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;PRS;FIN
македония	makedonijo	македония	makedonija	PROPN;INDF;FEM;SG	N;ACC;FEM;SG
македония	makedonija	македония	makedonija	PROPN;INDF;FEM;SG	N;NOM;FEM;SG
сащ	zda	сащ	zdati	PROPN;INDF;MASC;PL	PROPN;GEN;FEM;PL
сащ	usa	сащ	usa	PROPN;INDF;MASC;PL	
над	konec	над	konec	ADP	N;NOM;MASC;SG
над	zgoraj	над	zgoraj	ADP	ADV
него	njega	аз	on	PRO;ACC;MASC;SG;3	PRO;GEN;MASC;SG;3
тези	tele	този	tel	DET;PL	
души	duš	души	duš	N;INDF	N;GEN;FEM;PL
души	duše	души	duša	N;INDF	N;NOM;FEM;PL
мини	mini	мина	mini	N;INDF;FEM;PL	
мини	mine	мина	miniti	N;INDF;FEM;PL	V;PFV;IND;SG;3;PRS;FIN
мини	minnie	мина	minniti	N;INDF;FEM;PL	N;NOM;FEM;SG
намира	najde	намирам-(се)	najti	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;PRS;FIN
република	republike	република	republika	N;INDF;FEM;SG	N;NOM;FEM;PL
късно	zamuja	късно	zamujati	ADV	V;IPFV;IND;SG;3;PRS;FIN
късно	pozen	късно	pozen	ADV	ADJ;NOM;INDF;MASC;SG
късно	pozni	късно	pozen	ADV	ADJ;NOM;DEF;MASC;SG
късно	pozna	късно	poznati	ADV	V;IPFV;IND;SG;3;PRS;FIN
май	maj	май	maj	PROPN;INDF;MASC;SG	
май	maja	май	maj	PROPN;INDF;MASC;SG	N;GEN;MASC;SG
отбор	ekipno	отбор	ekipno	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
роден	rojen	родя-(се)	rojen	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP
роден	rojena	родя-(се)	rojen	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;NOM;FEM;SG;V.PTCP
роден	rojene	родя-(се)	rojen	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;NOM;FEM;PL;V.PTCP
роден	rojeni	родя-(се)	rojen	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;NOM;MASC;PL;V.PTCP
преди	preden	преди	preden	ADP	CONJ
преди	prej	преди	prej	ADP	ADV;CMPR
група	skupinsko	група	skupinski	N;INDF;FEM;SG	ADJ;NOM;NEUT;SG
група	skupinski	група	skupinski	N;INDF;FEM;SG	ADJ;NOM;MASC;SG
група	skupinska	група	skupinski	N;INDF;FEM;SG	ADJ;NOM;FEM;SG
език	jezikovno	език	jezikoven	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
език	jezikovna	език	jezikoven	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
някои	nekatere	някой	nekateri	PRO;NOM;PL	DET;NOM;FEM;PL
някои	nekaterim	някой	nekateri	PRO;NOM;PL	DET;DAT;MASC;PL
някои	nekateri	някой	nekateri	PRO;NOM;PL	DET;NOM;MASC;PL
някои	nekaj	някой	nekaj	PRO;NOM;PL	PRO;ACC;NEUT;SG
някои	neki	някой	nek	PRO;NOM;PL	DET;NOM;MASC;SG
тях	njimi	аз	on	PRO;ACC;PL;3	PRO;DAT;MASC;PL;3
тях	njih	аз	on	PRO;ACC;PL;3	PRO;GEN;MASC;PL;3
река	river	река	river	N;INDF;FEM;SG	
река	reke	река	reka	N;INDF;FEM;SG	N;NOM;FEM;PL
юни	june	юни	juna	N;INDF;MASC;SG	
две	dve	два	dva	NUM;INDF;FEM;PL	NUM;NOM;FEM;DU
две	dve	два	dva	NUM;INDF;FEM;PL	NUM;NOM;FEM;DU
две	dva	два	dva	NUM;INDF;FEM;PL	NUM;NOM;MASC;DU
фон	von	фон	von	N;INDF;MASC;SG	
американски	ameriške	американски	ameriški	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
американски	ameriški	американски	ameriški	ADJ;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
декември	dec	декември	dec	N;INDF;MASC;SG	
чрез	via	чрез	via	ADP	N;NOM;MASC;SG
чрез	skoz	чрез	skoz	ADP	
различни	drugačna	различен	drugačen	ADJ;INDF;PL	ADJ;NOM;FEM;SG
различни	drugačen	различен	drugačen	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
различни	drugačno	различен	drugačen	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
различни	razno	различен	razno	ADJ;INDF;PL	
получава	dobi	получавам	dobiti	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;PRS;FIN
получава	prejme	получавам	prejeti	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;PRS;FIN
февруари	feb	февруари	feb	N;INDF;MASC;SG	
работи	dela	работя	delo	V;IPFV;IMP;SG;2;FIN	N;NOM;NEUT;PL
работи	delo	работя	delo	V;IPFV;IMP;SG;2;FIN	N;NOM;NEUT;SG
работи	dela	работя	delo	V;IPFV;IMP;SG;2;FIN	N;NOM;NEUT;PL
работи	deluje	работя	delovati	V;IPFV;IMP;SG;2;FIN	V;IPFV;IND;SG;3;PRS;FIN
