relativity	relativnost	relativita	relativnost	N;NOM;FEM;PL	N;NOM;FEM;SG
obeť	žrtvovanja	obeť	žrtvovanje	N;NOM;FEM;SG	N;GEN;NEUT;PL
úspešná	uspešno	úspešný	uspešno	ADJ;NOM;FEM;SG	ADV
úspešná	uspešni	úspešný	uspešen	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
úspešná	uspehov	úspešný	uspeh	ADJ;NOM;FEM;SG	N;GEN;MASC;PL
úspešná	uspeh	úspešný	uspeh	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
úspešná	uspešnost	úspešný	uspešnost	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
days	dnevi	days	dan		N;NOM;MASC;PL
days	dni	days	dan		N;ACC;MASC;PL
days	dneve	days	dan		N;ACC;MASC;PL
dvanástich	twelve	dvanásť	twelve	NUM;GEN;MASC;PL	
dvanástich	dvanajst	dvanásť	dvanajst	NUM;GEN;MASC;PL	NUM;NOM;PL
bielorusko	belorusijo	bielorusko	belorusija	ADV	N;ACC;FEM;SG
bielorusko	belorusije	bielorusko	belorusija	ADV	N;NOM;FEM;PL
bielorusko	belorusiji	bielorusko	belorusija	ADV	N;DAT;FEM;SG
bielorusko	belorusija	bielorusko	belorusija	ADV	N;NOM;FEM;SG
bielorusko	beloruske	bielorusko	beloruski	ADV	ADJ;NOM;FEM;PL
tokio	tokio	tokio	tokio	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
komunistická	komunist	komunistický	komunist	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
označenia	označevanje	označenie	označevanje	N;NOM;NEUT;PL	N;NOM;NEUT;SG
označenia	določitev	označenie	določitev	N;NOM;NEUT;PL	N;NOM;FEM;SG
označenia	označba	označenie	označba	N;NOM;NEUT;PL	N;NOM;FEM;SG
označenia	poimenovanje	označenie	poimenovanje	N;NOM;NEUT;PL	N;NOM;NEUT;SG
označenia	nalepke	označenie	nalepka	N;NOM;NEUT;PL	N;ACC;MASC;PL
označenia	marks	označenie	marks	N;NOM;NEUT;PL	N;NOM;MASC;SG
pokles	spusti	pokles	spustiti	N;INAN;NOM;MASC;SG	V;PFV;IND;SG;3;PRS;FIN
pokles	izpusti	pokles	izpustiti	N;INAN;NOM;MASC;SG	V;PFV;IND;SG;3;PRS;FIN
daní	davke	daň	davek	N;GEN;FEM;PL	N;ACC;MASC;PL
daní	davki	daň	davek	N;GEN;FEM;PL	N;NOM;MASC;PL
odbory	sindikatov	odbor	sindikat	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
utrpel	trpel	utrpieť	trpeti	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
utrpel	trpela	utrpieť	trpeti	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;FEM;SG;V.PTCP
špeciálna	posebne	špeciálny	poseben	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
špeciálna	posebno	špeciálny	posebno	ADJ;NOM;FEM;SG	ADV
civilizácie	civilizacijo	civilizácia	civilizacija	N;NOM;FEM;PL	N;ACC;FEM;SG
civilizácie	civilizacija	civilizácia	civilizacija	N;NOM;FEM;PL	N;NOM;FEM;SG
civilizácie	civilizacij	civilizácia	civilizacija	N;NOM;FEM;PL	N;GEN;FEM;PL
civilizácie	civilizacij	civilizácia	civilizacija	N;NOM;FEM;PL	N;GEN;FEM;PL
pechoty	pehota	pechot	pehot	N;NOM;FEM;PL	N;NOM;FEM;SG
pechoty	pehotna	pechot	pehoten	N;NOM;FEM;PL	ADJ;NOM;FEM;SG
lyon	lyon	lyon	lyon	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
stien	stene	stieň	stena	N;GEN;FEM;PL	N;NOM;FEM;PL
stien	zidovi	stieň	zid	N;GEN;FEM;PL	N;NOM;MASC;PL
stien	obzidje	stieň	obzidje	N;GEN;FEM;PL	N;NOM;NEUT;SG
mobilné	mobilnih	mobilný	mobilen	ADJ;NOM;NEUT;SG	ADJ;GEN;MASC;PL
jednoduchá	enostavno	jednoduchý	enostavno	ADJ;NOM;FEM;SG	ADV
jednoduchá	preprosto	jednoduchý	preprosto	ADJ;NOM;FEM;SG	ADV
hmyz	insekti	hmyz	insekt	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
hmyz	žuželke	hmyz	žuželka	N;INAN;NOM;MASC;SG	N;NOM;FEM;PL
hmyz	insektov	hmyz	insekt	N;INAN;NOM;MASC;SG	N;GEN;MASC;PL
memorial	memorial	memoriať	memorial	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
dvadsať	twenty	dvadsať	twenty	NUM;NOM;NEUT;SG	N;NOM;MASC;SG
dvadsať	dvajset	dvadsať	dvajset	NUM;NOM;NEUT;SG	NUM;NOM;PL
nákladov	strošek	náklad	strošek	N;INAN;GEN;MASC;PL	N;NOM;MASC;SG
nákladov	stroški	náklad	strošek	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
luftwaffe	luftwaffe	luftwaffa	luftwaff	N;INAN;NOM;MASC;PL	N;NOM;MASC;SG
