pola	pola	pols	pola	PROPN;NOM;FEM;SG	PROPN;NOM;SG
eds	eds	eds	eds	PROPN	
eds	ess	eds	ess	PROPN	
cementa	zement	cements	zement	N;GEN;MASC;SG	
krīt	fallende	krist	fallend	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;NOM;FEM;PL
krīt	wasserfall	krist	wasserfall	V;FH;IND;3;POS;PRS;FIN;ACT	
krīt	sturz	krist	sturz	V;FH;IND;3;POS;PRS;FIN;ACT	
krīt	falls	krist	falls	V;FH;IND;3;POS;PRS;FIN;ACT	CONJ
krīt	falle	krist	fallen	V;FH;IND;3;POS;PRS;FIN;ACT	ADV
krīt	sturz	krist	sturz	V;FH;IND;3;POS;PRS;FIN;ACT	
krīt	herbst	krist	herbst	V;FH;IND;3;POS;PRS;FIN;ACT	ADV
krīt	fall	krist	fall	V;FH;IND;3;POS;PRS;FIN;ACT	ADV
esp	esp	būt	esp		
attīstītas	entwickelte	attīstīt	entwickeln	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP	V;IND;SG;3;PST;FIN
pārbaudīt	scheck	pārbaudīt	scheck	V;POS;NFIN	
pārbaudīt	check	pārbaudīt	check	V;POS;NFIN	ADJ
prototips	prototypen	prototips	prototypen	N;NOM;MASC;SG	V;NFIN
mantojums	kulturgut	mantojums	kulturgut	N;NOM;MASC;SG	PROPN
mantojums	erbschaft	mantojums	erbschaffen	N;NOM;MASC;SG	ADJ
mantojums	nachlass	mantojums	nachlass	N;NOM;MASC;SG	
mantojums	erben	mantojums	erben	N;NOM;MASC;SG	
mantojums	erbschaft	mantojums	erbschaffen	N;NOM;MASC;SG	ADJ
mantojums	legacy	mantojums	legacy	N;NOM;MASC;SG	
mantojums	vermächtnis	mantojums	vermächtnis	N;NOM;MASC;SG	
mantojums	kulturerbe	mantojums	kulturerbe	N;NOM;MASC;SG	ADJ
mantojums	denkmalschutz	mantojums	denkmalschutz	N;NOM;MASC;SG	ADJ
mantojums	welterbe	mantojums	welterbe	N;NOM;MASC;SG	
santa	weihnachtsmann	santa	weihnachtsmann	PROPN;NOM;FEM;SG	ADJ
santa	santa	santa	santa	PROPN;NOM;FEM;SG	PROPN;NOM;SG
zīmolu	marke	zīmols	marken	N;ACC;MASC;SG	N;NOM;FEM;SG
zīmolu	marken	zīmols	marken	N;ACC;MASC;SG	V;NFIN
zīmolu	branding	zīmols	branding	N;ACC;MASC;SG	ADJ
zīmolu	markenzeichen	zīmols	markenzeichen	N;ACC;MASC;SG	V;NFIN
tukšs	leere	tukšs	leer	ADJ;NOM;MASC;SG	
tukšs	leeres	tukšs	leer	ADJ;NOM;MASC;SG	N;NOM;NEUT;SG
tukšs	leere	tukšs	leer	ADJ;NOM;MASC;SG	
rādītāji	kennzahlen	rādītājs	kennzahlen	N;NOM;MASC;PL	V;NFIN
rādītāji	indikatoren	rādītājs	indikator	N;NOM;MASC;PL	V;NFIN
iznīcināta	vernichteten	iznīcināt	vernichten	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;IND;PL;3;PST;FIN
iznīcināta	zerstörte	iznīcināt	zerstört	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG
sitienu	schlag	sitiens	schlagen	N;ACC;MASC;SG	
sitienu	schlagen	sitiens	schlagen	N;ACC;MASC;SG	V;NFIN
sitienu	stanzen	sitiens	stehen	N;ACC;MASC;SG	V;NFIN
sitienu	treten	sitiens	treten	N;ACC;MASC;SG	V;NFIN
sitienu	trete	sitiens	treten	N;ACC;MASC;SG	V;SBJV;SG;3;PRS;FIN
sitienu	tritt	sitiens	treten	N;ACC;MASC;SG	V;IND;SG;3;PRS;FIN
sitienu	kick	sitiens	kick	N;ACC;MASC;SG	
monarhija	monarchie	monarhija	monarchie	N;NOM;FEM;SG	PROPN
kannu	cannes	kanna	cannes	N;ACC;FEM;SG	PROPN;NOM;NEUT;SG
