til	pour	til	pour	ADV	ADP
den	le	den	le	PRO;ACC;MASC+FEM;SG;3	DET;DEF;MASC;SG
den	les	den	le	PRO;ACC;MASC+FEM;SG;3	DET;DEF;PL
den	la	den	le	PRO;ACC;MASC+FEM;SG;3	DET;DEF;FEM;SG
med	avec	med	avec	ADV	ADP
var	fut	være	être	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
var	etait	være	etever	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
var	était	være	être	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
var	étaient	være	être	V;IND;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
blev	fut	blive	être	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
blev	etait	blive	etever	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
blev	était	blive	être	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
han	han	han	han	PRO;NOM;MASC+FEM;SG;3	PROPN
fra	du	fra	du	ADV	DET;MASC;SG
fra	de	fra	de	ADV	ADP
fra	depuis	fra	depuis	ADV	ADP
har	got	have	got	V;IND;PRS;FIN;ACT	
har	ont	have	avoir	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
ved	sais	vide	savoir	V;IND;PRS;FIN;ACT	INTJ
ved	sachez	vide	savoir	V;IND;PRS;FIN;ACT	V;IMP;PL;2;PRS;FIN
ikke	not	ikke	not	ADV	PRO;SG;3
også	too	også	too	ADV	INTJ
efter	apres	efter	après	ADV	
efter	after	efter	after	ADV	PROPN
efter	après	efter	après	ADV	ADP
efter	aprés	efter	apré	ADV	
sig	dites	sig	dire	PRO;ACC;3;REFL	V;FEM;PL;PST;V.PTCP
sig	say	sig	say	PRO;ACC;3;REFL	
sig	dire	sig	dire	PRO;ACC;3;REFL	V;NFIN
sig	dis	sig	dire	PRO;ACC;3;REFL	INTJ
kan	mai	kunne	mai	V;IND;PRS;FIN;ACT	N;MASC;SG
kan	may	kunne	may	V;IND;PRS;FIN;ACT	PROPN
kan	pouvez	kunne	pouvoir	V;IND;PRS;FIN;ACT	V;IMP;PL;2;PRS;FIN
score	score	score	score	V;NFIN;ACT	N;MASC;SG
score	partition	score	partition	V;NFIN;ACT	N;FEM;SG
score	partitions	score	partition	V;NFIN;ACT	N;FEM;PL
score	scores	score	score	V;NFIN;ACT	N;MASC;PL
hvor	oú	hvor	oú	ADV	CONJ
hvor	où	hvor	où	ADV	PRO
havde	avait	have	avoir	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
havde	avaient	have	avoir	V;IND;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
havde	avais	have	avoir	V;IND;PST;FIN;ACT	V;IND;SG;1;IPFV;FIN
under	dessous	under	dessous	ADV	N;MASC;SG
under	sous	under	sous	ADV	ADP
under	under	under	under	ADV	PROPN
hans	hans	hans	hans	DET;3	PROPN
hans	his	hans	his	DET;3	PROPN
dansk	danoises	dansk	danois	ADJ;INDF;SG	ADJ;FEM;PL
dansk	dansk	dansk	dansk	ADJ;INDF;SG	PROPN
mod	vers	mod	vers	N;INDF;NEUT;SG	ADP
mod	contre	mod	contre	N;INDF;NEUT;SG	ADP
mod	against	mod	against	N;INDF;NEUT;SG	PROPN
andre	autre	anden	autre	PRO;PL	PRO;SG
denne	cette	denne	ce	PRO;MASC+FEM;SG	DET;FEM;SG
fik	got	få	got	V;IND;PST;FIN;ACT	
del	del	del	del	N;INDF;MASC+FEM;SG	PROPN
del	partager	del	partager	N;INDF;MASC+FEM;SG	V;NFIN
del	partagez	del	partager	N;INDF;MASC+FEM;SG	V;IMP;PL;2;PRS;FIN
født	naissance	føde	naissance	V;INDF;SG;PST;V.PTCP	N;FEM;SG
født	born	føde	born	V;INDF;SG;PST;V.PTCP	PROPN
flere	plusieurs	mange	plusieurs	ADJ;CMPR;PL	PRO;PL
flere	multiple	mange	multiple	ADJ;CMPR;PL	ADJ;MASC;SG
flere	plusieurs	mange	plusieurs	ADJ;CMPR;PL	PRO;PL
flere	davantage	mange	davantage	ADJ;CMPR;PL	ADV
flere	plus	mange	plus	ADJ;CMPR;PL	ADV
dette	cette	denne	ce	PRO;NEUT;SG	DET;FEM;SG
deres	leur	deres	lui	DET;3	PRO;PL;3
alle	toute	al	tout	ADJ;PL	DET;FEM;SG
alle	toutes	al	tout	ADJ;PL	PRO;FEM;PL
alle	tous	al	tout	ADJ;PL	PRO;MASC;PL
alle	tout	al	tout	ADJ;PL	PRO;MASC;SG
alle	all	al	all	ADJ;PL	
danmark	danemark	danmark	danemark		N;MASC;SG
mange	beaucoup	mange	beaucoup	ADJ;PL	ADV
mange	plusieurs	mange	plusieurs	ADJ;PL	PRO;PL
kunne	pourrais	kunne	pouvoir	V;IND;PST;FIN;ACT	V;COND;SG;1;PRS;FIN
kunne	pouvait	kunne	pouvoir	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
kunne	pourrait	kunne	pouvoir	V;IND;PST;FIN;ACT	V;COND;SG;3;PRS;FIN
kunne	pourraient	kunne	pouvoir	V;IND;PST;FIN;ACT	V;COND;PL;3;PRS;FIN
danske	danois	dansk	danois	ADJ;PL	ADJ;MASC;SG
