med	med	med	mest	ADP	
som	patīk	som	patikt	CONJ	V;FH;IND;3;POS;PRS;FIN;ACT
som	like	som	like	CONJ	
som	kas	som	kas	CONJ	PRO;NOM
som	kuras	som	kura	CONJ	PRO;NOM;FEM;PL
som	kura	som	kura	CONJ	PRO;NOM;FEM;SG
runt	ap	runt	ap	ADV	
runt	apaļš	runt	apaļš	ADV	ADJ;NOM;MASC;SG
runt	apaļi	runt	apaļi	ADV	ADJ;NOM;MASC;PL
runt	kārta	runt	kārta	ADV	N;NOM;FEM;SG
runt	apaļa	runt	apaļa	ADV	ADJ;NOM;FEM;SG
månaden	ikmēneša	månad	ikmēnetis	N;NOM;DEF;MASC+FEM;SG	N;GEN;MASC;SG
månaden	mēneša	månad	mēnesis	N;NOM;DEF;MASC+FEM;SG	N;GEN;MASC;SG
månaden	mēnesi	månad	mēnesis	N;NOM;DEF;MASC+FEM;SG	N;ACC;MASC;SG
nederbörd	nokrišņu	nederbörd	nokrišņa	N;NOM;INDF;MASC+FEM;SG	N;GEN;FEM
nederbörd	nokrišņi	nederbörd	nokrišņi	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC
ligger	meli	ligga	meli	V;IND;PRS;FIN;ACT	N;NOM;MASC
ligger	meliem	ligga	mels	V;IND;PRS;FIN;ACT	N;DAT;MASC;PL
ligger	melus	ligga	melties	V;IND;PRS;FIN;ACT	N;ACC;MASC
ligger	melu	ligga	mels	V;IND;PRS;FIN;ACT	N;ACC;MASC;SG
ingår	iekļāva	ingå	iekļaut	V;IND;PRS;FIN;ACT	V;FH;IND;3;POS;PST;FIN;ACT
ingår	iekļauta	ingå	iekļaut	V;IND;PRS;FIN;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
ingår	iekļauti	ingå	iekļaut	V;IND;PRS;FIN;ACT	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
ingår	iekļautas	ingå	iekļaut	V;IND;PRS;FIN;ACT	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
ingår	iekļauts	ingå	iekļaut	V;IND;PRS;FIN;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
att	ka	att	ka	PART	
att	tas	att	tas	PART	PRO;NOM;MASC;SG
ett	vienu	en	viens	NUM;NOM;INDF;NEUT;SG	NUM;ACC;MASC;SG
familjen	ģimenē	familj	ģimene	N;NOM;DEF;MASC+FEM;SG	N;ESS;FEM;SG
familjen	ģimenes	familj	ģimene	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;PL
för	par	för	par	ADP	
för	for	för	for	ADP	
inga	nav	ingen	nebūt	PRO;INDF;PL	V;FH;IND;3;NEG;PRS;FIN;ACT
inga	neviena	ingen	neviens	PRO;INDF;PL	PRO;NOM;MASC;SG
inga	inga	ingen	inga	PRO;INDF;PL	PROPN;NOM;FEM;SG
life	life	life	life	N;NOM;INDF;MASC+FEM;SG	
life	dzīvi	life	dzīve	N;NOM;INDF;MASC+FEM;SG	N;ACC;FEM;SG
listade	uzskaitītie	lisa	uzskaitīt	ADJ;NOM;PL;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
listade	uzskaitītas	lisa	uzskaitīt	ADJ;NOM;PL;PST;V.PTCP	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
listade	uzskaitīti	lisa	uzskaitīt	ADJ;NOM;PL;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
