til	בשביל	til	בשביל	ADV	ADP
med	עם	med	עם	ADV	ADP
blev	נשארה	blive	נשאר	V;IND;PST;FIN;ACT	V;FEM;SG;3;PST;MID
blev	נשארתי	blive	נשאר	V;IND;PST;FIN;ACT	V;SG;1;PST;MID
blev	נשאר	blive	נשאר	V;IND;PST;FIN;ACT	V;MASC;SG;3;PST;MID
han	האן	han	האן	PRO;NOM;MASC+FEM;SG;3	PROPN
ved	דע	vide	דע	V;IND;PRS;FIN;ACT	V;MASC;SG;1;PST;ACT
ved	מכירה	vide	מכירה	V;IND;PRS;FIN;ACT	N;FEM;SG
også	וגם	også	וגם	ADV	
efter	אחרי	efter	אחרי	ADV	ADP
efter	לאחר	efter	לאחר	ADV	ADP
sig	תגיד	sig	הגיד	PRO;ACC;3;REFL	V;MASC;SG;2;FUT;ACT
sig	אמור	sig	אמור	PRO;ACC;3;REFL	ADJ;MASC;SG
sig	תגידי	sig	תגיד	PRO;ACC;3;REFL	PROPN
kan	במאי	kunne	במאי	V;IND;PRS;FIN;ACT	N;MASC;SG
kan	מיי	kunne	מיי	V;IND;PRS;FIN;ACT	
kan	מאי	kunne	מאי	V;IND;PRS;FIN;ACT	PROPN
kan	יכולה	kunne	יכול	V;IND;PRS;FIN;ACT	V;FEM;SG;V.PTCP
kan	יכול	kunne	None	V;IND;PRS;FIN;ACT	V;MASC;SG;V.PTCP
score	ניקוד	score	ניקוד	V;NFIN;ACT	N;MASC;SG
score	ציון	score	ציון	V;NFIN;ACT	PROPN
under	מתחת	under	מתחת	ADV	ADP
under	למטה	under	למטה	ADV	
under	בהמשך	under	בהמשך	ADV	
under	תחת	under	תחת	ADV	ADP
under	מתחת	under	מתחת	ADV	ADP
hans	האנס	hans	האנס	DET;3	PROPN
hans	הנס	hans	הנס	DET;3	
hans	שלו	hans	של	DET;3	
over	נגמר	over	נגמר	ADV	V;MASC;SG;V.PTCP;MID
over	מעל	over	מעל	ADV	ADP
over	מעל	over	מעל	ADV	ADP
første	ראשון	første	ראשון	ADJ	PROPN
første	קודם	første	קודם	ADJ	ADV
første	ראשית	første	ראשית	ADJ	ADV
første	תחילה	første	תחילה	ADJ	ADV
dansk	דנית	dansk	דנית	ADJ;INDF;SG	PROPN
dansk	דנים	dansk	דן	ADJ;INDF;SG	N;MASC;PL
mod	אומץ	mod	אומץ	N;INDF;NEUT;SG	
mod	כלפי	mod	כלפי	N;INDF;NEUT;SG	ADP
mod	לכיוון	mod	לכיוון	N;INDF;NEUT;SG	PROPN
mod	לקראת	mod	לקראת	N;INDF;NEUT;SG	ADP
mod	כנגד	mod	כנגד	N;INDF;NEUT;SG	ADP
mod	נגד	mod	נגד	N;INDF;NEUT;SG	ADP
mod	mod	mod	mod	N;INDF;NEUT;SG	
andre	אחרים	anden	אחר	PRO;PL	ADJ;MASC;PL
andre	אחר	anden	אחר	PRO;PL	ADP
andre	אחרות	anden	אחר	PRO;PL	ADJ;FEM;PL
andre	אחרים	anden	אחר	PRO;PL	ADJ;MASC;PL
andre	ואחרים	anden	ואחר	PRO;PL	PROPN
del	דל	del	דל	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
del	לשתף	del	שיתף	N;INDF;MASC+FEM;SG	V;NFIN;ACT
del	שתף	del	שתף	N;INDF;MASC+FEM;SG	ADV
del	שתפו	del	שתף	N;INDF;MASC+FEM;SG	V;PL;1;PST;ACT
født	נולדו	føde	נולד	V;INDF;SG;PST;V.PTCP	V;PL;3;PST;MID
flere	מרובה	mange	מרובה	ADJ;CMPR;PL	ADJ;FEM;SG
flere	ריבוי	mange	ריבוי	ADJ;CMPR;PL	N;MASC;SG
flere	עוד	mange	עוד	ADJ;CMPR;PL	ADV
flere	יותר	mange	יותר	ADJ;CMPR;PL	ADV
deres	שלהם	deres	של	DET;3	
deres	שלהם	deres	של	DET;3	
alle	כולם	al	None	ADJ;PL	N;MASC;PL
alle	הכל	al	הכיל	ADJ;PL	N
alle	כל	al	כול	ADJ;PL	DET;PSSD
alle	כולם	al	None	ADJ;PL	N;MASC;PL
danmark	דנמרק	danmark	דנמרק		PROPN
mange	הרבה	mange	הרבה	ADJ;PL	ADV
mange	רבות	mange	רב	ADJ;PL	N;FEM;PL
mange	רבים	mange	רב	ADJ;PL	V;MASC;PL;V.PTCP;ACT
kunne	יכולת	kunne	יכולת	V;IND;PST;FIN;ACT	N;FEM;SG
kunne	יכול	kunne	None	V;IND;PST;FIN;ACT	V;MASC;SG;V.PTCP
danske	דנית	dansk	דנית	ADJ;PL	PROPN
danske	דנים	dansk	דן	ADJ;PL	N;MASC;PL
dog	אולם	dog	אולם	ADV	CONJ
tidligere	בעבר	tidligere	בעבר	ADV;CMPR	
tidligere	קודמת	tidligere	קודם	ADV;CMPR	ADJ;FEM;SG
tidligere	הקודמת	tidligere	הקודם	ADV;CMPR	N;FEM;SG
tidligere	הקודם	tidligere	הקודם	ADV;CMPR	PROPN
tidligere	קודמים	tidligere	קדם	ADV;CMPR	V;MASC;PL;V.PTCP;ACT
siden	דף	siden	דף	ADV	
siden	עמוד	siden	עמוד	ADV	
siden	הדף	siden	הדף	ADV	
skal	אמור	skulle	אמור	V;IND;PRS;FIN;ACT	ADJ;MASC;SG
skal	צריך	skulle	צריך	V;IND;PRS;FIN;ACT	V;MASC;SG
skal	אמורה	skulle	אמור	V;IND;PRS;FIN;ACT	ADJ;FEM;SG
skal	פגז	skulle	פגז	V;IND;PRS;FIN;ACT	PROPN
skal	מעטפת	skulle	מעטף	V;IND;PRS;FIN;ACT	PROPN
skal	קליפה	skulle	קליפה	V;IND;PRS;FIN;ACT	N;FEM;SG
skal	חייב	skulle	חייב	V;IND;PRS;FIN;ACT	ADJ;MASC;SG
have	הגינה	have	הגין	V;NFIN;ACT	N;FEM;SG
have	גן	have	גן	V;NFIN;ACT	N;MASC;SG
have	הגן	have	הגן	V;NFIN;ACT	
have	גינה	have	גינה	V;NFIN;ACT	N;FEM;SG
store	גדול	stor	גדול	ADJ;PL	ADJ;MASC;SG
store	גדולה	stor	גדול	ADJ;PL	ADJ;FEM;SG
store	ביג	stor	ביג	ADJ;PL	
store	גדול	stor	גדול	ADJ;PL	ADJ;MASC;SG
store	גדולה	stor	גדול	ADJ;PL	ADJ;FEM;SG
meget	מאוד	meget	מאוד	ADJ;INDF;SG	ADV
meget	הרבה	meget	הרבה	ADJ;INDF;SG	ADV
sammen	ביחד	sammen	ביחד	ADV	
bliver	נשארת	blive	נשאר	V;IND;PRS;FIN;ACT	V;FEM;SG;V.PTCP;MID
bliver	נשאר	blive	נשאר	V;IND;PRS;FIN;ACT	V;MASC;SG;3;PST;MID
bliver	נשארים	blive	נשאר	V;IND;PRS;FIN;ACT	V;MASC;PL;V.PTCP;MID
end	מאשר	end	מאשר	ADP	CONJ
vil	ויל	ville	ויל	V;IND;PRS;FIN;ACT	PROPN
vil	וויל	ville	וויל	V;IND;PRS;FIN;ACT	PROPN
seed	זרע	seed	זרע		
ham	בו	han	ב	PRO;ACC;MASC+FEM;SG;3	ADP
omkring	על	omkring	על	ADV	ADP
omkring	לגבי	omkring	לגבי	ADV	ADP
omkring	אודות	omkring	אודות	ADV	
omkring	בסביבה	omkring	בסביבה	ADV	
omkring	מסביב	omkring	מסביב	ADV	
selv	אפילו	selv	אפילו	PRO	CONJ
københavn	קופנהגן	københavn	קופנהגן	PROPN	PROPN
kom	בוא	komme	בוא	V;IND;PST;FIN;ACT	
kom	בואי	komme	בא	V;IND;PST;FIN;ACT	
kom	בואו	komme	בא	V;IND;PST;FIN;ACT	
skulle	אמור	skulle	אמור	V;IND;PST;FIN;ACT	ADJ;MASC;SG
skulle	צריך	skulle	צריך	V;IND;PST;FIN;ACT	V;MASC;SG
skulle	אמורה	skulle	אמור	V;IND;PST;FIN;ACT	ADJ;FEM;SG
and	ברווז	and	ברווז		PROPN
and	דאק	and	דאק		PROPN
tre	three	tre	three	NUM	
byen	טאון	by	טאון	N;DEF;MASC+FEM;SG	PROPN
byen	העיר	by	העיר	N;DEF;MASC+FEM;SG	V;MASC;SG;3;PST;ACT
byen	העיר	by	העיר	N;DEF;MASC+FEM;SG	V;MASC;SG;3;PST;ACT
nogle	כמה	nogen	כמה	PRO;PL	DET;PSSD
nogle	חלקם	nogen	חלקם	PRO;PL	
