til	для	til	для	ADV	ADP;GEN
den	на	den	на	PRO;ACC;MASC+FEM;SG;3	ADP;ACC
han	хан	han	хан	PRO;NOM;MASC+FEM;SG;3	PROPN;ANIM;NOM;MASC;SG
han	хана	han	хана	PRO;NOM;MASC+FEM;SG;3	PROPN;ANIM;NOM;MASC;SG
fra	від	fra	від	ADV	ADP;GEN
har	got	have	got	V;IND;PRS;FIN;ACT	
har	have	have	have	V;IND;PRS;FIN;ACT	
ved	know	vide	know	V;IND;PRS;FIN;ACT	
ved	знайома	vide	знайомий	V;IND;PRS;FIN;ACT	ADJ;NOM;FEM;SG
ikke	не	ikke	не	ADV	PART;NEG
ikke	not	ikke	not	ADV	
efter	після	efter	після	ADV	ADP;GEN
sig	say	sig	say	PRO;ACC;3;REFL	
sig	скажуть	sig	сказати	PRO;ACC;3;REFL	V;PFV;IND;PL;3;FUT;FIN
sig	кажу	sig	казати	PRO;ACC;3;REFL	V;IPFV;IND;SG;1;PRS;FIN
sig	сказати	sig	сказати	PRO;ACC;3;REFL	V;PFV;NFIN
sig	кажеш	sig	казати	PRO;ACC;3;REFL	V;IPFV;IND;SG;2;PRS;FIN
kan	травнева	kunne	травневий	V;IND;PRS;FIN;ACT	ADJ;NOM;FEM;SG
kan	травня	kunne	травень	V;IND;PRS;FIN;ACT	N;INAN;GEN;MASC;SG
kan	травневі	kunne	травневий	V;IND;PRS;FIN;ACT	ADJ;NOM;PL
kan	травні	kunne	травень	V;IND;PRS;FIN;ACT	ADV
kan	травень	kunne	травень	V;IND;PRS;FIN;ACT	N;INAN;NOM;MASC;SG
kan	можна	kunne	можна	V;IND;PRS;FIN;ACT	ADV
score	рахунок	score	рахунок	V;NFIN;ACT	N;INAN;NOM;MASC;SG
score	результат	score	результат	V;NFIN;ACT	N;INAN;NOM;MASC;SG
score	оцінка	score	оцінка	V;NFIN;ACT	N;INAN;NOM;FEM;SG
score	рахунку	score	рахунок	V;NFIN;ACT	N;INAN;GEN;MASC;SG
hvor	where	hvor	where	ADV	
under	під	under	під	ADV	ADP;ACC
under	under	under	under	ADV	
hans	ганс	hans	ганс	DET;3	PROPN;ANIM;NOM;MASC;SG
hans	його	hans	він	DET;3	PRO;ACC;MASC;SG;3
over	закінчилося	over	закінчитися	ADV	V;PFV;NEUT;IND;SG;PST;FIN
over	над	over	над	ADV	ADP;ACC
over	закінчено	over	закінчити	ADV	V;PFV;IND;0;FIN
over	закінчилась	over	закінчитися	ADV	V;PFV;FEM;IND;SG;PST;FIN
første	перше	første	перше	ADJ	ADV
dansk	dansk	dansk	dansk	ADJ;INDF;SG	
mod	проти	mod	проти	N;INDF;NEUT;SG	ADV
mod	mod	mod	mod	N;INDF;NEUT;SG	
hun	she	hun	she	PRO;NOM;MASC+FEM;SG;3	
andre	інший	anden	інший	PRO;PL	DET;NOM;MASC;SG
andre	інша	anden	інший	PRO;PL	DET;NOM;FEM;SG
andre	інші	anden	інший	PRO;PL	DET;NOM;PL
andre	інше	anden	інший	PRO;PL	DET;NOM;NEUT;SG
andre	інших	anden	інший	PRO;PL	DET;GEN;PL
andre	інших	anden	інший	PRO;PL	DET;GEN;PL
andre	інші	anden	інший	PRO;PL	DET;NOM;PL
andre	іншими	anden	інший	PRO;PL	DET;INS;PL
denne	цей	denne	цей	PRO;MASC+FEM;SG	DET;NOM;MASC;SG
denne	ця	denne	цей	PRO;MASC+FEM;SG	DET;NOM;FEM;SG
fik	got	få	got	V;IND;PST;FIN;ACT	
del	дель	del	дель	N;INDF;MASC+FEM;SG	
del	del	del	del	N;INDF;MASC+FEM;SG	
del	поширити	del	поширити	N;INDF;MASC+FEM;SG	V;PFV;NFIN
del	поділитися	del	поділитися	N;INDF;MASC+FEM;SG	V;PFV;NFIN
del	поділитись	del	поділитися	N;INDF;MASC+FEM;SG	V;PFV;NFIN
født	народження	føde	народження	V;INDF;SG;PST;V.PTCP	N;INAN;NOM;NEUT;SG
født	борн	føde	борно	V;INDF;SG;PST;V.PTCP	PROPN;ANIM;NOM;MASC;SG
mellem	поміж	mellem	поміж	ADP	
flere	декілька	mange	декілька	ADJ;CMPR;PL	DET;NOM
flere	декілька	mange	декілька	ADJ;CMPR;PL	DET;NOM
flere	більше	mange	більше	ADJ;CMPR;PL	ADV;CMPR
