til	pentru	til	pentru	ADV	ADP;ACC
med	cu	med	cu	ADV	ADP;ACC
var	erau	være	fi	V;IND;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
han	han	han	han	PRO;NOM;MASC+FEM;SG;3	N;INDF;MASC;SG
fra	din	fra	din	ADV	ADP;ACC
har	au	have	avea	V;IND;PRS;FIN;ACT	V;PL;3
ved	stiu	vide	stiu	V;IND;PRS;FIN;ACT	
ikke	nu	ikke	nu	ADV	PART;NEG
efter	dupa	efter	dupa	ADV	N;DEF;FEM;SG
efter	dupa	efter	dupa	ADV	N;DEF;FEM;SG
sig	spune	sig	spune	PRO;ACC;3;REFL	V;IND;SG;3;PRS;FIN
kan	may	kunne	may	V;IND;PRS;FIN;ACT	
kan	can	kunne	can	V;IND;PRS;FIN;ACT	
score	scorul	score	scor	V;NFIN;ACT	N;DEF;MASC;SG
score	punctaj	score	punctaj	V;NFIN;ACT	N;INDF;MASC;SG
score	scor	score	scor	V;NFIN;ACT	N;INDF;MASC;SG
score	scoruri	score	scor	V;NFIN;ACT	N;INDF;FEM;PL
score	scorurile	score	scor	V;NFIN;ACT	N;DEF;FEM;PL
havde	avea	have	avea	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
under	dedesubt	under	dedesubt	ADV	
under	sub	under	sub	ADV	ADP;ACC
hans	hans	hans	hans	DET;3	PROPN
hans	lui	hans	el	DET;3	PRO;3
over	peste	over	peste	ADV	ADP;ACC
over	over	over	over	ADV	N;INDF;MASC;SG
over	deasupra	over	deasupra	ADV	ADP;GEN
første	primii	første	prim	ADJ	NUM;DEF;MASC;PL
første	prima	første	prim	ADJ	NUM;DEF;FEM;SG
første	primul	første	prim	ADJ	NUM;DEF;MASC;SG
henvisninger	referinte	henvisning	referint	N;INDF;MASC+FEM;PL	
henvisninger	referinte	henvisning	referint	N;INDF;MASC+FEM;PL	
dansk	daneza	dansk	daneza	ADJ;INDF;SG	ADJ;DEF;FEM;SG
dansk	dansk	dansk	dansk	ADJ;INDF;SG	N;INDF;MASC;SG
mod	curajul	mod	curaj	N;INDF;NEUT;SG	N;DEF;MASC;SG
mod	contra	mod	contra	N;INDF;NEUT;SG	
mod	impotriva	mod	impotriva	N;INDF;NEUT;SG	N;DEF;FEM;SG
mod	impotriva	mod	impotriva	N;INDF;NEUT;SG	N;DEF;FEM;SG
mod	impotriva	mod	impotriva	N;INDF;NEUT;SG	N;DEF;FEM;SG
hun	ea	hun	el	PRO;NOM;MASC+FEM;SG;3	PRO;FEM;SG;3
andre	alte	anden	alt	PRO;PL	DET;FEM;PL;3
andre	alti	anden	alti	PRO;PL	
andre	altii	anden	altul	PRO;PL	
andre	altii	anden	altul	PRO;PL	
del	partea	del	parte	N;INDF;MASC+FEM;SG	N;DEF;FEM;SG
del	distribuie	del	distribui	N;INDF;MASC+FEM;SG	V;IND;3;PRS;FIN
del	cota	del	cotă	N;INDF;MASC+FEM;SG	N;DEF;FEM;SG
del	share	del	share	N;INDF;MASC+FEM;SG	
