contraste	contrastes	contraste	contraste	N;MASC;SG	N;MASC;PL
kiss	besito	kiss	besito	N;MASC;SG	INTJ
natação	nado	natação	nado	N;FEM;SG	
natação	nadar	natação	nadar	N;FEM;SG	V;NFIN
natação	nadando	natação	nadar	N;FEM;SG	V;V.MSDR
natação	nadar	natação	nadar	N;FEM;SG	V;NFIN
cheia	full	cheio	full	ADJ;FEM;SG	INTJ
desporto	deportes	desporto	deporte	N;MASC;SG	N;MASC;PL
desporto	deportivo	desporto	deportivo	N;MASC;SG	ADJ;MASC;SG
desporto	deportes	desporto	deporte	N;MASC;SG	N;MASC;PL
quantidades	cantidad	quantidade	cantidad	N;FEM;PL	N;FEM;SG
utilidade	util	utilidade	util	N;FEM;SG	ADJ;SG
utilidade	útil	utilidade	útil	N;FEM;SG	ADJ;SG
utilidade	útiles	utilidade	útil	N;FEM;SG	ADJ;PL
sessões	sesión	sessão	sesión	N;FEM;PL	N;FEM;SG
polonês	polaca	polonês	polaco	N;MASC;SG	ADJ;FEM;SG
polonês	polonia	polonês	polonia	N;MASC;SG	PROPN
polonês	polacos	polonês	polaco	N;MASC;SG	N;MASC;PL
years	años	years	año	N;MASC;SG	N;MASC;PL
years	anos	years	ano	N;MASC;SG	N;MASC;PL
fair	justa	fair	justo	N;MASC;SG	ADJ;FEM;SG
fair	justo	fair	justo	N;MASC;SG	ADV
vendo	venta	ver	venta	V;V.MSDR	N;FEM;SG
trabalhava	trabajó	trabalhar	trabajar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN
trabalhava	funcionó	trabalhar	funcionar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN
trabalhava	trabajado	trabalhar	trabajar	V;IND;SG;3;IPFV;FIN	ADJ;MASC;SG;V.PTCP
trabalhava	trabajadas	trabalhar	trabajado	V;IND;SG;3;IPFV;FIN	ADJ;FEM;PL;V.PTCP
cooper	cooper	cooper	cooper	N;MASC;SG	PROPN
chase	persigue	chase	perseguir	N;MASC;SG	V;IND;SG;3;PRS;FIN
celeste	celeste	celeste	celeste	N;MASC;SG	ADJ;SG
celeste	celestiales	celeste	celestial	N;MASC;SG	ADJ;PL
celeste	celeste	celeste	celeste	N;MASC;SG	ADJ;SG
celeste	celestial	celeste	celestial	N;MASC;SG	ADJ;SG
bryan	bryan	bryan	bryar	N;MASC;SG	PROPN
true	cierto	true	cierto	N;MASC;SG	ADJ;MASC;SG
true	verdadera	true	verdadero	N;MASC;SG	ADJ;FEM;SG
true	verdadero	true	verdadero	N;MASC;SG	ADJ;MASC;SG
modern	moderna	modern	moderno	N;MASC;SG	ADJ;FEM;SG
modern	modernos	modern	moderno	N;MASC;SG	ADJ;MASC;PL
modern	modernas	modern	moderno	N;MASC;SG	ADJ;FEM;PL
modern	moderno	modern	moderno	N;MASC;SG	ADJ;MASC;SG
clínica	clínico	clínica	clínico	N;FEM;SG	ADJ;MASC;SG
clínica	clínicos	clínica	clínico	N;FEM;SG	N;MASC;PL
ossos	ósea	osso	óseo	N;MASC;PL	ADJ;FEM;SG
ossos	hueso	osso	hueso	N;MASC;PL	N;MASC;SG
ordenado	ordenados	ordenado	ordenado	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
ordenado	ordenado	ordenado	ordenado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
ordenado	ordenados	ordenado	ordenado	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
ordenado	ordenado	ordenado	ordenado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
destruído	destruida	destruir	destruido	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
destruído	destruidas	destruir	destruido	V;MASC;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
destruído	destruidos	destruir	destruido	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
destruído	destruido	destruir	destruido	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
mendonça	mendonça	mendonça	mendonça	N;MASC;SG	PROPN
influenciado	influido	influenciar	influido	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
influenciado	influenciada	influenciar	influenciado	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
influenciado	influenciado	influenciar	influenciado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
influenciado	influenciados	influenciar	influenciado	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
seguiram	seguido	seguir	seguido	V;IND;PL;3;FIN	ADJ;MASC;SG;V.PTCP
seguiram	seguí	seguir	seguir	V;IND;PL;3;FIN	V;IND;SG;1;PST;FIN
seguiram	siguió	seguir	seguir	V;IND;PL;3;FIN	V;IND;SG;3;PST;FIN
seguiram	seguida	seguir	seguido	V;IND;PL;3;FIN	ADJ;FEM;SG;V.PTCP
gonzález	gonzalez	gonzález	gonzalez	N;MASC;SG	PROPN
judaica	judías	judaica	judía	N;FEM;SG	N;FEM;PL
judaica	judía	judaica	judío	N;FEM;SG	ADJ;FEM;SG
judaica	judíos	judaica	judío	N;FEM;SG	N;MASC;PL
protestos	protestar	protesto	protestar	N;MASC;PL	V;NFIN
protestos	protesta	protesto	protesta	N;MASC;PL	N;FEM;SG
greg	greg	greg	greg	N;MASC;SG	PROPN
mistério	misteriosa	mistério	misterioso	N;MASC;SG	ADJ;FEM;SG
mistério	misterios	mistério	misterio	N;MASC;SG	N;MASC;PL
mistério	misterioso	mistério	misterioso	N;MASC;SG	ADJ;MASC;SG
revolucionário	revolucionarios	revolucionário	revolucionario	ADJ;MASC;SG	N;MASC;PL
excesso	excesos	excesso	exceso	N;MASC;SG	N;MASC;PL
ruim	malas	ruim	malo	ADJ;MASC;SG	ADJ;FEM;PL
ruim	malos	ruim	malo	ADJ;MASC;SG	ADJ;MASC;PL
ruim	bad	ruim	bad	ADJ;MASC;SG	N;MASC;SG
ruim	mal	ruim	mal	ADJ;MASC;SG	ADV
judicial	judiciales	judicial	judicial	ADJ;MASC;SG	ADJ;PL
eficiente	eficientes	eficiente	eficiente	ADJ;MASC;SG	ADJ;PL
hierarquia	jerarquías	hierarquia	jerarquía	N;FEM;SG	N;FEM;PL
premiação	premios	premiação	premio	N;FEM;SG	N;MASC;PL
premiação	galardones	premiação	galardón	N;FEM;SG	N;MASC;PL
walt	walt	walt	walt	N;MASC;SG	PROPN
encontraram	encontrada	encontrar	encontrado	V;IND;PL;3;FIN	ADJ;FEM;SG;V.PTCP
encontraram	encontradas	encontrar	encontrado	V;IND;PL;3;FIN	ADJ;FEM;PL;V.PTCP
encontraram	encontrados	encontrar	encontrado	V;IND;PL;3;FIN	ADJ;MASC;PL;V.PTCP
encontraram	hallado	encontrar	hallado	V;IND;PL;3;FIN	ADJ;MASC;SG;V.PTCP
encontraram	encontrado	encontrar	encontrado	V;IND;PL;3;FIN	ADJ;MASC;SG;V.PTCP
complexos	complejos	complexo	complejo	ADJ;MASC;PL	N;MASC;PL
complexos	compleja	complexo	complejo	ADJ;MASC;PL	ADJ;FEM;SG
complexos	complejo	complexo	complejo	ADJ;MASC;PL	ADJ;MASC;SG
complexos	complejos	complexo	complejo	ADJ;MASC;PL	N;MASC;PL
destacando	relieve	destacar	relieve	V;V.MSDR	N;MASC;SG
destacando	realce	destacar	realce	V;V.MSDR	N;MASC;SG
destacando	resaltado	destacar	resaltar	V;V.MSDR	ADJ;MASC;SG;V.PTCP
caldas	caldas	calda	calda	N;FEM;PL	N;FEM;SG
spencer	spencer	spencer	spencer	N;MASC;SG	PROPN
terry	terry	terry	terry	N;MASC;SG	PROPN
polêmica	controvertida	polêmica	controvertido	N;FEM;SG	ADJ;FEM;SG;V.PTCP
polêmica	controversial	polêmica	controversial	N;FEM;SG	ADJ;SG
polêmica	polémico	polêmica	polémico	N;FEM;SG	ADJ;MASC;SG
polêmica	controvertido	polêmica	controvertido	N;FEM;SG	ADJ;MASC;SG;V.PTCP
polêmica	controversias	polêmica	controversia	N;FEM;SG	N;FEM;PL
organizou	organizada	organizar	organizado	V;IND;SG;3;PST;FIN	ADJ;FEM;SG;V.PTCP
organizou	organizados	organizar	organizado	V;IND;SG;3;PST;FIN	ADJ;MASC;PL;V.PTCP
organizou	organizadas	organizar	organizado	V;IND;SG;3;PST;FIN	ADJ;FEM;PL;V.PTCP
organizou	organizado	organizar	organizado	V;IND;SG;3;PST;FIN	ADJ;MASC;SG;V.PTCP
secreto	secreta	secreto	secreto	N;MASC;SG	ADJ;FEM;SG
secreto	secretos	secreto	secreto	N;MASC;SG	N;MASC;PL
mágico	mágica	mágico	mágico	N;MASC;SG	ADJ;FEM;SG
mágico	mágico	mágico	mágico	N;MASC;SG	ADJ;MASC;SG
mágico	mágicos	mágico	mágico	N;MASC;SG	ADJ;MASC;PL
mágico	mágico	mágico	mágico	N;MASC;SG	ADJ;MASC;SG
mágico	mágica	mágico	mágico	N;MASC;SG	ADJ;FEM;SG
mágico	magico	mágico	magico	N;MASC;SG	ADJ;MASC;SG
protocolo	protocolos	protocolo	protocolo	N;MASC;SG	N;MASC;PL
cristiano	cristiano	cristiano	cristiano	N;MASC;SG	ADJ;MASC;SG
cristiano	cristiano	cristiano	cristiano	N;MASC;SG	ADJ;MASC;SG
cristiano	christian	cristiano	christiar	N;MASC;SG	PROPN
cristiano	cristianos	cristiano	cristiano	N;MASC;SG	N;MASC;PL
cristiano	cristiana	cristiano	cristiano	N;MASC;SG	ADJ;FEM;SG
cristiano	cristian	cristiano	cristiar	N;MASC;SG	PROPN
animado	animado	animar	animado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
animado	animados	animar	animado	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
animado	animada	animar	animado	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
animado	emocionada	animar	emocionado	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
animado	entusiasmado	animar	entusiasmado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
animado	emocionados	animar	emocionado	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
animado	emocionado	animar	emocionado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
animado	entusiasmada	animar	entusiasmado	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
stars	estrellas	star	estrella	N;MASC;SG	N;PL
clemente	clemente	clemente	clemente	N;MASC;SG	PROPN
clemente	clemente	clemente	clemente	N;MASC;SG	PROPN
clemente	clement	clemente	clement	N;MASC;SG	PROPN
localizados	localizada	localizar	localizado	V;MASC;PL;V.PTCP	ADJ;FEM;SG;V.PTCP
localizados	localizado	localizar	localizado	V;MASC;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
localizados	ubicado	localizar	ubicado	V;MASC;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
localizados	situado	localizar	situado	V;MASC;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
localizados	localizada	localizar	localizado	V;MASC;PL;V.PTCP	ADJ;FEM;SG;V.PTCP
localizados	localizados	localizar	localizar	V;MASC;PL;V.PTCP	ADJ;MASC;PL;V.PTCP
localizados	localizados	localizar	localizar	V;MASC;PL;V.PTCP	ADJ;MASC;PL;V.PTCP
localizados	localizadas	localizar	localizado	V;MASC;PL;V.PTCP	ADJ;FEM;PL;V.PTCP
localizados	localizado	localizar	localizado	V;MASC;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
localizados	localizada	localizar	localizado	V;MASC;PL;V.PTCP	ADJ;FEM;SG;V.PTCP
típica	típicas	típico	típico	ADJ;FEM;SG	ADJ;FEM;PL
típica	típicos	típico	típico	ADJ;FEM;SG	ADJ;MASC;PL
vivendo	living	viver	living	V;V.MSDR	N;MASC;SG
beatles	beatle	beatles	beatle	N;MASC;PL	N;MASC;SG
murray	murray	murray	murray	N;MASC;SG	PROPN
famosas	famosa	famoso	famoso	ADJ;FEM;PL	ADJ;FEM;SG
famosas	famoso	famoso	famoso	ADJ;FEM;PL	ADJ;MASC;SG
fantasy	fantasías	fantasy	fantasía	N;MASC;SG	N;FEM;PL
tommy	tommy	tommy	tommy	N;MASC;SG	PROPN
metais	metálico	metal	metálico	N;MASC;PL	ADJ;MASC;SG
metais	metálicos	metal	metálico	N;MASC;PL	ADJ;MASC;PL
metais	metal	metal	metal	N;MASC;PL	N;MASC;SG
four	cuatro	four	cuatro	N;MASC;SG	NUM;PL
abandonado	abandonadas	abandonar	abandonado	V;MASC;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
abandonado	abandonada	abandonar	abandonado	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
abandonado	abandonado	abandonar	abandonado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
abandonado	abandonados	abandonar	abandonado	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
existiam	existido	existir	existir	V;IND;PL;3;IPFV;FIN	ADJ;MASC;SG;V.PTCP
existiam	existió	existir	existir	V;IND;PL;3;IPFV;FIN	V;IND;SG;3;PST;FIN
existiam	existía	existir	existir	V;IND;PL;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
existiam	existieron	existir	existir	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;PST;FIN
capita	cápita	capita	cápita	N;MASC;SG	ADJ;SG
obtendo	obtención	obter	obtención	V;V.MSDR	N;FEM;SG
dick	dick	dick	dick	N;MASC;SG	PROPN
africanos	africanas	africano	africano	N;MASC;PL	ADJ;FEM;PL
africanos	africana	africano	africano	N;MASC;PL	ADJ;FEM;SG
africanos	africanas	africano	africano	N;MASC;PL	ADJ;FEM;PL
africanos	africano	africano	africano	N;MASC;PL	ADJ;MASC;SG
fighting	combates	fighting	combate	N;MASC;SG	N;MASC;PL
fighting	peleas	fighting	pelea	N;MASC;SG	N;FEM;PL
fighting	luchando	fighting	luchar	N;MASC;SG	V;V.MSDR
minerais	mineral	mineral	mineral	N;MASC;PL	ADJ;SG
separado	separadas	separar	separado	V;MASC;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
separado	separado	separar	separar	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
separado	separada	separar	separado	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
separado	separados	separar	separado	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
separado	separadamente	separar	separadamente	V;MASC;SG;V.PTCP	ADV
separado	separado	separar	separar	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
separado	separada	separar	separado	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
separado	separado	separar	separar	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
separado	separados	separar	separado	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
decoração	decorado	decoração	decorado	N;FEM;SG	ADJ;MASC;SG;V.PTCP
decoração	decorar	decoração	decorar	N;FEM;SG	V;NFIN
secret	secreta	secret	secreto	N;MASC;SG	ADJ;FEM;SG
secret	secretos	secret	secreto	N;MASC;SG	N;MASC;PL
azuis	azules	azul	azul	N;MASC;PL	ADJ;PL
azuis	azul	azul	azul	N;MASC;PL	ADJ;SG
azuis	azules	azul	azul	N;MASC;PL	ADJ;PL
nucleares	nuclear	nuclear	nuclear	N;MASC;PL	ADJ;SG
nucleares	nucleares	nuclear	nuclear	N;MASC;PL	ADJ;PL
moléculas	molécula	molécula	molécula	N;FEM;PL	N;FEM;SG
previsão	previsiones	previsão	previsión	N;FEM;SG	N;FEM;PL
comentou	comentado	comentar	comentar	V;IND;SG;3;PST;FIN	ADJ;MASC;SG;V.PTCP
comentou	comento	comentar	comentar	V;IND;SG;3;PST;FIN	V;IND;SG;1;PRS;FIN
melhoria	mejorando	melhoria	mejorar	N;FEM;SG	V;V.MSDR
melhoria	mejorar	melhoria	mejorar	N;FEM;SG	V;NFIN
melhoria	mejoras	melhoria	mejora	N;FEM;SG	N;FEM;PL
oral	orales	oral	oral	N;MASC;SG	ADJ;PL
oral	oral	oral	oral	N;MASC;SG	
estimado	estimado	estimado	estimado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
estimado	estimados	estimado	estimado	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
estimado	estimación	estimado	estimación	V;MASC;SG;V.PTCP	N;FEM;SG
estimado	estimada	estimado	estimar	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
modernas	moderna	moderno	moderno	N;FEM;PL	ADJ;FEM;SG
modernas	modernos	moderno	moderno	N;FEM;PL	ADJ;MASC;PL
modernas	modernas	moderno	moderno	N;FEM;PL	ADJ;FEM;PL
modernas	moderno	moderno	moderno	N;FEM;PL	ADJ;MASC;SG
hab	hab	hab	haber	N;FEM;SG	
resolve	resolverlo	resolver	resolverlo	V;IND;SG;3;PRS;FIN	PROPN
resolve	resuelva	resolver	resolver	V;IND;SG;3;PRS;FIN	V;IMP;SG;3;FIN
vilas	poblados	vila	poblado	N;FEM;PL	ADJ;MASC;PL;V.PTCP
censura	censurar	censura	censurar	N;FEM;SG	V;NFIN
velhos	viejo	velho	viejo	N;MASC;PL	ADJ;MASC;SG
velhos	antiguo	velho	antiguo	N;MASC;PL	ADJ;MASC;SG
velhos	viejos	velho	viejo	N;MASC;PL	ADJ;MASC;PL
velhos	antigua	velho	antiguo	N;MASC;PL	ADJ;FEM;SG
velhos	vieja	velho	viejo	N;MASC;PL	ADJ;FEM;SG
movido	movida	mover	movido	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
movido	movido	mover	movido	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
movido	conmovido	mover	conmovido	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
movido	trasladado	mover	trasladar	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
agir	ley	agir	ley	V;NFIN	N;FEM;SG
agir	acta	agir	acta	V;NFIN	N;FEM;SG
agir	acto	agir	acto	V;NFIN	N;MASC;SG
agir	act	agir	act	V;NFIN	PROPN
atlântica	atlántico	atlântico	atlántico	N;FEM;SG	ADJ;MASC;SG
atlântica	atlántica	atlântico	atlántico	N;FEM;SG	ADJ;FEM;SG
chineses	chino	chinês	chino	N;MASC;PL	N;MASC;SG
renascimento	renacentista	renascimento	renacentista	N;MASC;SG	ADJ;SG
renascimento	renacer	renascimento	renacer	N;MASC;SG	V;NFIN
galo	vergas	galo	vergo	N;MASC;SG	N;FEM;PL
namorado	novio	namorar	novio	V;MASC;SG;V.PTCP	N;MASC;SG
namorado	novios	namorar	novio	V;MASC;SG;V.PTCP	N;MASC;PL
determinados	decidida	determinar	decidido	V;MASC;PL;V.PTCP	ADJ;FEM;SG;V.PTCP
determinados	determinado	determinar	determinado	V;MASC;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
determinados	determinada	determinar	determinado	V;MASC;PL;V.PTCP	ADJ;FEM;SG;V.PTCP
determinados	decidido	determinar	decidido	V;MASC;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
gerações	generación	geração	generación	N;FEM;PL	N;FEM;SG
capitais	capital	capital	capital	N;MASC;PL	N;FEM;SG
liberais	liberal	liberal	liberal	N;MASC;PL	ADJ;SG
selvagem	wild	selvagem	wild	ADJ;MASC;SG	N
selvagem	silvestres	selvagem	silvestre	ADJ;MASC;SG	N;FEM;PL
selvagem	salvajes	selvagem	salvaje	ADJ;MASC;SG	N;PL
selvagem	savage	selvagem	savage	ADJ;MASC;SG	N;SG
selvagem	salvajes	selvagem	salvaje	ADJ;MASC;SG	N;PL
transmitida	transmitida	transmitir	transmitir	V;FEM;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
transmitida	transmitido	transmitir	transmitido	V;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
transmitida	transmitidos	transmitir	transmitir	V;FEM;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
recebem	reciba	receber	recibir	V;IND;PL;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
recebem	reciban	receber	recibir	V;IND;PL;3;PRS;FIN	V;IMP;PL;3;FIN
recebem	recibe	receber	recibir	V;IND;PL;3;PRS;FIN	V;IND;SG;3;PRS;FIN
evans	evans	evans	evan	N;MASC;SG	PROPN
causada	causado	causar	causado	V;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
acampamento	campamentos	acampamento	campamento	N;MASC;SG	N;MASC;PL
acampamento	acampar	acampamento	acampar	N;MASC;SG	V;NFIN
acampamento	campings	acampamento	campings	N;MASC;SG	N;MASC;PL
