筋	τένοντες	筋	τένω	N	ADJ;NOM;MASC;PL
安藤	άντο	安藤	άντος	PROPN	N
和	αρμονία	和	αρμονία	ADP	N;NOM;FEM;SG
室外	έξω	室外	έξω	N	ADV
室外	εξω	室外	εξω	N	ADV
室外	υπαίθρια	室外	υπαίθριος	N	PROPN;NOM;FEM;SG
室外	υπαίθρια	室外	υπαίθριος	N	PROPN;NOM;FEM;SG
刺殺	δολοφονία	刺殺	δολοφονία	V	N;NOM;FEM;SG
坐標	συντεταγμένες	坐標	συντεταγμένος	N	ADJ;NOM;FEM;PL
永恆	διαχρονικό	永恆	διαχρονικός	N	ADJ;NOM;NEUT;SG
永恆	αιώνιος	永恆	αιώνιος	N	ADJ;NOM;MASC;SG
津	επιδόματα	津	επίδομα	PROPN	N;NOM;NEUT;PL
津	αποζημιώσεις	津	αποζημίωση	PROPN	N;NOM;FEM;PL
津	επίδομα	津	επίδομα	PROPN	N;NOM;NEUT;SG
破解	κρακ	破解	κρακ	V	N;NOM;NEUT;SG
破解	ρωγμή	破解	ρωγμή	V	N;NOM;FEM;SG
捲	roll	捲	roll	N	
麻雀	σπουργίτια	麻雀	σπουργίτιο	PROPN	N;NOM;NEUT;PL
麻雀	σπάροου	麻雀	σπάροο	PROPN	N;NOM;MASC;SG
麻雀	σπουργίτι	麻雀	σπουργίτι	PROPN	N;NOM;NEUT;SG
關	φροντίδα	關	φροντίδα	PROPN	N;NOM;FEM;SG
盧森堡	λουξεμβούργο	盧森堡	λουξεμβούργο	PROPN	PROPN;NOM;NEUT;SG
佔有	κατοχή	佔有	κατοχή	V	N;ACC;FEM;SG
獨家	αποκλειστική	獨家	αποκλειστικός		ADJ;NOM;FEM;SG
獨家	αποκλειστικός	獨家	αποκλειστικός		ADJ;NOM;MASC;SG
獨家	αποκλειστικό	獨家	αποκλειστικός		ADJ;NOM;NEUT;SG
獨家	αποκλειστικά	獨家	αποκλειστικά		ADV
獨家	αποκλειστικότητα	獨家	αποκλειστικότητα		N;ACC;FEM;SG
停火	εκεχειρία	停火	εκεχειρία	V	N;ACC;FEM;SG
鈍	μπλαντ	鈍	μπλαντ	N	
復原	αποκατάσταση	復原	αποκατάσταση	V	N;ACC;FEM;SG
復原	ανάκαμψη	復原	ανάκαμψη	V	N;ACC;FEM;SG
復原	ανάκτηση	復原	ανάκτηση	V	N;ACC;FEM;SG
復原	ανάρρωση	復原	ανάρρωση	V	N;ACC;FEM;SG
真主	αλλάχ	真主	αλλάχ	PROPN	PROPN;NOM;MASC;SG
清潔	καθαριότητα	清潔	καθαριότητα	V	N;NOM;FEM;SG
清潔	καθαρισμός	清潔	καθαρισμός	V	N;NOM;MASC;SG
清潔	καθαρισμού	清潔	καθαρισμός	V	N;GEN;MASC;SG
清潔	καθάρισμα	清潔	καθάρισμα	V	N;NOM;NEUT;SG
清潔	καθαριότητα	清潔	καθαριότητα	V	N;NOM;FEM;SG
清潔	καθαρή	清潔	καθερός	V	ADJ;NOM;FEM;SG
清潔	καθαρό	清潔	καθερός	V	ADJ;NOM;NEUT;SG
清潔	καθαρά	清潔	καθερά	V	ADV
清潔	καθαρός	清潔	καθαρός	V	ADJ;NOM;MASC;SG
清潔	καθαροί	清潔	καθερός	V	ADJ;NOM;MASC;PL
多	διαφοροποίηση	多	διαφοροποίηση	NUM	N;ACC;FEM;SG
多	πολυφωνία	多	πολυφωνία	NUM	N;NOM;FEM;SG
多	πλουραλισμό	多	πλουραλισμός	NUM	N;ACC;MASC;SG
多	ποικιλία	多	ποικιλία	NUM	N;NOM;FEM;SG
多	ποικιλομορφία	多	ποικιλομορφία	NUM	N;NOM;FEM;SG
多	πολυμορφία	多	πολυμορφία	NUM	N;NOM;FEM;SG
多	πολυφωνία	多	πολυφωνία	NUM	N;NOM;FEM;SG
友善	φιλικοί	友善	φιλικός	N	ADJ;NOM;MASC;PL
友善	φιλικά	友善	φιλικά	N	ADV
友善	φιλική	友善	φιλικός	N	ADJ;NOM;FEM;SG
友善	φιλικός	友善	φιλικός	N	ADJ;NOM;MASC;SG
友善	φιλικό	友善	φιλικός	N	ADJ;NOM;NEUT;SG
山麓	πεδεμόντιο	山麓	πεδεμόντιος	N	PROPN;NOM;NEUT;SG
甜蜜	γλυκός	甜蜜	γλυκός	N	ADJ;NOM;MASC;SG
瘦	αδύνατος	瘦	άδυνα	N	ADJ;NOM;MASC;SG
瘦	slim	瘦	slim	N	
瘦	λεπτή	瘦	λεπτό	N	ADJ;NOM;FEM;SG
瘦	αδύνατος	瘦	άδυνα	N	ADJ;NOM;MASC;SG
稀少	αραιό	稀少	αραιός	ADJ	N;NOM;NEUT;SG
丟	πέτα	丟	πέτα	V	N
雪梨	σίντνεϊ	雪梨	σίντνεϊ	PROPN	PROPN;NOM;FEM;SG
雪梨	σίδνεϊ	雪梨	σίδνεϊ	PROPN	PROPN;NOM;FEM;SG
消化	πέψη	消化	πέψη	V	N;NOM;FEM;SG
消化	πεπτικό	消化	πεπτικός	V	N;NOM;NEUT;SG
消化	digest	消化	digest	V	
陶器	κεραμικά	陶器	κεραμικά	N	ADV
陶器	κεραμικής	陶器	κεραμικός	N	ADJ;GEN;FEM;SG
凱撒	καίσαρας	凱撒	καίσαρος	PROPN	N;NOM;MASC;SG
凱撒	σίζαρ	凱撒	σίζαρ	PROPN	N
